ts_ns,line
1778254171394476991,cpu  58970 8 23044 548723 42532 0 690 0 0 0
1778254171394476991,cpu0 29465 2 11413 273743 22087 0 276 0 0 0
1778254171394476991,cpu1 29505 5 11630 274980 20445 0 413 0 0 0
1778254172399909446,cpu  58992 8 23050 548889 42540 0 692 0 0 0
1778254172399909446,cpu0 29476 2 11416 273823 22094 0 276 0 0 0
1778254172399909446,cpu1 29515 5 11634 275066 20446 0 415 0 0 0
1778254173423786011,cpu  59000 8 23078 549058 42540 0 692 0 0 0
1778254173423786011,cpu0 29480 2 11431 273907 22094 0 276 0 0 0
1778254173423786011,cpu1 29520 5 11647 275151 20446 0 416 0 0 0
1778254174449054599,cpu  59039 8 23209 549086 42540 0 692 0 0 0
1778254174449054599,cpu0 29506 2 11489 273920 22094 0 276 0 0 0
1778254174449054599,cpu1 29533 5 11719 275165 20446 0 416 0 0 0
1778254175461868731,cpu  59070 8 23349 549110 42540 0 692 0 0 0
1778254175461868731,cpu0 29521 2 11560 273933 22094 0 276 0 0 0
1778254175461868731,cpu1 29548 5 11789 275176 20446 0 416 0 0 0
1778254176472206379,cpu  59106 8 23487 549134 42540 0 692 0 0 0
1778254176472206379,cpu0 29540 2 11628 273945 22094 0 276 0 0 0
1778254176472206379,cpu1 29566 5 11858 275189 20446 0 416 0 0 0
1778254177497536411,cpu  59130 8 23629 549168 42540 0 692 0 0 0
1778254177497536411,cpu0 29550 2 11700 273962 22094 0 276 0 0 0
1778254177497536411,cpu1 29580 5 11929 275205 20446 0 416 0 0 0
1778254178544292154,cpu  59172 8 23766 549192 42540 0 692 0 0 0
1778254178544292154,cpu0 29574 2 11764 273975 22094 0 276 0 0 0
1778254178544292154,cpu1 29598 5 12001 275217 20446 0 416 0 0 0
1778254179563330293,cpu  59204 8 23909 549216 42540 0 693 0 0 0
1778254179563330293,cpu0 29584 2 11840 273988 22094 0 277 0 0 0
1778254179563330293,cpu1 29620 5 12069 275228 20446 0 416 0 0 0
1778254180617652853,cpu  59242 8 24057 549238 42540 0 693 0 0 0
1778254180617652853,cpu0 29600 2 11916 273999 22094 0 277 0 0 0
1778254180617652853,cpu1 29641 5 12141 275238 20446 0 416 0 0 0
1778254181639967472,cpu  59268 8 24196 549267 42540 0 693 0 0 0
1778254181639967472,cpu0 29617 2 11981 274014 22094 0 277 0 0 0
1778254181639967472,cpu1 29651 5 12215 275253 20446 0 416 0 0 0
1778254182651359079,cpu  59304 8 24333 549291 42540 0 693 0 0 0
1778254182651359079,cpu0 29635 2 12048 274026 22094 0 277 0 0 0
1778254182651359079,cpu1 29668 5 12284 275264 20446 0 416 0 0 0
1778254183673226697,cpu  59338 8 24471 549319 42540 0 693 0 0 0
1778254183673226697,cpu0 29652 2 12116 274041 22094 0 277 0 0 0
1778254183673226697,cpu1 29686 5 12354 275278 20446 0 416 0 0 0
1778254184712418819,cpu  59375 8 24616 549340 42540 0 693 0 0 0
1778254184712418819,cpu0 29667 2 12191 274051 22094 0 277 0 0 0
1778254184712418819,cpu1 29707 5 12425 275288 20446 0 416 0 0 0
1778254185738082777,cpu  59399 8 24754 549374 42540 0 693 0 0 0
1778254185738082777,cpu0 29678 2 12262 274068 22094 0 277 0 0 0
1778254185738082777,cpu1 29721 5 12491 275306 20446 0 416 0 0 0
1778254186742807369,cpu  59434 8 24892 549397 42540 0 693 0 0 0
1778254186742807369,cpu0 29698 2 12328 274080 22094 0 277 0 0 0
1778254186742807369,cpu1 29736 5 12564 275317 20446 0 416 0 0 0
1778254187760624324,cpu  59464 8 25026 549429 42541 0 693 0 0 0
1778254187760624324,cpu0 29712 2 12395 274096 22094 0 277 0 0 0
1778254187760624324,cpu1 29752 5 12630 275333 20446 0 416 0 0 0
1778254188828259906,cpu  59512 8 25177 549442 42541 0 693 0 0 0
1778254188828259906,cpu0 29735 2 12470 274103 22094 0 277 0 0 0
1778254188828259906,cpu1 29776 5 12706 275338 20446 0 416 0 0 0
1778254189840235721,cpu  59532 8 25319 549476 42541 0 693 0 0 0
1778254189840235721,cpu0 29745 2 12542 274120 22094 0 277 0 0 0
1778254189840235721,cpu1 29786 5 12777 275355 20446 0 416 0 0 0
1778254190849349143,cpu  59571 8 25454 549498 42541 0 693 0 0 0
1778254190849349143,cpu0 29762 2 12611 274132 22094 0 277 0 0 0
1778254190849349143,cpu1 29808 5 12843 275365 20446 0 416 0 0 0
1778254191851883893,cpu  59602 8 25582 549534 42541 0 693 0 0 0
1778254191851883893,cpu0 29780 2 12673 274150 22094 0 277 0 0 0
1778254191851883893,cpu1 29822 5 12909 275383 20446 0 416 0 0 0
1778254192856374875,cpu  59631 8 25726 549557 42541 0 693 0 0 0
1778254192856374875,cpu0 29794 2 12745 274162 22095 0 277 0 0 0
1778254192856374875,cpu1 29837 5 12980 275395 20446 0 416 0 0 0
1778254193858968029,cpu  59658 8 25858 549591 42541 0 693 0 0 0
