i,release_ns,start_ns,finish_ns,response_us,exec_cpu_us,miss
0,3401000000000,3401004039388,3401020691688,20691.688,5000.368,1
1,3401020000000,3401028067172,3401035728437,15728.437,5000.376,0
2,3401040000000,3401040042599,3401049069416,9069.416,5000.336,0
3,3401060000000,3401060907229,3401072186009,12186.009,5000.480,0
4,3401080000000,3401080064362,3401087969857,7969.857,5000.328,0
5,3401100000000,3401116009929,3401124980134,24980.134,5000.312,1
6,3401120000000,3401128005515,3401135034791,15034.791,5000.472,0
7,3401140000000,3401141969475,3401151455347,11455.347,5000.472,0
8,3401160000000,3401160119934,3401168198729,8198.729,5000.504,0
9,3401180000000,3401180028406,3401185038408,5038.408,5000.496,0
10,3401200000000,3401204032832,3401216243019,16243.019,5000.376,0
11,3401220000000,3401220085702,3401237039709,17039.709,5000.496,0
12,3401240000000,3401240006782,3401245038742,5038.742,5000.376,0
13,3401260000000,3401260018391,3401265023457,5023.457,5000.312,0
14,3401280000000,3401280058710,3401285090710,5090.710,5000.520,0
15,3401300000000,3401300103501,3401305104647,5104.647,5000.456,0
16,3401320000000,3401320551215,3401329559042,9559.042,5000.512,0
17,3401340000000,3401340020006,3401345020665,5020.665,5000.392,0
18,3401360000000,3401360005538,3401365011939,5011.939,5000.344,0
19,3401380000000,3401380059368,3401385063154,5063.154,5000.360,0
20,3401400000000,3401404007038,3401418319509,18319.509,5000.472,0
21,3401420000000,3401420006239,3401433179742,13179.742,5000.424,0
22,3401440000000,3401440441891,3401445451725,5451.725,5000.440,0
23,3401460000000,3401460012131,3401469240190,9240.190,5000.432,0
24,3401480000000,3401480060618,3401485061388,5061.388,5000.304,0
25,3401500000000,3401501133448,3401512225769,12225.769,5000.312,0
26,3401520000000,3401520194180,3401525334421,5334.421,5000.432,0
27,3401540000000,3401544030226,3401549031172,9031.172,5000.536,0
28,3401560000000,3401564005078,3401569306851,9306.851,5000.328,0
29,3401580000000,3401580062083,3401585067149,5067.149,5000.280,0
30,3401600000000,3401610877521,3401617202975,17202.975,5000.512,0
31,3401620000000,3401623684610,3401641983763,21983.763,5000.424,1
32,3401640000000,3401641994290,3401647025298,7025.298,5000.448,0
33,3401660000000,3401660011831,3401665017920,5017.920,5000.440,0
34,3401680000000,3401680135072,3401685137458,5137.458,5001.912,0
35,3401700000000,3401704008867,3401717009150,17009.150,5000.776,0
36,3401720000000,3401720008421,3401735071672,15071.672,5000.448,0
37,3401740000000,3401740006647,3401745007185,5007.185,5000.504,0
38,3401760000000,3401764278206,3401773288584,13288.584,5000.408,0
39,3401780000000,3401780037641,3401785140324,5140.324,5000.304,0
40,3401800000000,3401820040604,3401837619488,37619.488,5000.368,1
41,3401820000000,3401840005321,3401846970834,26970.834,5000.280,1
42,3401840000000,3401850095439,3401855096066,15096.066,5000.424,0
43,3401860000000,3401864005147,3401875115067,15115.067,5000.312,0
44,3401880000000,3401880071688,3401885072298,5072.298,5000.304,0
45,3401900000000,3401928043407,3401933044553,33044.553,5000.776,1
46,3401920000000,3401936217827,3401964585597,44585.597,5000.464,1
47,3401940000000,3401964600715,3401983332814,43332.814,5000.384,1
48,3401960000000,3401984046612,3401993961447,33961.447,5000.448,1
49,3401980000000,3401999618404,3402028601337,48601.337,5000.440,1
50,3402000000000,3402028614361,3402050613751,50613.751,5000.384,1
51,3402020000000,3402050629518,3402059693564,39693.564,5000.440,1
52,3402040000000,3402064870794,3402073660388,33660.388,5000.368,1
53,3402060000000,3402076009320,3402083654193,23654.193,5000.392,1
54,3402080000000,3402087083786,3402096136553,16136.553,5000.792,0
55,3402100000000,3402124042394,3402129196554,29196.554,5000.440,1
56,3402120000000,3402140107719,3402153088852,33088.852,5000.280,1
57,3402140000000,3402156005200,3402161005946,21005.946,5000.456,1
58,3402160000000,3402168005945,3402184791172,24791.172,5000.280,1
59,3402180000000,3402185356412,3402190357903,10357.903,5000.496,0
60,3402200000000,3402200010820,3402208982137,8982.137,5000.456,0
61,3402220000000,3402224008206,3402229170790,9170.790,5000.432,0
