ts_ns,line
1778254171611426378,cpu  58976 8 23045 548751 42539 0 691 0 0 0
1778254171611426378,cpu0 29468 2 11414 273754 22093 0 276 0 0 0
1778254171611426378,cpu1 29508 5 11631 274996 20445 0 414 0 0 0
1778254172614661522,cpu  58992 8 23050 548931 42540 0 692 0 0 0
1778254172614661522,cpu0 29476 2 11416 273844 22094 0 276 0 0 0
1778254172614661522,cpu1 29515 5 11634 275087 20446 0 415 0 0 0
1778254173629329043,cpu  59005 8 23105 549064 42540 0 692 0 0 0
1778254173629329043,cpu0 29482 2 11444 273910 22094 0 276 0 0 0
1778254173629329043,cpu1 29522 5 11660 275154 20446 0 416 0 0 0
1778254174648275658,cpu  59048 8 23239 549086 42540 0 692 0 0 0
1778254174648275658,cpu0 29508 2 11506 273920 22094 0 276 0 0 0
1778254174648275658,cpu1 29539 5 11732 275165 20446 0 416 0 0 0
1778254175659543889,cpu  59075 8 23376 549116 42540 0 692 0 0 0
1778254175659543889,cpu0 29523 2 11573 273936 22094 0 276 0 0 0
1778254175659543889,cpu1 29551 5 11802 275180 20446 0 416 0 0 0
1778254176662169861,cpu  59111 8 23512 549140 42540 0 692 0 0 0
1778254176662169861,cpu0 29542 2 11641 273948 22094 0 276 0 0 0
1778254176662169861,cpu1 29568 5 11871 275192 20446 0 416 0 0 0
1778254177691430586,cpu  59136 8 23650 549174 42540 0 692 0 0 0
1778254177691430586,cpu0 29553 2 11710 273966 22094 0 276 0 0 0
1778254177691430586,cpu1 29583 5 11940 275208 20446 0 416 0 0 0
1778254178696291415,cpu  59177 8 23787 549194 42540 0 692 0 0 0
1778254178696291415,cpu0 29576 2 11774 273977 22094 0 276 0 0 0
1778254178696291415,cpu1 29600 5 12013 275217 20446 0 416 0 0 0
1778254179700550060,cpu  59209 8 23927 549219 42540 0 693 0 0 0
1778254179700550060,cpu0 29586 2 11849 273990 22094 0 277 0 0 0
1778254179700550060,cpu1 29623 5 12078 275229 20446 0 416 0 0 0
1778254180742635081,cpu  59245 8 24072 549241 42540 0 693 0 0 0
1778254180742635081,cpu0 29603 2 11922 274001 22094 0 277 0 0 0
1778254180742635081,cpu1 29642 5 12150 275240 20446 0 416 0 0 0
1778254181750483568,cpu  59272 8 24210 549271 42540 0 693 0 0 0
1778254181750483568,cpu0 29618 2 11988 274016 22094 0 277 0 0 0
1778254181750483568,cpu1 29653 5 12221 275255 20446 0 416 0 0 0
1778254182754949008,cpu  59305 8 24348 549294 42540 0 693 0 0 0
1778254182754949008,cpu0 29635 2 12055 274028 22094 0 277 0 0 0
1778254182754949008,cpu1 29670 5 12292 275265 20446 0 416 0 0 0
1778254183761030937,cpu  59341 8 24483 549319 42540 0 693 0 0 0
1778254183761030937,cpu0 29653 2 12122 274041 22094 0 277 0 0 0
1778254183761030937,cpu1 29688 5 12360 275278 20446 0 416 0 0 0
1778254184763367889,cpu  59377 8 24626 549343 42540 0 693 0 0 0
1778254184763367889,cpu0 29669 2 12196 274053 22094 0 277 0 0 0
1778254184763367889,cpu1 29708 5 12430 275289 20446 0 416 0 0 0
1778254185821798720,cpu  59401 8 24765 549378 42540 0 693 0 0 0
1778254185821798720,cpu0 29679 2 12267 274069 22094 0 277 0 0 0
1778254185821798720,cpu1 29721 5 12497 275308 20446 0 416 0 0 0
1778254186832262705,cpu  59437 8 24906 549399 42541 0 693 0 0 0
1778254186832262705,cpu0 29700 2 12334 274081 22094 0 277 0 0 0
1778254186832262705,cpu1 29737 5 12571 275318 20446 0 416 0 0 0
1778254187856272864,cpu  59472 8 25041 549429 42541 0 693 0 0 0
1778254187856272864,cpu0 29714 2 12404 274096 22094 0 277 0 0 0
1778254187856272864,cpu1 29757 5 12636 275333 20446 0 416 0 0 0
1778254188900547249,cpu  59513 8 25189 549443 42541 0 693 0 0 0
1778254188900547249,cpu0 29736 2 12476 274104 22094 0 277 0 0 0
1778254188900547249,cpu1 29776 5 12713 275339 20446 0 416 0 0 0
1778254189924164034,cpu  59535 8 25330 549477 42541 0 693 0 0 0
1778254189924164034,cpu0 29747 2 12547 274121 22094 0 277 0 0 0
1778254189924164034,cpu1 29788 5 12782 275356 20446 0 416 0 0 0
1778254190929330185,cpu  59573 8 25468 549500 42541 0 693 0 0 0
1778254190929330185,cpu0 29764 2 12617 274133 22094 0 277 0 0 0
1778254190929330185,cpu1 29808 5 12850 275367 20446 0 416 0 0 0
1778254191942181011,cpu  59604 8 25595 549535 42541 0 693 0 0 0
1778254191942181011,cpu0 29780 2 12680 274151 22095 0 277 0 0 0
1778254191942181011,cpu1 29823 5 12915 275384 20446 0 416 0 0 0
1778254192948295705,cpu  59636 8 25736 549559 42541 0 693 0 0 0
1778254192948295705,cpu0 29795 2 12751 274163 22095 0 277 0 0 0
1778254192948295705,cpu1 29840 5 12985 275396 20446 0 416 0 0 0
1778254193951694995,cpu  59659 8 25873 549593 42541 0 693 0 0 0
1778254193951694995,cpu0 29808 2 12818 274180 22095 0 277 0 0 0
1778254193951694995,cpu1 29850 5 13055 275412 20446 0 416 0 0 0
1778254194954293394,cpu  59703 8 26009 549609 42541 0 693 0 0 0
1778254194954293394,cpu0 29839 2 12878 274187 22095 0 277 0 0 0
1778254194954293394,cpu1 29864 5 13130 275422 20446 0 416 0 0 0
1778254195956746258,cpu  59733 8 26137 549645 42541 0 693 0 0 0
1778254195956746258,cpu0 29855 2 12942 274204 22095 0 277 0 0 0
1778254195956746258,cpu1 29878 5 13195 275440 20446 0 416 0 0 0
1778254196959193450,cpu  59778 8 26277 549657 42541 0 693 0 0 0
1778254196959193450,cpu0 29876 2 13012 274211 22095 0 277 0 0 0
1778254196959193450,cpu1 29901 5 13265 275445 20446 0 416 0 0 0
1778254197961525307,cpu  59802 8 26412 549691 42541 0 694 0 0 0
1778254197961525307,cpu0 29889 2 13079 274228 22095 0 277 0 0 0
1778254197961525307,cpu1 29912 5 13333 275463 20446 0 416 0 0 0
1778254199032526453,cpu  59846 8 26558 549710 42541 0 694 0 0 0
1778254199032526453,cpu0 29910 2 13154 274237 22095 0 277 0 0 0
1778254199032526453,cpu1 29936 5 13404 275473 20446 0 416 0 0 0
1778254200040474588,cpu  59873 8 26694 549743 42542 0 694 0 0 0
1778254200040474588,cpu0 29924 2 13220 274254 22095 0 277 0 0 0
1778254200040474588,cpu1 29948 5 13474 275488 20447 0 416 0 0 0
1778254201042977017,cpu  59903 8 26834 549769 42542 0 694 0 0 0
1778254201042977017,cpu0 29936 2 13294 274267 22095 0 278 0 0 0
1778254201042977017,cpu1 29967 5 13540 275501 20447 0 416 0 0 0
1778254202051046839,cpu  59930 8 26974 549798 42543 0 694 0 0 0
1778254202051046839,cpu0 29951 2 13361 274282 22095 0 278 0 0 0
1778254202051046839,cpu1 29979 5 13613 275515 20447 0 416 0 0 0
1778254203053568876,cpu  59962 8 27114 549823 42543 0 694 0 0 0
1778254203053568876,cpu0 29965 2 13434 274294 22095 0 278 0 0 0
1778254203053568876,cpu1 29996 5 13680 275529 20447 0 416 0 0 0
