i,release_ns,start_ns,finish_ns,response_us,exec_cpu_us,miss
0,3401000000000,3401004049251,3401044170599,44170.599,15000.272,0
1,3401050000000,3401058184915,3401079368402,29368.402,15000.392,0
2,3401100000000,3401100051060,3401141900823,41900.823,15000.520,0
3,3401150000000,3401155406223,3401177988501,27988.501,15000.288,0
4,3401200000000,3401200046215,3401227381728,27381.728,15000.704,0
5,3401250000000,3401250067494,3401286147868,36147.868,15000.328,0
6,3401300000000,3401312012884,3401352549842,52549.842,15000.272,1
7,3401350000000,3401352990516,3401378491773,28491.773,15000.448,0
8,3401400000000,3401400025972,3401440435123,40435.123,15000.384,0
9,3401450000000,3401452024025,3401476377219,26377.219,15000.520,0
10,3401500000000,3401500069347,3401520187524,20187.524,15000.776,0
11,3401550000000,3401552005372,3401573768563,23768.563,15000.392,0
12,3401600000000,3401600037783,3401640721947,40721.947,15000.344,0
13,3401650000000,3401658268872,3401680129112,30129.112,15000.408,0
14,3401700000000,3401700027881,3401737587904,37587.904,15000.416,0
15,3401750000000,3401750011035,3401779899218,29899.218,15000.456,0
16,3401800000000,3401808025988,3401853733121,53733.121,15000.512,1
17,3401850000000,3401853748024,3401874094242,24094.242,15000.464,0
18,3401900000000,3401904027086,3401925681572,25681.572,15000.264,0
19,3401950000000,3401956020475,3401999611292,49611.292,15000.376,0
20,3402000000000,3402005482122,3402092546516,92546.516,15000.336,1
21,3402050000000,3402093581563,3402128674878,78674.878,15000.400,1
22,3402100000000,3402132017805,3402153358785,53358.785,15000.568,1
23,3402150000000,3402153392039,3402181198743,31198.743,15000.480,0
24,3402200000000,3402200050041,3402231249788,31249.788,15000.408,0
25,3402250000000,3402250171802,3402308779833,58779.833,15000.496,1
26,3402300000000,3402308795936,3402365240246,65240.246,15000.368,1
27,3402350000000,3402366251487,3402394591771,44591.771,15000.456,0
28,3402400000000,3402408147271,3402437008837,37008.837,15000.432,0
29,3402450000000,3402450057237,3402486900918,36900.918,15000.384,0
30,3402500000000,3402506429401,3402556365262,56365.262,15000.368,1
31,3402550000000,3402557107858,3402586830709,36830.709,15000.344,0
32,3402600000000,3402600021715,3402630446940,30446.940,15000.448,0
33,3402650000000,3402656006569,3402675009369,25009.369,15000.640,0
34,3402700000000,3402700042091,3402737260953,37260.953,15000.384,0
35,3402750000000,3402750140917,3402778429620,28429.620,15000.392,0
36,3402800000000,3402800036846,3402840052273,40052.273,15000.448,0
37,3402850000000,3402852024972,3402876050756,26050.756,15000.784,0
38,3402900000000,3402900028112,3402922767027,22767.027,15000.536,0
39,3402950000000,3402959487236,3402978556839,28556.839,15000.432,0
40,3403000000000,3403000438286,3403039438063,39438.063,15000.496,0
41,3403050000000,3403052006657,3403067403724,17403.724,15000.272,0
42,3403100000000,3403104010950,3403141293080,41293.080,15000.656,0
43,3403150000000,3403150057595,3403176339462,26339.462,15000.312,0
44,3403200000000,3403204052837,3403239186109,39186.109,15000.648,0
45,3403250000000,3403256024324,3403284119248,34119.248,15000.280,0
46,3403300000000,3403300016369,3403336142020,36142.020,15000.456,0
47,3403350000000,3403352010390,3403376092019,26092.019,15000.464,0
48,3403400000000,3403404036897,3403420272243,20272.243,15000.448,0
49,3403450000000,3403450675605,3403472833552,22833.552,15000.368,0
50,3403500000000,3403500056497,3403527065362,27065.362,15000.312,0
51,3403550000000,3403552005370,3403578034647,28034.647,15000.296,0
52,3403600000000,3403620036535,3403644498609,44498.609,15000.496,0
53,3403650000000,3403650026374,3403670149832,20149.832,15000.320,0
54,3403700000000,3403708006418,3403749250966,49250.966,15007.312,0
55,3403750000000,3403752065562,3403777147633,27147.633,15000.424,0
56,3403800000000,3403808037017,3403847159882,47159.882,15000.488,0
57,3403850000000,3403850006388,3403875532299,25532.299,15000.456,0
58,3403900000000,3403913032198,3403975821825,75821.825,15000.408,1
59,3403950000000,3403978778586,3404016749636,66749.636,15000.376,1
60,3404000000000,3404016767627,3404079991943,79991.943,15000.440,1
61,3404050000000,3404096193699,3404143244066,93244.066,15000.304,1
62,3404100000000,3404149065395,3404169141488,69141.488,15000.432,1
63,3404150000000,3404169165910,3404189278608,39278.608,15000.384,0
64,3404200000000,3404217086536,3404266197727,66197.727,15000.496,1
65,3404250000000,3404266214806,3404286231359,36231.359,15000.296,0
66,3404300000000,3404305066690,3404346380923,46380.923,15000.472,0
67,3404350000000,3404350054794,3404376529175,26529.175,15000.496,0
68,3404400000000,3404406038824,3404444666444,44666.444,15000.504,0
69,3404450000000,3404450136910,3404469397036,19397.036,15000.352,0
70,3404500000000,3404508047894,3404545412050,45412.050,15000.376,0
71,3404550000000,3404550012816,3404574077318,24077.318,15000.488,0
72,3404600000000,3404605049233,3404646130450,46130.450,15000.360,0
73,3404650000000,3404650010386,3404670095814,20095.814,15000.400,0
74,3404700000000,3404704011572,3404730278616,30278.616,15000.344,0
75,3404750000000,3404752067668,3404775122129,25122.129,15000.416,0
76,3404800000000,3404808027652,3404845111964,45111.964,15000.536,0
77,3404850000000,3404851191092,3404871232906,21232.906,15000.464,0
78,3404900000000,3404905115898,3404948203118,48203.118,15000.392,0
79,3404950000000,3404950009744,3404976376845,26376.845,15000.528,0
80,3405000000000,3405011552034,3405053177316,53177.316,15000.344,1
81,3405050000000,3405056581270,3405078919277,28919.277,15000.496,0
82,3405100000000,3405114022207,3405159093641,59093.641,15000.424,1
83,3405150000000,3405161759814,3405180766830,30766.830,15000.288,0
84,3405200000000,3405216034501,3405245305118,45305.118,15000.496,0
85,3405250000000,3405251089002,3405279185526,29185.526,15000.352,0
86,3405300000000,3405305050054,3405325944482,25944.482,15000.312,0
87,3405350000000,3405352029482,3405372301417,22301.417,15000.344,0
88,3405400000000,3405400014664,3405427137408,27137.408,15000.288,0
89,3405450000000,3405450067157,3405479595998,29595.998,15000.480,0
90,3405500000000,3405513170570,3405550353299,50353.299,15000.472,1
91,3405550000000,3405552004624,3405576098996,26098.996,15000.368,0
92,3405600000000,3405610919602,3405653111924,53111.924,15000.512,1
93,3405650000000,3405655319242,3405676366691,26366.691,15000.400,0
94,3405700000000,3405716028534,3405747479640,47479.640,15000.448,0
95,3405750000000,3405753023396,3405776192345,26192.345,15000.496,0
96,3405800000000,3405812007385,3405853152213,53152.213,15000.288,1
97,3405850000000,3405854764236,3405876739148,26739.148,15000.344,0
98,3405900000000,3405912007995,3405955122040,55122.040,15000.408,1
99,3405950000000,3405958592395,3405984688228,34688.228,15000.512,0
100,3406000000000,3406008021465,3406056395064,56395.064,15000.768,1
101,3406050000000,3406058907420,3406083310360,33310.360,15000.384,0
102,3406100000000,3406113724770,3406165618280,65618.280,15000.336,1
103,3406150000000,3406168010348,3406221198146,71198.146,15000.384,1
104,3406200000000,3406228047022,3406275493171,75493.171,15000.464,1
105,3406250000000,3406277320055,3406303729042,53729.042,15000.400,1
106,3406300000000,3406312025619,3406337959351,37959.351,15000.336,0
107,3406350000000,3406352057332,3406367229007,17229.007,15000.608,0
108,3406400000000,3406404092248,3406458847130,58847.130,15000.424,1
109,3406450000000,3406464068749,3406557262253,107262.253,15000.464,1
110,3406500000000,3406561459238,3406586049638,86049.638,15000.288,1
111,3406550000000,3406587092462,3406624513625,74513.625,15000.488,1
112,3406600000000,3406628005107,3406649684241,49684.241,15000.312,0
113,3406650000000,3406660033182,3406687003786,37003.786,15000.432,0
114,3406700000000,3406704020448,3406731035610,31035.610,15000.512,0
115,3406750000000,3406750047158,3406765207395,15207.395,15000.312,0
116,3406800000000,3406804012455,3406824057989,24057.989,15000.528,0
117,3406850000000,3406852027086,3406877909885,27909.885,15000.312,0
118,3406900000000,3406908006140,3406938837913,38837.913,15000.416,0
119,3406950000000,3406950009430,3406974295202,24295.202,15000.336,0
120,3407000000000,3407012011313,3407053145846,53145.846,15000.440,1
121,3407050000000,3407055599182,3407075662587,25662.587,15000.760,0
122,3407100000000,3407113026050,3407154103419,54103.419,15000.296,1
123,3407150000000,3407154145256,3407175562425,25562.425,15000.496,0
124,3407200000000,3407213038168,3407264999097,64999.097,15000.336,1
125,3407250000000,3407266078631,3407285181926,35181.926,15000.472,0
126,3407300000000,3407304043549,3407325363588,25363.588,15000.336,0
127,3407350000000,3407352076018,3407371260499,21260.499,15000.472,0
128,3407400000000,3407408148251,3407447366451,47366.451,15000.336,0
129,3407450000000,3407453122466,3407477632566,27632.566,15000.304,0
130,3407500000000,3407520053132,3407563168009,63168.009,15000.432,1
131,3407550000000,3407571912252,3407586917275,36917.275,15000.352,0
132,3407600000000,3407604008611,3407638422811,38422.811,15000.440,0
133,3407650000000,3407652005987,3407674838394,24838.394,15000.376,0
134,3407700000000,3407708046349,3407749459503,49459.503,15000.368,0
135,3407750000000,3407752005481,3407775926550,25926.550,15000.392,0
136,3407800000000,3407806526003,3407854028077,54028.077,15000.472,1
137,3407850000000,3407855068886,3407879747872,29747.872,15000.360,0
138,3407900000000,3407908005981,3407953592017,53592.017,15000.488,1
139,3407950000000,3407956006180,3408064996869,114996.869,15000.296,1
140,3408000000000,3408065006644,3408099342329,99342.329,15000.584,1
