#WCET = 50000
#Period = 100000
#Nice = -10
#Iterations = 50
#Scheduler: CFS (SCHED_OTHER)
#CPU Speed: 1
#PID: 8
#Cycles: 484577
#Start: 122390039050
0 0	122390081152	42102	23052	-0.578980
0 1	122390160058	21008	20109	-0.789920
0 2	122390271953	32903	18741	-0.670970
0 3	122390358126	19076	19014	-0.809240
0 4	122390473193	34143	18830	-0.658570
0 5	122390559770	20720	19907	-0.792800
0 6	122390674740	35690	19841	-0.643100
0 7	122390759473	20423	19637	-0.795770
0 8	122390874719	35669	19782	-0.643310
0 9	122390959919	20869	20058	-0.791310
0 10	122391074446	35396	19802	-0.646040
0 11	122391159927	20877	20042	-0.791230
0 12	122391273557	34507	19676	-0.654930
0 13	122391358396	19346	19285	-0.806540
0 14	122391476533	37483	20185	-0.625170
0 15	122391561934	22884	21984	-0.771160
0 16	122391676237	37187	20304	-0.628130
0 17	122391761807	22757	21925	-0.772430
0 18	122391877123	38073	20834	-0.619270
0 19	122391961956	22906	22038	-0.770940
0 20	122392081816	42766	23664	-0.572340
0 21	122392167959	28909	28163	-0.710910
0 22	122392285433	46383	25880	-0.536170
0 23	122392367627	28577	27127	-0.714230
0 24	122392481674	42624	22969	-0.573760
0 25	122392566824	27774	26327	-0.722260
0 26	122392678315	39265	21153	-0.607350
0 27	122392764549	25499	23583	-0.745010
0 28	122392876871	37821	20525	-0.621790
0 29	122392963635	24585	21997	-0.754150
0 30	122393083017	43967	23007	-0.560330
0 31	122393160802	21752	20276	-0.782480
0 32	122393277974	38924	21571	-0.610760
0 33	122393362035	22985	21112	-0.770150
0 34	122393484707	45657	24357	-0.543430
0 35	122393562265	23215	22099	-0.767850
0 36	122393676846	37796	20851	-0.622040
0 37	122393770256	31206	24024	-0.687940
0 38	122393880380	41330	22137	-0.586700
0 39	122393963853	24803	21466	-0.751970
0 40	122394083116	44066	22979	-0.559340
0 41	122394161284	22234	20692	-0.777660
0 42	122394276417	37367	19828	-0.626330
0 43	122394360203	21153	20341	-0.788470
0 44	122394469963	30913	17055	-0.690870
0 45	122394556311	17261	16842	-0.827390
0 46	122394668983	29933	16433	-0.700670
0 47	122394757727	18677	18159	-0.813230
0 48	122394876940	37890	20589	-0.621100
0 49	122394958638	19588	18888	-0.804120
