ts_ns,line
1777822808617321294,cpu  294585 28 94961 3841195 39787 0 3854 0 0 0
1777822808617321294,cpu0 146604 22 47457 1920804 20213 0 2094 0 0 0
1777822808617321294,cpu1 147980 6 47504 1920390 19574 0 1760 0 0 0
1777822809621497266,cpu  294600 28 94984 3841356 39787 0 3855 0 0 0
1777822809621497266,cpu0 146611 22 47469 1920886 20213 0 2094 0 0 0
1777822809621497266,cpu1 147988 6 47515 1920470 19574 0 1760 0 0 0
1777822810625448433,cpu  294630 28 95006 3841505 39787 0 3855 0 0 0
1777822810625448433,cpu0 146625 22 47480 1920960 20213 0 2094 0 0 0
1777822810625448433,cpu1 148004 6 47525 1920545 19574 0 1760 0 0 0
1777822811628959773,cpu  294646 28 95026 3841667 39787 0 3855 0 0 0
1777822811628959773,cpu0 146629 22 47489 1921047 20213 0 2094 0 0 0
1777822811628959773,cpu1 148017 6 47537 1920620 19574 0 1760 0 0 0
1777822812632508115,cpu  294653 28 95048 3841839 39788 0 3855 0 0 0
1777822812632508115,cpu0 146633 22 47500 1921132 20213 0 2094 0 0 0
1777822812632508115,cpu1 148020 6 47548 1920706 19574 0 1760 0 0 0
1777822813635865539,cpu  294674 28 95067 3841997 39788 0 3855 0 0 0
1777822813635865539,cpu0 146644 22 47508 1921212 20213 0 2094 0 0 0
1777822813635865539,cpu1 148030 6 47558 1920785 19574 0 1760 0 0 0
1777822814639481803,cpu  294686 28 95083 3842168 39788 0 3855 0 0 0
1777822814639481803,cpu0 146650 22 47516 1921298 20213 0 2094 0 0 0
1777822814639481803,cpu1 148036 6 47566 1920869 19574 0 1760 0 0 0
1777822815645068722,cpu  294708 28 95106 3842323 39788 0 3855 0 0 0
1777822815645068722,cpu0 146659 22 47528 1921377 20213 0 2094 0 0 0
1777822815645068722,cpu1 148048 6 47578 1920946 19574 0 1760 0 0 0
1777822816648546550,cpu  294718 28 95124 3842494 39788 0 3855 0 0 0
1777822816648546550,cpu0 146664 22 47540 1921459 20213 0 2094 0 0 0
1777822816648546550,cpu1 148054 6 47584 1921034 19574 0 1760 0 0 0
1777822817651997701,cpu  294749 28 95148 3842636 39789 0 3855 0 0 0
1777822817651997701,cpu0 146679 22 47550 1921532 20214 0 2094 0 0 0
1777822817651997701,cpu1 148070 6 47598 1921103 19575 0 1760 0 0 0
1777822818655828930,cpu  294758 28 95169 3842807 39789 0 3855 0 0 0
1777822818655828930,cpu0 146684 22 47558 1921621 20214 0 2094 0 0 0
1777822818655828930,cpu1 148074 6 47610 1921185 19575 0 1760 0 0 0
1777822819659391664,cpu  294783 28 95190 3842957 39789 0 3855 0 0 0
1777822819659391664,cpu0 146698 22 47566 1921697 20214 0 2094 0 0 0
1777822819659391664,cpu1 148085 6 47624 1921259 19575 0 1760 0 0 0
1777822820662967289,cpu  294795 28 95212 3843122 39789 0 3856 0 0 0
1777822820662967289,cpu0 146704 22 47570 1921787 20214 0 2095 0 0 0
1777822820662967289,cpu1 148090 6 47642 1921335 19575 0 1760 0 0 0
1777822821666493166,cpu  294810 28 95235 3843283 39789 0 3856 0 0 0
1777822821666493166,cpu0 146712 22 47578 1921871 20214 0 2095 0 0 0
1777822821666493166,cpu1 148098 6 47656 1921411 19575 0 1760 0 0 0
1777822822670004720,cpu  294818 28 95254 3843455 39789 0 3856 0 0 0
1777822822670004720,cpu0 146716 22 47585 1921958 20214 0 2095 0 0 0
1777822822670004720,cpu1 148101 6 47668 1921496 19575 0 1760 0 0 0
