i,release_ns,start_ns,finish_ns,response_us,exec_cpu_us,miss
0,21530260000000,21530260027269,21530262036143,2036.143,2000.512,0
1,21530270000000,21530270059102,21530272060408,2060.408,2000.344,0
2,21530280000000,21530280009797,21530282011207,2011.207,2000.472,0
3,21530290000000,21530290062967,21530292064561,2064.561,2000.288,0
4,21530300000000,21530300364503,21530302366065,2366.065,2000.472,0
5,21530310000000,21530310057640,21530312059202,2059.202,2000.464,0
6,21530320000000,21530320061520,21530322062706,2062.706,2000.392,0
7,21530330000000,21530330062761,21530332072611,2072.611,2009.144,0
8,21530340000000,21530340062281,21530342063771,2063.771,2000.440,0
9,21530350000000,21530350039058,21530352040179,2040.179,2000.272,0
10,21530360000000,21530360029297,21530362031011,2031.011,2000.408,0
11,21530370000000,21530370060451,21530372061813,2061.813,2000.400,0
12,21530380000000,21530380060844,21530382062102,2062.102,2000.408,0
13,21530390000000,21530390056796,21530392058094,2058.094,2000.344,0
14,21530400000000,21530400035004,21530402036294,2036.294,2000.536,0
15,21530410000000,21530410060205,21530412061527,2061.527,2000.400,0
16,21530420000000,21530420059318,21530422060407,2060.407,2000.392,0
17,21530430000000,21530430059270,21530432060719,2060.719,2000.488,0
18,21530440000000,21530440029733,21530442031951,2031.951,2000.440,0
19,21530450000000,21530450036982,21530452038176,2038.176,2000.336,0
20,21530460000000,21530460019062,21530462020392,2020.392,2000.472,0
21,21530470000000,21530470061015,21530472062489,2062.489,2000.400,0
22,21530480000000,21530480065536,21530482067034,2067.034,2000.352,0
23,21530490000000,21530490057144,21530492068970,2068.970,2000.424,0
24,21530500000000,21530500067089,21530502068507,2068.507,2000.432,0
25,21530510000000,21530510060209,21530512061611,2061.611,2000.448,0
26,21530520000000,21530520059962,21530522061339,2061.339,2000.384,0
27,21530530000000,21530530034217,21530532035995,2035.995,2000.440,0
28,21530540000000,21530540020873,21530542022699,2022.699,2000.472,0
29,21530550000000,21530550036010,21530552037508,2037.508,2000.400,0
30,21530560000000,21530560062723,21530562064021,2064.021,2000.400,0
31,21530570000000,21530570018379,21530572190657,2190.657,2000.416,0
32,21530580000000,21530580047004,21530582048421,2048.421,2000.296,0
33,21530590000000,21530590061517,21530592279180,2279.180,2000.488,0
34,21530600000000,21530600038060,21530602050927,2050.927,2000.424,0
35,21530610000000,21530610057141,21530612093384,2093.384,2000.440,0
36,21530620000000,21530620016789,21530622017911,2017.911,2000.336,0
37,21530630000000,21530630060039,21530632061888,2061.888,2000.512,0
38,21530640000000,21530640050054,21530642051136,2051.136,2000.280,0
39,21530650000000,21530650033799,21530652035073,2035.073,2000.328,0
40,21530660000000,21530660061336,21530662062569,2062.569,2000.424,0
41,21530670000000,21530670062416,21530672063874,2063.874,2000.264,0
42,21530680000000,21530680059856,21530682061130,2061.130,2000.512,0
43,21530690000000,21530690058697,21530692059811,2059.811,2000.336,0
44,21530700000000,21530700033177,21530702034274,2034.274,2000.424,0
45,21530710000000,21530710065418,21530712066532,2066.532,2000.336,0
46,21530720000000,21530720060722,21530722062164,2062.164,2000.504,0
47,21530730000000,21530730061379,21530732062701,2062.701,2000.264,0
48,21530740000000,21530740059755,21530742061005,2061.005,2000.488,0
49,21530750000000,21530750068684,21530752069894,2069.894,2000.320,0
50,21530760000000,21530760060412,21530762061550,2061.550,2000.408,0
