cell_id,K,median_C_us,cv
tight-U0.1,4,294.1,0.0410
tight-U0.1,14,1041.3,0.0862
tight-U0.1,13,966.7,0.0367
tight-U0.2,4,294.1,0.0566
tight-U0.2,27,2010.5,0.0480
tight-U0.3,4,295.8,0.0684
tight-U0.3,41,3074.5,0.1102
tight-U0.4,4,310.6,0.1275
tight-U0.4,52,3972.2,0.0916
tight-U0.5,4,299.2,0.1702
tight-U0.5,67,4979.0,0.0307
tight-U0.6,4,294.1,0.0396
tight-U0.6,82,6103.7,0.0323
tight-U0.7,4,294.2,0.0777
tight-U0.7,95,7069.9,0.0146
tight-U0.8,4,294.1,0.0418
tight-U0.8,109,8112.6,0.0193
tight-U0.9,4,294.1,0.0879
tight-U0.9,122,9086.9,0.0195
tight-U0.94,4,298.2,0.1283
tight-U0.94,126,9548.2,0.1776
soft-U0.1,4,307.0,0.1434
soft-U0.1,130,9751.2,0.0700
soft-U0.2,4,294.1,0.0397
soft-U0.2,272,20457.1,0.0316
soft-U0.3,4,294.2,0.0781
soft-U0.3,408,30381.5,0.0173
soft-U0.4,4,294.1,0.0528
soft-U0.4,544,40506.1,0.0155
soft-U0.5,4,294.1,0.0411
soft-U0.5,680,50663.5,0.0171
soft-U0.6,4,294.1,0.0517
soft-U0.6,816,60776.1,0.0129
soft-U0.7,4,294.0,0.0364
soft-U0.7,952,70934.3,0.0116
soft-U0.8,4,294.2,0.0738
soft-U0.8,1088,81062.7,0.0904
soft-U0.9,4,294.1,0.0512
soft-U0.9,1224,91206.5,0.0112
soft-U0.94,4,294.1,0.0398
soft-U0.94,1278,95211.3,0.0098
