scale,U,P_us,Q_us,K,n,miss_rate,R_p50,R_p99,R_p999,R_max,C_p50,C_p99,dispatch_max,midpreempt_max,tardiness_max,alpha_theory,alpha_eff,delta_theory_us,delta_eff_us,stop_reason
soft,0.1,100000,10000,130,5000,1.0,25000912.4045,111302383.46443002,113601355.19073601,113897076.743,11025.467,15131.2962,113701415.409,180965.856,113797076.743,0.1,0.4819,180000,113701415.4,completed
soft,0.2,100000,20000,272,5000,1.0,140951370.2715,282114072.486,284710300.21890205,285008101.093,31510.1195,31599.51555,284896397.627,160955.106,284908101.093,0.2,0.1,160000,284896397.6,completed
soft,0.3,100000,30000,408,5000,1.0,2615608.5845,4711868.64123,4798853.8909,4802579.527,30160.826999999997,32261.653850000002,4702004.621,140961.657,4702579.527,0.3,0.8901,140000,4702004.6,completed
soft,0.4,100000,40000,544,5000,1.0,151508130.9055,286908843.37381,289496125.40335,289730706.07,62958.954,63305.456580000005,289608161.218,120984.072,289630706.07,0.4,0.6827,120000,289608161.2,completed
soft,0.5,100000,50000,680,5000,1.0,154057648.5995,293636779.68685,296220987.465213,296513425.124,78496.0355,78823.25721,296334693.74,100947.007,296413425.124,0.5,0.7885,100000,296334693.7,completed
soft,0.6,100000,60000,816,5000,1.0,3130038.3095,7608427.25598,7654330.26092,7696546.752,60492.583,68887.56994000002,7596238.212,80898.907,7596546.752,0.6,1.3817,80000,7596238.2,completed
soft,0.7,100000,70000,952,5000,1.0,4844197.903,8945548.76881,9026544.630207999,9029123.446,70816.489,78783.57355000003,8928647.322,60882.734,8929123.446,0.7,1.497,60000,8928647.3,completed
soft,0.8,100000,80000,1088,5000,1.0,119246550.819,259542913.66065,262121349.080689,262410918.235,125784.449,126273.83669,262245215.319,40949.952,262310918.235,0.8,1.1215,40000,262245215.3,completed
soft,0.9,100000,90000,1224,5000,1.0,149669095.92000002,289958417.54075,292541486.358199,292828901.983,141518.694,141953.00960000002,292667558.463,20977.501,292728901.983,0.9,1.1913,20000,292667558.5,completed
soft,0.94,100000,94000,1278,5000,1.0,122453777.113,171128579.10878,173722289.294925,174010827.298,147675.1865,148349.38053999998,173850541.435,15058.813,173910827.298,0.94,1.5181,12000,173850541.4,completed
tight,0.1,10000,1000,13,5000,0.5852,10012.126,20564.0265,30012.833384999998,30128.737,977.4385,1251.45764,20138.427,18751.067,20128.737,0.1,0.1999,18000,20138.4,completed
tight,0.2,10000,2000,27,5000,1.0,15615385.98,29690835.41247,29950521.348174002,29980539.499,3134.3505,3158.89915,29969489.06,112629.62,29970539.499,0.2,0.5139,16000,29969489.1,completed
tight,0.3,10000,3000,41,5000,1.0,16005266.5405,30549436.0481,30819412.750868,30849414.216,4764.986,4801.97077,30829745.83,14999.379,30839414.216,0.3,0.8392,14000,30829745.8,completed
tight,0.4,10000,4000,52,5000,1.0,629929.1255000001,3081940.406130002,3311528.8345450014,3339687.072,3880.987,6315.08059,3321333.491,12954.857,3329687.072,0.4,1.5768,12000,3321333.5,completed
tight,0.5,10000,5000,67,5000,1.0,471876.806,952941.84526,953783.008859,954150.645,5012.853,6501.801700000001,944160.487,13201.574,944150.645,0.5,-0.0067,10000,944160.5,completed
tight,0.6,10000,6000,82,5000,1.0,15652859.0065,29842476.06101,30102400.787204,30132680.084,9459.729,9505.84244,30115233.146,12721.412,30122680.084,0.6,1.5716,8000,30115233.1,completed
tight,0.7,10000,7000,95,5000,1.0,526127.358,970809.75631,991868.037336,993093.329,7070.3105,8007.474030000002,983104.969,9059.213,983093.329,0.7,-0.0092,6000,983105.0,completed
tight,0.8,10000,8000,109,5000,1.0,756215.0605,1427138.5841,1435692.267733,1436874.804,8126.771500000001,10124.775330000013,1426534.98,4927.099,1426874.804,0.8,-0.0102,4000,1426535.0,completed
tight,0.9,10000,9000,122,5000,1.0,15367476.9275,29307637.11733,29564805.758160003,29593389.733,14110.883,14157.62682,29576794.506,10091.203,29583389.733,0.9,2.4211,2000,29576794.5,completed
tight,0.94,10000,9400,126,5000,1.0,64802.1265,133918.41003,134385.47224400003,134668.005,9370.2455,10277.645360000006,124677.042,1838.549,124668.005,0.94,0.0047,1200,124677.0,completed
