scale,U,P_us,Q_us,k,split,task_index,task_u,role,is_victim,K,n,miss_rate,R_p50,R_p99,R_p999,R_max,C_p50,delay_p99,dispatch_max,tardiness_max,container_alpha_theory,container_alpha_eff,delta_theory_us,delta_eff_us,stop_reason
soft,0.2,100000,20000,1,equal,0,0.2,equal,0,272,5000,1.0,149360914.829,289019293.08642006,291609319.03057003,291906770.463,31378.591,288988013.27815,291715534.903,291806770.463,0.2,0.197,160000,291715534.9,completed
soft,0.2,100000,20000,2,equal,0,0.1,equal,0,130,5000,0.024,9649.345000000001,100549.83564,104162.90114800005,105425.03,9624.095000000001,90818.10392000001,16256.142,5425.03,0.2,0.1937,160000,16256.1,completed
soft,0.2,100000,20000,2,equal,1,0.1,equal,0,130,5000,0.037,19315.2275,101466.46504000001,105160.49893500003,106574.612,9657.297,91579.23461,15577.173,6574.612,0.2,0.1937,160000,16256.1,completed
soft,0.2,100000,20000,2,victim,0,0.1,victim,1,130,5000,0.3616,13894.166000000001,120621.07248001751,203071.17826900005,204340.63,9697.326,110961.15929001744,118361.403,104340.63,0.2,0.1984,160000,118361.4,completed
soft,0.2,100000,20000,2,victim,1,0.1,greedy,0,130,5000,0.3926,19400.118,120231.91113001759,203356.44849500002,205131.087,9689.819,110518.3076700174,115508.673,105131.087,0.2,0.1984,160000,118361.4,completed
soft,0.2,100000,20000,4,equal,0,0.05,equal,0,67,5000,0.9994,100556746.40450001,349716954.85505,352506518.564474,352808107.196,7738.888000000001,349709200.35102004,352800358.922,352708107.196,0.2,0.1966,160000,384014400.6,completed
soft,0.2,100000,20000,4,equal,1,0.05,equal,0,67,5000,0.9996,111257199.984,261115079.40186003,263904328.72904202,264206166.475,7739.2555,261107326.45191002,264117774.096,264106166.475,0.2,0.1966,160000,384014400.6,completed
soft,0.2,100000,20000,4,equal,2,0.05,equal,0,67,5000,0.9996,195060627.46899998,345007752.2985,347717467.20301205,348099080.639,7738.541,345000020.54462004,348011269.259,347999080.639,0.2,0.1966,160000,384014400.6,completed
soft,0.2,100000,20000,4,equal,3,0.05,equal,0,67,5000,0.9996,119209244.34,381011385.52990997,383800136.059196,384101539.045,7740.1705,381003652.23437005,384014400.597,384001539.045,0.2,0.1966,160000,384014400.6,completed
soft,0.2,100000,20000,4,victim,0,0.1,victim,1,130,5000,0.7062,702441.5915,5915103.5658,6718871.661052018,7009253.21,9673.011999999999,5905493.1754600005,6918984.92,6909253.21,0.2,0.199,160000,11303729.9,completed
soft,0.2,100000,20000,4,victim,1,0.03333333333333333,greedy,0,45,5000,0.7062,1101460.4115,9501932.880110001,10903456.300121019,11307067.091,3342.5015,9498598.105810001,11303729.897,11207067.091,0.2,0.199,160000,11303729.9,completed
soft,0.2,100000,20000,4,victim,2,0.03333333333333333,greedy,0,45,5000,0.706,1102588.2714999998,9402774.4546,10709831.28909402,11112243.526,3331.9645,9398805.363930002,11108901.576,11012243.526,0.2,0.199,160000,11303729.9,completed
soft,0.2,100000,20000,4,victim,3,0.03333333333333333,greedy,0,45,5000,0.7062,1100296.08,9399868.570890002,10712586.832508018,11113296.116,3339.643,9395841.255110001,11109970.181,11013296.116,0.2,0.199,160000,11303729.9,completed
soft,0.2,100000,20000,8,equal,0,0.025,equal,0,34,5000,0.9932,8799166.9085,37310527.33920002,40301821.92871902,40708640.388,2518.4725,37307958.35551002,40706115.323,40608640.388,0.2,0.1988,160000,41311553.6,completed
