arm,scale,U,P_us,Q_us,K,steered_irq_lines,irq_rate_delta_per_s,n,miss_rate,C_p50,C_p99,R_p50,R_p99,R_p999,R_max,delay_p50,delay_p99,dispatch_max,tardiness_max,irq_us_mean,softirq_us_mean,steal_us_mean,alpha_theory,alpha_eff,delta_theory_us,delta_eff_us,rt_cpu,stop_reason
off,soft,0.1,100000,10000,130,5,0,5000,1.0,10134.1885,14869.785500000002,20102334.542999998,76906596.36184002,79103003.82798001,79397035.419,20087524.418,76891799.33271001,79201964.943,79297035.419,0.0,1303040.0,0.0,0.1,0.0998,180000,79201964.9,2,completed
off,soft,0.2,100000,20000,272,5,0,5000,1.0,23865.542,31078.18996,120105173.80849999,139414395.87057,139599754.927886,139603882.658,120084816.367,139393909.12538,139502976.873,139503882.658,0.0,0.0,0.0,0.2,0.1965,160000,139502976.9,2,completed
off,soft,0.3,100000,30000,408,5,0,5000,1.0,47124.257,47402.98689,133262912.8035,262102707.94841,264611613.55913803,264905863.732,133215662.64449999,262055776.55776,264719455.902,264805863.732,0.0,24276.0,0.0,0.3,0.2972,140000,264719455.9,1,completed
off,soft,0.4,100000,40000,544,5,0,5000,1.0,61602.870500000005,63201.47034,117317702.2835,169729475.11561003,172297818.58561,172528899.686,117277510.4875,169667036.00707003,172406852.068,172428899.686,0.0,8808.0,0.0,0.4,0.3934,120000,172406852.1,0,completed
off,soft,0.5,100000,50000,680,5,0,5000,1.0,78594.56599999999,78998.55869,154025549.40600002,212625331.78782,215213194.003309,215506589.108,153946972.7625,212546733.32609,215327178.448,215406589.108,0.0,0.0,0.0,0.5,0.4921,100000,215327178.4,1,completed
off,soft,0.6,100000,60000,816,5,0,5000,1.0,61943.204,94698.1936,65655017.8065,141329779.79676,141441514.97952002,141448028.851,65591550.826000005,141267370.20305,141346224.703,141348028.851,0.0,0.0,0.0,0.6,0.5897,80000,141346224.7,3,completed
off,soft,0.7,100000,70000,952,5,-28,5000,1.0,107438.601,110185.59299,62025076.868,195640961.58154002,198219852.82443202,198503737.408,61917592.557,195531020.58807,198334392.742,198403737.408,0.0,3908.0,0.0,0.7,0.699,60000,198334392.7,0,completed
off,soft,0.8,100000,80000,1088,5,0,5000,1.0,81986.666,125479.91197,76899245.109,121864799.74276002,124316806.028703,124574380.182,76817372.6445,121740740.09362002,124431475.681,124474380.182,0.0,1944612.0,0.0,0.8,0.7861,40000,124431475.7,0,completed
off,soft,0.9,100000,90000,1224,5,0,5000,1.0,138963.1385,141587.42783,120186085.695,251336346.61329,253777317.551842,254051819.99,120045867.597,251197617.09346002,253902604.012,253951819.99,0.0,78160.0,0.0,0.9,0.8967,20000,253902604.0,1,completed
off,soft,0.94,100000,94000,1278,5,0,1763,1.0,144997.85,145835.26327999998,30139925.176,77030279.39572,77888960.19384801,77983013.396,29994909.011,76885098.74622001,77832494.512,77883013.396,0.0,1542.8247305728871,0.0,0.94,0.9381,12000,77832494.5,0,completed
off,tight,0.1,10000,1000,13,5,0,5000,1.0,1500.837,1567.66538,11444761.429000001,22169648.013850003,22360319.999248,22389534.419,11443499.8295,22168125.46011,22369549.973,22379534.419,0.0,0.0,0.0,0.1,0.0979,18000,22369550.0,2,completed
off,tight,0.2,10000,2000,27,5,-12,5000,1.0,3075.7545,3134.07497,14560466.6525,27760237.938040003,28020126.647624,28049616.869,14557392.068,27757105.706090003,28029853.373,28039616.869,0.0,2134.0,0.0,0.2,0.1965,16000,28029853.4,0,completed
off,tight,0.3,10000,3000,41,5,0,5000,1.0,4735.285,4760.935570000001,8725997.074000001,23031377.736130003,23292369.281681,23322337.453,8721277.488000002,23026643.594770003,23309750.514,23312337.453,0.0,0.0,0.0,0.3,0.2961,14000,23309750.5,1,completed
off,tight,0.4,10000,4000,52,5,0,5000,1.0,5997.735000000001,6025.2752,13570504.623,25900953.259850003,26129711.656942,26151856.43,13564509.108,25894947.58663,26139724.288,26141856.43,0.0,0.0,0.0,0.4,0.3939,12000,26139724.3,1,completed
off,tight,0.5,10000,5000,67,5,0,5000,1.0,7611.939,7669.29197,13995866.987,26651686.783460002,26889710.572149,26912576.312,13988255.351,26644080.9625,26899719.799,26902576.312,0.0,0.0,0.0,0.5,0.4926,10000,26899719.8,1,completed
off,tight,0.6,10000,6000,82,5,-11,5000,1.0,9332.198,9404.97082,15047709.876,28691718.988440003,28942120.850549,28970502.766,15038374.196,28682382.461660005,28953268.32,28960502.766,0.0,0.0,0.0,0.6,0.5909,8000,28953268.3,2,completed
off,tight,0.7,10000,7000,95,5,0,5000,1.0,7319.7185,10403.475010000011,1909845.244,3154364.62962,3182264.965977,3183568.947,1902372.5825,3147197.25241,3173562.045,3173568.947,0.0,0.0,0.0,0.7,0.6984,6000,3173562.0,1,completed
off,tight,0.8,10000,8000,109,5,0,5000,1.0,12370.861,12551.023860000001,10661607.884,21741978.61032,21989748.816602003,22015349.505,10653543.927000001,21729593.396770004,22000860.39,22005349.505,0.0,277048.0,0.0,0.8,0.7869,4000,22000860.4,3,completed
off,tight,0.9,10000,9000,122,5,0,5000,1.0,14122.7845,14178.113360000001,15409850.559,29391880.292,29648672.096833,29677280.604,15395729.623,29377772.30877,29662033.819,29667280.604,0.0,0.0,0.0,0.9,0.8862,2000,29662033.8,3,completed
off,tight,0.94,10000,9400,126,5,0,5000,1.0,9310.2385,15180.49106,596493.5904999999,1859890.70709,1862145.150999,1862648.136,586413.2594999999,1850590.99508,1852658.541,1852648.136,0.0,0.0,0.0,0.94,0.9385,1200,1852658.5,2,completed
on,soft,0.1,100000,10000,130,,,,,,,,,,,,,,,,,,0.1,,180000,0.0,0,completed
on,soft,0.2,100000,20000,272,,,5000,1.0,20640.5295,31553.14701,44407094.332,102810918.21350001,102897473.547101,102898103.948,44387009.611,102790845.08999999,102797914.676,102798103.948,0.0,0.0,0.0,0.2,0.1986,160000,102797914.7,2,completed
on,soft,0.3,100000,30000,408,,,5000,1.0,30295.667,47350.8036,36408823.07,55297436.459800005,57803637.921441,57804427.867,36378462.071,55250110.920490004,57704169.475,57704427.867,0.0,0.0,0.0,0.3,0.295,140000,57704169.5,0,completed
on,soft,0.4,100000,40000,544,,,5000,1.0,41134.907999999996,62972.606810000005,82717582.498,142128603.80003998,142816067.950681,142919485.139,82654715.34549999,142087658.99735,142810295.409,142819485.139,0.0,0.0,0.0,0.4,0.3934,120000,142810295.4,3,completed
on,soft,0.5,100000,50000,680,,,5000,1.0,50210.7555,78660.43973999999,55113799.71,56227497.59055,56237224.080592,56238116.196,55063624.6835,56177288.66591,56138132.744,56138116.196,0.0,0.0,0.0,0.5,0.4996,100000,56138132.7,0,completed
on,soft,0.6,100000,60000,816,,,5000,1.0,62045.356499999994,93773.58431,89522659.29499999,146900615.30432,147017174.726858,147036124.371,89429979.1735,146834760.31993,146934330.463,146936124.371,0.0,0.0,0.0,0.6,0.5896,80000,146934330.5,0,completed
on,soft,0.7,100000,70000,952,,,5000,1.0,109292.74799999999,110434.82115,114876795.2485,252965826.57613,255411992.440654,255658840.143,114766756.017,252856764.63638002,255521846.032,255558840.143,0.0,0.0,0.0,0.7,0.6895,60000,255521846.0,0,completed
on,tight,0.1,10000,1000,13,,,5000,1.0,1122.611,1621.9770200000005,5820005.813,7100119.49022,7100457.488755,7100595.962,5818797.8625,7099138.79921,7090607.783,7090595.962,0.0,0.0,0.0,0.1,0.0982,18000,7090607.8,0,completed
on,tight,0.2,10000,2000,27,,,5000,1.0,2311.7485,2825.302350000002,5060591.818,7861425.18886,7871222.587390999,7880026.538,5058205.169500001,7859427.57192,7869761.855,7870026.538,0.0,0.0,0.0,0.2,0.1978,16000,7869761.9,3,completed
on,tight,0.3,10000,3000,41,,,5000,1.0,4667.011,4799.365580000001,15220849.9125,28760657.587530002,29010470.216308,29039690.524,15216175.223000001,28755983.240300003,29021550.296,29029690.524,0.0,0.0,0.0,0.3,0.2948,14000,29021550.3,0,completed
on,tight,0.4,10000,4000,52,,,,,,,,,,,,,,,,,,0.4,,12000,0.0,3,completed
on,tight,0.5,10000,5000,67,,,5000,1.0,5264.961499999999,7749.1373,8363087.339500001,9959542.41774,10202780.142488003,10231764.096,8357820.009500001,9951807.38924,10219534.888,10221764.096,0.0,0.0,0.0,0.5,0.4905,10000,10219534.9,0,completed
on,tight,0.6,10000,6000,82,,,,,,,,,,,,,,,,,,0.6,,8000,0.0,0,completed
on,tight,0.7,10000,7000,95,,,5000,1.0,7102.762500000001,11055.939970000001,456151.77650000004,11261695.96923,11513540.035152001,11542008.384,449059.6565,11250753.66945,11525424.007,11532008.384,0.0,0.0,0.0,0.7,0.6984,6000,11525424.0,3,completed
on,tight,0.8,10000,8000,109,,,5000,1.0,8080.089,12420.05762,2019674.4649999999,9476669.134340001,9481604.856174,9482078.632,2007695.1995,9468613.45512,9472087.482,9472078.632,0.0,0.0,0.0,0.8,0.7883,4000,9472087.5,1,completed
on,tight,0.9,10000,9000,122,,,5000,1.0,13876.3155,14035.287849999999,14600394.826000001,27923096.8875,28167256.223431002,28194415.568,14586420.206500001,27909211.02572,28179717.719,28184415.568,0.0,0.0,0.0,0.9,0.887,2000,28179717.7,0,completed
on,tight,0.94,10000,9400,126,,,5000,1.0,14457.2305,14682.959670000002,14587473.5805,27809954.129130002,28051644.344756,28078457.305,14572980.635,27795537.42204,28063321.081,28068457.305,0.0,0.0,0.0,0.94,0.9262,1200,28063321.1,0,completed
