scale,U,P_us,Q_us,K,R_p99_off,R_p99_on,R_p99_inflation,R_p999_off,R_p999_on,R_p999_inflation,R_max_off,R_max_on,miss_rate_off,miss_rate_on,delta_eff_us_off,delta_eff_us_on,alpha_eff_off,alpha_eff_on,irq_us_mean_off,irq_us_mean_on,steal_us_mean_on,steered_irq_lines_on
soft,0.1,100000,10000,130,76906596.36184002,,,79103003.82798001,,,79397035.419,,1.0,,79201964.9,0.0,0.0998,,0.0,,,
soft,0.2,100000,20000,272,139414395.87057,102810918.21350001,0.7374,139599754.927886,102897473.547101,0.7371,139603882.658,102898103.948,1.0,1.0,139502976.9,102797914.7,0.1965,0.1986,0.0,0.0,0.0,
soft,0.3,100000,30000,408,262102707.94841,55297436.459800005,0.211,264611613.55913803,57803637.921441,0.2184,264905863.732,57804427.867,1.0,1.0,264719455.9,57704169.5,0.2972,0.295,0.0,0.0,0.0,
soft,0.4,100000,40000,544,169729475.11561003,142128603.80003998,0.8374,172297818.58561,142816067.950681,0.8289,172528899.686,142919485.139,1.0,1.0,172406852.1,142810295.4,0.3934,0.3934,0.0,0.0,0.0,
soft,0.5,100000,50000,680,212625331.78782,56227497.59055,0.2644,215213194.003309,56237224.080592,0.2613,215506589.108,56238116.196,1.0,1.0,215327178.4,56138132.7,0.4921,0.4996,0.0,0.0,0.0,
soft,0.6,100000,60000,816,141329779.79676,146900615.30432,1.0394,141441514.97952002,147017174.726858,1.0394,141448028.851,147036124.371,1.0,1.0,141346224.7,146934330.5,0.5897,0.5896,0.0,0.0,0.0,
soft,0.7,100000,70000,952,195640961.58154002,252965826.57613,1.293,198219852.82443202,255411992.440654,1.2885,198503737.408,255658840.143,1.0,1.0,198334392.7,255521846.0,0.699,0.6895,0.0,0.0,0.0,
tight,0.1,10000,1000,13,22169648.013850003,7100119.49022,0.3203,22360319.999248,7100457.488755,0.3175,22389534.419,7100595.962,1.0,1.0,22369550.0,7090607.8,0.0979,0.0982,0.0,0.0,0.0,
tight,0.2,10000,2000,27,27760237.938040003,7861425.18886,0.2832,28020126.647624,7871222.587390999,0.2809,28049616.869,7880026.538,1.0,1.0,28029853.4,7869761.9,0.1965,0.1978,0.0,0.0,0.0,
tight,0.3,10000,3000,41,23031377.736130003,28760657.587530002,1.2488,23292369.281681,29010470.216308,1.2455,23322337.453,29039690.524,1.0,1.0,23309750.5,29021550.3,0.2961,0.2948,0.0,0.0,0.0,
tight,0.4,10000,4000,52,25900953.259850003,,,26129711.656942,,,26151856.43,,1.0,,26139724.3,0.0,0.3939,,0.0,,,
tight,0.5,10000,5000,67,26651686.783460002,9959542.41774,0.3737,26889710.572149,10202780.142488003,0.3794,26912576.312,10231764.096,1.0,1.0,26899719.8,10219534.9,0.4926,0.4905,0.0,0.0,0.0,
tight,0.6,10000,6000,82,28691718.988440003,,,28942120.850549,,,28970502.766,,1.0,,28953268.3,0.0,0.5909,,0.0,,,
tight,0.7,10000,7000,95,3154364.62962,11261695.96923,3.5702,3182264.965977,11513540.035152001,3.618,3183568.947,11542008.384,1.0,1.0,3173562.0,11525424.0,0.6984,0.6984,0.0,0.0,0.0,
tight,0.8,10000,8000,109,21741978.61032,9476669.134340001,0.4359,21989748.816602003,9481604.856174,0.4312,22015349.505,9482078.632,1.0,1.0,22000860.4,9472087.5,0.7869,0.7883,0.0,0.0,0.0,
tight,0.9,10000,9000,122,29391880.292,27923096.8875,0.95,29648672.096833,28167256.223431002,0.95,29677280.604,28194415.568,1.0,1.0,29662033.8,28179717.7,0.8862,0.887,0.0,0.0,0.0,
tight,0.94,10000,9400,126,1859890.70709,27809954.129130002,14.9525,1862145.150999,28051644.344756,15.0642,1862648.136,28078457.305,1.0,1.0,1852658.5,28063321.1,0.9385,0.9262,0.0,0.0,0.0,
