# probe kind=matmul M=48 K=72 buf_kb=0 period_us=10000 priority=90 cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,7472338871.968,7472338896.813,7472348896.611,4097.522,10024.643,5927.121,24.845,5902.276,-24.643,1,24.643,1,72,48,1
1,7472358871.968,7472358897.597,7472368894.817,4041.992,10022.849,5980.857,25.629,5955.228,-22.849,1,22.849,1,72,48,1
2,7472378871.968,7472378891.618,7472388894.833,4088.486,10022.865,5934.379,19.650,5914.729,-22.865,1,22.865,1,72,48,1
3,7472398871.968,7472398892.582,7472408908.544,4120.191,10036.576,5916.385,20.614,5895.771,-36.576,1,36.576,1,72,48,1
4,7472418871.968,7472418891.160,7472428948.653,4163.925,10076.685,5912.760,19.192,5893.568,-76.685,1,76.685,1,72,48,1
5,7472438871.968,7472438891.924,7472448935.146,4160.722,10063.178,5902.456,19.956,5882.500,-63.178,1,63.178,1,72,48,1
6,7472458871.968,7472458889.831,7472468893.365,4103.002,10021.397,5918.395,17.863,5900.532,-21.397,1,21.397,1,72,48,1
7,7472478871.968,7472478891.131,7472488894.303,4030.389,10022.335,5991.946,19.163,5972.783,-22.335,1,22.335,1,72,48,1
8,7472498871.968,7472498889.016,7472508890.837,4003.500,10018.869,6015.369,17.048,5998.321,-18.869,1,18.869,1,72,48,1
9,7472518871.968,7472518889.229,7472528891.210,4088.421,10019.242,5930.821,17.261,5913.560,-19.242,1,19.242,1,72,48,1
10,7472538871.968,7472538889.455,7472548917.715,4134.043,10045.747,5911.704,17.487,5894.217,-45.747,1,45.747,1,72,48,1
11,7472558871.968,7472558890.942,7472568916.166,4135.084,10044.198,5909.114,18.974,5890.140,-44.198,1,44.198,1,72,48,1
12,7472578871.968,7472578890.118,7472588912.851,4141.097,10040.883,5899.786,18.150,5881.636,-40.883,1,40.883,1,72,48,1
13,7472598871.968,7472598891.921,7472608894.817,4089.892,10022.849,5932.957,19.953,5913.004,-22.849,1,22.849,1,72,48,1
14,7472618871.968,7472618892.177,7472628905.121,4118.956,10033.153,5914.197,20.209,5893.988,-33.153,1,33.153,1,72,48,1
15,7472638871.968,7472638890.098,7472648894.256,4016.624,10022.288,6005.664,18.130,5987.534,-22.288,1,22.288,1,72,48,1
16,7472658871.968,7472658890.501,7472668915.432,4143.276,10043.464,5900.188,18.533,5881.655,-43.464,1,43.464,1,72,48,1
17,7472678871.968,7472678893.438,7472688893.914,4101.252,10021.946,5920.694,21.470,5899.224,-21.946,1,21.946,1,72,48,1
18,7472698871.968,7472698890.262,7472708893.223,4104.092,10021.255,5917.163,18.294,5898.869,-21.255,1,21.255,1,72,48,1
19,7472718871.968,7472718890.671,7472728929.473,4154.873,10057.505,5902.632,18.703,5883.929,-57.505,1,57.505,1,72,48,1
20,7472738871.968,7472738891.284,7472748895.014,4099.658,10023.046,5923.388,19.316,5904.072,-23.046,1,23.046,1,72,48,1
21,7472758871.968,7472758889.702,7472768914.757,4134.481,10042.789,5908.308,17.734,5890.574,-42.789,1,42.789,1,72,48,1
22,7472778871.968,7472778891.481,7472788939.202,4161.308,10067.234,5905.926,19.513,5886.413,-67.234,1,67.234,1,72,48,1
23,7472798871.968,7472798890.315,7472808905.056,4132.161,10033.088,5900.927,18.347,5882.580,-33.088,1,33.088,1,72,48,1
24,7472818871.968,7472818891.600,7472828959.432,4177.838,10087.464,5909.626,19.632,5889.994,-87.464,1,87.464,1,72,48,1
25,7472838871.968,7472838892.648,7472848895.111,4104.443,10023.143,5918.700,20.680,5898.020,-23.143,1,23.143,1,72,48,1
26,7472858871.968,7472858891.314,7472868896.080,4099.694,10024.112,5924.418,19.346,5905.072,-24.112,1,24.112,1,72,48,1
27,7472878871.968,7472878891.009,7472888894.039,4065.640,10022.071,5956.431,19.041,5937.390,-22.071,1,22.071,1,72,48,1
28,7472898871.968,7472898891.059,7472908907.351,4131.476,10035.383,5903.907,19.091,5884.816,-35.383,1,35.383,1,72,48,1
29,7472918871.968,7472918891.864,7472928895.060,4099.545,10023.092,5923.547,19.896,5903.651,-23.092,1,23.092,1,72,48,1
30,7472938871.968,7472938891.392,7472948958.997,4169.976,10087.029,5917.053,19.424,5897.629,-87.029,1,87.029,1,72,48,1
31,7472958871.968,7472958894.556,7472968942.719,4157.484,10070.751,5913.267,22.588,5890.679,-70.751,1,70.751,1,72,48,1
32,7472978871.968,7472978890.917,7472988893.957,4087.876,10021.989,5934.113,18.949,5915.164,-21.989,1,21.989,1,72,48,1
33,7472998871.968,7472998890.940,7473008892.431,4023.993,10020.463,5996.470,18.972,5977.498,-20.463,1,20.463,1,72,48,1
34,7473018871.968,7473018890.491,7473028946.458,4173.533,10074.490,5900.957,18.523,5882.434,-74.490,1,74.490,1,72,48,1
35,7473038871.968,7473038890.025,7473048905.846,4121.903,10033.878,5911.975,18.057,5893.918,-33.878,1,33.878,1,72,48,1
36,7473058871.968,7473058890.016,7473068892.507,4098.201,10020.539,5922.338,18.048,5904.290,-20.539,1,20.539,1,72,48,1
37,7473078871.968,7473078889.493,7473088892.771,4090.502,10020.803,5930.301,17.525,5912.776,-20.803,1,20.803,1,72,48,1
38,7473098871.968,7473098891.492,7473108961.182,4185.428,10089.214,5903.786,19.524,5884.262,-89.214,1,89.214,1,72,48,1
39,7473118871.968,7473118890.825,7473128893.204,4099.818,10021.236,5921.418,18.857,5902.561,-21.236,1,21.236,1,72,48,1
40,7473138871.968,7473138890.420,7473148934.217,4156.145,10062.249,5906.104,18.452,5887.652,-62.249,1,62.249,1,72,48,1
41,7473158871.968,7473158890.730,7473168973.927,4186.457,10101.959,5915.502,18.762,5896.740,-101.959,1,101.959,1,72,48,1
42,7473178871.968,7473178893.813,7473188894.470,4096.624,10022.502,5925.878,21.845,5904.033,-22.502,1,22.502,1,72,48,1
43,7473198871.968,7473198892.281,7473208907.880,4131.611,10035.912,5904.301,20.313,5883.988,-35.912,1,35.912,1,72,48,1
44,7473218871.968,7473218892.115,7473228892.599,4093.232,10020.631,5927.399,20.147,5907.252,-20.631,1,20.631,1,72,48,1
45,7473238871.968,7473238891.968,7473248960.441,4186.383,10088.473,5902.090,20.000,5882.090,-88.473,1,88.473,1,72,48,1
46,7473258871.968,7473258893.160,7473268942.859,4155.003,10070.891,5915.888,21.192,5894.696,-70.891,1,70.891,1,72,48,1
47,7473278871.968,7473278892.305,7473288912.159,4136.997,10040.191,5903.194,20.337,5882.857,-40.191,1,40.191,1,72,48,1
48,7473298871.968,7473298892.306,7473308930.790,4155.102,10058.822,5903.720,20.338,5883.382,-58.822,1,58.822,1,72,48,1
49,7473318871.968,7473318893.236,7473328897.617,4099.542,10025.649,5926.107,21.268,5904.839,-25.649,1,25.649,1,72,48,1
50,7473338871.968,7473338891.779,7473348934.809,4160.256,10062.841,5902.585,19.811,5882.774,-62.841,1,62.841,1,72,48,1
51,7473358871.968,7473358893.070,7473368951.341,4169.048,10079.373,5910.325,21.102,5889.223,-79.373,1,79.373,1,72,48,1
52,7473378871.968,7473378892.334,7473388903.776,4125.019,10031.808,5906.789,20.366,5886.423,-31.808,1,31.808,1,72,48,1
53,7473398871.968,7473398890.688,7473408915.627,4128.277,10043.659,5915.382,18.720,5896.662,-43.659,1,43.659,1,72,48,1
54,7473418871.968,7473418891.110,7473428892.717,4093.645,10020.749,5927.104,19.142,5907.962,-20.749,1,20.749,1,72,48,1
55,7473438871.968,7473438890.329,7473448913.109,4126.239,10041.141,5914.902,18.361,5896.541,-41.141,1,41.141,1,72,48,1
56,7473458871.968,7473458895.759,7473468924.774,4149.477,10052.806,5903.329,23.791,5879.538,-52.806,1,52.806,1,72,48,1
57,7473478871.968,7473478892.291,7473488894.089,4099.614,10022.121,5922.507,20.323,5902.184,-22.121,1,22.121,1,72,48,1
58,7473498871.968,7473498892.342,7473508895.958,4013.912,10023.990,6010.078,20.374,5989.704,-23.990,1,23.990,1,72,48,1
59,7473518871.968,7473518894.432,7473528895.123,4102.271,10023.155,5920.884,22.464,5898.420,-23.155,1,23.155,1,72,48,1
60,7473538871.968,7473538890.179,7473548931.462,4150.859,10059.494,5908.635,18.211,5890.424,-59.494,1,59.494,1,72,48,1
61,7473558871.968,7473558893.084,7473568924.297,4141.943,10052.329,5910.386,21.116,5889.270,-52.329,1,52.329,1,72,48,1
62,7473578871.968,7473578890.446,7473588936.709,4157.238,10064.741,5907.503,18.478,5889.025,-64.741,1,64.741,1,72,48,1
63,7473598871.968,7473598891.793,7473608911.270,4136.579,10039.302,5902.723,19.825,5882.898,-39.302,1,39.302,1,72,48,1
64,7473618871.968,7473618894.922,7473628897.203,4102.136,10025.235,5923.099,22.954,5900.145,-25.235,1,25.235,1,72,48,1
65,7473638871.968,7473638890.563,7473648942.514,4155.752,10070.546,5914.794,18.595,5896.199,-70.546,1,70.546,1,72,48,1
66,7473658871.968,7473658891.825,7473668917.355,4138.627,10045.387,5906.760,19.857,5886.903,-45.387,1,45.387,1,72,48,1
67,7473678871.968,7473678891.884,7473688894.612,4015.576,10022.644,6007.068,19.916,5987.152,-22.644,1,22.644,1,72,48,1
68,7473698871.968,7473698889.252,7473708891.837,4074.747,10019.869,5945.122,17.284,5927.838,-19.869,1,19.869,1,72,48,1
69,7473718871.968,7473718890.010,7473728962.772,4189.197,10090.804,5901.607,18.042,5883.565,-90.804,1,90.804,1,72,48,1
70,7473738871.968,7473738889.308,7473748922.159,4149.746,10050.191,5900.445,17.340,5883.105,-50.191,1,50.191,1,72,48,1
71,7473758871.968,7473758893.588,7473768895.023,4101.824,10023.055,5921.231,21.620,5899.611,-23.055,1,23.055,1,72,48,1
72,7473778871.968,7473778889.729,7473788947.960,4169.672,10075.992,5906.320,17.761,5888.559,-75.992,1,75.992,1,72,48,1
73,7473798871.968,7473798892.040,7473808893.582,4065.478,10021.614,5956.136,20.072,5936.064,-21.614,1,21.614,1,72,48,1
