# probe kind=matmul M=48 K=870 buf_kb=0 period_us=100000 priority=90 cpu=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,91089179580.781,91089179604.183,91089228626.694,49021.850,49045.913,24.063,23.402,0.661,50954.087,0,0.000,0,870,48,0
1,91089279580.781,91089279626.289,91089314360.361,34733.038,34779.580,46.542,45.508,1.034,65220.420,0,0.000,0,870,48,0
2,91089379580.781,91089379624.934,91089428620.993,48995.147,49040.212,45.065,44.153,0.912,50959.788,0,0.000,0,870,48,0
3,91089479580.781,91089479623.706,91089514754.220,35129.613,35173.439,43.826,42.925,0.901,64826.561,0,0.000,0,870,48,0
4,91089579580.781,91089579628.685,91089628772.155,49142.603,49191.374,48.771,47.904,0.867,50808.626,0,0.000,0,870,48,0
5,91089679580.781,91089679623.377,91089714551.444,34926.751,34970.663,43.912,42.596,1.316,65029.337,0,0.000,0,870,48,0
6,91089779580.781,91089779623.658,91089828657.673,49033.418,49076.892,43.474,42.877,0.597,50923.108,0,0.000,0,870,48,0
7,91089879580.781,91089879616.051,91089914603.494,34986.410,35022.713,36.303,35.270,1.033,64977.287,0,0.000,0,870,48,0
8,91089979580.781,91089979627.817,91090028675.212,49046.448,49094.431,47.983,47.036,0.947,50905.569,0,0.000,0,870,48,0
9,91090079580.781,91090079622.207,91090114624.887,35001.232,35044.106,42.874,41.426,1.448,64955.894,0,0.000,0,870,48,0
10,91090179580.781,91090179628.368,91090228717.390,49088.398,49136.609,48.211,47.587,0.624,50863.391,0,0.000,0,870,48,0
11,91090279580.781,91090279627.788,91090314763.212,35134.731,35182.431,47.700,47.007,0.693,64817.569,0,0.000,0,870,48,0
12,91090379580.781,91090379622.485,91090428571.424,48947.996,48990.643,42.647,41.704,0.943,51009.357,0,0.000,0,870,48,0
13,91090479580.781,91090479627.448,91090514712.043,35083.676,35131.262,47.586,46.667,0.919,64868.738,0,0.000,0,870,48,0
14,91090579580.781,91090579625.786,91090628783.498,49156.904,49202.717,45.813,45.005,0.808,50797.283,0,0.000,0,870,48,0
15,91090679580.781,91090679627.415,91090714565.775,34937.297,34984.994,47.697,46.634,1.063,65015.006,0,0.000,0,870,48,0
16,91090779580.781,91090779626.632,91090828774.083,49146.765,49193.302,46.537,45.851,0.686,50806.698,0,0.000,0,870,48,0
17,91090879580.781,91090879620.229,91090914446.003,34824.892,34865.222,40.330,39.448,0.882,65134.778,0,0.000,0,870,48,0
