# probe kind=matmul M=48 K=346 buf_kb=0 period_us=100000 priority=90 cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,20063061342.850,20063061509.714,20063075883.463,14371.589,14540.613,169.024,166.864,2.160,85459.387,0,0.000,0,346,48,0
1,20063161342.850,20063161513.288,20063175974.798,14458.825,14631.948,173.123,170.438,2.685,85368.052,0,0.000,0,346,48,0
2,20063261342.850,20063261512.481,20063275881.397,14366.626,14538.547,171.921,169.631,2.290,85461.453,0,0.000,0,346,48,0
3,20063361342.850,20063361589.810,20063375952.039,14360.119,14609.189,249.070,246.960,2.110,85390.811,0,0.000,0,346,48,0
4,20063461342.850,20063461514.954,20063475908.943,14391.711,14566.093,174.382,172.104,2.278,85433.907,0,0.000,0,346,48,0
5,20063561342.850,20063561581.781,20063576006.897,14423.117,14664.047,240.930,238.931,1.999,85335.953,0,0.000,0,346,48,0
6,20063661342.850,20063661519.520,20063675794.162,14272.369,14451.312,178.943,176.670,2.273,85548.688,0,0.000,0,346,48,0
7,20063761342.850,20063761515.825,20063775964.239,14446.033,14621.389,175.356,172.975,2.381,85378.611,0,0.000,0,346,48,0
8,20063861342.850,20063861506.882,20063875835.155,14325.791,14492.305,166.514,164.032,2.482,85507.695,0,0.000,0,346,48,0
9,20063961342.850,20063961530.760,20063975967.284,14434.362,14624.434,190.072,187.910,2.162,85375.566,0,0.000,0,346,48,0
10,20064061342.850,20064061512.882,20064075880.332,14365.172,14537.482,172.310,170.032,2.278,85462.518,0,0.000,0,346,48,0
11,20064161342.850,20064161516.243,20064175960.854,14442.489,14618.004,175.515,173.393,2.122,85381.996,0,0.000,0,346,48,0
12,20064261342.850,20064261519.798,20064275881.022,14358.664,14538.172,179.508,176.948,2.560,85461.828,0,0.000,0,346,48,0
13,20064361342.850,20064361511.124,20064375930.086,14416.503,14587.236,170.733,168.274,2.459,85412.764,0,0.000,0,346,48,0
14,20064461342.850,20064461581.753,20064476030.763,14446.994,14687.913,240.919,238.903,2.016,85312.087,0,0.000,0,346,48,0
15,20064561342.850,20064561513.883,20064575826.855,14310.702,14484.005,173.303,171.033,2.270,85515.995,0,0.000,0,346,48,0
16,20064661342.850,20064661568.258,20064675946.951,14376.594,14604.101,227.507,225.408,2.099,85395.899,0,0.000,0,346,48,0
17,20064761342.850,20064761517.965,20064775806.028,14286.079,14463.178,177.099,175.115,1.984,85536.822,0,0.000,0,346,48,0
18,20064861342.850,20064861511.925,20064875796.307,14282.122,14453.457,171.335,169.075,2.260,85546.543,0,0.000,0,346,48,0
19,20064961342.850,20064961585.254,20064975965.488,14378.036,14622.638,244.602,242.404,2.198,85377.362,0,0.000,0,346,48,0
20,20065061342.850,20065061579.788,20065075924.595,14342.486,14581.745,239.259,236.938,2.321,85418.255,0,0.000,0,346,48,0
21,20065161342.850,20065161520.478,20065175859.008,14336.373,14516.158,179.785,177.628,2.157,85483.842,0,0.000,0,346,48,0
22,20065261342.850,20065261512.477,20065275965.303,14450.581,14622.453,171.872,169.627,2.245,85377.547,0,0.000,0,346,48,0
23,20065361342.850,20065361545.533,20065375830.205,14282.227,14487.355,205.128,202.683,2.445,85512.645,0,0.000,0,346,48,0
24,20065461342.850,20065461514.935,20065475955.489,14437.934,14612.639,174.705,172.085,2.620,85387.361,0,0.000,0,346,48,0
25,20065561342.850,20065561571.001,20065576058.157,14485.018,14715.307,230.289,228.151,2.138,85284.693,0,0.000,0,346,48,0
26,20065661342.850,20065661519.643,20065675757.829,14235.984,14414.979,178.995,176.793,2.202,85585.021,0,0.000,0,346,48,0
27,20065761342.850,20065761513.457,20065775979.934,14464.228,14637.084,172.856,170.607,2.249,85362.916,0,0.000,0,346,48,0
28,20065861342.850,20065861522.728,20065875985.064,14459.730,14642.214,182.484,179.878,2.606,85357.786,0,0.000,0,346,48,0
29,20065961342.850,20065961518.917,20065975914.425,14393.396,14571.575,178.179,176.067,2.112,85428.425,0,0.000,0,346,48,0
30,20066061342.850,20066061520.167,20066075852.580,14330.222,14509.730,179.508,177.317,2.191,85490.270,0,0.000,0,346,48,0
31,20066161342.850,20066161533.834,20066176110.533,14574.223,14767.683,193.460,190.984,2.476,85232.317,0,0.000,0,346,48,0
32,20066261342.850,20066261578.482,20066275949.545,14368.405,14606.695,238.290,235.632,2.658,85393.305,0,0.000,0,346,48,0
33,20066361342.850,20066361520.329,20066375898.795,14376.081,14555.945,179.864,177.479,2.385,85444.055,0,0.000,0,346,48,0
34,20066461342.850,20066461521.597,20066475925.710,14401.589,14582.860,181.271,178.747,2.524,85417.140,0,0.000,0,346,48,0
35,20066561342.850,20066561545.050,20066575917.783,14370.140,14574.933,204.793,202.200,2.593,85425.067,0,0.000,0,346,48,0
36,20066661342.850,20066661515.622,20066675918.623,14400.639,14575.773,175.134,172.772,2.362,85424.227,0,0.000,0,346,48,0
37,20066761342.850,20066761527.721,20066775909.574,14379.438,14566.724,187.286,184.871,2.415,85433.276,0,0.000,0,346,48,0
38,20066861342.850,20066861552.869,20066876009.950,14454.873,14667.100,212.227,210.019,2.208,85332.900,0,0.000,0,346,48,0
39,20066961342.850,20066961511.163,20066975822.664,14308.921,14479.814,170.893,168.313,2.580,85520.186,0,0.000,0,346,48,0
40,20067061342.850,20067061513.497,20067075897.983,14382.561,14555.133,172.572,170.647,1.925,85444.867,0,0.000,0,346,48,0
41,20067161342.850,20067161537.619,20067175911.932,14372.126,14569.082,196.956,194.769,2.187,85430.918,0,0.000,0,346,48,0
42,20067261342.850,20067261518.348,20067275795.476,14275.030,14452.626,177.596,175.498,2.098,85547.374,0,0.000,0,346,48,0
43,20067361342.850,20067361563.591,20067375833.925,14267.911,14491.075,223.164,220.741,2.423,85508.925,0,0.000,0,346,48,0
