# probe kind=matmul M=48 K=70 buf_kb=0 period_us=10000 priority=90 cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,29742881776.941,29742881796.672,29742884649.284,2851.587,2872.343,20.756,19.731,1.025,7127.657,0,0.000,0,70,48,0
1,29742891776.941,29742891795.906,29742894670.376,2873.643,2893.435,19.792,18.965,0.827,7106.565,0,0.000,0,70,48,0
2,29742901776.941,29742901797.955,29742904696.971,2898.101,2920.030,21.929,21.014,0.915,7079.970,0,0.000,0,70,48,0
3,29742911776.941,29742911795.157,29742914682.311,2886.234,2905.370,19.136,18.216,0.920,7094.630,0,0.000,0,70,48,0
4,29742921776.941,29742921795.316,29742924728.470,2931.573,2951.529,19.956,18.375,1.581,7048.471,0,0.000,0,70,48,0
5,29742931776.941,29742931796.359,29742934663.327,2866.162,2886.386,20.224,19.418,0.806,7113.614,0,0.000,0,70,48,0
6,29742941776.941,29742941796.640,29742944627.615,2830.006,2850.674,20.668,19.699,0.969,7149.326,0,0.000,0,70,48,0
7,29742951776.941,29742951796.862,29742954651.912,2854.148,2874.971,20.823,19.921,0.902,7125.029,0,0.000,0,70,48,0
8,29742961776.941,29742961797.401,29742964653.320,2855.162,2876.379,21.217,20.460,0.757,7123.621,0,0.000,0,70,48,0
9,29742971776.941,29742971797.273,29742974661.918,2863.650,2884.977,21.327,20.332,0.995,7115.023,0,0.000,0,70,48,0
10,29742981776.941,29742981794.358,29742984596.053,2801.001,2819.112,18.111,17.417,0.694,7180.888,0,0.000,0,70,48,0
11,29742991776.941,29742991796.373,29742994692.024,2894.762,2915.083,20.321,19.432,0.889,7084.917,0,0.000,0,70,48,0
12,29743001776.941,29743001795.054,29743004727.695,2931.736,2950.754,19.018,18.113,0.905,7049.246,0,0.000,0,70,48,0
13,29743011776.941,29743011796.768,29743014717.846,2920.280,2940.905,20.625,19.827,0.798,7059.095,0,0.000,0,70,48,0
14,29743021776.941,29743021796.035,29743024727.250,2930.199,2950.309,20.110,19.094,1.016,7049.691,0,0.000,0,70,48,0
15,29743031776.941,29743031795.352,29743034727.410,2931.188,2950.469,19.281,18.411,0.870,7049.531,0,0.000,0,70,48,0
16,29743041776.941,29743041796.350,29743044650.902,2853.870,2873.961,20.091,19.409,0.682,7126.039,0,0.000,0,70,48,0
17,29743051776.941,29743051797.895,29743054685.696,2886.963,2908.755,21.792,20.954,0.838,7091.245,0,0.000,0,70,48,0
18,29743061776.941,29743061797.963,29743064658.088,2859.209,2881.147,21.938,21.022,0.916,7118.853,0,0.000,0,70,48,0
19,29743071776.941,29743071795.335,29743074718.703,2922.287,2941.762,19.475,18.394,1.081,7058.238,0,0.000,0,70,48,0
20,29743081776.941,29743081796.009,29743084740.477,2943.595,2963.536,19.941,19.068,0.873,7036.464,0,0.000,0,70,48,0
21,29743091776.941,29743091795.823,29743094699.611,2902.858,2922.670,19.812,18.882,0.930,7077.330,0,0.000,0,70,48,0
22,29743101776.941,29743101797.454,29743104688.185,2889.855,2911.244,21.389,20.513,0.876,7088.756,0,0.000,0,70,48,0
23,29743111776.941,29743111795.956,29743114651.641,2854.949,2874.700,19.751,19.015,0.736,7125.300,0,0.000,0,70,48,0
24,29743121776.941,29743121796.846,29743124635.709,2837.952,2858.768,20.816,19.905,0.911,7141.232,0,0.000,0,70,48,0
25,29743131776.941,29743131796.546,29743134725.434,2928.178,2948.493,20.315,19.605,0.710,7051.507,0,0.000,0,70,48,0
26,29743141776.941,29743141795.253,29743144725.858,2929.921,2948.917,18.996,18.312,0.684,7051.083,0,0.000,0,70,48,0
