# probe kind=matmul M=48 K=1353 buf_kb=0 period_us=100000 priority=90 cpu=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,34314720635.313,34314720839.755,34314848008.464,107505.438,127373.151,19867.713,204.442,19663.271,-27373.151,1,27373.151,1,1353,48,1
1,34314920635.313,34314920676.975,34315047464.377,107126.953,126829.064,19702.111,41.662,19660.449,-26829.064,1,26829.064,1,1353,48,1
2,34315120635.313,34315120680.221,34315247381.651,107038.449,126746.338,19707.889,44.908,19662.981,-26746.338,1,26746.338,1,1353,48,1
3,34315320635.313,34315320660.698,34315447387.978,107075.938,126752.665,19676.727,25.385,19651.342,-26752.665,1,26752.665,1,1353,48,1
4,34315520635.313,34315520925.379,34315647762.798,107135.154,127127.485,19992.331,290.066,19702.265,-27127.485,1,27127.485,1,1353,48,1
5,34315720635.313,34315720688.122,34315849168.194,108805.919,128532.881,19726.962,52.809,19674.153,-28532.881,1,28532.881,1,1353,48,1
6,34315920635.313,34315920673.088,34316047467.174,107141.502,126831.861,19690.359,37.775,19652.584,-26831.861,1,26831.861,1,1353,48,1
7,34316120635.313,34316120867.226,34316247650.615,107130.113,127015.302,19885.189,231.913,19653.276,-27015.302,1,27015.302,1,1353,48,1
8,34316320635.313,34316320698.540,34316448750.233,108385.956,128114.920,19728.964,63.227,19665.737,-28114.920,1,28114.920,1,1353,48,1
9,34316520635.313,34316520667.454,34316647348.904,107028.523,126713.591,19685.068,32.141,19652.927,-26713.591,1,26713.591,1,1353,48,1
10,34316720635.313,34316721092.301,34316847850.572,107098.853,127215.259,20116.406,456.988,19659.418,-27215.259,1,27215.259,1,1353,48,1
11,34316920635.313,34316920661.917,34317047325.924,107013.561,126690.611,19677.050,26.604,19650.446,-26690.611,1,26690.611,1,1353,48,1
12,34317120635.313,34317120675.304,34317247372.602,107042.989,126737.289,19694.300,39.991,19654.309,-26737.289,1,26737.289,1,1353,48,1
13,34317320635.313,34317320660.727,34317447288.269,106968.546,126652.956,19684.410,25.414,19658.996,-26652.956,1,26652.956,1,1353,48,1
14,34317520635.313,34317520661.948,34317647386.583,107067.163,126751.270,19684.107,26.635,19657.472,-26751.270,1,26751.270,1,1353,48,1
15,34317720635.313,34317720657.619,34317847337.966,107029.244,126702.653,19673.409,22.306,19651.103,-26702.653,1,26702.653,1,1353,48,1
16,34317920635.313,34317920670.845,34318047414.754,107092.844,126779.441,19686.597,35.532,19651.065,-26779.441,1,26779.441,1,1353,48,1
17,34318120635.313,34318120686.102,34318249933.265,109584.261,129297.952,19713.691,50.789,19662.902,-29297.952,1,29297.952,1,1353,48,1
18,34318320635.313,34318320664.222,34318447240.743,106920.850,126605.430,19684.580,28.909,19655.671,-26605.430,1,26605.430,1,1353,48,1
19,34318520635.313,34318520680.492,34318647286.902,106946.570,126651.589,19705.019,45.179,19659.840,-26651.589,1,26651.589,1,1353,48,1
20,34318720635.313,34318720678.418,34318847317.597,106981.994,126682.284,19700.290,43.105,19657.185,-26682.284,1,26682.284,1,1353,48,1
21,34318920635.313,34318920682.410,34319047347.863,107003.851,126712.550,19708.699,47.097,19661.602,-26712.550,1,26712.550,1,1353,48,1
22,34319120635.313,34319123385.620,34319249926.702,107182.043,129291.389,22109.346,2750.307,19359.039,-29291.389,1,29291.389,1,1353,48,1
23,34319320635.313,34319320678.394,34319447329.416,106987.328,126694.103,19706.775,43.081,19663.694,-26694.103,1,26694.103,1,1353,48,1
24,34319520635.313,34319520842.594,34319650800.710,110292.750,130165.397,19872.647,207.281,19665.366,-30165.397,1,30165.397,1,1353,48,1
25,34319720635.313,34319720674.379,34319847311.235,106985.935,126675.922,19689.987,39.066,19650.921,-26675.922,1,26675.922,1,1353,48,1
26,34319920635.313,34319920676.948,34320047349.564,107021.313,126714.251,19692.938,41.635,19651.303,-26714.251,1,26714.251,1,1353,48,1
27,34320120635.313,34320120669.949,34320247881.848,107523.567,127246.535,19722.968,34.636,19688.332,-27246.535,1,27246.535,1,1353,48,1
28,34320320635.313,34320320659.020,34320447316.460,107002.610,126681.147,19678.537,23.707,19654.830,-26681.147,1,26681.147,1,1353,48,1
29,34320520635.313,34320520695.540,34320649273.333,108908.849,128638.020,19729.171,60.227,19668.944,-28638.020,1,28638.020,1,1353,48,1
30,34320720635.313,34320720680.444,34320847549.173,107215.331,126913.860,19698.529,45.131,19653.398,-26913.860,1,26913.860,1,1353,48,1
31,34320920635.313,34320920677.315,34321047387.608,107058.352,126752.295,19693.943,42.002,19651.941,-26752.295,1,26752.295,1,1353,48,1
32,34321120635.313,34321120682.874,34321249083.313,108738.441,128448.000,19709.559,47.561,19661.998,-28448.000,1,28448.000,1,1353,48,1
33,34321320635.313,34321320677.570,34321447548.789,107214.773,126913.476,19698.703,42.257,19656.446,-26913.476,1,26913.476,1,1353,48,1
34,34321520635.313,34321520677.784,34321647333.456,106998.838,126698.143,19699.305,42.471,19656.834,-26698.143,1,26698.143,1,1353,48,1
35,34321720635.313,34321720687.058,34321847375.849,107026.469,126740.536,19714.067,51.745,19662.322,-26740.536,1,26740.536,1,1353,48,1
36,34321920635.313,34321920676.224,34322047472.153,107132.844,126836.840,19703.996,40.911,19663.085,-26836.840,1,26836.840,1,1353,48,1
37,34322120635.313,34322120814.349,34322247498.767,107030.636,126863.454,19832.818,179.036,19653.782,-26863.454,1,26863.454,1,1353,48,1
38,34322320635.313,34322320673.908,34322447311.115,106980.652,126675.802,19695.150,38.595,19656.555,-26675.802,1,26675.802,1,1353,48,1
39,34322520635.313,34322520736.151,34322647385.744,106920.195,126750.431,19830.236,100.838,19729.398,-26750.431,1,26750.431,1,1353,48,1
40,34322720635.313,34322720847.086,34322847681.235,107000.630,127045.922,20045.292,211.773,19833.519,-27045.922,1,27045.922,1,1353,48,1
41,34322920635.313,34322920676.032,34323048659.214,108282.421,128023.901,19741.480,40.719,19700.761,-28023.901,1,28023.901,1,1353,48,1
42,34323120635.313,34323120685.747,34323247369.980,107027.314,126734.667,19707.353,50.434,19656.919,-26734.667,1,26734.667,1,1353,48,1
43,34323320635.313,34323320676.626,34323447452.370,107117.525,126817.057,19699.532,41.313,19658.219,-26817.057,1,26817.057,1,1353,48,1
44,34323520635.313,34323520691.386,34323649322.317,108961.231,128687.004,19725.773,56.073,19669.700,-28687.004,1,28687.004,1,1353,48,1
