# probe kind=matmul M=48 K=346 buf_kb=0 period_us=100000 priority=90 cpu=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,4341387439.775,4341387484.327,4341500382.780,33427.683,112943.005,79515.322,44.552,79470.770,-12943.005,1,12943.005,1,346,48,1
1,4341587439.775,4341587480.979,4341700925.848,33970.892,113486.073,79515.181,41.204,79473.977,-13486.073,1,13486.073,1,346,48,1
2,4341787439.775,4341787485.845,4341905204.957,38245.547,117765.182,79519.635,46.070,79473.565,-17765.182,1,17765.182,1,346,48,1
3,4341987439.775,4341987485.480,4342195313.234,47894.718,207873.459,159978.741,45.705,159933.036,-107873.459,1,107873.459,2,346,48,2
4,4342287439.775,4342287479.547,4342488182.864,40774.497,200743.089,159968.592,39.772,159928.820,-100743.089,1,100743.089,2,346,48,2
5,4342587439.775,4342587498.699,4342696495.239,29530.504,109055.464,79524.960,58.924,79466.036,-9055.464,1,9055.464,1,346,48,1
6,4342787439.775,4342787484.408,4342898590.773,31627.745,111150.998,79523.253,44.633,79478.620,-11150.998,1,11150.998,1,346,48,1
7,4342987439.775,4342987476.696,4343101551.569,34607.767,114111.794,79504.027,36.921,79467.106,-14111.794,1,14111.794,1,346,48,1
8,4343187439.775,4343187481.168,4343301729.637,34778.425,114289.862,79511.437,41.393,79470.044,-14289.862,1,14289.862,1,346,48,1
9,4343387439.775,4343387482.341,4343504137.027,37182.624,116697.252,79514.628,42.566,79472.062,-16697.252,1,16697.252,1,346,48,1
10,4343587439.775,4343587481.931,4343704484.072,37534.156,117044.297,79510.141,42.156,79467.985,-17044.297,1,17044.297,1,346,48,1
11,4343787439.775,4343787480.988,4343903652.549,36701.142,116212.774,79511.632,41.213,79470.419,-16212.774,1,16212.774,1,346,48,1
12,4343987439.775,4343987483.609,4344104484.824,37530.040,117045.049,79515.009,43.834,79471.175,-17045.049,1,17045.049,1,346,48,1
13,4344187439.775,4344187480.661,4344303336.173,36386.300,115896.398,79510.098,40.886,79469.212,-15896.398,1,15896.398,1,346,48,1
14,4344387439.775,4344387484.824,4344502816.461,35860.397,115376.686,79516.289,45.049,79471.240,-15376.686,1,15376.686,1,346,48,1
15,4344587439.775,4344587483.750,4344704673.933,37678.286,117234.158,79555.872,43.975,79511.897,-17234.158,1,17234.158,1,346,48,1
16,4344787439.775,4344787482.800,4344991157.748,43737.712,203717.973,159980.261,43.025,159937.236,-103717.973,1,103717.973,2,346,48,2
17,4345087439.775,4345087483.017,4345288600.435,41176.021,201160.660,159984.639,43.242,159941.397,-101160.660,1,101160.660,2,346,48,2
18,4345387439.775,4345387616.305,4345496577.426,29493.090,109137.651,79644.561,176.530,79468.031,-9137.651,1,9137.651,1,346,48,1
19,4345587439.775,4345587479.597,4345698675.207,31730.355,111235.432,79505.077,39.822,79465.255,-11235.432,1,11235.432,1,346,48,1
20,4345787439.775,4345787484.871,4345899962.648,33008.531,112522.873,79514.342,45.096,79469.246,-12522.873,1,12522.873,1,346,48,1
21,4345987439.775,4345987485.998,4346102232.639,35278.776,114792.864,79514.088,46.223,79467.865,-14792.864,1,14792.864,1,346,48,1
22,4346187439.775,4346187488.486,4346304021.793,37057.663,116582.018,79524.355,48.711,79475.644,-16582.018,1,16582.018,1,346,48,1
