# probe kind=matmul M=48 K=52 buf_kb=0 period_us=10000 priority=90 cpu=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,16990884130.261,16990884152.006,16990894410.569,4113.701,10280.308,6166.607,21.745,6144.862,-280.308,1,280.308,1,52,48,1
1,16990904130.261,16990904150.642,16990914406.010,4110.583,10275.749,6165.166,20.381,6144.785,-275.749,1,275.749,1,52,48,1
2,16990924130.261,16990924150.887,16990934409.560,4113.981,10279.299,6165.318,20.626,6144.692,-279.299,1,279.299,1,52,48,1
3,16990944130.261,16990944152.115,16990954415.520,4119.294,10285.259,6165.965,21.854,6144.111,-285.259,1,285.259,1,52,48,1
4,16990964130.261,16990964148.875,16990974404.332,4111.890,10274.071,6162.181,18.614,6143.567,-274.071,1,274.071,1,52,48,1
5,16990984130.261,16990984154.222,16990994408.384,4114.648,10278.123,6163.475,23.961,6139.514,-278.123,1,278.123,1,52,48,1
6,16991004130.261,16991004151.687,16991014403.415,4107.877,10273.154,6165.277,21.426,6143.851,-273.154,1,273.154,1,52,48,1
7,16991024130.261,16991024149.044,16991034403.963,4110.844,10273.702,6162.858,18.783,6144.075,-273.702,1,273.702,1,52,48,1
8,16991044130.261,16991044153.441,16991054419.679,4119.897,10289.418,6169.521,23.180,6146.341,-289.418,1,289.418,1,52,48,1
9,16991064130.261,16991064184.059,16991074449.947,4121.305,10319.686,6198.381,53.798,6144.583,-319.686,1,319.686,1,52,48,1
10,16991084130.261,16991084152.890,16991094494.408,4184.675,10364.147,6179.472,22.629,6156.843,-364.147,1,364.147,1,52,48,1
11,16991104130.261,16991104159.893,16991114418.190,4116.855,10287.929,6171.074,29.632,6141.442,-287.929,1,287.929,1,52,48,1
12,16991124130.261,16991124153.622,16991134428.081,4120.877,10297.820,6176.943,23.361,6153.582,-297.820,1,297.820,1,52,48,1
13,16991144130.261,16991144160.295,16991154425.063,4112.187,10294.802,6182.615,30.034,6152.581,-294.802,1,294.802,1,52,48,1
14,16991164130.261,16991164150.974,16991174404.920,4112.294,10274.659,6162.365,20.713,6141.652,-274.659,1,274.659,1,52,48,1
15,16991184130.261,16991184149.640,16991194403.455,4112.434,10273.194,6160.760,19.379,6141.381,-273.194,1,273.194,1,52,48,1
16,16991204130.261,16991204149.860,16991214403.805,4110.062,10273.544,6163.482,19.599,6143.883,-273.544,1,273.544,1,52,48,1
17,16991224130.261,16991224152.530,16991234412.483,4118.712,10282.222,6163.510,22.269,6141.241,-282.222,1,282.222,1,52,48,1
18,16991244130.261,16991244152.105,16991254405.473,4115.118,10275.212,6160.094,21.844,6138.250,-275.212,1,275.212,1,52,48,1
19,16991264130.261,16991264159.482,16991274417.830,4114.602,10287.569,6172.967,29.221,6143.746,-287.569,1,287.569,1,52,48,1
20,16991284130.261,16991284165.123,16991294425.092,4113.956,10294.831,6180.875,34.862,6146.013,-294.831,1,294.831,1,52,48,1
21,16991304130.261,16991304172.908,16991314433.689,4112.535,10303.428,6190.893,42.647,6148.246,-303.428,1,303.428,1,52,48,1
22,16991324130.261,16991324152.183,16991334405.890,4111.087,10275.629,6164.542,21.922,6142.620,-275.629,1,275.629,1,52,48,1
23,16991344130.261,16991344148.297,16991354401.216,4109.582,10270.955,6161.373,18.036,6143.337,-270.955,1,270.955,1,52,48,1
24,16991364130.261,16991364152.929,16991374406.992,4113.731,10276.731,6163.000,22.668,6140.332,-276.731,1,276.731,1,52,48,1
25,16991384130.261,16991384148.968,16991394727.699,4434.926,10597.438,6162.512,18.707,6143.805,-597.438,1,597.438,1,52,48,1
26,16991404130.261,16991404153.096,16991414479.185,4174.757,10348.924,6174.167,22.835,6151.332,-348.924,1,348.924,1,52,48,1
27,16991424130.261,16991424154.963,16991434420.129,4121.904,10289.868,6167.964,24.702,6143.262,-289.868,1,289.868,1,52,48,1
28,16991444130.261,16991444151.171,16991454405.188,4110.379,10274.927,6164.548,20.910,6143.638,-274.927,1,274.927,1,52,48,1
29,16991464130.261,16991464150.470,16991474417.242,4117.918,10286.981,6169.063,20.209,6148.854,-286.981,1,286.981,1,52,48,1
30,16991484130.261,16991484167.120,16991494506.767,4181.004,10376.506,6195.502,36.859,6158.643,-376.506,1,376.506,1,52,48,1
31,16991504130.261,16991504152.541,16991514411.916,4115.765,10281.655,6165.890,22.280,6143.610,-281.655,1,281.655,1,52,48,1
32,16991524130.261,16991524155.659,16991534421.486,4118.001,10291.225,6173.224,25.398,6147.826,-291.225,1,291.225,1,52,48,1
33,16991544130.261,16991544152.438,16991554407.193,4109.150,10276.932,6167.782,22.177,6145.605,-276.932,1,276.932,1,52,48,1
34,16991564130.261,16991564150.938,16991574405.295,4109.145,10275.034,6165.889,20.677,6145.212,-275.034,1,275.034,1,52,48,1
35,16991584130.261,16991584150.513,16991594425.972,4115.999,10295.711,6179.712,20.252,6159.460,-295.711,1,295.711,1,52,48,1
36,16991604130.261,16991604170.871,16991614430.390,4115.982,10300.129,6184.147,40.610,6143.537,-300.129,1,300.129,1,52,48,1
37,16991624130.261,16991624149.252,16991634405.153,4112.968,10274.892,6161.924,18.991,6142.933,-274.892,1,274.892,1,52,48,1
38,16991644130.261,16991644151.480,16991654404.780,4110.120,10274.519,6164.399,21.219,6143.180,-274.519,1,274.519,1,52,48,1
39,16991664130.261,16991664148.597,16991674403.162,4115.289,10272.901,6157.612,18.336,6139.276,-272.901,1,272.901,1,52,48,1
40,16991684130.261,16991684149.099,16991694407.163,4116.117,10276.902,6160.785,18.838,6141.947,-276.902,1,276.902,1,52,48,1
41,16991704130.261,16991704151.065,16991714407.498,4112.578,10277.237,6164.659,20.804,6143.855,-277.237,1,277.237,1,52,48,1
42,16991724130.261,16991724148.889,16991734399.246,4110.488,10268.985,6158.497,18.628,6139.869,-268.985,1,268.985,1,52,48,1
43,16991744130.261,16991744149.855,16991754400.991,4111.270,10270.730,6159.460,19.594,6139.866,-270.730,1,270.730,1,52,48,1
44,16991764130.261,16991764148.066,16991774397.015,4108.611,10266.754,6158.143,17.805,6140.338,-266.754,1,266.754,1,52,48,1
45,16991784130.261,16991784151.416,16991794406.048,4112.062,10275.787,6163.725,21.155,6142.570,-275.787,1,275.787,1,52,48,1
