# probe kind=matmul M=48 K=101 buf_kb=0 period_us=10000 priority=90 cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,52678203828.123,52678204217.197,52678215666.974,8242.112,11838.851,3596.739,389.074,3207.665,-1838.851,1,1838.851,1,101,48,1
1,52678223828.123,52678223850.339,52678236111.897,8421.914,12283.774,3861.860,22.216,3839.644,-2283.774,1,2283.774,1,101,48,1
2,52678243828.123,52678245122.632,52678256461.795,8220.481,12633.672,4413.191,1294.509,3118.682,-2633.672,1,2633.672,1,101,48,1
3,52678263828.123,52678263854.229,52678276099.395,8399.148,12271.272,3872.124,26.106,3846.018,-2271.272,1,2271.272,1,101,48,1
4,52678283828.123,52678283860.485,52678296709.314,8988.839,12881.191,3892.352,32.362,3859.990,-2881.191,1,2881.191,1,101,48,1
5,52678303828.123,52678303861.946,52678316696.532,8982.100,12868.409,3886.309,33.823,3852.486,-2868.409,1,2868.409,1,101,48,1
6,52678323828.123,52678323882.232,52678336322.981,9093.442,12494.858,3401.416,54.109,3347.307,-2494.858,1,2494.858,1,101,48,1
7,52678343828.123,52678343862.500,52678356790.390,9071.619,12962.267,3890.648,34.377,3856.271,-2962.267,1,2962.267,1,101,48,1
8,52678363828.123,52678363860.382,52678376725.389,8814.718,12897.266,4082.548,32.259,4050.289,-2897.266,1,2897.266,1,101,48,1
9,52678383828.123,52678383863.615,52678396983.822,9274.673,13155.699,3881.026,35.492,3845.534,-3155.699,1,3155.699,1,101,48,1
10,52678403828.123,52678403854.453,52678416325.792,8403.107,12497.669,4094.562,26.330,4068.232,-2497.669,1,2497.669,1,101,48,1
11,52678423828.123,52678423850.998,52678436334.497,8412.229,12506.374,4094.145,22.875,4071.270,-2506.374,1,2506.374,1,101,48,1
12,52678443828.123,52678445656.676,52678457305.368,7968.554,13477.245,5508.691,1828.553,3680.138,-3477.245,1,3477.245,1,101,48,1
13,52678463828.123,52678463850.363,52678476295.985,8416.017,12467.862,4051.845,22.240,4029.605,-2467.862,1,2467.862,1,101,48,1
14,52678483828.123,52678483849.243,52678496103.543,8403.954,12275.420,3871.466,21.120,3850.346,-2275.420,1,2275.420,1,101,48,1
15,52678503828.123,52678503856.954,52678516359.920,8397.503,12531.797,4134.294,28.831,4105.463,-2531.797,1,2531.797,1,101,48,1
16,52678523828.123,52678523853.638,52678536102.300,8404.861,12274.177,3869.316,25.515,3843.801,-2274.177,1,2274.177,1,101,48,1
17,52678543828.123,52678543849.693,52678556109.227,8404.103,12281.104,3877.001,21.570,3855.431,-2281.104,1,2281.104,1,101,48,1
18,52678563828.123,52678563854.797,52678576125.894,8410.035,12297.771,3887.736,26.674,3861.062,-2297.771,1,2297.771,1,101,48,1
19,52678583828.123,52678583855.134,52678596295.223,8416.103,12467.100,4050.997,27.011,4023.986,-2467.100,1,2467.100,1,101,48,1
20,52678603828.123,52678603850.267,52678616102.798,8403.242,12274.675,3871.433,22.144,3849.289,-2274.675,1,2274.675,1,101,48,1
21,52678623828.123,52678623848.902,52678636101.183,8403.429,12273.060,3869.631,20.779,3848.852,-2273.060,1,2273.060,1,101,48,1
22,52678643828.123,52678643854.321,52678656267.769,8405.629,12439.646,4034.017,26.198,4007.819,-2439.646,1,2439.646,1,101,48,1
23,52678663828.123,52678663852.571,52678676236.619,8407.515,12408.496,4000.981,24.448,3976.533,-2408.496,1,2408.496,1,101,48,1
24,52678683828.123,52678683851.925,52678696439.920,8412.782,12611.797,4199.015,23.802,4175.213,-2611.797,1,2611.797,1,101,48,1
25,52678703828.123,52678703849.905,52678716099.002,8403.793,12270.879,3867.086,21.782,3845.304,-2270.879,1,2270.879,1,101,48,1
26,52678723828.123,52678723850.919,52678736122.272,8415.096,12294.149,3879.053,22.796,3856.257,-2294.149,1,2294.149,1,101,48,1
27,52678743828.123,52678743856.142,52678756156.646,8448.146,12328.523,3880.377,28.019,3852.358,-2328.523,1,2328.523,1,101,48,1
28,52678763828.123,52678763854.314,52678776327.930,8413.557,12499.807,4086.250,26.191,4060.059,-2499.807,1,2499.807,1,101,48,1
29,52678783828.123,52678783863.174,52678798120.192,10408.625,14292.069,3883.444,35.051,3848.393,-4292.069,1,4292.069,1,101,48,1
30,52678803828.123,52678803853.299,52678816104.986,8405.616,12276.863,3871.247,25.176,3846.071,-2276.863,1,2276.863,1,101,48,1
31,52678823828.123,52678823852.537,52678836136.186,8441.164,12308.063,3866.899,24.414,3842.485,-2308.063,1,2308.063,1,101,48,1
32,52678843828.123,52678843854.410,52678856133.887,8431.514,12305.764,3874.250,26.287,3847.963,-2305.764,1,2305.764,1,101,48,1
33,52678863828.123,52678863849.260,52678876126.860,8427.856,12298.737,3870.881,21.137,3849.744,-2298.737,1,2298.737,1,101,48,1
34,52678883828.123,52678883921.137,52678896242.772,8362.111,12414.649,4052.538,93.014,3959.524,-2414.649,1,2414.649,1,101,48,1
35,52678903828.123,52678903848.932,52678916097.039,8403.592,12268.916,3865.324,20.809,3844.515,-2268.916,1,2268.916,1,101,48,1
36,52678923828.123,52678927169.932,52678939437.347,8759.434,15609.224,6849.790,3341.809,3507.981,-5609.224,1,5609.224,1,101,48,1
37,52678943828.123,52678943848.378,52678956093.610,8395.837,12265.487,3869.650,20.255,3849.395,-2265.487,1,2265.487,1,101,48,1
38,52678963828.123,52678963864.792,52678976163.698,8454.490,12335.575,3881.085,36.669,3844.416,-2335.575,1,2335.575,1,101,48,1
39,52678983828.123,52678983849.224,52678996097.138,8402.441,12269.015,3866.574,21.101,3845.473,-2269.015,1,2269.015,1,101,48,1
40,52679003828.123,52679003851.643,52679016103.387,8406.373,12275.264,3868.891,23.520,3845.371,-2275.264,1,2275.264,1,101,48,1
41,52679023828.123,52679023872.177,52679036119.277,8399.616,12291.154,3891.538,44.054,3847.484,-2291.154,1,2291.154,1,101,48,1
42,52679043828.123,52679043846.553,52679056098.954,8409.789,12270.831,3861.042,18.430,3842.612,-2270.831,1,2270.831,1,101,48,1
43,52679063828.123,52679063848.873,52679076100.411,8405.775,12272.288,3866.513,20.750,3845.763,-2272.288,1,2272.288,1,101,48,1
44,52679083828.123,52679083848.302,52679096100.994,8403.334,12272.871,3869.537,20.179,3849.358,-2272.871,1,2272.871,1,101,48,1
45,52679103828.123,52679103854.135,52679116098.228,8390.780,12270.105,3879.325,26.012,3853.313,-2270.105,1,2270.105,1,101,48,1
46,52679123828.123,52679123860.847,52679136106.788,8392.399,12278.665,3886.266,32.724,3853.542,-2278.665,1,2278.665,1,101,48,1
47,52679143828.123,52679143850.239,52679156096.325,8398.313,12268.202,3869.889,22.116,3847.773,-2268.202,1,2268.202,1,101,48,1
48,52679163828.123,52679163852.292,52679176099.642,8402.058,12271.519,3869.461,24.169,3845.292,-2271.519,1,2271.519,1,101,48,1
49,52679183828.123,52679183850.086,52679196093.438,8397.925,12265.315,3867.390,21.963,3845.427,-2265.315,1,2265.315,1,101,48,1
50,52679203828.123,52679203849.415,52679216097.252,8397.913,12269.129,3871.216,21.292,3849.924,-2269.129,1,2269.129,1,101,48,1
51,52679223828.123,52679223855.797,52679236107.547,8405.692,12279.424,3873.732,27.674,3846.058,-2279.424,1,2279.424,1,101,48,1
52,52679243828.123,52679244100.798,52679255073.923,7881.865,11245.800,3363.935,272.675,3091.260,-1245.800,1,1245.800,1,101,48,1
53,52679263828.123,52679263860.224,52679276107.067,8403.140,12278.944,3875.804,32.101,3843.703,-2278.944,1,2278.944,1,101,48,1
54,52679283828.123,52679283846.920,52679296082.982,8391.748,12254.859,3863.111,18.797,3844.314,-2254.859,1,2254.859,1,101,48,1
55,52679303828.123,52679303846.165,52679316088.830,8396.914,12260.707,3863.793,18.042,3845.751,-2260.707,1,2260.707,1,101,48,1
56,52679323828.123,52679325286.508,52679336751.454,8190.889,12923.331,4732.442,1458.385,3274.057,-2923.331,1,2923.331,1,101,48,1
57,52679343828.123,52679343856.667,52679356102.823,8398.193,12274.700,3876.507,28.544,3847.963,-2274.700,1,2274.700,1,101,48,1
