# probe kind=matmul M=48 K=95 buf_kb=0 period_us=100000 priority=90 cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,13969098698.094,13969101231.810,13969108258.641,7025.242,9560.547,2535.305,2533.716,1.589,90439.453,0,0.000,0,95,48,0
1,13969198698.094,13969198749.546,13969205772.550,7021.288,7074.456,53.168,51.452,1.716,92925.544,0,0.000,0,95,48,0
2,13969298698.094,13969298747.251,13969305766.769,7017.751,7068.675,50.924,49.157,1.767,92931.325,0,0.000,0,95,48,0
3,13969398698.094,13969398768.815,13969405789.445,7018.902,7091.351,72.449,70.721,1.728,92908.649,0,0.000,0,95,48,0
4,13969498698.094,13969498747.304,13969505766.568,7017.387,7068.474,51.087,49.210,1.877,92931.526,0,0.000,0,95,48,0
5,13969598698.094,13969598749.041,13969605772.527,7021.290,7074.433,53.143,50.947,2.196,92925.567,0,0.000,0,95,48,0
6,13969698698.094,13969698750.652,13969705834.293,7081.785,7136.199,54.414,52.558,1.856,92863.801,0,0.000,0,95,48,0
7,13969798698.094,13969798973.109,13969807013.590,8038.438,8315.496,277.058,275.015,2.043,91684.504,0,0.000,0,95,48,0
8,13969898698.094,13969898752.642,13969905771.282,7016.939,7073.188,56.249,54.548,1.701,92926.812,0,0.000,0,95,48,0
9,13969998698.094,13969998747.171,13970005761.582,7012.911,7063.488,50.577,49.077,1.500,92936.512,0,0.000,0,95,48,0
10,13970098698.094,13970098751.958,13970107208.192,8453.853,8510.098,56.245,53.864,2.381,91489.902,0,0.000,0,95,48,0
11,13970198698.094,13970198997.227,13970206017.434,7018.410,7319.340,300.930,299.133,1.797,92680.660,0,0.000,0,95,48,0
12,13970298698.094,13970298910.049,13970305932.556,7020.257,7234.462,214.205,211.955,2.250,92765.538,0,0.000,0,95,48,0
13,13970398698.094,13970398917.739,13970405935.907,7016.263,7237.813,221.550,219.645,1.905,92762.187,0,0.000,0,95,48,0
14,13970498698.094,13970499119.431,13970506132.832,7012.042,7434.738,422.696,421.337,1.359,92565.262,0,0.000,0,95,48,0
15,13970598698.094,13970599063.199,13970606074.607,7009.565,7376.513,366.948,365.105,1.843,92623.487,0,0.000,0,95,48,0
16,13970698698.094,13970698923.469,13970705936.117,7010.172,7238.023,227.851,225.375,2.476,92761.977,0,0.000,0,95,48,0
17,13970798698.094,13970802966.368,13970809985.100,7017.206,11287.006,4269.800,4268.274,1.526,88712.994,0,0.000,0,95,48,0
