# probe kind=matmul M=48 K=88 buf_kb=0 period_us=10000 priority=90 cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,49565116872.328,49565116893.125,49565123497.245,6603.033,6624.917,21.884,20.797,1.087,3375.083,0,0.000,0,88,48,0
1,49565126872.328,49565126890.860,49565133494.950,6603.071,6622.622,19.551,18.532,1.019,3377.378,0,0.000,0,88,48,0
2,49565136872.328,49565136891.119,49565143500.349,6608.262,6628.021,19.759,18.791,0.968,3371.979,0,0.000,0,88,48,0
3,49565146872.328,49565146890.998,49565153503.684,6611.699,6631.356,19.657,18.670,0.987,3368.644,0,0.000,0,88,48,0
4,49565156872.328,49565156891.037,49565163508.802,6616.758,6636.474,19.716,18.709,1.007,3363.526,0,0.000,0,88,48,0
5,49565166872.328,49565166891.006,49565173509.072,6617.059,6636.744,19.685,18.678,1.007,3363.256,0,0.000,0,88,48,0
6,49565176872.328,49565176894.381,49565183514.821,6619.473,6642.493,23.020,22.053,0.967,3357.507,0,0.000,0,88,48,0
7,49565186872.328,49565186891.274,49565193529.487,6637.135,6657.159,20.024,18.946,1.078,3342.841,0,0.000,0,88,48,0
8,49565196872.328,49565196891.814,49565203529.516,6636.665,6657.188,20.523,19.486,1.037,3342.812,0,0.000,0,88,48,0
9,49565206872.328,49565206890.961,49565213529.134,6637.166,6656.806,19.640,18.633,1.007,3343.194,0,0.000,0,88,48,0
10,49565216872.328,49565216891.662,49565223531.899,6639.260,6659.571,20.311,19.334,0.977,3340.429,0,0.000,0,88,48,0
11,49565226872.328,49565226891.590,49565233536.356,6643.768,6664.028,20.260,19.262,0.998,3335.972,0,0.000,0,88,48,0
12,49565236872.328,49565236891.529,49565243547.445,6654.929,6675.117,20.188,19.201,0.987,3324.883,0,0.000,0,88,48,0
13,49565246872.328,49565246890.987,49565253541.813,6649.789,6669.485,19.696,18.659,1.037,3330.515,0,0.000,0,88,48,0
14,49565256872.328,49565256891.687,49565263547.172,6654.518,6674.844,20.326,19.359,0.967,3325.156,0,0.000,0,88,48,0
15,49565266872.328,49565266891.446,49565273546.390,6653.988,6674.062,20.074,19.118,0.956,3325.938,0,0.000,0,88,48,0
16,49565276872.328,49565276891.094,49565283552.290,6660.199,6679.962,19.763,18.766,0.997,3320.038,0,0.000,0,88,48,0
17,49565286872.328,49565286892.135,49565293556.987,6663.825,6684.659,20.834,19.807,1.027,3315.341,0,0.000,0,88,48,0
18,49565296872.328,49565296890.761,49565303564.390,6672.632,6692.062,19.430,18.433,0.997,3307.938,0,0.000,0,88,48,0
19,49565306872.328,49565306891.101,49565313569.649,6677.531,6697.321,19.790,18.773,1.017,3302.679,0,0.000,0,88,48,0
