# probe kind=primes M=48 K=9 period_us=10000 priority=90 cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,8032358038.649,8032358060.629,8032361626.598,3564.025,3587.949,23.924,21.980,1.944,6412.051,0,0.000,0,9,48,0
1,8032368038.649,8032368056.052,8032371420.994,3364.396,3382.345,17.949,17.403,0.546,6617.655,0,0.000,0,9,48,0
2,8032378038.649,8032378059.210,8032381523.827,3463.988,3485.178,21.190,20.561,0.629,6514.822,0,0.000,0,9,48,0
3,8032388038.649,8032388059.051,8032391349.842,3290.365,3311.193,20.828,20.402,0.426,6688.807,0,0.000,0,9,48,0
4,8032398038.649,8032398058.136,8032401527.372,3468.808,3488.723,19.915,19.487,0.428,6511.277,0,0.000,0,9,48,0
5,8032408038.649,8032408055.842,8032411369.652,3313.340,3331.003,17.663,17.193,0.470,6668.997,0,0.000,0,9,48,0
6,8032418038.649,8032418056.881,8032421510.267,3452.882,3471.618,18.736,18.232,0.504,6528.382,0,0.000,0,9,48,0
7,8032428038.649,8032428057.161,8032431429.419,3371.845,3390.770,18.925,18.512,0.413,6609.230,0,0.000,0,9,48,0
8,8032438038.649,8032438057.302,8032441448.315,3390.463,3409.666,19.203,18.653,0.550,6590.334,0,0.000,0,9,48,0
9,8032448038.649,8032448057.347,8032451495.601,3437.866,3456.952,19.086,18.698,0.388,6543.048,0,0.000,0,9,48,0
10,8032458038.649,8032458055.802,8032461482.281,3426.068,3443.632,17.564,17.153,0.411,6556.368,0,0.000,0,9,48,0
11,8032468038.649,8032468059.053,8032471454.291,3394.788,3415.642,20.854,20.404,0.450,6584.358,0,0.000,0,9,48,0
12,8032478038.649,8032478058.574,8032481394.449,3335.473,3355.800,20.327,19.925,0.402,6644.200,0,0.000,0,9,48,0
13,8032488038.649,8032488058.656,8032491417.060,3357.938,3378.411,20.473,20.007,0.466,6621.589,0,0.000,0,9,48,0
14,8032498038.649,8032498059.020,8032501527.473,3468.016,3488.824,20.808,20.371,0.437,6511.176,0,0.000,0,9,48,0
15,8032508038.649,8032508059.417,8032511485.715,3425.790,3447.066,21.276,20.768,0.508,6552.934,0,0.000,0,9,48,0
16,8032518038.649,8032518058.876,8032521460.177,3400.810,3421.528,20.718,20.227,0.491,6578.472,0,0.000,0,9,48,0
17,8032528038.649,8032528058.142,8032531671.471,3612.950,3632.822,19.872,19.493,0.379,6367.178,0,0.000,0,9,48,0
18,8032538038.649,8032538060.384,8032541361.352,3300.459,3322.703,22.244,21.735,0.509,6677.297,0,0.000,0,9,48,0
19,8032548038.649,8032548059.215,8032551503.983,3444.296,3465.334,21.038,20.566,0.472,6534.666,0,0.000,0,9,48,0
20,8032558038.649,8032558059.590,8032561510.670,3450.591,3472.021,21.430,20.941,0.489,6527.979,0,0.000,0,9,48,0
21,8032568038.649,8032568057.479,8032571435.664,3377.710,3397.015,19.305,18.830,0.475,6602.985,0,0.000,0,9,48,0
22,8032578038.649,8032578058.032,8032581470.114,3411.689,3431.465,19.776,19.383,0.393,6568.535,0,0.000,0,9,48,0
23,8032588038.649,8032588056.297,8032591563.290,3506.479,3524.641,18.162,17.648,0.514,6475.359,0,0.000,0,9,48,0
24,8032598038.649,8032598056.268,8032601417.308,3360.601,3378.659,18.058,17.619,0.439,6621.341,0,0.000,0,9,48,0
25,8032608038.649,8032608055.576,8032611471.366,3415.333,3432.717,17.384,16.927,0.457,6567.283,0,0.000,0,9,48,0
26,8032618038.649,8032618060.863,8032621512.459,3451.055,3473.810,22.755,22.214,0.541,6526.190,0,0.000,0,9,48,0
27,8032628038.649,8032628055.949,8032631422.710,3366.244,3384.061,17.817,17.300,0.517,6615.939,0,0.000,0,9,48,0
28,8032638038.649,8032638055.804,8032641597.190,3540.902,3558.541,17.639,17.155,0.484,6441.459,0,0.000,0,9,48,0
29,8032648038.649,8032648055.933,8032651437.024,3380.685,3398.375,17.690,17.284,0.406,6601.625,0,0.000,0,9,48,0
30,8032658038.649,8032658060.253,8032661406.473,3345.741,3367.824,22.083,21.604,0.479,6632.176,0,0.000,0,9,48,0
31,8032668038.649,8032668061.023,8032671512.728,3451.149,3474.079,22.930,22.374,0.556,6525.921,0,0.000,0,9,48,0
32,8032678038.649,8032678058.205,8032681438.164,3379.065,3399.515,20.450,19.556,0.894,6600.485,0,0.000,0,9,48,0
33,8032688038.649,8032688058.414,8032691446.759,3387.746,3408.110,20.364,19.765,0.599,6591.890,0,0.000,0,9,48,0
34,8032698038.649,8032698058.802,8032701541.823,3482.552,3503.174,20.622,20.153,0.469,6496.826,0,0.000,0,9,48,0
35,8032708038.649,8032708058.041,8032711514.503,3456.011,3475.854,19.843,19.392,0.451,6524.146,0,0.000,0,9,48,0
36,8032718038.649,8032718056.532,8032721440.323,3383.345,3401.674,18.329,17.883,0.446,6598.326,0,0.000,0,9,48,0
37,8032728038.649,8032728056.405,8032731427.535,3370.611,3388.886,18.275,17.756,0.519,6611.114,0,0.000,0,9,48,0
38,8032738038.649,8032738056.837,8032741606.154,3548.922,3567.505,18.583,18.188,0.395,6432.495,0,0.000,0,9,48,0
39,8032748038.649,8032748055.087,8032751458.176,3402.658,3419.527,16.869,16.438,0.431,6580.473,0,0.000,0,9,48,0
40,8032758038.649,8032758057.823,8032761362.339,3304.039,3323.690,19.651,19.174,0.477,6676.310,0,0.000,0,9,48,0
41,8032768038.649,8032768057.072,8032771331.031,3273.200,3292.382,19.182,18.423,0.759,6707.618,0,0.000,0,9,48,0
42,8032778038.649,8032778056.968,8032781476.366,3418.825,3437.717,18.892,18.319,0.573,6562.283,0,0.000,0,9,48,0
43,8032788038.649,8032788056.817,8032791499.471,3442.152,3460.822,18.670,18.168,0.502,6539.178,0,0.000,0,9,48,0
44,8032798038.649,8032798057.913,8032801452.177,3393.584,3413.528,19.944,19.264,0.680,6586.472,0,0.000,0,9,48,0
45,8032808038.649,8032808056.373,8032811406.811,3349.960,3368.162,18.202,17.724,0.478,6631.838,0,0.000,0,9,48,0
46,8032818038.649,8032818057.265,8032821551.942,3494.270,3513.293,19.023,18.616,0.407,6486.707,0,0.000,0,9,48,0
47,8032828038.649,8032828056.575,8032831552.725,3495.729,3514.076,18.347,17.926,0.421,6485.924,0,0.000,0,9,48,0
48,8032838038.649,8032838055.669,8032841431.461,3375.194,3392.812,17.618,17.020,0.598,6607.188,0,0.000,0,9,48,0
49,8032848038.649,8032848056.498,8032851387.393,3329.953,3348.744,18.791,17.849,0.942,6651.256,0,0.000,0,9,48,0
50,8032858038.649,8032858057.711,8032861546.869,3488.624,3508.220,19.596,19.062,0.534,6491.780,0,0.000,0,9,48,0
51,8032868038.649,8032868058.352,8032871490.986,3432.086,3452.337,20.251,19.703,0.548,6547.663,0,0.000,0,9,48,0
52,8032878038.649,8032878056.313,8032881520.583,3463.703,3481.934,18.231,17.664,0.567,6518.066,0,0.000,0,9,48,0
53,8032888038.649,8032888057.421,8032891400.591,3342.513,3361.942,19.429,18.772,0.657,6638.058,0,0.000,0,9,48,0
54,8032898038.649,8032898060.400,8032901539.958,3479.013,3501.309,22.296,21.751,0.545,6498.691,0,0.000,0,9,48,0
55,8032908038.649,8032908057.557,8032911468.265,3410.052,3429.616,19.564,18.908,0.656,6570.384,0,0.000,0,9,48,0
56,8032918038.649,8032918056.768,8032921392.913,3335.318,3354.264,18.946,18.119,0.827,6645.736,0,0.000,0,9,48,0
