# probe kind=primes M=48 K=74 period_us=100000 priority=90 cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,15071128826.932,15071128883.909,15071157624.532,28738.154,28797.600,59.446,56.977,2.469,71202.400,0,0.000,0,74,48,0
1,15071228826.932,15071229120.105,15071257902.033,28779.858,29075.101,295.243,293.173,2.070,70924.899,0,0.000,0,74,48,0
2,15071328826.932,15071329010.229,15071357672.343,28659.975,28845.411,185.436,183.297,2.139,71154.589,0,0.000,0,74,48,0
3,15071428826.932,15071429000.484,15071457731.767,28719.741,28904.835,185.094,173.552,11.542,71095.165,0,0.000,0,74,48,0
4,15071528826.932,15071529016.438,15071557753.276,28734.754,28926.344,191.590,189.506,2.084,71073.656,0,0.000,0,74,48,0
5,15071628826.932,15071629029.221,15071658253.638,29222.165,29426.706,204.541,202.289,2.252,70573.294,0,0.000,0,74,48,0
6,15071728826.932,15071729036.102,15071757855.674,28817.314,29028.742,211.428,209.170,2.258,70971.258,0,0.000,0,74,48,0
7,15071828826.932,15071828997.642,15071858187.882,29188.033,29360.950,172.917,170.710,2.207,70639.050,0,0.000,0,74,48,0
8,15071928826.932,15071928875.173,15071957499.401,28622.143,28672.469,50.326,48.241,2.085,71327.531,0,0.000,0,74,48,0
9,15072028826.932,15072029053.563,15072057897.859,28842.306,29070.927,228.621,226.631,1.990,70929.073,0,0.000,0,74,48,0
10,15072128826.932,15072128994.661,15072157786.027,28788.978,28959.095,170.117,167.729,2.388,71040.905,0,0.000,0,74,48,0
11,15072228826.932,15072229067.642,15072257741.529,28671.482,28914.597,243.115,240.710,2.405,71085.403,0,0.000,0,74,48,0
12,15072328826.932,15072328876.806,15072357295.889,28417.226,28468.957,51.731,49.874,1.857,71531.043,0,0.000,0,74,48,0
13,15072428826.932,15072428986.223,15072457509.636,28521.469,28682.704,161.235,159.291,1.944,71317.296,0,0.000,0,74,48,0
14,15072528826.932,15072528881.843,15072557862.179,28978.095,29035.247,57.152,54.911,2.241,70964.753,0,0.000,0,74,48,0
15,15072628826.932,15072628882.187,15072657583.721,28699.016,28756.789,57.773,55.255,2.518,71243.211,0,0.000,0,74,48,0
16,15072728826.932,15072728880.683,15072757530.259,28647.235,28703.327,56.092,53.751,2.341,71296.673,0,0.000,0,74,48,0
17,15072828826.932,15072828992.240,15072857376.629,28381.764,28549.697,167.933,165.308,2.625,71450.303,0,0.000,0,74,48,0
18,15072928826.932,15072929054.994,15072957612.859,28555.812,28785.927,230.115,228.062,2.053,71214.073,0,0.000,0,74,48,0
19,15073028826.932,15073029030.542,15073057300.758,28268.235,28473.826,205.591,203.610,1.981,71526.174,0,0.000,0,74,48,0
20,15073128826.932,15073129042.744,15073157678.721,28633.986,28851.789,217.803,215.812,1.991,71148.211,0,0.000,0,74,48,0
21,15073228826.932,15073228890.708,15073257702.979,28810.415,28876.047,65.632,63.776,1.856,71123.953,0,0.000,0,74,48,0
22,15073328826.932,15073328877.372,15073357253.479,28374.506,28426.547,52.041,50.440,1.601,71573.453,0,0.000,0,74,48,0
23,15073428826.932,15073429008.685,15073457647.042,28636.051,28820.110,184.059,181.753,2.306,71179.890,0,0.000,0,74,48,0
24,15073528826.932,15073528991.344,15073557422.991,28429.660,28596.059,166.399,164.412,1.987,71403.941,0,0.000,0,74,48,0
25,15073628826.932,15073628987.860,15073657767.831,28777.622,28940.899,163.277,160.928,2.349,71059.101,0,0.000,0,74,48,0
26,15073728826.932,15073729034.096,15073757760.259,28723.809,28933.327,209.518,207.164,2.354,71066.673,0,0.000,0,74,48,0
27,15073828826.932,15073828879.636,15073857370.179,28488.447,28543.247,54.800,52.704,2.096,71456.753,0,0.000,0,74,48,0
28,15073928826.932,15073928884.138,15073957113.856,28227.322,28286.924,59.602,57.206,2.396,71713.076,0,0.000,0,74,48,0
29,15074028826.932,15074029029.612,15074057141.584,28109.854,28314.652,204.798,202.680,2.118,71685.348,0,0.000,0,74,48,0
30,15074128826.932,15074129012.239,15074157509.902,28495.434,28682.970,187.536,185.307,2.229,71317.030,0,0.000,0,74,48,0
31,15074228826.932,15074228996.320,15074257561.977,28563.350,28735.045,171.695,169.388,2.307,71264.955,0,0.000,0,74,48,0
32,15074328826.932,15074328879.799,15074357343.935,28461.931,28517.003,55.072,52.867,2.205,71482.997,0,0.000,0,74,48,0
33,15074428826.932,15074428993.914,15074457685.299,28689.140,28858.367,169.227,166.982,2.245,71141.633,0,0.000,0,74,48,0
34,15074528826.932,15074528998.999,15074557834.943,28824.664,29008.011,183.347,172.067,11.280,70991.989,0,0.000,0,74,48,0
35,15074628826.932,15074629018.121,15074658028.435,29007.732,29201.503,193.771,191.189,2.582,70798.497,0,0.000,0,74,48,0
36,15074728826.932,15074728874.488,15074757378.094,28501.502,28551.162,49.660,47.556,2.104,71448.838,0,0.000,0,74,48,0
37,15074828826.932,15074828995.045,15074857618.456,28621.308,28791.524,170.216,168.113,2.103,71208.476,0,0.000,0,74,48,0
38,15074928826.932,15074928999.091,15074957533.809,28523.043,28706.877,183.834,172.159,11.675,71293.123,0,0.000,0,74,48,0
39,15075028826.932,15075029010.094,15075057917.016,28904.506,29090.084,185.578,183.162,2.416,70909.916,0,0.000,0,74,48,0
40,15075128826.932,15075129013.105,15075157632.331,28616.792,28805.399,188.607,186.173,2.434,71194.601,0,0.000,0,74,48,0
41,15075228826.932,15075228995.871,15075257594.758,28596.445,28767.826,171.381,168.939,2.442,71232.174,0,0.000,0,74,48,0
42,15075328826.932,15075328879.350,15075357728.701,28846.871,28901.769,54.898,52.418,2.480,71098.231,0,0.000,0,74,48,0
43,15075428826.932,15075429021.588,15075457455.505,28431.686,28628.573,196.887,194.656,2.231,71371.427,0,0.000,0,74,48,0
44,15075528826.932,15075529057.404,15075557618.840,28558.958,28791.908,232.950,230.472,2.478,71208.092,0,0.000,0,74,48,0
45,15075628826.932,15075629090.469,15075657138.282,28045.787,28311.350,265.563,263.537,2.026,71688.650,0,0.000,0,74,48,0
46,15075728826.932,15075728885.900,15075758072.012,29183.883,29245.080,61.197,58.968,2.229,70754.920,0,0.000,0,74,48,0
47,15075828826.932,15075828997.149,15075857440.016,28440.364,28613.084,172.720,170.217,2.503,71386.916,0,0.000,0,74,48,0
48,15075928826.932,15075928998.490,15075957628.999,28628.080,28802.067,173.987,171.558,2.429,71197.933,0,0.000,0,74,48,0
49,15076028826.932,15076028883.313,15076057719.507,28833.963,28892.575,58.612,56.381,2.231,71107.425,0,0.000,0,74,48,0
50,15076128826.932,15076128883.078,15076157782.080,28896.348,28955.148,58.800,56.146,2.654,71044.852,0,0.000,0,74,48,0
51,15076228826.932,15076228889.217,15076257825.851,28934.379,28998.919,64.540,62.285,2.255,71001.081,0,0.000,0,74,48,0
