# probe kind=matmul M=48 K=1545 buf_kb=0 period_us=100000 priority=90 cpu=0 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,5527779559.941,5527779575.588,5527843821.114,64244.564,64261.173,16.609,15.647,0.962,35738.827,0,0.000,0,1545,48,0
1,5527879559.941,5527879567.661,5527944097.498,64530.275,64537.557,7.282,7.720,-0.438,35462.443,0,0.000,0,1545,48,0
2,5527979559.941,5527979568.508,5528044085.884,64517.788,64525.943,8.155,8.567,-0.412,35474.057,0,0.000,0,1545,48,0
3,5528079559.941,5528079568.313,5528144074.049,64506.167,64514.108,7.941,8.372,-0.431,35485.892,0,0.000,0,1545,48,0
4,5528179559.941,5528179573.257,5528243850.604,64276.989,64290.663,13.674,13.316,0.358,35709.337,0,0.000,0,1545,48,0
5,5528279559.941,5528279572.661,5528343608.312,64035.269,64048.371,13.102,12.720,0.382,35951.629,0,0.000,0,1545,48,0
6,5528379559.941,5528379568.352,5528443931.403,64363.451,64371.462,8.011,8.411,-0.400,35628.538,0,0.000,0,1545,48,0
7,5528479559.941,5528479572.249,5528544026.966,64454.782,64467.025,12.243,12.308,-0.065,35532.975,0,0.000,0,1545,48,0
8,5528579559.941,5528579570.537,5528643769.072,64198.700,64209.131,10.431,10.596,-0.165,35790.869,0,0.000,0,1545,48,0
9,5528679559.941,5528679567.909,5528744116.222,64542.161,64556.281,14.120,7.968,6.152,35443.719,0,0.000,1,1545,48,0
10,5528779559.941,5528779567.598,5528844155.766,64588.645,64595.825,7.180,7.657,-0.477,35404.175,0,0.000,0,1545,48,0
11,5528879559.941,5528879573.451,5528943875.724,64301.848,64315.783,13.935,13.510,0.425,35684.217,0,0.000,0,1545,48,0
12,5528979559.941,5528979570.916,5529044295.424,64724.702,64735.483,10.781,10.975,-0.194,35264.517,0,0.000,0,1545,48,0
13,5529079559.941,5529079572.853,5529143729.374,64156.279,64169.433,13.154,12.912,0.242,35830.567,0,0.000,0,1545,48,0
14,5529179559.941,5529179572.928,5529243937.761,64364.652,64377.820,13.168,12.987,0.181,35622.180,0,0.000,0,1545,48,0
15,5529279559.941,5529279567.722,5529343992.808,64425.516,64432.867,7.351,7.781,-0.430,35567.133,0,0.000,0,1545,48,0
16,5529379559.941,5529379568.095,5529443994.983,64427.355,64435.042,7.687,8.154,-0.467,35564.958,0,0.000,0,1545,48,0
17,5529479559.941,5529479567.761,5529543767.352,64200.039,64207.411,7.372,7.820,-0.448,35792.589,0,0.000,0,1545,48,0
18,5529579559.941,5529579567.624,5529644018.404,64451.228,64458.463,7.235,7.683,-0.448,35541.537,0,0.000,0,1545,48,0
19,5529679559.941,5529679566.883,5529743895.206,64328.814,64335.265,6.451,6.942,-0.491,35664.735,0,0.000,0,1545,48,0
20,5529779559.941,5529779567.006,5529844028.704,64462.164,64468.763,6.599,7.065,-0.466,35531.237,0,0.000,0,1545,48,0
21,5529879559.941,5529879567.536,5529944225.042,64657.978,64665.101,7.123,7.595,-0.472,35334.899,0,0.000,0,1545,48,0
22,5529979559.941,5529979567.831,5530044085.795,64518.383,64525.854,7.471,7.890,-0.419,35474.146,0,0.000,0,1545,48,0
23,5530079559.941,5530079567.745,5530144034.717,64467.380,64474.776,7.396,7.804,-0.408,35525.224,0,0.000,0,1545,48,0
24,5530179559.941,5530179572.389,5530243898.008,64325.642,64338.067,12.425,12.448,-0.023,35661.933,0,0.000,0,1545,48,0
25,5530279559.941,5530279566.881,5530344065.351,64498.932,64505.410,6.478,6.940,-0.462,35494.590,0,0.000,0,1545,48,0
26,5530379559.941,5530379566.524,5530444119.283,64553.229,64559.342,6.113,6.583,-0.470,35440.658,0,0.000,0,1545,48,0
27,5530479559.941,5530479572.212,5530544165.402,64592.997,64605.461,12.464,12.271,0.193,35394.539,0,0.000,0,1545,48,0
28,5530579559.941,5530579569.366,5530644038.197,64469.087,64478.256,9.169,9.425,-0.256,35521.744,0,0.000,0,1545,48,0
29,5530679559.941,5530679568.060,5530744036.094,64468.462,64476.153,7.691,8.119,-0.428,35523.847,0,0.000,0,1545,48,0
30,5530779559.941,5530779566.115,5530844279.960,64714.330,64720.019,5.689,6.174,-0.485,35279.981,0,0.000,0,1545,48,0
31,5530879559.941,5530879568.220,5530943967.209,64399.472,64407.268,7.796,8.279,-0.483,35592.732,0,0.000,0,1545,48,0
32,5530979559.941,5530979569.259,5531043831.569,64262.700,64271.628,8.928,9.318,-0.390,35728.372,0,0.000,0,1545,48,0
33,5531079559.941,5531079571.384,5531143601.985,64030.547,64042.044,11.497,11.443,0.054,35957.956,0,0.000,0,1545,48,0
34,5531179559.941,5531179571.494,5531243963.002,64391.373,64403.061,11.688,11.553,0.135,35596.939,0,0.000,0,1545,48,0
35,5531279559.941,5531279568.192,5531343943.997,64376.120,64384.056,7.936,8.251,-0.315,35615.944,0,0.000,0,1545,48,0
36,5531379559.941,5531379567.814,5531443990.531,64423.146,64430.590,7.444,7.873,-0.429,35569.410,0,0.000,0,1545,48,0
37,5531479559.941,5531479567.313,5531544141.255,64574.414,64581.314,6.900,7.372,-0.472,35418.686,0,0.000,0,1545,48,0
38,5531579559.941,5531579568.961,5531643961.589,64393.075,64401.648,8.573,9.020,-0.447,35598.352,0,0.000,0,1545,48,0
39,5531679559.941,5531679567.459,5531743726.018,64159.023,64166.077,7.054,7.518,-0.464,35833.923,0,0.000,0,1545,48,0
40,5531779559.941,5531779567.679,5531843821.229,64254.045,64261.288,7.243,7.738,-0.495,35738.712,0,0.000,0,1545,48,0
