# probe kind=matmul M=48 K=165 buf_kb=0 period_us=10000 priority=90 cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,9326181906.470,9326181931.190,9326188849.011,6915.902,6942.541,26.639,24.720,1.919,3057.459,0,0.000,0,165,48,0
1,9326191906.470,9326191924.994,9326198794.109,6868.447,6887.639,19.192,18.524,0.668,3112.361,0,0.000,0,165,48,0
2,9326201906.470,9326201924.490,9326208839.419,6914.377,6932.949,18.572,18.020,0.552,3067.051,0,0.000,0,165,48,0
3,9326211906.470,9326211925.997,9326218814.641,6887.983,6908.171,20.188,19.527,0.661,3091.829,0,0.000,0,165,48,0
4,9326221906.470,9326221924.790,9326228766.319,6840.885,6859.849,18.964,18.320,0.644,3140.151,0,0.000,0,165,48,0
5,9326231906.470,9326231924.928,9326238781.241,6855.602,6874.771,19.169,18.458,0.711,3125.229,0,0.000,0,165,48,0
6,9326241906.470,9326241924.074,9326248819.029,6894.213,6912.559,18.346,17.604,0.742,3087.441,0,0.000,0,165,48,0
7,9326251906.470,9326251924.412,9326258829.469,6904.329,6922.999,18.670,17.942,0.728,3077.001,0,0.000,0,165,48,0
8,9326261906.470,9326261929.596,9326268802.270,6871.787,6895.800,24.013,23.126,0.887,3104.200,0,0.000,0,165,48,0
9,9326271906.470,9326271923.830,9326278829.533,6905.199,6923.063,17.864,17.360,0.504,3076.937,0,0.000,0,165,48,0
10,9326281906.470,9326281925.408,9326288828.043,6901.932,6921.573,19.641,18.938,0.703,3078.427,0,0.000,0,165,48,0
11,9326291906.470,9326291924.580,9326298796.847,6871.653,6890.377,18.724,18.110,0.614,3109.623,0,0.000,0,165,48,0
12,9326301906.470,9326301924.021,9326308826.046,6901.458,6919.576,18.118,17.551,0.567,3080.424,0,0.000,0,165,48,0
13,9326311906.470,9326311925.401,9326318800.567,6874.389,6894.097,19.708,18.931,0.777,3105.903,0,0.000,0,165,48,0
14,9326321906.470,9326321924.315,9326328794.748,6869.768,6888.278,18.510,17.845,0.665,3111.722,0,0.000,0,165,48,0
15,9326331906.470,9326331924.678,9326338780.657,6855.205,6874.187,18.982,18.208,0.774,3125.813,0,0.000,0,165,48,0
16,9326341906.470,9326341923.999,9326348830.820,6906.061,6924.350,18.289,17.529,0.760,3075.650,0,0.000,0,165,48,0
17,9326351906.470,9326351925.316,9326358690.005,6763.652,6783.535,19.883,18.846,1.037,3216.465,0,0.000,0,165,48,0
18,9326361906.470,9326361925.072,9326368793.579,6867.793,6887.109,19.316,18.602,0.714,3112.891,0,0.000,0,165,48,0
19,9326371906.470,9326371924.017,9326378818.838,6894.138,6912.368,18.230,17.547,0.683,3087.632,0,0.000,0,165,48,0
20,9326381906.470,9326381925.209,9326388826.690,6900.905,6920.220,19.315,18.739,0.576,3079.780,0,0.000,0,165,48,0
21,9326391906.470,9326391925.230,9326398830.791,6904.852,6924.321,19.469,18.760,0.709,3075.679,0,0.000,0,165,48,0
22,9326401906.470,9326401925.169,9326408862.797,6936.972,6956.327,19.355,18.699,0.656,3043.673,0,0.000,0,165,48,0
23,9326411906.470,9326411925.872,9326418796.834,6870.318,6890.364,20.046,19.402,0.644,3109.636,0,0.000,0,165,48,0
24,9326421906.470,9326421924.342,9326428782.436,6857.318,6875.966,18.648,17.872,0.776,3124.034,0,0.000,0,165,48,0
25,9326431906.470,9326431924.656,9326438826.218,6900.814,6919.748,18.934,18.186,0.748,3080.252,0,0.000,0,165,48,0
26,9326441906.470,9326441925.860,9326448934.783,7008.407,7028.313,19.906,19.390,0.516,2971.687,0,0.000,0,165,48,0
27,9326451906.470,9326451923.655,9326458789.716,6865.212,6883.246,18.034,17.185,0.849,3116.754,0,0.000,0,165,48,0
28,9326461906.470,9326461925.637,9326468814.431,6888.206,6907.961,19.755,19.167,0.588,3092.039,0,0.000,0,165,48,0
29,9326471906.470,9326471923.400,9326478824.210,6900.017,6917.740,17.723,16.930,0.793,3082.260,0,0.000,0,165,48,0
30,9326481906.470,9326481926.192,9326488829.913,6902.746,6923.443,20.697,19.722,0.975,3076.557,0,0.000,0,165,48,0
31,9326491906.470,9326491923.523,9326498799.226,6875.057,6892.756,17.699,17.053,0.646,3107.244,0,0.000,0,165,48,0
32,9326501906.470,9326501925.401,9326508721.777,6795.697,6815.307,19.610,18.931,0.679,3184.693,0,0.000,0,165,48,0
33,9326511906.470,9326511926.021,9326518782.712,6856.018,6876.242,20.224,19.551,0.673,3123.758,0,0.000,0,165,48,0
34,9326521906.470,9326521924.469,9326528760.176,6835.167,6853.706,18.539,17.999,0.540,3146.294,0,0.000,0,165,48,0
35,9326531906.470,9326531923.993,9326538833.316,6908.432,6926.846,18.414,17.523,0.891,3073.154,0,0.000,0,165,48,0
36,9326541906.470,9326541924.814,9326548776.917,6851.252,6870.447,19.195,18.344,0.851,3129.553,0,0.000,0,165,48,0
37,9326551906.470,9326551924.616,9326558798.552,6873.101,6892.082,18.981,18.146,0.835,3107.918,0,0.000,0,165,48,0
38,9326561906.470,9326561924.020,9326568791.609,6866.866,6885.139,18.273,17.550,0.723,3114.861,0,0.000,0,165,48,0
39,9326571906.470,9326571923.740,9326578758.812,6834.441,6852.342,17.901,17.270,0.631,3147.658,0,0.000,0,165,48,0
40,9326581906.470,9326581924.086,9326588734.005,6809.385,6827.535,18.150,17.616,0.534,3172.465,0,0.000,0,165,48,0
41,9326591906.470,9326591924.203,9326598734.510,6809.685,6828.040,18.355,17.733,0.622,3171.960,0,0.000,0,165,48,0
42,9326601906.470,9326601924.428,9326608850.553,6925.374,6944.083,18.709,17.958,0.751,3055.917,0,0.000,0,165,48,0
43,9326611906.470,9326611926.011,9326618842.165,6915.560,6935.695,20.135,19.541,0.594,3064.305,0,0.000,0,165,48,0
44,9326621906.470,9326621925.417,9326628848.056,6921.789,6941.586,19.797,18.947,0.850,3058.414,0,0.000,0,165,48,0
45,9326631906.470,9326631926.086,9326638792.563,6865.594,6886.093,20.499,19.616,0.883,3113.907,0,0.000,0,165,48,0
46,9326641906.470,9326641926.654,9326648830.204,6902.873,6923.734,20.861,20.184,0.677,3076.266,0,0.000,0,165,48,0
47,9326651906.470,9326651926.414,9326658833.207,6906.017,6926.737,20.720,19.944,0.776,3073.263,0,0.000,0,165,48,0
48,9326661906.470,9326661926.413,9326668747.802,6820.735,6841.332,20.597,19.943,0.654,3158.668,0,0.000,0,165,48,0
49,9326671906.470,9326671927.155,9326678809.193,6881.319,6902.723,21.404,20.685,0.719,3097.277,0,0.000,0,165,48,0
50,9326681906.470,9326681925.028,9326688817.985,6892.362,6911.515,19.153,18.558,0.595,3088.485,0,0.000,0,165,48,0
51,9326691906.470,9326691927.249,9326698761.710,6833.940,6855.240,21.300,20.779,0.521,3144.760,0,0.000,0,165,48,0
52,9326701906.470,9326701924.786,9326708680.288,6754.731,6773.818,19.087,18.316,0.771,3226.182,0,0.000,0,165,48,0
53,9326711906.470,9326711923.833,9326718758.817,6833.989,6852.347,18.358,17.363,0.995,3147.653,0,0.000,0,165,48,0
54,9326721906.470,9326721923.615,9326728799.785,6875.641,6893.315,17.674,17.145,0.529,3106.685,0,0.000,0,165,48,0
55,9326731906.470,9326731923.285,9326738786.800,6862.795,6880.330,17.535,16.815,0.720,3119.670,0,0.000,0,165,48,0
56,9326741906.470,9326741924.258,9326748831.924,6906.849,6925.454,18.605,17.788,0.817,3074.546,0,0.000,0,165,48,0
57,9326751906.470,9326751924.257,9326758764.265,6839.037,6857.795,18.758,17.787,0.971,3142.205,0,0.000,0,165,48,0
58,9326761906.470,9326761925.674,9326768809.477,6883.177,6903.007,19.830,19.204,0.626,3096.993,0,0.000,0,165,48,0
59,9326771906.470,9326771924.297,9326778795.259,6869.529,6888.789,19.260,17.827,1.433,3111.211,0,0.000,0,165,48,0
60,9326781906.470,9326781923.805,9326788811.054,6886.540,6904.584,18.044,17.335,0.709,3095.416,0,0.000,0,165,48,0
61,9326791906.470,9326791925.283,9326798797.483,6871.565,6891.013,19.448,18.813,0.635,3108.987,0,0.000,0,165,48,0
62,9326801906.470,9326801924.949,9326808860.676,6934.897,6954.206,19.309,18.479,0.830,3045.794,0,0.000,0,165,48,0
63,9326811906.470,9326811924.634,9326818685.971,6760.771,6779.501,18.730,18.164,0.566,3220.499,0,0.000,0,165,48,0
64,9326821906.470,9326821928.055,9326828878.327,6949.682,6971.857,22.175,21.585,0.590,3028.143,0,0.000,0,165,48,0
65,9326831906.470,9326831926.461,9326838837.144,6909.500,6930.674,21.174,19.991,1.183,3069.326,0,0.000,0,165,48,0
66,9326841906.470,9326841925.395,9326848778.514,6852.209,6872.044,19.835,18.925,0.910,3127.956,0,0.000,0,165,48,0
67,9326851906.470,9326851926.785,9326858785.776,6858.288,6879.306,21.018,20.315,0.703,3120.694,0,0.000,0,165,48,0
68,9326861906.470,9326861926.223,9326868845.016,6918.018,6938.546,20.528,19.753,0.775,3061.454,0,0.000,0,165,48,0
69,9326871906.470,9326871925.181,9326878834.651,6908.752,6928.181,19.429,18.711,0.718,3071.819,0,0.000,0,165,48,0
70,9326881906.470,9326881927.563,9326888935.118,7006.463,7028.648,22.185,21.093,1.092,2971.352,0,0.000,0,165,48,0
71,9326891906.470,9326891926.330,9326898620.880,6693.901,6714.410,20.509,19.860,0.649,3285.590,0,0.000,0,165,48,0
72,9326901906.470,9326901925.864,9326908795.884,6869.378,6889.414,20.036,19.394,0.642,3110.586,0,0.000,0,165,48,0
73,9326911906.470,9326911926.939,9326918748.607,6820.774,6842.137,21.363,20.469,0.894,3157.863,0,0.000,0,165,48,0
74,9326921906.470,9326921926.152,9326928833.556,6906.822,6927.086,20.264,19.682,0.582,3072.914,0,0.000,0,165,48,0
75,9326931906.470,9326931924.633,9326938802.327,6876.933,6895.857,18.924,18.163,0.761,3104.143,0,0.000,0,165,48,0
76,9326941906.470,9326941924.874,9326948798.641,6872.920,6892.171,19.251,18.404,0.847,3107.829,0,0.000,0,165,48,0
77,9326951906.470,9326951924.901,9326958799.911,6874.453,6893.441,18.988,18.431,0.557,3106.559,0,0.000,0,165,48,0
78,9326961906.470,9326961923.796,9326968756.338,6831.877,6849.868,17.991,17.326,0.665,3150.132,0,0.000,0,165,48,0
79,9326971906.470,9326971926.398,9326978818.043,6890.984,6911.573,20.589,19.928,0.661,3088.427,0,0.000,0,165,48,0
80,9326981906.470,9326981924.828,9326988761.170,6835.722,6854.700,18.978,18.358,0.620,3145.300,0,0.000,0,165,48,0
81,9326991906.470,9326991928.799,9326998861.914,6932.457,6955.444,22.987,22.329,0.658,3044.556,0,0.000,0,165,48,0
82,9327001906.470,9327001923.954,9327008749.623,6824.960,6843.153,18.193,17.484,0.709,3156.847,0,0.000,0,165,48,0
83,9327011906.470,9327011925.102,9327018797.842,6872.212,6891.372,19.160,18.632,0.528,3108.628,0,0.000,0,165,48,0
84,9327021906.470,9327021923.993,9327028800.588,6875.818,6894.118,18.300,17.523,0.777,3105.882,0,0.000,0,165,48,0
85,9327031906.470,9327031926.465,9327038762.632,6835.529,6856.162,20.633,19.995,0.638,3143.838,0,0.000,0,165,48,0
86,9327041906.470,9327041924.573,9327048824.039,6898.574,6917.569,18.995,18.103,0.892,3082.431,0,0.000,0,165,48,0
87,9327051906.470,9327051925.505,9327058732.372,6806.171,6825.902,19.731,19.035,0.696,3174.098,0,0.000,0,165,48,0
88,9327061906.470,9327061922.952,9327068822.555,6898.939,6916.085,17.146,16.482,0.664,3083.915,0,0.000,0,165,48,0
89,9327071906.470,9327071923.691,9327078751.349,6826.830,6844.879,18.049,17.221,0.828,3155.121,0,0.000,0,165,48,0
90,9327081906.470,9327081923.950,9327088721.770,6796.983,6815.300,18.317,17.480,0.837,3184.700,0,0.000,0,165,48,0
91,9327091906.470,9327091924.238,9327098790.922,6866.147,6884.452,18.305,17.768,0.537,3115.548,0,0.000,0,165,48,0
92,9327101906.470,9327101923.548,9327108857.109,6933.022,6950.639,17.617,17.078,0.539,3049.361,0,0.000,0,165,48,0
93,9327111906.470,9327111923.298,9327118723.091,6799.309,6816.621,17.312,16.828,0.484,3183.379,0,0.000,0,165,48,0
94,9327121906.470,9327121925.469,9327128841.474,6915.477,6935.004,19.527,18.999,0.528,3064.996,0,0.000,0,165,48,0
95,9327131906.470,9327131922.869,9327138807.376,6883.977,6900.906,16.929,16.399,0.530,3099.094,0,0.000,0,165,48,0
96,9327141906.470,9327141923.739,9327148845.626,6921.274,6939.156,17.882,17.269,0.613,3060.844,0,0.000,0,165,48,0
97,9327151906.470,9327151924.987,9327158763.498,6837.765,6857.028,19.263,18.517,0.746,3142.972,0,0.000,0,165,48,0
98,9327161906.470,9327161923.972,9327168826.069,6901.402,6919.599,18.197,17.502,0.695,3080.401,0,0.000,0,165,48,0
99,9327171906.470,9327171926.620,9327178814.207,6887.059,6907.737,20.678,20.150,0.528,3092.263,0,0.000,0,165,48,0
100,9327181906.470,9327181923.718,9327188834.200,6909.943,6927.730,17.787,17.248,0.539,3072.270,0,0.000,0,165,48,0
101,9327191906.470,9327191923.710,9327198793.957,6869.405,6887.487,18.082,17.240,0.842,3112.513,0,0.000,0,165,48,0
102,9327201906.470,9327201924.650,9327208818.985,6893.541,6912.515,18.974,18.180,0.794,3087.485,0,0.000,0,165,48,0
103,9327211906.470,9327211923.530,9327218768.436,6844.218,6861.966,17.748,17.060,0.688,3138.034,0,0.000,0,165,48,0
104,9327221906.470,9327221924.699,9327228813.809,6888.361,6907.339,18.978,18.229,0.749,3092.661,0,0.000,0,165,48,0
105,9327231906.470,9327231929.615,9327238831.014,6900.721,6924.544,23.823,23.145,0.678,3075.456,0,0.000,0,165,48,0
106,9327241906.470,9327241924.082,9327248794.996,6870.181,6888.526,18.345,17.612,0.733,3111.474,0,0.000,0,165,48,0
107,9327251906.470,9327251923.351,9327258827.916,6903.656,6921.446,17.790,16.881,0.909,3078.554,0,0.000,0,165,48,0
108,9327261906.470,9327261924.913,9327268802.418,6876.836,6895.948,19.112,18.443,0.669,3104.052,0,0.000,0,165,48,0
109,9327271906.470,9327271926.120,9327278829.628,6902.660,6923.158,20.498,19.650,0.848,3076.842,0,0.000,0,165,48,0
110,9327281906.470,9327281924.793,9327288830.184,6904.850,6923.714,18.864,18.323,0.541,3076.286,0,0.000,0,165,48,0
111,9327291906.470,9327291923.450,9327298792.607,6868.581,6886.137,17.556,16.980,0.576,3113.863,0,0.000,0,165,48,0
112,9327301906.470,9327301923.410,9327308870.466,6946.399,6963.996,17.597,16.940,0.657,3036.004,0,0.000,0,165,48,0
