# probe kind=matmul M=48 K=770 buf_kb=0 period_us=100000 priority=90 cpu=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,4290821499.654,4290821525.474,4290880506.229,58979.182,59006.575,27.393,25.820,1.573,40993.425,0,0.000,0,770,48,0
1,4290921499.654,4290921539.272,4290979683.396,58142.591,58183.742,41.151,39.618,1.533,41816.258,0,0.000,0,770,48,0
2,4291021499.654,4291021525.529,4291080156.069,58629.310,58656.415,27.105,25.875,1.230,41343.585,0,0.000,0,770,48,0
3,4291121499.654,4291121522.806,4291179831.165,58307.309,58331.511,24.202,23.152,1.050,41668.489,0,0.000,0,770,48,0
4,4291221499.654,4291221522.467,4291279933.638,58410.151,58433.984,23.833,22.813,1.020,41566.016,0,0.000,0,770,48,0
5,4291321499.654,4291321521.387,4291380019.951,58497.564,58520.297,22.733,21.733,1.000,41479.703,0,0.000,0,770,48,0
6,4291421499.654,4291421521.499,4291480121.733,58599.223,58622.079,22.856,21.845,1.011,41377.921,0,0.000,0,770,48,0
7,4291521499.654,4291521520.249,4291580083.604,58562.354,58583.950,21.596,20.595,1.001,41416.050,0,0.000,0,770,48,0
8,4291621499.654,4291621519.970,4291679716.531,58195.340,58216.877,21.537,20.316,1.221,41783.123,0,0.000,0,770,48,0
9,4291721499.654,4291721525.132,4291779874.718,58348.044,58375.064,27.020,25.478,1.542,41624.936,0,0.000,0,770,48,0
10,4291821499.654,4291821521.437,4291879967.112,58444.665,58467.458,22.793,21.783,1.010,41532.542,0,0.000,0,770,48,0
11,4291921499.654,4291921524.725,4291980082.941,58557.004,58583.287,26.283,25.071,1.212,41416.713,0,0.000,0,770,48,0
12,4292021499.654,4292021521.982,4292080150.408,58627.316,58650.754,23.438,22.328,1.110,41349.246,0,0.000,0,770,48,0
13,4292121499.654,4292121523.076,4292179803.744,58279.687,58304.090,24.403,23.422,0.981,41695.910,0,0.000,0,770,48,0
14,4292221499.654,4292221524.190,4292280098.505,58573.325,58598.851,25.526,24.536,0.990,41401.149,0,0.000,0,770,48,0
15,4292321499.654,4292321517.529,4292380014.862,58496.331,58515.208,18.877,17.875,1.002,41484.792,0,0.000,0,770,48,0
16,4292421499.654,4292421520.447,4292480102.267,58580.659,58602.613,21.954,20.793,1.161,41397.387,0,0.000,0,770,48,0
17,4292521499.654,4292521520.289,4292580275.802,58754.333,58776.148,21.815,20.635,1.180,41223.852,0,0.000,0,770,48,0
18,4292621499.654,4292621525.690,4292680028.853,58501.982,58529.199,27.217,26.036,1.181,41470.801,0,0.000,0,770,48,0
19,4292721499.654,4292721522.116,4292779785.832,58262.615,58286.178,23.563,22.462,1.101,41713.822,0,0.000,0,770,48,0
20,4292821499.654,4292821522.178,4292879949.599,58426.351,58449.945,23.594,22.524,1.070,41550.055,0,0.000,0,770,48,0
21,4292921499.654,4292921523.292,4292979976.031,58451.478,58476.377,24.899,23.638,1.261,41523.623,0,0.000,0,770,48,0
22,4293021499.654,4293021521.511,4293080348.498,58825.946,58848.844,22.898,21.857,1.041,41151.156,0,0.000,0,770,48,0
23,4293121499.654,4293121521.863,4293181060.037,59536.733,59560.383,23.650,22.209,1.441,40439.617,0,0.000,0,770,48,0
24,4293221499.654,4293221525.392,4293279777.036,58250.442,58277.382,26.940,25.738,1.202,41722.618,0,0.000,0,770,48,0
25,4293321499.654,4293321521.647,4293379873.959,58351.271,58374.305,23.034,21.993,1.041,41625.695,0,0.000,0,770,48,0
26,4293421499.654,4293421524.385,4293480158.232,58632.675,58658.578,25.903,24.731,1.172,41341.422,0,0.000,0,770,48,0
27,4293521499.654,4293521521.792,4293580311.389,58788.456,58811.735,23.279,22.138,1.141,41188.265,0,0.000,0,770,48,0
28,4293621499.654,4293621522.135,4293680368.378,58844.882,58868.724,23.842,22.481,1.361,41131.276,0,0.000,0,770,48,0
29,4293721499.654,4293721521.777,4293779947.315,58424.507,58447.661,23.154,22.123,1.031,41552.339,0,0.000,0,770,48,0
30,4293821499.654,4293821522.821,4293880083.041,58559.189,58583.387,24.198,23.167,1.031,41416.613,0,0.000,0,770,48,0
31,4293921499.654,4293921520.439,4293980081.349,58559.870,58581.695,21.825,20.785,1.040,41418.305,0,0.000,0,770,48,0
32,4294021499.654,4294021521.423,4294080222.826,58700.382,58723.172,22.790,21.769,1.021,41276.828,0,0.000,0,770,48,0
33,4294121499.654,4294121520.473,4294180360.515,58838.941,58860.861,21.920,20.819,1.101,41139.139,0,0.000,0,770,48,0
34,4294221499.654,4294221524.523,4294280312.187,58786.683,58812.533,25.850,24.869,0.981,41187.467,0,0.000,0,770,48,0
35,4294321499.654,4294321524.746,4294379984.548,58458.801,58484.894,26.093,25.092,1.001,41515.106,0,0.000,0,770,48,0
36,4294421499.654,4294421520.130,4294480121.606,58600.466,58621.952,21.486,20.476,1.010,41378.048,0,0.000,0,770,48,0
