# probe kind=matmul M=48 K=103 buf_kb=0 period_us=10000 priority=90 cpu=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,10534373588.176,10534373604.431,10534380405.039,6799.441,6816.863,17.422,16.255,1.167,3183.137,0,0.000,0,103,48,0
1,10534383588.176,10534383613.602,10534390415.884,6801.214,6827.708,26.494,25.426,1.068,3172.292,0,0.000,0,103,48,0
2,10534393588.176,10534393604.489,10534400406.992,6801.404,6818.816,17.412,16.313,1.099,3181.184,0,0.000,0,103,48,0
3,10534403588.176,10534403604.493,10534410403.900,6798.328,6815.724,17.396,16.317,1.079,3184.276,0,0.000,0,103,48,0
4,10534413588.176,10534413603.806,10534420404.816,6799.931,6816.640,16.709,15.630,1.079,3183.360,0,0.000,0,103,48,0
5,10534423588.176,10534423604.011,10534430408.427,6803.287,6820.251,16.964,15.835,1.129,3179.749,0,0.000,0,103,48,0
6,10534433588.176,10534433604.005,10534440407.419,6802.346,6819.243,16.897,15.829,1.068,3180.757,0,0.000,0,103,48,0
7,10534443588.176,10534443603.869,10534450408.074,6803.217,6819.898,16.681,15.693,0.988,3180.102,0,0.000,0,103,48,0
8,10534453588.176,10534453604.143,10534460406.997,6801.844,6818.821,16.977,15.967,1.010,3181.179,0,0.000,0,103,48,0
9,10534463588.176,10534463604.368,10534470405.838,6800.452,6817.662,17.210,16.192,1.018,3182.338,0,0.000,0,103,48,0
10,10534473588.176,10534473604.332,10534480408.407,6803.037,6820.231,17.194,16.156,1.038,3179.769,0,0.000,0,103,48,0
11,10534483588.176,10534483605.669,10534490406.238,6799.530,6818.062,18.532,17.493,1.039,3181.938,0,0.000,0,103,48,0
12,10534493588.176,10534493603.649,10534500473.838,6868.970,6885.662,16.692,15.473,1.219,3114.338,0,0.000,0,103,48,0
13,10534503588.176,10534503604.926,10534510368.385,6762.401,6780.209,17.808,16.750,1.058,3219.791,0,0.000,0,103,48,0
14,10534513588.176,10534513603.848,10534520366.035,6761.160,6777.859,16.699,15.672,1.027,3222.141,0,0.000,0,103,48,0
15,10534523588.176,10534523603.792,10534530367.873,6762.993,6779.697,16.704,15.616,1.088,3220.303,0,0.000,0,103,48,0
16,10534533588.176,10534533603.455,10534540372.446,6767.911,6784.270,16.359,15.279,1.080,3215.730,0,0.000,0,103,48,0
17,10534543588.176,10534543603.821,10534550373.782,6768.883,6785.606,16.723,15.645,1.078,3214.394,0,0.000,0,103,48,0
18,10534553588.176,10534553603.995,10534560371.632,6766.589,6783.456,16.867,15.819,1.048,3216.544,0,0.000,0,103,48,0
19,10534563588.176,10534563603.558,10534570373.470,6768.854,6785.294,16.440,15.382,1.058,3214.706,0,0.000,0,103,48,0
20,10534573588.176,10534573603.272,10534580371.781,6767.481,6783.605,16.124,15.096,1.028,3216.395,0,0.000,0,103,48,0
21,10534583588.176,10534583604.528,10534590375.722,6769.986,6787.546,17.560,16.352,1.208,3212.454,0,0.000,0,103,48,0
22,10534593588.176,10534593606.586,10534600373.513,6765.868,6785.337,19.469,18.410,1.059,3214.663,0,0.000,0,103,48,0
23,10534603588.176,10534603604.497,10534610369.589,6764.054,6781.413,17.359,16.321,1.038,3218.587,0,0.000,0,103,48,0
24,10534613588.176,10534613603.699,10534620365.897,6761.139,6777.721,16.582,15.523,1.059,3222.279,0,0.000,0,103,48,0
25,10534623588.176,10534623603.593,10534630368.656,6763.994,6780.480,16.486,15.417,1.069,3219.520,0,0.000,0,103,48,0
26,10534633588.176,10534633604.429,10534640371.756,6766.289,6783.580,17.291,16.253,1.038,3216.420,0,0.000,0,103,48,0
27,10534643588.176,10534643604.593,10534650374.375,6768.712,6786.199,17.487,16.417,1.070,3213.801,0,0.000,0,103,48,0
28,10534653588.176,10534653604.147,10534660375.190,6769.965,6787.014,17.049,15.971,1.078,3212.986,0,0.000,0,103,48,0
29,10534663588.176,10534663603.961,10534670374.714,6769.655,6786.538,16.883,15.785,1.098,3213.462,0,0.000,0,103,48,0
30,10534673588.176,10534673604.065,10534680378.044,6772.830,6789.868,17.038,15.889,1.149,3210.132,0,0.000,0,103,48,0
31,10534683588.176,10534683606.203,10534690372.408,6765.136,6784.232,19.096,18.027,1.069,3215.768,0,0.000,0,103,48,0
32,10534693588.176,10534693605.456,10534700374.586,6768.122,6786.410,18.288,17.280,1.008,3213.590,0,0.000,0,103,48,0
33,10534703588.176,10534703604.859,10534710369.391,6763.494,6781.215,17.721,16.683,1.038,3218.785,0,0.000,0,103,48,0
34,10534713588.176,10534713603.811,10534720373.463,6768.562,6785.287,16.725,15.635,1.090,3214.713,0,0.000,0,103,48,0
35,10534723588.176,10534723603.876,10534730370.641,6765.697,6782.465,16.768,15.700,1.068,3217.535,0,0.000,0,103,48,0
36,10534733588.176,10534733603.529,10534740371.737,6767.180,6783.561,16.381,15.353,1.028,3216.439,0,0.000,0,103,48,0
37,10534743588.176,10534743605.176,10534750371.922,6765.698,6783.746,18.048,17.000,1.048,3216.254,0,0.000,0,103,48,0
38,10534753588.176,10534753605.451,10534760372.688,6766.128,6784.512,18.384,17.275,1.109,3215.488,0,0.000,0,103,48,0
39,10534763588.176,10534763604.293,10534770373.343,6767.961,6785.167,17.206,16.117,1.089,3214.833,0,0.000,0,103,48,0
40,10534773588.176,10534773604.097,10534780371.183,6766.058,6783.007,16.949,15.921,1.028,3216.993,0,0.000,0,103,48,0
41,10534783588.176,10534783606.265,10534790424.226,6816.933,6836.050,19.117,18.089,1.028,3163.950,0,0.000,0,103,48,0
42,10534793588.176,10534793604.356,10534800382.974,6777.539,6794.798,17.259,16.180,1.079,3205.202,0,0.000,0,103,48,0
43,10534803588.176,10534803605.502,10534810369.743,6763.193,6781.567,18.374,17.326,1.048,3218.433,0,0.000,0,103,48,0
44,10534813588.176,10534813603.913,10534820368.695,6762.732,6780.519,17.787,15.737,2.050,3219.481,0,0.000,0,103,48,0
45,10534823588.176,10534823604.328,10534830366.365,6761.009,6778.189,17.180,16.152,1.028,3221.811,0,0.000,0,103,48,0
46,10534833588.176,10534833604.933,10534840367.772,6761.790,6779.596,17.806,16.757,1.049,3220.404,0,0.000,0,103,48,0
47,10534843588.176,10534843604.146,10534850369.309,6764.094,6781.133,17.039,15.970,1.069,3218.867,0,0.000,0,103,48,0
48,10534853588.176,10534853604.351,10534860369.473,6764.095,6781.297,17.202,16.175,1.027,3218.703,0,0.000,0,103,48,0
49,10534863588.176,10534863603.894,10534870366.993,6762.081,6778.817,16.736,15.718,1.018,3221.183,0,0.000,0,103,48,0
50,10534873588.176,10534873604.049,10534880366.987,6761.890,6778.811,16.921,15.873,1.048,3221.189,0,0.000,0,103,48,0
51,10534883588.176,10534883608.291,10534890374.004,6764.675,6785.828,21.153,20.115,1.038,3214.172,0,0.000,0,103,48,0
