# probe kind=primes M=48 K=163 period_us=100000 priority=90 cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,33576770652.589,33576770689.605,33576871911.117,61538.814,101258.528,39719.714,37.016,39682.698,-1258.528,1,1258.528,1,163,48,1
1,33576970652.589,33576970699.857,33577071957.005,61580.683,101304.416,39723.733,47.268,39676.465,-1304.416,1,1304.416,1,163,48,1
2,33577170652.589,33577170686.324,33577271812.057,61452.983,101159.468,39706.485,33.735,39672.750,-1159.468,1,1159.468,1,163,48,1
3,33577370652.589,33577370692.909,33577471839.601,61465.798,101187.012,39721.214,40.320,39680.894,-1187.012,1,1187.012,1,163,48,1
4,33577570652.589,33577570687.481,33577671820.758,61460.067,101168.169,39708.102,34.892,39673.210,-1168.169,1,1168.169,1,163,48,1
5,33577770652.589,33577770686.762,33577871486.896,61107.258,100834.307,39727.049,34.173,39692.876,-834.307,1,834.307,1,163,48,1
6,33577970652.589,33577970700.390,33578071306.040,60924.728,100653.451,39728.723,47.801,39680.922,-653.451,1,653.451,1,163,48,1
7,33578170652.589,33578170700.994,33578271498.152,61119.381,100845.563,39726.182,48.405,39677.777,-845.563,1,845.563,1,163,48,1
8,33578370652.589,33578370697.200,33578471799.459,61423.208,101146.870,39723.662,44.611,39679.051,-1146.870,1,1146.870,1,163,48,1
9,33578570652.589,33578570696.200,33578671531.600,61163.664,100879.011,39715.347,43.611,39671.736,-879.011,1,879.011,1,163,48,1
10,33578770652.589,33578770686.104,33578871831.614,61473.943,101179.025,39705.082,33.515,39671.567,-1179.025,1,1179.025,1,163,48,1
11,33578970652.589,33578970684.453,33579071505.476,61141.112,100852.887,39711.775,31.864,39679.911,-852.887,1,852.887,1,163,48,1
12,33579170652.589,33579170707.724,33579271766.562,61376.081,101113.973,39737.892,55.135,39682.757,-1113.973,1,1113.973,1,163,48,1
13,33579370652.589,33579370705.172,33579471560.298,61172.199,100907.709,39735.510,52.583,39682.927,-907.709,1,907.709,1,163,48,1
14,33579570652.589,33579570697.260,33579671651.051,61282.455,100998.462,39716.007,44.671,39671.336,-998.462,1,998.462,1,163,48,1
15,33579770652.589,33579770698.785,33579871854.975,61474.433,101202.386,39727.953,46.196,39681.757,-1202.386,1,1202.386,1,163,48,1
