# probe kind=primes M=48 K=22 period_us=10000 priority=90 cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,15240754427.311,15240754446.304,15240761214.595,6767.080,6787.284,20.204,18.993,1.211,3212.716,0,0.000,0,22,48,0
1,15240764427.311,15240764442.986,15240770874.029,6429.982,6446.718,16.736,15.675,1.061,3553.282,0,0.000,0,22,48,0
2,15240774427.311,15240774442.954,15240781278.580,6834.575,6851.269,16.694,15.643,1.051,3148.731,0,0.000,0,22,48,0
3,15240784427.311,15240784442.451,15240790792.554,6349.070,6365.243,16.173,15.140,1.033,3634.757,0,0.000,0,22,48,0
4,15240794427.311,15240794445.254,15240800956.627,6510.341,6529.316,18.975,17.943,1.032,3470.684,0,0.000,0,22,48,0
5,15240804427.311,15240804442.988,15240811254.560,6810.541,6827.249,16.708,15.677,1.031,3172.751,0,0.000,0,22,48,0
6,15240814427.311,15240814443.457,15240820912.711,6468.292,6485.400,17.108,16.146,0.962,3514.600,0,0.000,0,22,48,0
7,15240824427.311,15240824449.005,15240831204.292,6754.256,6776.981,22.725,21.694,1.031,3223.019,0,0.000,0,22,48,0
8,15240834427.311,15240834443.072,15240840737.892,6293.697,6310.581,16.884,15.761,1.123,3689.419,0,0.000,0,22,48,0
9,15240844427.311,15240844443.431,15240851035.895,6591.492,6608.584,17.092,16.120,0.972,3391.416,0,0.000,0,22,48,0
10,15240854427.311,15240854442.738,15240861373.401,6929.614,6946.090,16.476,15.427,1.049,3053.910,0,0.000,0,22,48,0
11,15240864427.311,15240864442.215,15240871038.155,6594.988,6610.844,15.856,14.904,0.952,3389.156,0,0.000,0,22,48,0
12,15240874427.311,15240874442.563,15240881165.791,6722.206,6738.480,16.274,15.252,1.022,3261.520,0,0.000,0,22,48,0
13,15240884427.311,15240884442.712,15240890862.494,6418.790,6435.183,16.393,15.401,0.992,3564.817,0,0.000,0,22,48,0
14,15240894427.311,15240894442.790,15240901303.684,6859.883,6876.373,16.490,15.479,1.011,3123.627,0,0.000,0,22,48,0
15,15240904427.311,15240904443.659,15240911026.575,6581.925,6599.264,17.339,16.348,0.991,3400.736,0,0.000,0,22,48,0
16,15240914427.311,15240914443.327,15240921032.154,6587.836,6604.843,17.007,16.016,0.991,3395.157,0,0.000,0,22,48,0
17,15240924427.311,15240924443.205,15240930802.905,6358.668,6375.594,16.926,15.894,1.032,3624.406,0,0.000,0,22,48,0
18,15240934427.311,15240934442.942,15240940640.802,6196.887,6213.491,16.604,15.631,0.973,3786.509,0,0.000,0,22,48,0
19,15240944427.311,15240944444.583,15240951065.310,6619.725,6637.999,18.274,17.272,1.002,3362.001,0,0.000,0,22,48,0
20,15240954427.311,15240954442.888,15240960738.760,6294.870,6311.449,16.579,15.577,1.002,3688.551,0,0.000,0,22,48,0
21,15240964427.311,15240964446.212,15240970841.750,6394.545,6414.439,19.894,18.901,0.993,3585.561,0,0.000,0,22,48,0
22,15240974427.311,15240974443.626,15240981218.249,6773.572,6790.938,17.366,16.315,1.051,3209.062,0,0.000,0,22,48,0
23,15240984427.311,15240984444.315,15240990529.424,6084.016,6102.113,18.097,17.004,1.093,3897.887,0,0.000,0,22,48,0
24,15240994427.311,15240994443.061,15241000754.782,6310.718,6327.471,16.753,15.750,1.003,3672.529,0,0.000,0,22,48,0
25,15241004427.311,15241004443.640,15241010914.898,6470.266,6487.587,17.321,16.329,0.992,3512.413,0,0.000,0,22,48,0
26,15241014427.311,15241014443.738,15241020877.887,6433.167,6450.576,17.409,16.427,0.982,3549.424,0,0.000,0,22,48,0
27,15241024427.311,15241024443.616,15241030859.842,6415.204,6432.531,17.327,16.305,1.022,3567.469,0,0.000,0,22,48,0
28,15241034427.311,15241034443.053,15241040652.694,6208.658,6225.383,16.725,15.742,0.983,3774.617,0,0.000,0,22,48,0
29,15241044427.311,15241044444.804,15241050965.965,6520.129,6538.654,18.525,17.493,1.032,3461.346,0,0.000,0,22,48,0
30,15241054427.311,15241054444.131,15241061080.526,6635.394,6653.215,17.821,16.820,1.001,3346.785,0,0.000,0,22,48,0
31,15241064427.311,15241064443.969,15241070865.995,6420.854,6438.684,17.830,16.658,1.172,3561.316,0,0.000,0,22,48,0
32,15241074427.311,15241074444.167,15241080889.938,6444.799,6462.627,17.828,16.856,0.972,3537.373,0,0.000,0,22,48,0
33,15241084427.311,15241084443.784,15241090910.384,6465.528,6483.073,17.545,16.473,1.072,3516.927,0,0.000,0,22,48,0
34,15241094427.311,15241094443.031,15241100766.213,6322.150,6338.902,16.752,15.720,1.032,3661.098,0,0.000,0,22,48,0
35,15241104427.311,15241104443.610,15241110822.847,6378.215,6395.536,17.321,16.299,1.022,3604.464,0,0.000,0,22,48,0
36,15241114427.311,15241114444.310,15241120789.403,6344.060,6362.092,18.032,16.999,1.033,3637.908,0,0.000,0,22,48,0
37,15241124427.311,15241124444.588,15241130686.910,6241.279,6259.599,18.320,17.277,1.043,3740.401,0,0.000,0,22,48,0
38,15241134427.311,15241134443.063,15241140966.328,6522.303,6539.017,16.714,15.752,0.962,3460.983,0,0.000,0,22,48,0
39,15241144427.311,15241144443.893,15241151011.500,6566.626,6584.189,17.563,16.582,0.981,3415.811,0,0.000,0,22,48,0
40,15241154427.311,15241154442.458,15241161116.123,6672.604,6688.812,16.208,15.147,1.061,3311.188,0,0.000,0,22,48,0
41,15241164427.311,15241164442.977,15241170814.901,6370.941,6387.590,16.649,15.666,0.983,3612.410,0,0.000,0,22,48,0
42,15241174427.311,15241174443.466,15241180785.975,6341.516,6358.664,17.148,16.155,0.993,3641.336,0,0.000,0,22,48,0
43,15241184427.311,15241184444.095,15241190874.918,6429.781,6447.607,17.826,16.784,1.042,3552.393,0,0.000,0,22,48,0
44,15241194427.311,15241194444.224,15241200726.189,6280.963,6298.878,17.915,16.913,1.002,3701.122,0,0.000,0,22,48,0
45,15241204427.311,15241204445.223,15241211142.022,6695.847,6714.711,18.864,17.912,0.952,3285.289,0,0.000,0,22,48,0
