# probe kind=primes M=48 K=55 period_us=100000 priority=90 cpu=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,8780918209.171,8780918384.224,8780939714.837,21328.238,21505.666,177.428,175.053,2.375,78494.334,0,0.000,0,55,48,0
1,8781018209.171,8781018413.297,8781040306.967,21890.913,22097.796,206.883,204.126,2.757,77902.204,0,0.000,0,55,48,0
2,8781118209.171,8781118393.728,8781139756.235,21359.985,21547.064,187.079,184.557,2.522,78452.936,0,0.000,0,55,48,0
3,8781218209.171,8781218413.968,8781239726.205,21309.930,21517.034,207.104,204.797,2.307,78482.966,0,0.000,0,55,48,0
4,8781318209.171,8781318428.561,8781339714.285,21283.323,21505.114,221.791,219.390,2.401,78494.886,0,0.000,0,55,48,0
5,8781418209.171,8781418389.491,8781439834.329,21442.497,21625.158,182.661,180.320,2.341,78374.842,0,0.000,0,55,48,0
6,8781518209.171,8781518262.218,8781539701.520,21436.997,21492.349,55.352,53.047,2.305,78507.651,0,0.000,0,55,48,0
7,8781618209.171,8781618385.258,8781639924.488,21536.949,21715.317,178.368,176.087,2.281,78284.683,0,0.000,0,55,48,0
8,8781718209.171,8781718436.620,8781739833.415,21394.312,21624.244,229.932,227.449,2.483,78375.756,0,0.000,0,55,48,0
9,8781818209.171,8781818387.762,8781839688.430,21298.058,21479.259,181.201,178.591,2.610,78520.741,0,0.000,0,55,48,0
10,8781918209.171,8781918377.584,8781939755.925,21376.941,21546.754,169.813,168.413,1.400,78453.246,0,0.000,0,55,48,0
11,8782018209.171,8782018376.470,8782039981.405,21603.098,21772.234,169.136,167.299,1.837,78227.766,0,0.000,0,55,48,0
12,8782118209.171,8782118426.788,8782139878.813,21450.518,21669.642,219.124,217.617,1.507,78330.358,0,0.000,0,55,48,0
13,8782218209.171,8782218383.385,8782240070.412,21685.486,21861.241,175.755,174.214,1.541,78138.759,0,0.000,0,55,48,0
14,8782318209.171,8782318431.215,8782339541.128,21107.923,21331.957,224.034,222.044,1.990,78668.043,0,0.000,0,55,48,0
15,8782418209.171,8782418388.954,8782439828.848,21437.819,21619.677,181.858,179.783,2.075,78380.323,0,0.000,0,55,48,0
16,8782518209.171,8782518425.153,8782540073.090,21645.740,21863.919,218.179,215.982,2.197,78136.081,0,0.000,0,55,48,0
17,8782618209.171,8782618406.862,8782639927.715,21518.328,21718.544,200.216,197.691,2.525,78281.456,0,0.000,0,55,48,0
18,8782718209.171,8782718417.090,8782740170.873,21751.653,21961.702,210.049,207.919,2.130,78038.298,0,0.000,0,55,48,0
19,8782818209.171,8782818375.559,8782840088.521,21711.428,21879.350,167.922,166.388,1.534,78120.650,0,0.000,0,55,48,0
20,8782918209.171,8782918400.018,8782940069.917,21667.855,21860.746,192.891,190.847,2.044,78139.254,0,0.000,0,55,48,0
21,8783018209.171,8783018382.073,8783039828.775,21444.266,21619.604,175.338,172.902,2.436,78380.396,0,0.000,0,55,48,0
22,8783118209.171,8783118431.474,8783139841.341,21407.816,21632.170,224.354,222.303,2.051,78367.830,0,0.000,0,55,48,0
23,8783218209.171,8783218393.073,8783239867.596,21473.057,21658.425,185.368,183.902,1.466,78341.575,0,0.000,0,55,48,0
24,8783318209.171,8783318375.819,8783339788.391,21410.938,21579.220,168.282,166.648,1.634,78420.780,0,0.000,0,55,48,0
25,8783418209.171,8783418374.056,8783439604.099,21228.610,21394.928,166.318,164.885,1.433,78605.072,0,0.000,0,55,48,0
26,8783518209.171,8783518375.933,8783539934.608,21557.268,21725.437,168.169,166.762,1.407,78274.563,0,0.000,0,55,48,0
27,8783618209.171,8783618380.569,8783639976.048,21593.778,21766.877,173.099,171.398,1.701,78233.123,0,0.000,0,55,48,0
28,8783718209.171,8783718400.543,8783739987.418,21584.340,21778.247,193.907,191.372,2.535,78221.753,0,0.000,0,55,48,0
29,8783818209.171,8783818389.157,8783839880.851,21489.051,21671.680,182.629,179.986,2.643,78328.320,0,0.000,0,55,48,0
30,8783918209.171,8783918424.210,8783939611.852,21184.959,21402.681,217.722,215.039,2.683,78597.319,0,0.000,0,55,48,0
31,8784018209.171,8784018397.706,8784040090.054,21690.219,21880.883,190.664,188.535,2.129,78119.117,0,0.000,0,55,48,0
32,8784118209.171,8784118388.048,8784140004.711,21609.993,21795.540,185.547,178.877,6.670,78204.460,0,0.000,0,55,48,0
33,8784218209.171,8784218459.932,8784239856.073,21394.138,21646.902,252.764,250.761,2.003,78353.098,0,0.000,0,55,48,0
34,8784318209.171,8784318380.519,8784339934.266,21551.111,21725.095,173.984,171.348,2.636,78274.905,0,0.000,0,55,48,0
35,8784418209.171,8784418442.735,8784439820.870,21375.942,21611.699,235.757,233.564,2.193,78388.301,0,0.000,0,55,48,0
36,8784518209.171,8784518423.875,8784540072.075,21646.084,21862.904,216.820,214.704,2.116,78137.096,0,0.000,0,55,48,0
37,8784618209.171,8784618426.659,8784640016.984,21588.003,21807.813,219.810,217.488,2.322,78192.187,0,0.000,0,55,48,0
38,8784718209.171,8784718399.206,8784739953.938,21552.490,21744.767,192.277,190.035,2.242,78255.233,0,0.000,0,55,48,0
39,8784818209.171,8784818423.027,8784839938.143,21512.484,21728.972,216.488,213.856,2.632,78271.028,0,0.000,0,55,48,0
40,8784918209.171,8784918380.004,8784939777.608,21395.536,21568.437,172.901,170.833,2.068,78431.563,0,0.000,0,55,48,0
41,8785018209.171,8785018392.508,8785039548.239,21153.649,21339.068,185.419,183.337,2.082,78660.932,0,0.000,0,55,48,0
42,8785118209.171,8785118381.688,8785139667.856,21284.642,21458.685,174.043,172.517,1.526,78541.315,0,0.000,0,55,48,0
43,8785218209.171,8785218393.609,8785240149.248,21754.113,21940.077,185.964,184.438,1.526,78059.923,0,0.000,0,55,48,0
44,8785318209.171,8785318394.861,8785339741.625,21345.148,21532.454,187.306,185.690,1.616,78467.546,0,0.000,0,55,48,0
45,8785418209.171,8785418382.530,8785439400.598,21016.714,21191.427,174.713,173.359,1.354,78808.573,0,0.000,0,55,48,0
46,8785518209.171,8785518427.624,8785540043.636,21614.664,21834.465,219.801,218.453,1.348,78165.535,0,0.000,0,55,48,0
47,8785618209.171,8785618367.965,8785639481.672,21112.296,21272.501,160.205,158.794,1.411,78727.499,0,0.000,0,55,48,0
48,8785718209.171,8785718394.257,8785739897.772,21501.873,21688.601,186.728,185.086,1.642,78311.399,0,0.000,0,55,48,0
49,8785818209.171,8785818441.662,8785839867.961,21424.115,21658.790,234.675,232.491,2.184,78341.210,0,0.000,0,55,48,0
50,8785918209.171,8785918414.325,8785940164.524,21747.712,21955.353,207.641,205.154,2.487,78044.647,0,0.000,0,55,48,0
51,8786018209.171,8786018382.823,8786040085.774,21700.787,21876.603,175.816,173.652,2.164,78123.397,0,0.000,0,55,48,0
52,8786118209.171,8786118382.144,8786139951.243,21567.469,21742.072,174.603,172.973,1.630,78257.928,0,0.000,0,55,48,0
53,8786218209.171,8786218374.367,8786239745.634,21369.864,21536.463,166.599,165.196,1.403,78463.537,0,0.000,0,55,48,0
54,8786318209.171,8786318420.501,8786340020.786,21598.138,21811.615,213.477,211.330,2.147,78188.385,0,0.000,0,55,48,0
55,8786418209.171,8786418389.207,8786440073.201,21681.880,21864.030,182.150,180.036,2.114,78135.970,0,0.000,0,55,48,0
56,8786518209.171,8786518378.750,8786539767.976,21387.509,21558.805,171.296,169.579,1.717,78441.195,0,0.000,0,55,48,0
57,8786618209.171,8786618504.582,8786640286.832,21779.839,22077.661,297.822,295.411,2.411,77922.339,0,0.000,0,55,48,0
58,8786718209.171,8786718418.142,8786740056.744,21636.203,21847.573,211.370,208.971,2.399,78152.427,0,0.000,0,55,48,0
59,8786818209.171,8786818376.461,8786839834.441,21456.068,21625.270,169.202,167.290,1.912,78374.730,0,0.000,0,55,48,0
