# probe kind=primes M=48 K=7 period_us=10000 priority=90 cpu=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,13280838174.753,13280838199.100,13280840959.492,2758.594,2784.739,26.145,24.347,1.798,7215.261,0,0.000,0,7,48,0
1,13280848174.753,13280848194.340,13280850885.976,2690.751,2711.223,20.472,19.587,0.885,7288.777,0,0.000,0,7,48,0
2,13280858174.753,13280858195.687,13280861040.086,2843.453,2865.333,21.880,20.934,0.946,7134.667,0,0.000,0,7,48,0
3,13280868174.753,13280868196.765,13280870831.210,2633.378,2656.457,23.079,22.012,1.067,7343.543,0,0.000,0,7,48,0
4,13280878174.753,13280878195.016,13280880863.014,2666.997,2688.261,21.264,20.263,1.001,7311.739,0,0.000,0,7,48,0
5,13280888174.753,13280888198.559,13280891045.141,2845.541,2870.388,24.847,23.806,1.041,7129.612,0,0.000,0,7,48,0
6,13280898174.753,13280898197.391,13280900913.777,2714.672,2739.024,24.352,22.638,1.714,7260.976,0,0.000,0,7,48,0
7,13280908174.753,13280908198.648,13280910927.339,2726.874,2752.586,25.712,23.895,1.817,7247.414,0,0.000,0,7,48,0
8,13280918174.753,13280918199.858,13280920949.358,2748.356,2774.605,26.249,25.105,1.144,7225.395,0,0.000,0,7,48,0
9,13280928174.753,13280928195.571,13280931017.845,2821.227,2843.092,21.865,20.818,1.047,7156.908,0,0.000,0,7,48,0
10,13280938174.753,13280938193.119,13280940785.773,2591.677,2611.020,19.343,18.366,0.977,7388.980,0,0.000,0,7,48,0
11,13280948174.753,13280948195.505,13280950963.265,2766.747,2788.512,21.765,20.752,1.013,7211.488,0,0.000,0,7,48,0
12,13280958174.753,13280958195.139,13280960996.018,2799.846,2821.265,21.419,20.386,1.033,7178.735,0,0.000,0,7,48,0
13,13280968174.753,13280968194.262,13280970872.119,2677.042,2697.366,20.324,19.509,0.815,7302.634,0,0.000,0,7,48,0
14,13280978174.753,13280978195.079,13280981023.385,2827.193,2848.632,21.439,20.326,1.113,7151.368,0,0.000,0,7,48,0
15,13280988174.753,13280988193.975,13280990854.301,2659.462,2679.548,20.086,19.222,0.864,7320.452,0,0.000,0,7,48,0
16,13280998174.753,13280998198.431,13281000955.567,2756.105,2780.814,24.709,23.678,1.031,7219.186,0,0.000,0,7,48,0
17,13281008174.753,13281008194.299,13281010929.170,2733.933,2754.417,20.484,19.546,0.938,7245.583,0,0.000,0,7,48,0
18,13281018174.753,13281018195.753,13281021062.768,2866.015,2888.015,22.000,21.000,1.000,7111.985,0,0.000,0,7,48,0
19,13281028174.753,13281028193.574,13281031093.157,2898.535,2918.404,19.869,18.821,1.048,7081.596,0,0.000,0,7,48,0
20,13281038174.753,13281038194.108,13281040913.973,2718.906,2739.220,20.314,19.355,0.959,7260.780,0,0.000,0,7,48,0
21,13281048174.753,13281048194.092,13281050919.260,2723.991,2744.507,20.516,19.339,1.177,7255.493,0,0.000,0,7,48,0
22,13281058174.753,13281058195.864,13281060877.507,2680.698,2702.754,22.056,21.111,0.945,7297.246,0,0.000,0,7,48,0
23,13281068174.753,13281068194.146,13281070857.007,2661.675,2682.254,20.579,19.393,1.186,7317.746,0,0.000,0,7,48,0
24,13281078174.753,13281078194.881,13281080900.231,2704.358,2725.478,21.120,20.128,0.992,7274.522,0,0.000,0,7,48,0
25,13281088174.753,13281088192.163,13281091007.360,2814.393,2832.607,18.214,17.410,0.804,7167.393,0,0.000,0,7,48,0
26,13281098174.753,13281098194.271,13281100943.487,2748.048,2768.734,20.686,19.518,1.168,7231.266,0,0.000,0,7,48,0
27,13281108174.753,13281108197.206,13281110929.661,2731.528,2754.908,23.380,22.453,0.927,7245.092,0,0.000,0,7,48,0
28,13281118174.753,13281118199.766,13281120934.272,2733.596,2759.519,25.923,25.013,0.910,7240.481,0,0.000,0,7,48,0
29,13281128174.753,13281128196.282,13281131016.144,2818.996,2841.391,22.395,21.529,0.866,7158.609,0,0.000,0,7,48,0
30,13281138174.753,13281138197.526,13281140857.113,2658.489,2682.360,23.871,22.773,1.098,7317.640,0,0.000,0,7,48,0
31,13281148174.753,13281148195.285,13281151006.107,2809.514,2831.354,21.840,20.532,1.308,7168.646,0,0.000,0,7,48,0
32,13281158174.753,13281158193.445,13281160963.980,2769.661,2789.227,19.566,18.692,0.874,7210.773,0,0.000,0,7,48,0
33,13281168174.753,13281168198.983,13281170967.037,2767.375,2792.284,24.909,24.230,0.679,7207.716,0,0.000,0,7,48,0
34,13281178174.753,13281178194.120,13281180978.023,2783.057,2803.270,20.213,19.367,0.846,7196.730,0,0.000,0,7,48,0
35,13281188174.753,13281188192.033,13281190976.721,2783.960,2801.968,18.008,17.280,0.728,7198.032,0,0.000,0,7,48,0
36,13281198174.753,13281198195.057,13281200999.682,2803.586,2824.929,21.343,20.304,1.039,7175.071,0,0.000,0,7,48,0
37,13281208174.753,13281208196.917,13281210950.001,2751.704,2775.248,23.544,22.164,1.380,7224.752,0,0.000,0,7,48,0
38,13281218174.753,13281218199.159,13281220940.342,2740.437,2765.589,25.152,24.406,0.746,7234.411,0,0.000,0,7,48,0
39,13281228174.753,13281228199.865,13281230870.141,2669.482,2695.388,25.906,25.112,0.794,7304.612,0,0.000,0,7,48,0
40,13281238174.753,13281238192.067,13281240975.357,2782.582,2800.604,18.022,17.314,0.708,7199.396,0,0.000,0,7,48,0
41,13281248174.753,13281248191.580,13281250973.675,2781.332,2798.922,17.590,16.827,0.763,7201.078,0,0.000,0,7,48,0
42,13281258174.753,13281258193.236,13281260960.791,2766.503,2786.038,19.535,18.483,1.052,7213.962,0,0.000,0,7,48,0
43,13281268174.753,13281268193.151,13281270911.142,2717.200,2736.389,19.189,18.398,0.791,7263.611,0,0.000,0,7,48,0
44,13281278174.753,13281278192.965,13281280893.418,2699.579,2718.665,19.086,18.212,0.874,7281.335,0,0.000,0,7,48,0
45,13281288174.753,13281288193.363,13281290913.174,2718.773,2738.421,19.648,18.610,1.038,7261.579,0,0.000,0,7,48,0
46,13281298174.753,13281298195.841,13281300870.921,2674.084,2696.168,22.084,21.088,0.996,7303.832,0,0.000,0,7,48,0
47,13281308174.753,13281308194.413,13281310930.319,2735.009,2755.566,20.557,19.660,0.897,7244.434,0,0.000,0,7,48,0
48,13281318174.753,13281318195.185,13281320866.834,2670.609,2692.081,21.472,20.432,1.040,7307.919,0,0.000,0,7,48,0
49,13281328174.753,13281328196.163,13281330882.769,2685.266,2708.016,22.750,21.410,1.340,7291.984,0,0.000,0,7,48,0
50,13281338174.753,13281338198.013,13281340898.326,2698.809,2723.573,24.764,23.260,1.504,7276.427,0,0.000,0,7,48,0
51,13281348174.753,13281348197.612,13281350997.604,2798.666,2822.851,24.185,22.859,1.326,7177.149,0,0.000,0,7,48,0
52,13281358174.753,13281358197.988,13281360846.901,2647.430,2672.148,24.718,23.235,1.483,7327.852,0,0.000,0,7,48,0
53,13281368174.753,13281368198.727,13281370793.676,2593.956,2618.923,24.967,23.974,0.993,7381.077,0,0.000,0,7,48,0
54,13281378174.753,13281378196.678,13281380835.632,2637.691,2660.879,23.188,21.925,1.263,7339.121,0,0.000,0,7,48,0
55,13281388174.753,13281388195.775,13281391021.312,2824.611,2846.559,21.948,21.022,0.926,7153.441,0,0.000,0,7,48,0
56,13281398174.753,13281398196.040,13281400949.365,2752.128,2774.612,22.484,21.287,1.197,7225.388,0,0.000,0,7,48,0
57,13281408174.753,13281408194.905,13281411071.161,2875.163,2896.408,21.245,20.152,1.093,7103.592,0,0.000,0,7,48,0
58,13281418174.753,13281418195.252,13281420884.272,2688.174,2709.519,21.345,20.499,0.846,7290.481,0,0.000,0,7,48,0
59,13281428174.753,13281428195.476,13281430909.907,2713.182,2735.154,21.972,20.723,1.249,7264.846,0,0.000,0,7,48,0
60,13281438174.753,13281438197.392,13281440980.067,2781.823,2805.314,23.491,22.639,0.852,7194.686,0,0.000,0,7,48,0
61,13281448174.753,13281448195.007,13281450890.553,2694.748,2715.800,21.052,20.254,0.798,7284.200,0,0.000,0,7,48,0
62,13281458174.753,13281458196.040,13281460794.244,2597.029,2619.491,22.462,21.287,1.175,7380.509,0,0.000,0,7,48,0
63,13281468174.753,13281468195.577,13281470903.057,2706.283,2728.304,22.021,20.824,1.197,7271.696,0,0.000,0,7,48,0
64,13281478174.753,13281478195.105,13281480870.732,2674.232,2695.979,21.747,20.352,1.395,7304.021,0,0.000,0,7,48,0
65,13281488174.753,13281488196.549,13281491016.111,2818.658,2841.358,22.700,21.796,0.904,7158.642,0,0.000,0,7,48,0
66,13281498174.753,13281498197.461,13281500846.170,2647.480,2671.417,23.937,22.708,1.229,7328.583,0,0.000,0,7,48,0
67,13281508174.753,13281508195.354,13281510938.362,2741.829,2763.609,21.780,20.601,1.179,7236.391,0,0.000,0,7,48,0
68,13281518174.753,13281518196.428,13281520902.494,2704.869,2727.741,22.872,21.675,1.197,7272.259,0,0.000,0,7,48,0
69,13281528174.753,13281528196.007,13281530949.206,2751.842,2774.453,22.611,21.254,1.357,7225.547,0,0.000,0,7,48,0
70,13281538174.753,13281538197.763,13281540967.798,2769.019,2793.045,24.026,23.010,1.016,7206.955,0,0.000,0,7,48,0
71,13281548174.753,13281548195.716,13281550876.497,2679.590,2701.744,22.154,20.963,1.191,7298.256,0,0.000,0,7,48,0
72,13281558174.753,13281558195.218,13281560914.920,2718.570,2740.167,21.597,20.465,1.132,7259.833,0,0.000,0,7,48,0
73,13281568174.753,13281568196.007,13281570832.261,2635.114,2657.508,22.394,21.254,1.140,7342.492,0,0.000,0,7,48,0
74,13281578174.753,13281578195.668,13281580872.792,2675.935,2698.039,22.104,20.915,1.189,7301.961,0,0.000,0,7,48,0
75,13281588174.753,13281588196.603,13281591011.291,2813.721,2836.538,22.817,21.850,0.967,7163.462,0,0.000,0,7,48,0
76,13281598174.753,13281598196.402,13281600879.959,2682.014,2705.206,23.192,21.649,1.543,7294.794,0,0.000,0,7,48,0
77,13281608174.753,13281608195.419,13281610865.640,2668.788,2690.887,22.099,20.666,1.433,7309.113,0,0.000,0,7,48,0
78,13281618174.753,13281618196.861,13281620869.153,2670.952,2694.400,23.448,22.108,1.340,7305.600,0,0.000,0,7,48,0
79,13281628174.753,13281628196.455,13281631032.446,2835.148,2857.693,22.545,21.702,0.843,7142.307,0,0.000,0,7,48,0
80,13281638174.753,13281638195.736,13281640870.499,2673.686,2695.746,22.060,20.983,1.077,7304.254,0,0.000,0,7,48,0
81,13281648174.753,13281648195.644,13281650903.810,2707.076,2729.057,21.981,20.891,1.090,7270.943,0,0.000,0,7,48,0
82,13281658174.753,13281658197.441,13281660885.538,2687.058,2710.785,23.727,22.688,1.039,7289.215,0,0.000,0,7,48,0
83,13281668174.753,13281668194.532,13281671013.838,2818.397,2839.085,20.688,19.779,0.909,7160.915,0,0.000,0,7,48,0
84,13281678174.753,13281678196.760,13281680828.591,2630.783,2653.838,23.055,22.007,1.048,7346.162,0,0.000,0,7,48,0
85,13281688174.753,13281688197.230,13281690983.807,2785.003,2809.054,24.051,22.477,1.574,7190.946,0,0.000,0,7,48,0
86,13281698174.753,13281698197.539,13281700917.641,2718.439,2742.888,24.449,22.786,1.663,7257.112,0,0.000,0,7,48,0
87,13281708174.753,13281708347.796,13281711085.385,2734.977,2910.632,175.655,173.043,2.612,7089.368,0,0.000,0,7,48,0
88,13281718174.753,13281718199.336,13281720966.858,2766.549,2792.105,25.556,24.583,0.973,7207.895,0,0.000,0,7,48,0
