# probe kind=matmul M=48 K=163 buf_kb=0 period_us=10000 priority=90 cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,73903351981.992,73903352009.974,73903358598.208,6586.690,6616.216,29.526,27.982,1.544,3383.784,0,0.000,0,163,48,0
1,73903361981.992,73903362005.037,73903368863.873,6858.072,6881.881,23.809,23.045,0.764,3118.119,0,0.000,0,163,48,0
2,73903371981.992,73903371999.867,73903378635.082,6630.737,6653.090,22.353,17.875,4.478,3346.910,0,0.000,0,163,48,0
3,73903381981.992,73903381998.494,73903388748.141,6748.754,6766.149,17.395,16.502,0.893,3233.851,0,0.000,0,163,48,0
4,73903391981.992,73903391999.314,73903398772.959,6772.954,6790.967,18.013,17.322,0.691,3209.033,0,0.000,0,163,48,0
5,73903401981.992,73903402004.692,73903408667.767,6662.332,6685.775,23.443,22.700,0.743,3314.225,0,0.000,0,163,48,0
6,73903411981.992,73903412000.053,73903418640.096,6635.102,6658.104,23.002,18.061,4.941,3341.896,0,0.000,0,163,48,0
7,73903421981.992,73903421999.657,73903428528.428,6528.076,6546.436,18.360,17.665,0.695,3453.564,0,0.000,0,163,48,0
8,73903431981.992,73903431999.069,73903438687.781,6687.955,6705.789,17.834,17.077,0.757,3294.211,0,0.000,0,163,48,0
9,73903441981.992,73903441999.502,73903448682.285,6682.165,6700.293,18.128,17.510,0.618,3299.707,0,0.000,0,163,48,0
10,73903451981.992,73903451998.383,73903458695.315,6696.387,6713.323,16.936,16.391,0.545,3286.677,0,0.000,0,163,48,0
11,73903461981.992,73903461999.739,73903468740.215,6739.771,6758.223,18.452,17.747,0.705,3241.777,0,0.000,0,163,48,0
12,73903471981.992,73903472004.893,73903478669.706,6664.195,6687.714,23.519,22.901,0.618,3312.286,0,0.000,0,163,48,0
13,73903481981.992,73903481998.932,73903488568.746,6568.869,6586.754,17.885,16.940,0.945,3413.246,0,0.000,0,163,48,0
14,73903491981.992,73903491999.136,73903498659.938,6660.068,6677.946,17.878,17.144,0.734,3322.054,0,0.000,0,163,48,0
15,73903501981.992,73903501999.189,73903508611.486,6611.670,6629.494,17.824,17.197,0.627,3370.506,0,0.000,0,163,48,0
16,73903511981.992,73903512003.587,73903518729.524,6725.300,6747.532,22.232,21.595,0.637,3252.468,0,0.000,0,163,48,0
17,73903521981.992,73903521999.419,73903528696.538,6696.444,6714.546,18.102,17.427,0.675,3285.454,0,0.000,0,163,48,0
18,73903531981.992,73903531998.816,73903538762.524,6763.125,6780.532,17.407,16.824,0.583,3219.468,0,0.000,0,163,48,0
19,73903541981.992,73903541999.244,73903548563.805,6563.848,6581.813,17.965,17.252,0.713,3418.187,0,0.000,0,163,48,0
20,73903551981.992,73903551999.102,73903558642.602,6642.860,6660.610,17.750,17.110,0.640,3339.390,0,0.000,0,163,48,0
21,73903561981.992,73903561999.263,73903568620.084,6620.114,6638.092,17.978,17.271,0.707,3361.908,0,0.000,0,163,48,0
