# probe kind=matmul M=48 K=521 buf_kb=0 period_us=100000 priority=90 cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,146108231009.362,146108231248.977,146108252795.766,21544.253,21786.404,242.151,239.615,2.536,78213.596,0,0.000,0,521,48,0
1,146108331009.362,146108331210.616,146108352965.034,21752.160,21955.672,203.512,201.254,2.258,78044.328,0,0.000,0,521,48,0
2,146108431009.362,146108431224.038,146108452896.990,21670.446,21887.628,217.182,214.676,2.506,78112.372,0,0.000,0,521,48,0
3,146108531009.362,146108531194.816,146108552792.326,21595.426,21782.964,187.538,185.454,2.084,78217.036,0,0.000,0,521,48,0
4,146108631009.362,146108631201.937,146108652773.549,21568.739,21764.187,195.448,192.575,2.873,78235.813,0,0.000,0,521,48,0
5,146108731009.362,146108731198.663,146108752848.932,21647.805,21839.570,191.765,189.301,2.464,78160.430,0,0.000,0,521,48,0
6,146108831009.362,146108831090.657,146108852946.285,21853.075,21936.923,83.848,81.295,2.553,78063.077,0,0.000,0,521,48,0
7,146108931009.362,146108931236.371,146108952889.796,21651.113,21880.434,229.321,227.009,2.312,78119.566,0,0.000,0,521,48,0
8,146109031009.362,146109031187.462,146109052799.364,21609.633,21790.002,180.369,178.100,2.269,78209.998,0,0.000,0,521,48,0
9,146109131009.362,146109131180.857,146109152998.423,21815.408,21989.061,173.653,171.495,2.158,78010.939,0,0.000,0,521,48,0
10,146109231009.362,146109231182.610,146109252871.419,21686.486,21862.057,175.571,173.248,2.323,78137.943,0,0.000,0,521,48,0
11,146109331009.362,146109331073.057,146109352814.734,21739.397,21805.372,65.975,63.695,2.280,78194.628,0,0.000,0,521,48,0
12,146109431009.362,146109431185.929,146109452772.176,21584.004,21762.814,178.810,176.567,2.243,78237.186,0,0.000,0,521,48,0
13,146109531009.362,146109531230.196,146109552945.175,21712.995,21935.813,222.818,220.834,1.984,78064.187,0,0.000,0,521,48,0
14,146109631009.362,146109631211.220,146109652951.778,21738.416,21942.416,204.000,201.858,2.142,78057.584,0,0.000,0,521,48,0
15,146109731009.362,146109731203.278,146109752679.714,21474.310,21670.352,196.042,193.916,2.126,78329.648,0,0.000,0,521,48,0
16,146109831009.362,146109831196.689,146109852751.227,21552.254,21741.865,189.611,187.327,2.284,78258.135,0,0.000,0,521,48,0
17,146109931009.362,146109931208.989,146109952795.254,21584.168,21785.892,201.724,199.627,2.097,78214.108,0,0.000,0,521,48,0
18,146110031009.362,146110031190.059,146110052835.139,21642.506,21825.777,183.271,180.697,2.574,78174.223,0,0.000,0,521,48,0
19,146110131009.362,146110131192.243,146110152656.370,21461.921,21647.008,185.087,182.881,2.206,78352.992,0,0.000,0,521,48,0
20,146110231009.362,146110231215.198,146110253052.564,21834.801,22043.202,208.401,205.836,2.565,77956.798,0,0.000,0,521,48,0
21,146110331009.362,146110331077.331,146110352774.623,21695.150,21765.261,70.111,67.969,2.142,78234.739,0,0.000,0,521,48,0
22,146110431009.362,146110431182.113,146110452686.282,21501.596,21676.920,175.324,172.751,2.573,78323.080,0,0.000,0,521,48,0
23,146110531009.362,146110531204.838,146110552857.392,21650.429,21848.030,197.601,195.476,2.125,78151.970,0,0.000,0,521,48,0
24,146110631009.362,146110631218.314,146110652737.205,21516.454,21727.843,211.389,208.952,2.437,78272.157,0,0.000,0,521,48,0
25,146110731009.362,146110731188.550,146110752567.903,21377.123,21558.541,181.418,179.188,2.230,78441.459,0,0.000,0,521,48,0
26,146110831009.362,146110831070.953,146110852808.420,21735.698,21799.058,63.360,61.591,1.769,78200.942,0,0.000,0,521,48,0
27,146110931009.362,146110931203.100,146110952881.289,21675.858,21871.927,196.069,193.738,2.331,78128.073,0,0.000,0,521,48,0
28,146111031009.362,146111031198.974,146111052773.850,21572.635,21764.488,191.853,189.612,2.241,78235.512,0,0.000,0,521,48,0
29,146111131009.362,146111131196.941,146111152672.285,21473.111,21662.923,189.812,187.579,2.233,78337.077,0,0.000,0,521,48,0
30,146111231009.362,146111231192.023,146111252955.527,21760.534,21946.165,185.631,182.661,2.970,78053.835,0,0.000,0,521,48,0
31,146111331009.362,146111331182.713,146111352911.884,21727.056,21902.522,175.466,173.351,2.115,78097.478,0,0.000,0,521,48,0
32,146111431009.362,146111431207.102,146111452992.436,21783.009,21983.074,200.065,197.740,2.325,78016.926,0,0.000,0,521,48,0
33,146111531009.362,146111531238.364,146111552898.694,21657.812,21889.332,231.520,229.002,2.518,78110.668,0,0.000,0,521,48,0
34,146111631009.362,146111631192.258,146111652947.937,21753.647,21938.575,184.928,182.896,2.032,78061.425,0,0.000,0,521,48,0
35,146111731009.362,146111731203.347,146111752822.234,21616.523,21812.872,196.349,193.985,2.364,78187.128,0,0.000,0,521,48,0
36,146111831009.362,146111831183.730,146111853109.855,21923.832,22100.493,176.661,174.368,2.293,77899.507,0,0.000,0,521,48,0
37,146111931009.362,146111931076.260,146111952817.155,21738.476,21807.793,69.317,66.898,2.419,78192.207,0,0.000,0,521,48,0
38,146112031009.362,146112031075.401,146112052812.255,21734.406,21802.893,68.487,66.039,2.448,78197.107,0,0.000,0,521,48,0
39,146112131009.362,146112131181.657,146112152716.226,21532.664,21706.864,174.200,172.295,1.905,78293.136,0,0.000,0,521,48,0
40,146112231009.362,146112231235.317,146112252964.698,21726.833,21955.336,228.503,225.955,2.548,78044.664,0,0.000,0,521,48,0
41,146112331009.362,146112331208.637,146112352692.712,21481.859,21683.350,201.491,199.275,2.216,78316.650,0,0.000,0,521,48,0
42,146112431009.362,146112431201.106,146112453042.337,21839.059,22032.975,193.916,191.744,2.172,77967.025,0,0.000,0,521,48,0
43,146112531009.362,146112531213.034,146112552862.936,21647.647,21853.574,205.927,203.672,2.255,78146.426,0,0.000,0,521,48,0
44,146112631009.362,146112631196.137,146112652870.317,21672.149,21860.955,188.806,186.775,2.031,78139.045,0,0.000,0,521,48,0
45,146112731009.362,146112731269.255,146112752940.323,21668.624,21930.961,262.337,259.893,2.444,78069.039,0,0.000,0,521,48,0
46,146112831009.362,146112831228.966,146112852885.116,21653.654,21875.754,222.100,219.604,2.496,78124.246,0,0.000,0,521,48,0
47,146112931009.362,146112931087.793,146112952799.089,21708.983,21789.727,80.744,78.431,2.313,78210.273,0,0.000,0,521,48,0
48,146113031009.362,146113031088.973,146113052732.035,21640.523,21722.673,82.150,79.611,2.539,78277.327,0,0.000,0,521,48,0
49,146113131009.362,146113131187.132,146113152959.056,21769.547,21949.694,180.147,177.770,2.377,78050.306,0,0.000,0,521,48,0
50,146113231009.362,146113231187.765,146113252886.651,21696.386,21877.289,180.903,178.403,2.500,78122.711,0,0.000,0,521,48,0
51,146113331009.362,146113331272.596,146113353082.297,21807.168,22072.935,265.767,263.234,2.533,77927.065,0,0.000,0,521,48,0
52,146113431009.362,146113431194.789,146113452960.969,21763.813,21951.607,187.794,185.427,2.367,78048.393,0,0.000,0,521,48,0
53,146113531009.362,146113531082.135,146113552621.349,21537.069,21611.987,74.918,72.773,2.145,78388.013,0,0.000,0,521,48,0
54,146113631009.362,146113631070.188,146113652645.427,21572.816,21636.065,63.249,60.826,2.423,78363.935,0,0.000,0,521,48,0
