# probe kind=primes M=48 K=37 period_us=100000 priority=90 cpu=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,30873784952.287,30873785112.136,30873799581.610,14468.174,14629.323,161.149,159.849,1.300,85370.677,0,0.000,0,37,48,0
1,30873884952.287,30873885127.486,30873899349.602,14220.971,14397.315,176.344,175.199,1.145,85602.685,0,0.000,0,37,48,0
2,30873984952.287,30873985118.289,30873999090.353,13970.484,14138.066,167.582,166.002,1.580,85861.934,0,0.000,0,37,48,0
3,30874084952.287,30874085170.849,30874098957.921,13785.901,14005.634,219.733,218.562,1.171,85994.366,0,0.000,0,37,48,0
4,30874184952.287,30874185174.618,30874199152.610,13976.380,14200.323,223.943,222.331,1.612,85799.677,0,0.000,0,37,48,0
5,30874284952.287,30874285108.021,30874299581.734,14472.366,14629.447,157.081,155.734,1.347,85370.553,0,0.000,0,37,48,0
6,30874384952.287,30874385107.508,30874399523.754,14415.014,14571.467,156.453,155.221,1.232,85428.533,0,0.000,0,37,48,0
7,30874484952.287,30874485119.738,30874499485.489,14364.457,14533.202,168.745,167.451,1.294,85466.798,0,0.000,0,37,48,0
8,30874584952.287,30874585155.535,30874599644.479,14487.556,14692.192,204.636,203.248,1.388,85307.808,0,0.000,0,37,48,0
9,30874684952.287,30874685105.394,30874699092.475,13985.750,14140.188,154.438,153.107,1.331,85859.812,0,0.000,0,37,48,0
10,30874784952.287,30874785109.784,30874799304.519,14193.086,14352.232,159.146,157.497,1.649,85647.768,0,0.000,0,37,48,0
11,30874884952.287,30874885122.025,30874899704.852,14581.453,14752.565,171.112,169.738,1.374,85247.435,0,0.000,0,37,48,0
12,30874984952.287,30874985104.524,30874999298.414,14192.498,14346.127,153.629,152.237,1.392,85653.873,0,0.000,0,37,48,0
13,30875084952.287,30875085108.002,30875099422.276,14312.836,14469.989,157.153,155.715,1.438,85530.011,0,0.000,0,37,48,0
14,30875184952.287,30875185121.929,30875199576.367,14452.916,14624.080,171.164,169.642,1.522,85375.920,0,0.000,0,37,48,0
15,30875284952.287,30875285115.413,30875299509.480,14392.929,14557.193,164.264,163.126,1.138,85442.807,0,0.000,0,37,48,0
16,30875384952.287,30875385104.346,30875399316.231,14210.643,14363.944,153.301,152.059,1.242,85636.056,0,0.000,0,37,48,0
17,30875484952.287,30875485114.797,30875499543.842,14427.606,14591.555,163.949,162.510,1.439,85408.445,0,0.000,0,37,48,0
18,30875584952.287,30875585111.832,30875599495.437,14382.144,14543.150,161.006,159.545,1.461,85456.850,0,0.000,0,37,48,0
19,30875684952.287,30875685113.764,30875699473.620,14358.300,14521.333,163.033,161.477,1.556,85478.667,0,0.000,0,37,48,0
20,30875784952.287,30875785115.091,30875799623.961,14507.416,14671.674,164.258,162.804,1.454,85328.326,0,0.000,0,37,48,0
21,30875884952.287,30875885111.212,30875899641.547,14528.805,14689.260,160.455,158.925,1.530,85310.740,0,0.000,0,37,48,0
22,30875984952.287,30875985113.658,30875999161.103,14045.430,14208.816,163.386,161.371,2.015,85791.184,0,0.000,0,37,48,0
23,30876084952.287,30876085115.180,30876099739.709,14622.832,14787.422,164.590,162.893,1.697,85212.578,0,0.000,0,37,48,0
24,30876184952.287,30876185116.173,30876199252.436,14134.584,14300.149,165.565,163.886,1.679,85699.851,0,0.000,0,37,48,0
25,30876284952.287,30876285149.266,30876299903.658,14753.108,14951.371,198.263,196.979,1.284,85048.629,0,0.000,0,37,48,0
26,30876384952.287,30876385131.392,30876399264.634,14131.777,14312.347,180.570,179.105,1.465,85687.653,0,0.000,0,37,48,0
27,30876484952.287,30876485113.096,30876499694.834,14580.064,14742.547,162.483,160.809,1.674,85257.453,0,0.000,0,37,48,0
28,30876584952.287,30876585121.667,30876599669.281,14546.047,14716.994,170.947,169.380,1.567,85283.006,0,0.000,0,37,48,0
29,30876684952.287,30876685126.198,30876699313.774,14185.549,14361.487,175.938,173.911,2.027,85638.513,0,0.000,0,37,48,0
30,30876784952.287,30876785014.404,30876799616.068,14599.351,14663.781,64.430,62.117,2.313,85336.219,0,0.000,0,37,48,0
31,30876884952.287,30876885011.011,30876899579.624,14566.762,14627.337,60.575,58.724,1.851,85372.663,0,0.000,0,37,48,0
32,30876984952.287,30876984995.788,30876999145.469,14147.729,14193.182,45.453,43.501,1.952,85806.818,0,0.000,0,37,48,0
33,30877084952.287,30877084996.990,30877099440.542,14442.442,14488.255,45.813,44.703,1.110,85511.745,0,0.000,0,37,48,0
34,30877184952.287,30877184994.766,30877199225.251,14228.830,14272.964,44.134,42.479,1.655,85727.036,0,0.000,0,37,48,0
35,30877284952.287,30877284993.135,30877299397.888,14403.590,14445.601,42.011,40.848,1.163,85554.399,0,0.000,0,37,48,0
36,30877384952.287,30877384991.345,30877399591.108,14598.564,14638.821,40.257,39.058,1.199,85361.179,0,0.000,0,37,48,0
37,30877484952.287,30877484987.202,30877499606.189,14617.765,14653.902,36.137,34.915,1.222,85346.098,0,0.000,0,37,48,0
38,30877584952.287,30877584987.831,30877599862.584,14873.704,14910.297,36.593,35.544,1.049,85089.703,0,0.000,0,37,48,0
39,30877684952.287,30877684988.315,30877699016.576,14026.885,14064.289,37.404,36.028,1.376,85935.711,0,0.000,0,37,48,0
40,30877784952.287,30877784990.683,30877798974.208,13982.229,14021.921,39.692,38.396,1.296,85978.079,0,0.000,0,37,48,0
41,30877884952.287,30877884990.136,30877899295.348,14303.897,14343.061,39.164,37.849,1.315,85656.939,0,0.000,0,37,48,0
42,30877984952.287,30877984990.542,30877998750.588,13758.946,13798.301,39.355,38.255,1.100,86201.699,0,0.000,0,37,48,0
43,30878084952.287,30878084986.489,30878098954.540,13966.819,14002.253,35.434,34.202,1.232,85997.747,0,0.000,0,37,48,0
44,30878184952.287,30878184991.572,30878199235.678,14242.943,14283.391,40.448,39.285,1.163,85716.609,0,0.000,0,37,48,0
45,30878284952.287,30878284986.850,30878299498.455,14510.287,14546.168,35.881,34.563,1.318,85453.832,0,0.000,0,37,48,0
46,30878384952.287,30878384986.937,30878398967.375,13979.385,14015.088,35.703,34.650,1.053,85984.912,0,0.000,0,37,48,0
47,30878484952.287,30878484993.129,30878499274.024,14279.607,14321.737,42.130,40.842,1.288,85678.263,0,0.000,0,37,48,0
48,30878584952.287,30878584993.950,30878599311.727,14316.340,14359.440,43.100,41.663,1.437,85640.560,0,0.000,0,37,48,0
49,30878684952.287,30878685166.340,30878699276.527,14108.944,14324.240,215.296,214.053,1.243,85675.760,0,0.000,0,37,48,0
50,30878784952.287,30878785104.391,30878799155.604,14050.201,14203.317,153.116,152.104,1.012,85796.683,0,0.000,0,37,48,0
51,30878884952.287,30878885110.196,30878899459.756,14348.207,14507.469,159.262,157.909,1.353,85492.531,0,0.000,0,37,48,0
52,30878984952.287,30878985104.540,30878999250.027,14144.051,14297.740,153.689,152.253,1.436,85702.260,0,0.000,0,37,48,0
53,30879084952.287,30879085116.628,30879099733.952,14615.709,14781.665,165.956,164.341,1.615,85218.335,0,0.000,0,37,48,0
54,30879184952.287,30879185110.378,30879199643.957,14532.256,14691.670,159.414,158.091,1.323,85308.330,0,0.000,0,37,48,0
55,30879284952.287,30879285122.885,30879299153.482,14029.311,14201.195,171.884,170.598,1.286,85798.805,0,0.000,0,37,48,0
56,30879384952.287,30879385116.597,30879399660.038,14541.850,14707.751,165.901,164.310,1.591,85292.249,0,0.000,0,37,48,0
57,30879484952.287,30879485147.982,30879499525.385,14376.165,14573.098,196.933,195.695,1.238,85426.902,0,0.000,0,37,48,0
58,30879584952.287,30879585110.205,30879599516.282,14404.824,14563.995,159.171,157.918,1.253,85436.005,0,0.000,0,37,48,0
59,30879684952.287,30879685159.371,30879699828.155,14667.146,14875.868,208.722,207.084,1.638,85124.132,0,0.000,0,37,48,0
60,30879784952.287,30879785016.685,30879799121.729,14103.006,14169.442,66.436,64.398,2.038,85830.558,0,0.000,0,37,48,0
61,30879884952.287,30879885007.564,30879899446.284,14437.082,14493.997,56.915,55.277,1.638,85506.003,0,0.000,0,37,48,0
62,30879984952.287,30879984998.014,30879999561.118,14560.929,14608.831,47.902,45.727,2.175,85391.169,0,0.000,0,37,48,0
63,30880084952.287,30880084998.991,30880099145.613,14137.190,14193.326,56.136,46.704,9.432,85806.674,0,0.000,0,37,48,0
64,30880184952.287,30880184991.058,30880199338.749,14346.507,14386.462,39.955,38.771,1.184,85613.538,0,0.000,0,37,48,0
65,30880284952.287,30880285109.290,30880299501.523,14390.915,14549.236,158.321,157.003,1.318,85450.764,0,0.000,0,37,48,0
66,30880384952.287,30880385220.463,30880399838.212,14616.348,14885.925,269.577,268.176,1.401,85114.075,0,0.000,0,37,48,0
67,30880484952.287,30880485116.295,30880499385.650,14267.794,14433.363,165.569,164.008,1.561,85566.637,0,0.000,0,37,48,0
68,30880584952.287,30880585120.982,30880599564.903,14442.203,14612.616,170.413,168.695,1.718,85387.384,0,0.000,0,37,48,0
69,30880684952.287,30880685120.605,30880699695.134,14573.044,14742.847,169.803,168.318,1.485,85257.153,0,0.000,0,37,48,0
70,30880784952.287,30880785110.661,30880799576.330,14464.269,14624.043,159.774,158.374,1.400,85375.957,0,0.000,0,37,48,0
71,30880884952.287,30880885117.500,30880899759.129,14639.756,14806.842,167.086,165.213,1.873,85193.158,0,0.000,0,37,48,0
72,30880984952.287,30880984996.433,30880999317.080,14318.817,14364.793,45.976,44.146,1.830,85635.207,0,0.000,0,37,48,0
73,30881084952.287,30881085110.710,30881099361.762,14249.292,14409.475,160.183,158.423,1.760,85590.525,0,0.000,0,37,48,0
74,30881184952.287,30881185123.255,30881199284.216,14159.334,14331.929,172.595,170.968,1.627,85668.071,0,0.000,0,37,48,0
75,30881284952.287,30881284998.251,30881299476.111,14476.188,14523.824,47.636,45.964,1.672,85476.176,0,0.000,0,37,48,0
76,30881384952.287,30881384997.143,30881399541.007,14542.112,14588.720,46.608,44.856,1.752,85411.280,0,0.000,0,37,48,0
77,30881484952.287,30881485118.113,30881499423.258,14303.563,14470.971,167.408,165.826,1.582,85529.029,0,0.000,0,37,48,0
78,30881584952.287,30881585152.125,30881599386.951,14233.622,14434.664,201.042,199.838,1.204,85565.336,0,0.000,0,37,48,0
79,30881684952.287,30881685100.063,30881699628.939,14527.524,14676.652,149.128,147.776,1.352,85323.348,0,0.000,0,37,48,0
80,30881784952.287,30881785116.920,30881799726.599,14607.923,14774.312,166.389,164.633,1.756,85225.688,0,0.000,0,37,48,0
