# probe kind=primes M=48 K=9 period_us=10000 priority=90 cpu=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,6000764950.353,6000764972.700,6000768551.481,3577.204,3601.128,23.924,22.347,1.577,6398.872,0,0.000,0,9,48,0
1,6000774950.353,6000774976.069,6000778345.476,3367.901,3395.123,27.222,25.716,1.506,6604.877,0,0.000,0,9,48,0
2,6000784950.353,6000784971.747,6000788508.173,3535.738,3557.820,22.082,21.394,0.688,6442.180,0,0.000,0,9,48,0
3,6000794950.353,6000794969.767,6000798259.124,3288.635,3308.771,20.136,19.414,0.722,6691.229,0,0.000,0,9,48,0
4,6000804950.353,6000804968.674,6000808389.585,3420.342,3439.232,18.890,18.321,0.569,6560.768,0,0.000,0,9,48,0
5,6000814950.353,6000814968.441,6000818288.075,3318.682,3337.722,19.040,18.088,0.952,6662.278,0,0.000,0,9,48,0
6,6000824950.353,6000824970.087,6000828412.100,3441.339,3461.747,20.408,19.734,0.674,6538.253,0,0.000,0,9,48,0
7,6000834950.353,6000834969.644,6000838337.905,3367.557,3387.552,19.995,19.291,0.704,6612.448,0,0.000,0,9,48,0
8,6000844950.353,6000844970.176,6000848362.037,3391.137,3411.684,20.547,19.823,0.724,6588.316,0,0.000,0,9,48,0
9,6000854950.353,6000854970.016,6000858375.770,3404.985,3425.417,20.432,19.663,0.769,6574.583,0,0.000,0,9,48,0
10,6000864950.353,6000864968.367,6000868394.568,3425.375,3444.215,18.840,18.014,0.826,6555.785,0,0.000,0,9,48,0
11,6000874950.353,6000874970.657,6000878367.234,3395.866,3416.881,21.015,20.304,0.711,6583.119,0,0.000,0,9,48,0
12,6000884950.353,6000884971.030,6000888281.932,3310.197,3331.579,21.382,20.677,0.705,6668.421,0,0.000,0,9,48,0
13,6000894950.353,6000894971.757,6000898341.124,3368.182,3390.771,22.589,21.404,1.185,6609.229,0,0.000,0,9,48,0
14,6000904950.353,6000904970.346,6000908369.415,3398.291,3419.062,20.771,19.993,0.778,6580.938,0,0.000,0,9,48,0
15,6000914950.353,6000914972.682,6000918398.420,3425.008,3448.067,23.059,22.329,0.730,6551.933,0,0.000,0,9,48,0
16,6000924950.353,6000924970.173,6000928368.990,3398.182,3418.637,20.455,19.820,0.635,6581.363,0,0.000,0,9,48,0
17,6000934950.353,6000934970.384,6000938487.680,3516.625,3537.327,20.702,20.031,0.671,6462.673,0,0.000,0,9,48,0
18,6000944950.353,6000944972.084,6000948367.962,3394.960,3417.609,22.649,21.731,0.918,6582.391,0,0.000,0,9,48,0
19,6000954950.353,6000954970.929,6000958393.110,3421.043,3442.757,21.714,20.576,1.138,6557.243,0,0.000,0,9,48,0
20,6000964950.353,6000964971.820,6000968530.385,3557.598,3580.032,22.434,21.467,0.967,6419.968,0,0.000,0,9,48,0
21,6000974950.353,6000974971.919,6000978423.375,3450.527,3473.022,22.495,21.566,0.929,6526.978,0,0.000,0,9,48,0
22,6000984950.353,6000984971.780,6000988399.876,3427.342,3449.523,22.181,21.427,0.754,6550.477,0,0.000,0,9,48,0
23,6000994950.353,6000994973.767,6000998421.646,3447.180,3471.293,24.113,23.414,0.699,6528.707,0,0.000,0,9,48,0
24,6001004950.353,6001004973.072,6001008339.341,3365.471,3388.988,23.517,22.719,0.798,6611.012,0,0.000,0,9,48,0
25,6001014950.353,6001014973.001,6001018392.004,3417.986,3441.651,23.665,22.648,1.017,6558.349,0,0.000,0,9,48,0
26,6001024950.353,6001024970.051,6001028408.173,3437.096,3457.820,20.724,19.698,1.026,6542.180,0,0.000,0,9,48,0
27,6001034950.353,6001034969.599,6001038338.602,3368.242,3388.249,20.007,19.246,0.761,6611.751,0,0.000,0,9,48,0
28,6001044950.353,6001044969.051,6001048577.562,3607.768,3627.209,19.441,18.698,0.743,6372.791,0,0.000,0,9,48,0
29,6001054950.353,6001054970.342,6001058344.319,3373.159,3393.966,20.807,19.989,0.818,6606.034,0,0.000,0,9,48,0
30,6001064950.353,6001064969.945,6001068297.303,3326.448,3346.950,20.502,19.592,0.910,6653.050,0,0.000,0,9,48,0
31,6001074950.353,6001074970.052,6001078542.281,3571.431,3591.928,20.497,19.699,0.798,6408.072,0,0.000,0,9,48,0
32,6001084950.353,6001084970.643,6001088337.055,3365.285,3386.702,21.417,20.290,1.127,6613.298,0,0.000,0,9,48,0
33,6001094950.353,6001094970.046,6001098334.185,3363.476,3383.832,20.356,19.693,0.663,6616.168,0,0.000,0,9,48,0
34,6001104950.353,6001104970.287,6001108391.939,3421.008,3441.586,20.578,19.934,0.644,6558.414,0,0.000,0,9,48,0
35,6001114950.353,6001114978.603,6001118412.484,3432.843,3462.131,29.288,28.250,1.038,6537.869,0,0.000,0,9,48,0
36,6001124950.353,6001124970.163,6001128353.930,3383.230,3403.577,20.347,19.810,0.537,6596.423,0,0.000,0,9,48,0
37,6001134950.353,6001134968.674,6001138381.442,3411.990,3431.089,19.099,18.321,0.778,6568.911,0,0.000,0,9,48,0
38,6001144950.353,6001144969.655,6001148473.821,3503.295,3523.468,20.173,19.302,0.871,6476.532,0,0.000,0,9,48,0
39,6001154950.353,6001154969.899,6001158382.809,3412.044,3432.456,20.412,19.546,0.866,6567.544,0,0.000,0,9,48,0
40,6001164950.353,6001164968.561,6001168276.561,3307.281,3326.208,18.927,18.208,0.719,6673.792,0,0.000,0,9,48,0
41,6001174950.353,6001174969.099,6001178240.382,3270.557,3290.029,19.472,18.746,0.726,6709.971,0,0.000,0,9,48,0
42,6001184950.353,6001184974.340,6001188508.521,3533.578,3558.168,24.590,23.987,0.603,6441.832,0,0.000,0,9,48,0
43,6001194950.353,6001194969.713,6001198450.539,3480.075,3500.186,20.111,19.360,0.751,6499.814,0,0.000,0,9,48,0
44,6001204950.353,6001204968.255,6001208340.951,3372.010,3390.598,18.588,17.902,0.686,6609.402,0,0.000,0,9,48,0
45,6001214950.353,6001214969.147,6001218315.282,3345.383,3364.929,19.546,18.794,0.752,6635.071,0,0.000,0,9,48,0
46,6001224950.353,6001224968.302,6001228458.997,3490.120,3508.644,18.524,17.949,0.575,6491.356,0,0.000,0,9,48,0
47,6001234950.353,6001234969.154,6001238495.424,3525.722,3545.071,19.349,18.801,0.548,6454.929,0,0.000,0,9,48,0
48,6001244950.353,6001244968.986,6001248340.908,3371.291,3390.555,19.264,18.633,0.631,6609.445,0,0.000,0,9,48,0
49,6001254950.353,6001254969.300,6001258299.805,3329.907,3349.452,19.545,18.947,0.598,6650.548,0,0.000,0,9,48,0
50,6001264950.353,6001264968.674,6001268544.248,3574.878,3593.895,19.017,18.321,0.696,6406.105,0,0.000,0,9,48,0
51,6001274950.353,6001274970.597,6001278410.751,3439.237,3460.398,21.161,20.244,0.917,6539.602,0,0.000,0,9,48,0
52,6001284950.353,6001284969.688,6001288433.075,3462.661,3482.722,20.061,19.335,0.726,6517.278,0,0.000,0,9,48,0
53,6001294950.353,6001294971.549,6001298412.838,3440.278,3462.485,22.207,21.196,1.011,6537.515,0,0.000,0,9,48,0
54,6001304950.353,6001304970.343,6001308451.699,3480.672,3501.346,20.674,19.990,0.684,6498.654,0,0.000,0,9,48,0
55,6001314950.353,6001314970.121,6001318363.520,3392.480,3413.167,20.687,19.768,0.919,6586.833,0,0.000,0,9,48,0
