# probe kind=matmul M=48 K=176 buf_kb=0 period_us=100000 priority=90 cpu=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,1006291363.763,1006291573.827,1006298914.234,7338.352,7550.471,212.119,210.064,2.055,92449.529,0,0.000,0,176,48,0
1,1006391363.763,1006391522.778,1006398883.501,7358.539,7519.738,161.199,159.015,2.184,92480.262,0,0.000,0,176,48,0
2,1006491363.763,1006491526.645,1006498667.839,7139.386,7304.076,164.690,162.882,1.808,92695.924,0,0.000,0,176,48,0
3,1006591363.763,1006591525.640,1006598708.574,7181.320,7344.811,163.491,161.877,1.614,92655.189,0,0.000,0,176,48,0
4,1006691363.763,1006691407.164,1006698669.176,7260.234,7305.413,45.179,43.401,1.778,92694.587,0,0.000,0,176,48,0
5,1006791363.763,1006791522.821,1006798835.488,7310.857,7471.725,160.868,159.058,1.810,92528.275,0,0.000,0,176,48,0
6,1006891363.763,1006891528.119,1006898664.096,7134.250,7300.333,166.083,164.356,1.727,92699.667,0,0.000,0,176,48,0
7,1006991363.763,1006991537.382,1006998861.395,7322.278,7497.632,175.354,173.619,1.735,92502.368,0,0.000,0,176,48,0
8,1007091363.763,1007091522.476,1007098685.301,7161.079,7321.538,160.459,158.713,1.746,92678.462,0,0.000,0,176,48,0
9,1007191363.763,1007191524.385,1007198849.385,7323.175,7485.622,162.447,160.622,1.825,92514.378,0,0.000,0,176,48,0
10,1007291363.763,1007291525.917,1007298626.307,7098.536,7262.544,164.008,162.154,1.854,92737.456,0,0.000,0,176,48,0
11,1007391363.763,1007391539.597,1007398869.922,7328.233,7506.159,177.926,175.834,2.092,92493.841,0,0.000,0,176,48,0
12,1007491363.763,1007491535.261,1007498904.223,7367.011,7540.460,173.449,171.498,1.951,92459.540,0,0.000,0,176,48,0
13,1007591363.763,1007591526.423,1007598916.998,7388.797,7553.235,164.438,162.660,1.778,92446.765,0,0.000,0,176,48,0
14,1007691363.763,1007691527.443,1007698842.430,7313.143,7478.667,165.524,163.680,1.844,92521.333,0,0.000,0,176,48,0
15,1007791363.763,1007791574.625,1007798949.756,7372.984,7585.993,213.009,210.862,2.147,92414.007,0,0.000,0,176,48,0
16,1007891363.763,1007891574.665,1007898960.859,7384.060,7597.096,213.036,210.902,2.134,92402.904,0,0.000,0,176,48,0
17,1007991363.763,1007991524.922,1007998637.664,7110.949,7273.901,162.952,161.159,1.793,92726.099,0,0.000,0,176,48,0
18,1008091363.763,1008091530.529,1008098886.811,7354.249,7523.048,168.799,166.766,2.033,92476.952,0,0.000,0,176,48,0
19,1008191363.763,1008191531.284,1008198872.013,7338.697,7508.250,169.553,167.521,2.032,92491.750,0,0.000,0,176,48,0
20,1008291363.763,1008291564.184,1008298977.711,7411.735,7613.948,202.213,200.421,1.792,92386.052,0,0.000,0,176,48,0
21,1008391363.763,1008391523.124,1008398699.031,7174.139,7335.268,161.129,159.361,1.768,92664.732,0,0.000,0,176,48,0
22,1008491363.763,1008491532.830,1008498918.201,7383.310,7554.438,171.128,169.067,2.061,92445.562,0,0.000,0,176,48,0
23,1008591363.763,1008591532.764,1008598843.840,7309.218,7480.077,170.859,169.001,1.858,92519.923,0,0.000,0,176,48,0
24,1008691363.763,1008691536.737,1008698879.220,7340.503,7515.457,174.954,172.974,1.980,92484.543,0,0.000,0,176,48,0
25,1008791363.763,1008791528.407,1008798896.586,7365.858,7532.823,166.965,164.644,2.321,92467.177,0,0.000,0,176,48,0
26,1008891363.763,1008891570.874,1008898867.152,7294.211,7503.389,209.178,207.111,2.067,92496.611,0,0.000,0,176,48,0
27,1008991363.763,1008991574.530,1008998888.652,7312.079,7524.889,212.810,210.767,2.043,92475.111,0,0.000,0,176,48,0
28,1009091363.763,1009091524.634,1009098806.719,7280.219,7442.956,162.737,160.871,1.866,92557.044,0,0.000,0,176,48,0
29,1009191363.763,1009191597.602,1009198867.831,7268.424,7504.068,235.644,233.839,1.805,92495.932,0,0.000,0,176,48,0
30,1009291363.763,1009291552.431,1009298882.080,7327.636,7518.317,190.681,188.668,2.013,92481.683,0,0.000,0,176,48,0
31,1009391363.763,1009391522.259,1009398887.011,7362.926,7523.248,160.322,158.496,1.826,92476.752,0,0.000,0,176,48,0
32,1009491363.763,1009491555.419,1009498883.172,7325.977,7519.409,193.432,191.656,1.776,92480.591,0,0.000,0,176,48,0
