# probe kind=matmul M=48 K=18 buf_kb=0 period_us=10000 priority=90 cpu=1 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,7592984238.280,7592984273.246,7592984971.174,696.258,732.894,36.636,34.966,1.670,9267.106,0,0.000,0,18,48,0
1,7592994238.280,7592994262.111,7592994991.820,728.583,753.540,24.957,23.831,1.126,9246.460,0,0.000,0,18,48,0
2,7593004238.280,7593004266.965,7593004963.942,695.998,725.662,29.664,28.685,0.979,9274.338,0,0.000,0,18,48,0
3,7593014238.280,7593014269.734,7593014966.170,695.252,727.890,32.638,31.454,1.184,9272.110,0,0.000,0,18,48,0
4,7593024238.280,7593024272.475,7593024969.251,695.309,730.971,35.662,34.195,1.467,9269.029,0,0.000,0,18,48,0
5,7593034238.280,7593034259.660,7593035157.931,897.401,919.651,22.250,21.380,0.870,9080.349,0,0.000,0,18,48,0
6,7593044238.280,7593044281.238,7593045047.847,765.393,809.567,44.174,42.958,1.216,9190.433,0,0.000,0,18,48,0
7,7593054238.280,7593054274.027,7593054970.950,696.275,732.670,36.395,35.747,0.648,9267.330,0,0.000,0,18,48,0
8,7593064238.280,7593064269.989,7593064965.883,695.241,727.603,32.362,31.709,0.653,9272.397,0,0.000,0,18,48,0
9,7593074238.280,7593074269.568,7593074966.116,695.861,727.836,31.975,31.288,0.687,9272.164,0,0.000,0,18,48,0
10,7593084238.280,7593084257.186,7593084953.788,695.757,715.508,19.751,18.906,0.845,9284.492,0,0.000,0,18,48,0
11,7593094238.280,7593094262.792,7593094990.672,726.786,752.392,25.606,24.512,1.094,9247.608,0,0.000,0,18,48,0
12,7593104238.280,7593104269.326,7593104973.432,703.482,735.152,31.670,31.046,0.624,9264.848,0,0.000,0,18,48,0
13,7593114238.280,7593114268.773,7593114972.038,702.413,733.758,31.345,30.493,0.852,9266.242,0,0.000,0,18,48,0
14,7593124238.280,7593124258.715,7593124975.750,716.251,737.470,21.219,20.435,0.784,9262.530,0,0.000,0,18,48,0
15,7593134238.280,7593134270.389,7593135212.880,941.217,974.600,33.383,32.109,1.274,9025.400,0,0.000,0,18,48,0
16,7593144238.280,7593144294.413,7593154299.775,1325.315,10061.495,8736.180,56.133,8680.047,-61.495,1,61.495,1,18,48,1
17,7593164238.280,7593164265.946,7593174271.049,1293.850,10032.769,8738.919,27.666,8711.253,-32.769,1,32.769,1,18,48,1
18,7593184238.280,7593184263.979,7593194264.322,1234.830,10026.042,8791.212,25.699,8765.513,-26.042,1,26.042,1,18,48,1
19,7593204238.280,7593204255.497,7593214263.973,1048.150,10025.693,8977.543,17.217,8960.326,-25.693,1,25.693,1,18,48,1
20,7593224238.280,7593224273.373,7593225015.751,741.056,777.471,36.415,35.093,1.322,9222.529,0,0.000,0,18,48,0
21,7593234238.280,7593234269.634,7593234997.120,726.620,758.840,32.220,31.354,0.866,9241.160,0,0.000,0,18,48,0
22,7593244238.280,7593244258.971,7593244978.839,718.984,740.559,21.575,20.691,0.884,9259.441,0,0.000,0,18,48,0
23,7593254238.280,7593254268.447,7593254975.435,705.700,737.155,31.455,30.167,1.288,9262.845,0,0.000,0,18,48,0
24,7593264238.280,7593264257.140,7593264953.756,695.523,715.476,19.953,18.860,1.093,9284.524,0,0.000,0,18,48,0
25,7593274238.280,7593274269.299,7593274986.668,716.323,748.388,32.065,31.019,1.046,9251.612,0,0.000,0,18,48,0
26,7593284238.280,7593284267.211,7593284980.099,712.202,741.819,29.617,28.931,0.686,9258.181,0,0.000,0,18,48,0
27,7593294238.280,7593294266.565,7593295025.414,757.530,787.134,29.604,28.285,1.319,9212.866,0,0.000,0,18,48,0
28,7593304238.280,7593304269.432,7593304998.686,728.410,760.406,31.996,31.152,0.844,9239.594,0,0.000,0,18,48,0
29,7593314238.280,7593314272.650,7593314969.328,695.882,731.048,35.166,34.370,0.796,9268.952,0,0.000,0,18,48,0
30,7593324238.280,7593324269.816,7593324966.132,695.643,727.852,32.209,31.536,0.673,9272.148,0,0.000,0,18,48,0
31,7593334238.280,7593334259.947,7593334956.972,696.285,718.692,22.407,21.667,0.740,9281.308,0,0.000,0,18,48,0
32,7593344238.280,7593344271.701,7593344968.953,696.438,730.673,34.235,33.421,0.814,9269.327,0,0.000,0,18,48,0
33,7593354238.280,7593354257.218,7593354953.401,695.478,715.121,19.643,18.938,0.705,9284.879,0,0.000,0,18,48,0
34,7593364238.280,7593364269.966,7593364966.466,695.472,728.186,32.714,31.686,1.028,9271.814,0,0.000,0,18,48,0
35,7593374238.280,7593374268.203,7593374976.538,707.320,738.258,30.938,29.923,1.015,9261.742,0,0.000,0,18,48,0
36,7593384238.280,7593384270.039,7593384989.721,718.759,751.441,32.682,31.759,0.923,9248.559,0,0.000,0,18,48,0
37,7593394238.280,7593394265.718,7593394961.828,695.323,723.548,28.225,27.438,0.787,9276.452,0,0.000,0,18,48,0
38,7593404238.280,7593404270.407,7593404986.813,715.443,748.533,33.090,32.127,0.963,9251.467,0,0.000,0,18,48,0
39,7593414238.280,7593414259.303,7593414957.780,697.325,719.500,22.175,21.023,1.152,9280.500,0,0.000,0,18,48,0
40,7593424238.280,7593424270.195,7593424968.073,696.900,729.793,32.893,31.915,0.978,9270.207,0,0.000,0,18,48,0
41,7593434238.280,7593434259.875,7593434956.808,695.901,718.528,22.627,21.595,1.032,9281.472,0,0.000,0,18,48,0
42,7593444238.280,7593444269.960,7593444966.275,695.473,727.995,32.522,31.680,0.842,9272.005,0,0.000,0,18,48,0
43,7593454238.280,7593454256.826,7593454952.820,695.181,714.540,19.359,18.546,0.813,9285.460,0,0.000,0,18,48,0
44,7593464238.280,7593464258.436,7593464987.778,728.473,749.498,21.025,20.156,0.869,9250.502,0,0.000,0,18,48,0
45,7593474238.280,7593474255.222,7593474951.046,695.166,712.766,17.600,16.942,0.658,9287.234,0,0.000,0,18,48,0
46,7593484238.280,7593484267.153,7593484963.859,695.584,725.579,29.995,28.873,1.122,9274.421,0,0.000,0,18,48,0
47,7593494238.280,7593494259.033,7593494986.237,726.328,747.957,21.629,20.753,0.876,9252.043,0,0.000,0,18,48,0
48,7593504238.280,7593504267.520,7593504964.433,696.009,726.153,30.144,29.240,0.904,9273.847,0,0.000,0,18,48,0
49,7593514238.280,7593514260.197,7593514956.174,694.926,717.894,22.968,21.917,1.051,9282.106,0,0.000,0,18,48,0
50,7593524238.280,7593524270.275,7593524966.164,695.091,727.884,32.793,31.995,0.798,9272.116,0,0.000,0,18,48,0
51,7593534238.280,7593534278.580,7593534977.055,697.408,738.775,41.367,40.300,1.067,9261.225,0,0.000,0,18,48,0
52,7593544238.280,7593544258.429,7593544955.038,695.876,716.758,20.882,20.149,0.733,9283.242,0,0.000,0,18,48,0
53,7593554238.280,7593554263.531,7593554959.863,695.413,721.583,26.170,25.251,0.919,9278.417,0,0.000,0,18,48,0
54,7593564238.280,7593564269.404,7593564966.023,695.926,727.743,31.817,31.124,0.693,9272.257,0,0.000,0,18,48,0
55,7593574238.280,7593574255.342,7593574990.236,733.832,751.956,18.124,17.062,1.062,9248.044,0,0.000,0,18,48,0
56,7593584238.280,7593584261.013,7593584958.136,696.090,719.856,23.766,22.733,1.033,9280.144,0,0.000,0,18,48,0
57,7593594238.280,7593594268.314,7593594995.405,726.216,757.125,30.909,30.034,0.875,9242.875,0,0.000,0,18,48,0
58,7593604238.280,7593604260.501,7593604956.578,695.235,718.298,23.063,22.221,0.842,9281.702,0,0.000,0,18,48,0
