# probe kind=ptrchase M=48 K=24 buf_kb=131072 period_us=10000 priority=90 cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,390943564.546,390943592.185,390945046.536,1453.088,1481.990,28.902,27.639,1.263,8518.010,0,0.000,0,24,48,0
1,390953564.546,390953597.606,390955058.263,1459.057,1493.717,34.660,33.060,1.600,8506.283,0,0.000,0,24,48,0
2,390963564.546,390963588.475,390965078.631,1489.171,1514.085,24.914,23.929,0.985,8485.915,0,0.000,0,24,48,0
3,390973564.546,390973587.460,390975040.369,1452.065,1475.823,23.758,22.914,0.844,8524.177,0,0.000,0,24,48,0
4,390983564.546,390983587.278,390985022.466,1434.546,1457.920,23.374,22.732,0.642,8542.080,0,0.000,0,24,48,0
5,390993564.546,390993585.442,390995019.053,1432.820,1454.507,21.687,20.896,0.791,8545.493,0,0.000,0,24,48,0
6,391003564.546,391003586.695,391005025.707,1438.267,1461.161,22.894,22.149,0.745,8538.839,0,0.000,0,24,48,0
7,391013564.546,391013585.691,391015009.701,1423.054,1445.155,22.101,21.145,0.956,8554.845,0,0.000,0,24,48,0
8,391023564.546,391023585.056,391025020.895,1434.933,1456.349,21.416,20.510,0.906,8543.651,0,0.000,0,24,48,0
9,391033564.546,391033587.548,391035025.146,1436.717,1460.600,23.883,23.002,0.881,8539.400,0,0.000,0,24,48,0
10,391043564.546,391043586.397,391045019.074,1431.869,1454.528,22.659,21.851,0.808,8545.472,0,0.000,0,24,48,0
11,391053564.546,391053588.388,391055035.226,1445.693,1470.680,24.987,23.842,1.145,8529.320,0,0.000,0,24,48,0
12,391063564.546,391063593.684,391065046.837,1451.979,1482.291,30.312,29.138,1.174,8517.709,0,0.000,0,24,48,0
13,391073564.546,391073588.984,391075047.637,1457.509,1483.091,25.582,24.438,1.144,8516.909,0,0.000,0,24,48,0
14,391083564.546,391083589.314,391085030.438,1440.097,1465.892,25.795,24.768,1.027,8534.108,0,0.000,0,24,48,0
15,391093564.546,391093588.236,391095040.755,1451.656,1476.209,24.553,23.690,0.863,8523.791,0,0.000,0,24,48,0
16,391103564.546,391103587.328,391105029.694,1441.414,1465.148,23.734,22.782,0.952,8534.852,0,0.000,0,24,48,0
17,391113564.546,391113588.991,391115034.697,1444.642,1470.151,25.509,24.445,1.064,8529.849,0,0.000,0,24,48,0
18,391123564.546,391123589.216,391125031.156,1441.193,1466.610,25.417,24.670,0.747,8533.390,0,0.000,0,24,48,0
19,391133564.546,391133588.236,391135039.405,1450.053,1474.859,24.806,23.690,1.116,8525.141,0,0.000,0,24,48,0
20,391143564.546,391143588.930,391145025.047,1435.263,1460.501,25.238,24.384,0.854,8539.499,0,0.000,0,24,48,0
21,391153564.546,391153588.303,391155031.771,1442.467,1467.225,24.758,23.757,1.001,8532.775,0,0.000,0,24,48,0
22,391163564.546,391163587.659,391165049.117,1460.610,1484.571,23.961,23.113,0.848,8515.429,0,0.000,0,24,48,0
23,391173564.546,391173586.318,391175026.347,1439.138,1461.801,22.663,21.772,0.891,8538.199,0,0.000,0,24,48,0
24,391183564.546,391183588.540,391185036.015,1446.453,1471.469,25.016,23.994,1.022,8528.531,0,0.000,0,24,48,0
25,391193564.546,391193586.819,391195011.934,1424.239,1447.388,23.149,22.273,0.876,8552.612,0,0.000,0,24,48,0
26,391203564.546,391203588.637,391205031.791,1442.007,1467.245,25.238,24.091,1.147,8532.755,0,0.000,0,24,48,0
27,391213564.546,391213587.270,391215031.896,1443.486,1467.350,23.864,22.724,1.140,8532.650,0,0.000,0,24,48,0
28,391223564.546,391223588.146,391225030.043,1440.871,1465.497,24.626,23.600,1.026,8534.503,0,0.000,0,24,48,0
29,391233564.546,391233590.087,391235036.782,1445.506,1472.236,26.730,25.541,1.189,8527.764,0,0.000,0,24,48,0
30,391243564.546,391243589.432,391245026.602,1436.400,1462.056,25.656,24.886,0.770,8537.944,0,0.000,0,24,48,0
31,391253564.546,391253587.448,391255024.430,1436.138,1459.884,23.746,22.902,0.844,8540.116,0,0.000,0,24,48,0
32,391263564.546,391263585.448,391265024.079,1437.740,1459.533,21.793,20.902,0.891,8540.467,0,0.000,0,24,48,0
33,391273564.546,391273586.087,391275038.867,1451.919,1474.321,22.402,21.541,0.861,8525.679,0,0.000,0,24,48,0
34,391283564.546,391283590.233,391285028.022,1437.021,1463.476,26.455,25.687,0.768,8536.524,0,0.000,0,24,48,0
35,391293564.546,391293587.464,391295029.180,1440.564,1464.634,24.070,22.918,1.152,8535.366,0,0.000,0,24,48,0
36,391303564.546,391303586.956,391305038.333,1450.583,1473.787,23.204,22.410,0.794,8526.213,0,0.000,0,24,48,0
37,391313564.546,391313588.511,391315023.228,1433.961,1458.682,24.721,23.965,0.756,8541.318,0,0.000,0,24,48,0
38,391323564.546,391323587.337,391325041.770,1453.384,1477.224,23.840,22.791,1.049,8522.776,0,0.000,0,24,48,0
39,391333564.546,391333589.354,391335043.877,1453.715,1479.331,25.616,24.808,0.808,8520.669,0,0.000,0,24,48,0
40,391343564.546,391343590.077,391345055.106,1464.264,1490.560,26.296,25.531,0.765,8509.440,0,0.000,0,24,48,0
41,391353564.546,391353586.822,391355029.715,1442.098,1465.169,23.071,22.276,0.795,8534.831,0,0.000,0,24,48,0
42,391363564.546,391363588.584,391365024.903,1435.382,1460.357,24.975,24.038,0.937,8539.643,0,0.000,0,24,48,0
43,391373564.546,391373588.436,391375033.097,1443.726,1468.551,24.825,23.890,0.935,8531.449,0,0.000,0,24,48,0
44,391383564.546,391383587.890,391385031.578,1442.808,1467.032,24.224,23.344,0.880,8532.968,0,0.000,0,24,48,0
45,391393564.546,391393588.393,391395055.672,1466.203,1491.126,24.923,23.847,1.076,8508.874,0,0.000,0,24,48,0
46,391403564.546,391403588.617,391405054.647,1464.941,1490.101,25.160,24.071,1.089,8509.899,0,0.000,0,24,48,0
47,391413564.546,391413589.435,391415038.945,1448.501,1474.399,25.898,24.889,1.009,8525.601,0,0.000,0,24,48,0
48,391423564.546,391423587.916,391425046.682,1457.749,1482.136,24.387,23.370,1.017,8517.864,0,0.000,0,24,48,0
