# probe kind=matmul M=48 K=19 buf_kb=0 period_us=10000 priority=90 cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,1774564771.516,1774564798.406,1774566498.049,1698.771,1726.533,27.762,26.890,0.872,8273.467,0,0.000,0,19,48,0
1,1774574771.516,1774575204.425,1774585082.758,1924.237,10311.242,8387.005,432.909,7954.096,-311.242,1,311.242,1,19,48,1
2,1774594771.516,1774594797.960,1774596460.480,1661.472,1688.964,27.492,26.444,1.048,8311.036,0,0.000,0,19,48,0
3,1774604771.516,1774604812.017,1774615032.904,2133.269,10261.388,8128.119,40.501,8087.618,-261.388,1,261.388,1,19,48,1
4,1774624771.516,1774624813.790,1774626528.409,1713.161,1756.893,43.732,42.274,1.458,8243.107,0,0.000,0,19,48,0
5,1774634771.516,1774634813.274,1774645024.505,3153.851,10252.989,7099.138,41.758,7057.380,-252.989,1,252.989,1,19,48,1
6,1774654771.516,1774654816.363,1774664918.748,2306.221,10147.232,7841.011,44.847,7796.164,-147.232,1,147.232,1,19,48,1
7,1774674771.516,1774674830.404,1774676575.095,1742.809,1803.579,60.770,58.888,1.882,8196.421,0,0.000,0,19,48,0
8,1774684771.516,1774684823.378,1774694899.485,2290.426,10127.969,7837.543,51.862,7785.681,-127.969,1,127.969,1,19,48,1
9,1774704771.516,1774704820.126,1774706506.672,1684.861,1735.156,50.295,48.610,1.685,8264.844,0,0.000,0,19,48,0
10,1774714771.516,1774714821.011,1774716521.785,1698.668,1750.269,51.601,49.495,2.106,8249.731,0,0.000,0,19,48,0
11,1774724771.516,1774724823.482,1774726514.541,1689.598,1743.025,53.427,51.966,1.461,8256.975,0,0.000,0,19,48,0
12,1774734771.516,1774734813.831,1774744814.616,1972.460,10043.100,8070.640,42.315,8028.325,-43.100,1,43.100,1,19,48,1
13,1774754771.516,1774754808.112,1774764839.028,2239.511,10067.512,7828.001,36.596,7791.405,-67.512,1,67.512,1,19,48,1
14,1774774771.516,1774774816.614,1774784812.572,2012.079,10041.056,8028.977,45.098,7983.879,-41.056,1,41.056,1,19,48,1
15,1774794771.516,1774794797.915,1774796468.116,1669.235,1696.600,27.365,26.399,0.966,8303.400,0,0.000,0,19,48,0
16,1774804771.516,1774805161.012,1774815044.182,1927.932,10272.666,8344.734,389.496,7955.238,-272.666,1,272.666,1,19,48,1
17,1774824771.516,1774824798.820,1774826467.136,1667.329,1695.620,28.291,27.304,0.987,8304.380,0,0.000,0,19,48,0
18,1774834771.516,1774834936.719,1774836707.357,1769.243,1935.841,166.598,165.203,1.395,8064.159,0,0.000,0,19,48,0
19,1774844771.516,1774844797.102,1774846463.940,1666.071,1692.424,26.353,25.586,0.767,8307.576,0,0.000,0,19,48,0
20,1774854771.516,1774855012.111,1774864801.521,1813.633,10030.005,8216.372,240.595,7975.777,-30.005,1,30.005,1,19,48,1
21,1774874771.516,1774874819.762,1774876513.822,1692.857,1742.306,49.449,48.246,1.203,8257.694,0,0.000,0,19,48,0
22,1774884771.516,1774885014.285,1774894940.773,1818.478,10169.257,8350.779,242.769,8108.010,-169.257,1,169.257,1,19,48,1
23,1774904771.516,1774904802.151,1774906472.695,1669.524,1701.179,31.655,30.635,1.020,8298.821,0,0.000,0,19,48,0
24,1774914771.516,1774915033.260,1774925034.275,1830.225,10262.759,8432.534,261.744,8170.790,-262.759,1,262.759,1,19,48,1
25,1774934771.516,1774934797.778,1774936465.252,1666.283,1693.736,27.453,26.262,1.191,8306.264,0,0.000,0,19,48,0
26,1774944771.516,1774945030.539,1774954983.421,1831.240,10211.905,8380.665,259.023,8121.642,-211.905,1,211.905,1,19,48,1
27,1774964771.516,1774964822.082,1774966507.559,1684.434,1736.043,51.609,50.566,1.043,8263.957,0,0.000,0,19,48,0
28,1774974771.516,1774975198.143,1774985036.410,1918.606,10264.894,8346.288,426.627,7919.661,-264.894,1,264.894,1,19,48,1
29,1774994771.516,1774994797.067,1774996456.369,1658.356,1684.853,26.497,25.551,0.946,8315.147,0,0.000,0,19,48,0
30,1775004771.516,1775005054.491,1775014806.942,1851.857,10035.426,8183.569,282.975,7900.594,-35.426,1,35.426,1,19,48,1
31,1775024771.516,1775024798.433,1775026516.957,1717.543,1745.441,27.898,26.917,0.981,8254.559,0,0.000,0,19,48,0
32,1775034771.516,1775034796.497,1775036464.280,1666.945,1692.764,25.819,24.981,0.838,8307.236,0,0.000,0,19,48,0
33,1775044771.516,1775044989.998,1775055171.360,1811.444,10399.844,8588.400,218.482,8369.918,-399.844,1,399.844,1,19,48,1
34,1775064771.516,1775064799.816,1775066465.186,1664.430,1693.670,29.240,28.300,0.940,8306.330,0,0.000,0,19,48,0
