# probe kind=ptrchase M=48 K=10 buf_kb=131072 period_us=10000 priority=90 cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,26588415731.693,26588415757.487,26588416562.070,803.444,830.377,26.933,25.794,1.139,9169.623,0,0.000,0,10,48,0
1,26588425731.693,26588425754.382,26588426535.708,780.417,804.015,23.598,22.689,0.909,9195.985,0,0.000,0,10,48,0
2,26588435731.693,26588435754.188,26588436537.801,782.739,806.108,23.369,22.495,0.874,9193.892,0,0.000,0,10,48,0
3,26588445731.693,26588445753.763,26588446543.197,788.651,811.504,22.853,22.070,0.783,9188.496,0,0.000,0,10,48,0
4,26588455731.693,26588455752.865,26588456525.332,771.436,793.639,22.203,21.172,1.031,9206.361,0,0.000,0,10,48,0
5,26588465731.693,26588465753.784,26588466529.189,774.544,797.496,22.952,22.091,0.861,9202.504,0,0.000,0,10,48,0
6,26588475731.693,26588475753.468,26588476528.106,773.633,796.413,22.780,21.775,1.005,9203.587,0,0.000,0,10,48,0
7,26588485731.693,26588485750.315,26588486517.010,765.633,785.317,19.684,18.622,1.062,9214.683,0,0.000,0,10,48,0
8,26588495731.693,26588495750.947,26588496507.132,755.286,775.439,20.153,19.254,0.899,9224.561,0,0.000,0,10,48,0
9,26588505731.693,26588505752.729,26588506523.885,770.130,792.192,22.062,21.036,1.026,9207.808,0,0.000,0,10,48,0
10,26588515731.693,26588515752.440,26588516524.707,771.514,793.014,21.500,20.747,0.753,9206.986,0,0.000,0,10,48,0
11,26588525731.693,26588525751.736,26588526504.645,752.108,772.952,20.844,20.043,0.801,9227.048,0,0.000,0,10,48,0
12,26588535731.693,26588535751.914,26588536504.782,752.028,773.089,21.061,20.221,0.840,9226.911,0,0.000,0,10,48,0
13,26588545731.693,26588545758.277,26588546517.031,757.834,785.338,27.504,26.584,0.920,9214.662,0,0.000,0,10,48,0
14,26588555731.693,26588555755.894,26588556520.855,764.054,789.162,25.108,24.201,0.907,9210.838,0,0.000,0,10,48,0
15,26588565731.693,26588565754.874,26588566531.054,775.417,799.361,23.944,23.181,0.763,9200.639,0,0.000,0,10,48,0
16,26588575731.693,26588575756.067,26588576514.768,757.961,783.075,25.114,24.374,0.740,9216.925,0,0.000,0,10,48,0
17,26588585731.693,26588585751.883,26588586521.762,768.961,790.069,21.108,20.190,0.918,9209.931,0,0.000,0,10,48,0
18,26588595731.693,26588595752.176,26588596506.107,753.136,774.414,21.278,20.483,0.795,9225.586,0,0.000,0,10,48,0
19,26588605731.693,26588605753.946,26588606534.324,779.351,802.631,23.280,22.253,1.027,9197.369,0,0.000,0,10,48,0
20,26588615731.693,26588615755.900,26588616530.389,773.688,798.696,25.008,24.207,0.801,9201.304,0,0.000,0,10,48,0
21,26588625731.693,26588625752.743,26588626537.962,784.273,806.269,21.996,21.050,0.946,9193.731,0,0.000,0,10,48,0
22,26588635731.693,26588635755.009,26588636529.274,773.302,797.581,24.279,23.316,0.963,9202.419,0,0.000,0,10,48,0
23,26588645731.693,26588645753.709,26588646524.731,770.161,793.038,22.877,22.016,0.861,9206.962,0,0.000,0,10,48,0
24,26588655731.693,26588655752.681,26588656521.923,768.277,790.230,21.953,20.988,0.965,9209.770,0,0.000,0,10,48,0
25,26588665731.693,26588665754.001,26588666520.293,765.379,788.600,23.221,22.308,0.913,9211.400,0,0.000,0,10,48,0
26,26588675731.693,26588675750.900,26588676515.741,764.086,784.048,19.962,19.207,0.755,9215.952,0,0.000,0,10,48,0
27,26588685731.693,26588685750.987,26588686515.240,763.406,783.547,20.141,19.294,0.847,9216.453,0,0.000,0,10,48,0
28,26588695731.693,26588695753.404,26588696531.694,777.175,800.001,22.826,21.711,1.115,9199.999,0,0.000,0,10,48,0
29,26588705731.693,26588705752.327,26588706518.422,765.163,786.729,21.566,20.634,0.932,9213.271,0,0.000,0,10,48,0
30,26588715731.693,26588715753.517,26588716519.184,764.926,787.491,22.565,21.824,0.741,9212.509,0,0.000,0,10,48,0
31,26588725731.693,26588725751.695,26588726516.252,763.612,784.559,20.947,20.002,0.945,9215.441,0,0.000,0,10,48,0
32,26588735731.693,26588735752.872,26588736536.163,782.315,804.470,22.155,21.179,0.976,9195.530,0,0.000,0,10,48,0
33,26588745731.693,26588745752.629,26588746528.363,774.760,796.670,21.910,20.936,0.974,9203.330,0,0.000,0,10,48,0
34,26588755731.693,26588755752.012,26588756528.228,775.270,796.535,21.265,20.319,0.946,9203.465,0,0.000,0,10,48,0
35,26588765731.693,26588765752.805,26588766532.874,779.262,801.181,21.919,21.112,0.807,9198.819,0,0.000,0,10,48,0
36,26588775731.693,26588775754.187,26588776536.160,781.123,804.467,23.344,22.494,0.850,9195.533,0,0.000,0,10,48,0
37,26588785731.693,26588785751.628,26588786530.513,778.112,798.820,20.708,19.935,0.773,9201.180,0,0.000,0,10,48,0
38,26588795731.693,26588795752.385,26588796520.242,766.902,788.549,21.647,20.692,0.955,9211.451,0,0.000,0,10,48,0
39,26588805731.693,26588805752.689,26588806547.236,793.760,815.543,21.783,20.996,0.787,9184.457,0,0.000,0,10,48,0
40,26588815731.693,26588815752.440,26588816526.535,773.334,794.842,21.508,20.747,0.761,9205.158,0,0.000,0,10,48,0
41,26588825731.693,26588825750.542,26588826518.348,767.046,786.655,19.609,18.849,0.760,9213.345,0,0.000,0,10,48,0
42,26588835731.693,26588835754.422,26588836535.654,780.179,803.961,23.782,22.729,1.053,9196.039,0,0.000,0,10,48,0
43,26588845731.693,26588845753.439,26588846542.201,787.985,810.508,22.523,21.746,0.777,9189.492,0,0.000,0,10,48,0
44,26588855731.693,26588855752.878,26588856530.846,777.128,799.153,22.025,21.185,0.840,9200.847,0,0.000,0,10,48,0
45,26588865731.693,26588865751.843,26588866534.777,782.229,803.084,20.855,20.150,0.705,9196.916,0,0.000,0,10,48,0
46,26588875731.693,26588875753.864,26588876523.849,769.157,792.156,22.999,22.171,0.828,9207.844,0,0.000,0,10,48,0
47,26588885731.693,26588885753.438,26588886528.236,773.765,796.543,22.778,21.745,1.033,9203.457,0,0.000,0,10,48,0
48,26588895731.693,26588895753.233,26588896534.056,780.071,802.363,22.292,21.540,0.752,9197.637,0,0.000,0,10,48,0
49,26588905731.693,26588905752.725,26588906516.351,762.692,784.658,21.966,21.032,0.934,9215.342,0,0.000,0,10,48,0
50,26588915731.693,26588915751.838,26588916542.132,789.328,810.439,21.111,20.145,0.966,9189.561,0,0.000,0,10,48,0
51,26588925731.693,26588925752.897,26588926524.465,770.620,792.772,22.152,21.204,0.948,9207.228,0,0.000,0,10,48,0
52,26588935731.693,26588935753.542,26588936526.165,771.627,794.472,22.845,21.849,0.996,9205.528,0,0.000,0,10,48,0
53,26588945731.693,26588945752.745,26588946536.601,782.873,804.908,22.035,21.052,0.983,9195.092,0,0.000,0,10,48,0
54,26588955731.693,26588955752.556,26588956532.470,778.991,800.777,21.786,20.863,0.923,9199.223,0,0.000,0,10,48,0
55,26588965731.693,26588965753.670,26588966525.741,771.241,794.048,22.807,21.977,0.830,9205.952,0,0.000,0,10,48,0
56,26588975731.693,26588975752.911,26588976531.300,777.531,799.607,22.076,21.218,0.858,9200.393,0,0.000,0,10,48,0
57,26588985731.693,26588985753.164,26588986526.627,772.549,794.934,22.385,21.471,0.914,9205.066,0,0.000,0,10,48,0
58,26588995731.693,26588995752.340,26588996518.964,765.905,787.271,21.366,20.647,0.719,9212.729,0,0.000,0,10,48,0
59,26589005731.693,26589005753.933,26589006532.267,777.464,800.574,23.110,22.240,0.870,9199.426,0,0.000,0,10,48,0
60,26589015731.693,26589015755.490,26589016531.663,775.449,799.970,24.521,23.797,0.724,9200.030,0,0.000,0,10,48,0
61,26589025731.693,26589025752.063,26589026515.036,762.124,783.343,21.219,20.370,0.849,9216.657,0,0.000,0,10,48,0
62,26589035731.693,26589035752.205,26589036527.457,774.237,795.764,21.527,20.512,1.015,9204.236,0,0.000,0,10,48,0
63,26589045731.693,26589045752.573,26589046518.821,765.470,787.128,21.658,20.880,0.778,9212.872,0,0.000,0,10,48,0
64,26589055731.693,26589055752.827,26589056529.907,776.033,798.214,22.181,21.134,1.047,9201.786,0,0.000,0,10,48,0
65,26589065731.693,26589065752.535,26589066531.785,778.304,800.092,21.788,20.842,0.946,9199.908,0,0.000,0,10,48,0
66,26589075731.693,26589075752.975,26589076527.691,774.018,795.998,21.980,21.282,0.698,9204.002,0,0.000,0,10,48,0
67,26589085731.693,26589085752.300,26589086525.948,772.791,794.255,21.464,20.607,0.857,9205.745,0,0.000,0,10,48,0
68,26589095731.693,26589095751.525,26589096517.123,764.828,785.430,20.602,19.832,0.770,9214.570,0,0.000,0,10,48,0
69,26589105731.693,26589105754.457,26589106524.155,768.761,792.462,23.701,22.764,0.937,9207.538,0,0.000,0,10,48,0
70,26589115731.693,26589115751.436,26589116525.635,773.289,793.942,20.653,19.743,0.910,9206.058,0,0.000,0,10,48,0
71,26589125731.693,26589125751.754,26589126528.272,775.668,796.579,20.911,20.061,0.850,9203.421,0,0.000,0,10,48,0
72,26589135731.693,26589135760.683,26589136536.695,775.038,805.002,29.964,28.990,0.974,9194.998,0,0.000,0,10,48,0
73,26589145731.693,26589145751.773,26589146519.432,766.739,787.739,21.000,20.080,0.920,9212.261,0,0.000,0,10,48,0
74,26589155731.693,26589155752.402,26589156519.467,766.012,787.774,21.762,20.709,1.053,9212.226,0,0.000,0,10,48,0
75,26589165731.693,26589165750.924,26589166516.325,764.674,784.632,19.958,19.231,0.727,9215.368,0,0.000,0,10,48,0
76,26589175731.693,26589175752.079,26589176499.571,746.657,767.878,21.221,20.386,0.835,9232.122,0,0.000,0,10,48,0
77,26589185731.693,26589185751.432,26589186508.782,756.548,777.089,20.541,19.739,0.802,9222.911,0,0.000,0,10,48,0
78,26589195731.693,26589195751.718,26589196510.626,757.599,778.933,21.334,20.025,1.309,9221.067,0,0.000,0,10,48,0
79,26589205731.693,26589205750.794,26589206508.721,757.164,777.028,19.864,19.101,0.763,9222.972,0,0.000,0,10,48,0
