# probe kind=primes M=48 K=62 period_us=100000 priority=90 cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,8795137708.075,8795137986.270,8795158843.633,20855.377,21135.558,280.181,278.195,1.986,78864.442,0,0.000,0,62,48,0
1,8795237708.075,8795237933.604,8795258946.074,21010.632,21237.999,227.367,225.529,1.838,78762.001,0,0.000,0,62,48,0
2,8795337708.075,8795337914.811,8795358800.919,20884.314,21092.844,208.530,206.736,1.794,78907.156,0,0.000,0,62,48,0
3,8795437708.075,8795437958.359,8795458917.346,20957.310,21209.271,251.961,250.284,1.677,78790.729,0,0.000,0,62,48,0
4,8795537708.075,8795537758.877,8795558808.442,21047.620,21100.367,52.747,50.802,1.945,78899.633,0,0.000,0,62,48,0
5,8795637708.075,8795637764.326,8795658774.669,21008.080,21066.594,58.514,56.251,2.263,78933.406,0,0.000,0,62,48,0
6,8795737708.075,8795737762.695,8795759673.713,21909.104,21965.638,56.534,54.620,1.914,78034.362,0,0.000,0,62,48,0
7,8795837708.075,8795837762.785,8795858699.969,20935.311,20991.894,56.583,54.710,1.873,79008.106,0,0.000,0,62,48,0
8,8795937708.075,8795937894.864,8795958978.867,21082.164,21270.792,188.628,186.789,1.839,78729.208,0,0.000,0,62,48,0
9,8796037708.075,8796037760.496,8796059038.833,21276.653,21330.758,54.105,52.421,1.684,78669.242,0,0.000,0,62,48,0
10,8796137708.075,8796138037.345,8796159054.141,21014.722,21346.066,331.344,329.270,2.074,78653.934,0,0.000,0,62,48,0
11,8796237708.075,8796237778.384,8796259648.366,21867.926,21940.291,72.365,70.309,2.056,78059.709,0,0.000,0,62,48,0
12,8796337708.075,8796337935.546,8796358672.955,20735.581,20964.880,229.299,227.471,1.828,79035.120,0,0.000,0,62,48,0
13,8796437708.075,8796437858.917,8796458631.404,20770.988,20923.329,152.341,150.842,1.499,79076.671,0,0.000,0,62,48,0
14,8796537708.075,8796537761.620,8796559504.650,21741.044,21796.575,55.531,53.545,1.986,78203.425,0,0.000,0,62,48,0
15,8796637708.075,8796637856.192,8796658579.693,20722.013,20871.618,149.605,148.117,1.488,79128.382,0,0.000,0,62,48,0
