# probe kind=primes M=48 K=20 period_us=10000 priority=90 cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,15357326146.649,15357326173.228,15357335468.498,9294.276,9321.849,27.573,26.579,0.994,678.151,0,0.000,0,20,48,0
1,15357336146.649,15357336163.780,15357345519.941,9355.561,9373.292,17.731,17.131,0.600,626.708,0,0.000,0,20,48,0
2,15357346146.649,15357346162.442,15357355429.393,9266.457,9282.744,16.287,15.793,0.494,717.256,0,0.000,0,20,48,0
3,15357356146.649,15357356162.782,15357365463.828,9300.547,9317.179,16.632,16.133,0.499,682.821,0,0.000,0,20,48,0
4,15357366146.649,15357366164.379,15357375361.713,9196.785,9215.064,18.279,17.730,0.549,784.936,0,0.000,0,20,48,0
5,15357376146.649,15357376168.433,15357386172.243,9467.666,10025.594,557.928,21.784,536.144,-25.594,1,25.594,1,20,48,1
6,15357396146.649,15357396170.778,15357405494.956,9323.711,9348.307,24.596,24.129,0.467,651.693,0,0.000,0,20,48,0
7,15357406146.649,15357406162.551,15357415513.243,9350.070,9366.594,16.524,15.902,0.622,633.406,0,0.000,0,20,48,0
8,15357416146.649,15357416164.247,15357425409.939,9245.254,9263.290,18.036,17.598,0.438,736.710,0,0.000,0,20,48,0
9,15357426146.649,15357426162.579,15357435313.980,9150.932,9167.331,16.399,15.930,0.469,832.669,0,0.000,0,20,48,0
10,15357436146.649,15357436164.016,15357445460.644,9296.197,9313.995,17.798,17.367,0.431,686.005,0,0.000,0,20,48,0
11,15357446146.649,15357446163.105,15357455320.418,9156.842,9173.769,16.927,16.456,0.471,826.231,0,0.000,0,20,48,0
12,15357456146.649,15357456163.026,15357466165.026,9516.552,10018.377,501.825,16.377,485.448,-18.377,1,18.377,1,20,48,1
13,15357476146.649,15357476167.138,15357485354.037,9186.305,9207.388,21.083,20.489,0.594,792.612,0,0.000,0,20,48,0
14,15357486146.649,15357486166.267,15357495428.467,9261.534,9281.818,20.284,19.618,0.666,718.182,0,0.000,0,20,48,0
