# probe kind=matmul activation=event M=48 K=516 period_us=100000 priority=90 target_cpu=1 generator_cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,7931948331.511,7931948370.467,7931969522.991,21151.097,21191.480,40.383,38.956,1.427,78808.520,0,0.000,0,516,48,0
1,7932017109.226,7932017142.642,7932060369.734,20873.802,43260.508,22386.706,33.416,22353.290,56739.492,0,0.000,1,516,48,0
2,7932164154.866,7932164189.841,7932185457.743,21266.388,21302.877,36.489,34.975,1.514,78697.123,0,0.000,0,516,48,0
3,7932250777.835,7932250818.383,7932271885.927,21065.755,21108.092,42.337,40.548,1.789,78891.908,0,0.000,0,516,48,0
4,7932350466.532,7932350516.037,7932371522.639,21005.049,21056.107,51.058,49.505,1.553,78943.893,0,0.000,0,516,48,0
5,7932423968.495,7932424012.051,7932445150.776,21137.528,21182.281,44.753,43.556,1.197,78817.719,0,0.000,0,516,48,0
6,7932504618.374,7932504650.826,7932526310.282,21658.442,21691.908,33.466,32.452,1.014,78308.092,0,0.000,0,516,48,0
7,7932574634.340,7932574661.732,7932617593.222,21282.889,42958.882,21675.993,27.392,21648.601,57041.118,0,0.000,1,516,48,0
8,7932624962.452,7932624990.261,7932709072.949,21429.811,84110.497,62680.686,27.809,62652.877,15889.503,0,0.000,1,516,48,0
9,7932723565.424,7932723586.071,7932744965.510,21379.030,21400.086,21.056,20.647,0.409,78599.914,0,0.000,0,516,48,0
10,7932863115.864,7932863150.840,7932884288.764,21136.921,21172.900,35.979,34.976,1.003,78827.100,0,0.000,0,516,48,0
11,7932961448.414,7932961480.658,7932982978.323,21496.366,21529.909,33.543,32.244,1.299,78470.091,0,0.000,0,516,48,0
12,7933041353.226,7933041397.361,7933062610.603,21211.827,21257.377,45.550,44.135,1.415,78742.623,0,0.000,0,516,48,0
13,7933152540.890,7933152578.516,7933173815.654,21235.725,21274.764,39.039,37.626,1.413,78725.236,0,0.000,0,516,48,0
14,7933297759.219,7933297802.443,7933319041.356,21237.679,21282.137,44.458,43.224,1.234,78717.863,0,0.000,0,516,48,0
15,7933410876.573,7933410920.647,7933432118.365,21196.260,21241.792,45.532,44.074,1.458,78758.208,0,0.000,0,516,48,0
16,7933547597.294,7933547637.527,7933568820.671,21181.844,21223.377,41.533,40.233,1.300,78776.623,0,0.000,0,516,48,0
17,7933657241.660,7933657282.330,7933678485.421,21201.730,21243.761,42.031,40.670,1.361,78756.239,0,0.000,0,516,48,0
18,7933729214.254,7933729245.919,7933750568.971,21322.190,21354.717,32.527,31.665,0.862,78645.283,0,0.000,0,516,48,0
19,7933863723.643,7933863756.537,7933885049.324,21291.727,21325.681,33.954,32.894,1.060,78674.319,0,0.000,0,516,48,0
20,7933955441.665,7933955476.509,7933976672.988,21195.633,21231.323,35.690,34.844,0.846,78768.677,0,0.000,0,516,48,0
21,7934021417.983,7934021448.790,7934067094.937,21175.503,45676.954,24501.451,30.807,24470.644,54323.046,0,0.000,1,516,48,0
22,7934134250.499,7934134279.823,7934155548.933,21268.232,21298.434,30.202,29.324,0.878,78701.566,0,0.000,0,516,48,0
23,7934272259.242,7934272294.019,7934293459.785,21164.179,21200.543,36.364,34.777,1.587,78799.457,0,0.000,0,516,48,0
24,7934393993.305,7934394044.385,7934415704.883,21658.974,21711.578,52.604,51.080,1.524,78288.422,0,0.000,0,516,48,0
25,7934454508.185,7934454539.745,7934507320.502,21748.809,52812.317,31063.508,31.560,31031.948,47187.683,0,0.000,1,516,48,0
26,7934506634.318,7934507334.974,7934599192.477,21829.946,92558.159,70728.213,700.656,70027.557,7441.841,0,0.000,1,516,48,0
27,7934562338.402,7934599206.018,7934621682.772,22476.170,59344.370,36868.200,36867.616,0.584,40655.630,0,0.000,0,516,48,0
28,7934711617.564,7934711656.209,7934733082.440,21424.612,21464.876,40.264,38.645,1.619,78535.124,0,0.000,0,516,48,0
29,7934792795.385,7934792831.722,7934813983.211,21150.047,21187.826,37.779,36.337,1.442,78812.174,0,0.000,0,516,48,0
30,7934855615.012,7934855656.073,7934904768.541,21284.809,49153.529,27868.720,41.061,27827.659,50846.471,0,0.000,1,516,48,0
31,7934945774.052,7934945809.311,7934966907.332,21097.266,21133.280,36.014,35.259,0.755,78866.720,0,0.000,0,516,48,0
32,7935073953.239,7935073999.950,7935095240.783,21230.031,21287.544,57.513,46.711,10.802,78712.456,0,0.000,0,516,48,0
33,7935176625.359,7935176662.094,7935197833.441,21169.878,21208.082,38.204,36.735,1.469,78791.918,0,0.000,0,516,48,0
34,7935310731.410,7935310770.930,7935331974.419,21202.046,21243.009,40.963,39.520,1.443,78756.991,0,0.000,0,516,48,0
35,7935407817.062,7935407866.207,7935429148.866,21281.220,21331.804,50.584,49.145,1.439,78668.196,0,0.000,0,516,48,0
36,7935471021.893,7935471055.083,7935520109.191,21204.310,49087.298,27882.988,33.190,27849.798,50912.702,0,0.000,1,516,48,0
37,7935523773.327,7935523802.049,7935611050.494,21399.419,87277.167,65877.748,28.722,65849.026,12722.833,0,0.000,1,516,48,0
38,7935616920.694,7935616942.411,7935638128.700,21185.870,21208.006,22.136,21.717,0.419,78791.994,0,0.000,0,516,48,0
