# probe kind=matmul activation=event M=48 K=118 period_us=10000 priority=90 target_cpu=1 generator_cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,19212692567.902,19212692595.423,19212697582.223,4984.903,5014.321,29.418,27.521,1.897,4985.679,0,0.000,0,118,48,0
1,19212699446.103,19212699465.514,19212704881.960,4839.624,5435.857,596.233,19.411,576.822,4564.143,0,0.000,1,118,48,0
2,19212714150.983,19212714168.094,19212719089.470,4920.988,4938.487,17.499,17.111,0.388,5061.513,0,0.000,0,118,48,0
3,19212722809.993,19212722826.311,19212727703.812,4877.036,4893.819,16.783,16.318,0.465,5106.181,0,0.000,0,118,48,0
4,19212732783.251,19212732808.009,19212737583.797,4775.389,4800.546,25.157,24.758,0.399,5199.454,0,0.000,0,118,48,0
5,19212740257.137,19212740281.409,19212745334.577,5052.768,5077.440,24.672,24.272,0.400,4922.560,0,0.000,0,118,48,0
6,19212748195.480,19212748211.753,19212753052.470,4840.264,4856.990,16.726,16.273,0.453,5143.010,0,0.000,0,118,48,0
7,19212755195.182,19212755210.195,19212760010.674,4800.061,4815.492,15.431,15.013,0.418,5184.508,0,0.000,0,118,48,0
8,19212760229.177,19212760242.701,19212767273.830,4833.301,7044.653,2211.352,13.524,2197.828,2955.347,0,0.000,1,118,48,0
9,19212770090.182,19212770105.406,19212774918.686,4812.847,4828.504,15.657,15.224,0.433,5171.496,0,0.000,0,118,48,0
10,19212784268.752,19212784291.382,19212789166.185,4874.487,4897.433,22.946,22.630,0.316,5102.567,0,0.000,0,118,48,0
11,19212793907.942,19212793924.338,19212798901.716,4976.965,4993.774,16.809,16.396,0.413,5006.226,0,0.000,0,118,48,0
12,19212801868.494,19212801883.877,19212806721.387,4837.193,4852.893,15.700,15.383,0.317,5147.107,0,0.000,0,118,48,0
13,19212813113.335,19212813135.067,19212817957.169,4821.737,4843.834,22.097,21.732,0.365,5156.166,0,0.000,0,118,48,0
14,19212827639.843,19212827674.116,19212833430.775,5756.181,5790.932,34.751,34.273,0.478,4209.068,0,0.000,0,118,48,0
15,19212838962.385,19212838990.162,19212844062.974,5072.311,5100.589,28.278,27.777,0.501,4899.411,0,0.000,0,118,48,0
16,19212852631.522,19212852651.812,19212857527.156,4875.008,4895.634,20.626,20.290,0.336,5104.366,0,0.000,0,118,48,0
17,19212863638.970,19212863658.536,19212868602.896,4944.064,4963.926,19.862,19.566,0.296,5036.074,0,0.000,0,118,48,0
18,19212870655.963,19212870672.003,19212876197.014,4876.853,5541.051,664.198,16.040,648.158,4458.949,0,0.000,1,118,48,0
19,19212884233.801,19212884254.878,19212889151.324,4896.033,4917.523,21.490,21.077,0.413,5082.477,0,0.000,0,118,48,0
20,19212893277.159,19212893296.414,19212897993.087,4696.302,4715.928,19.626,19.255,0.371,5284.072,0,0.000,0,118,48,0
21,19212899868.176,19212899888.588,19212905038.149,4866.750,5169.973,303.223,20.412,282.811,4830.027,0,0.000,1,118,48,0
22,19212911358.267,19212911378.896,19212916298.494,4919.222,4940.227,21.005,20.629,0.376,5059.773,0,0.000,0,118,48,0
23,19212925087.832,19212925114.220,19212929977.858,4863.286,4890.026,26.740,26.388,0.352,5109.974,0,0.000,0,118,48,0
24,19212937251.933,19212937275.137,19212942227.439,4951.961,4975.506,23.545,23.204,0.341,5024.494,0,0.000,0,118,48,0
25,19212943181.419,19212943196.130,19212949445.906,4989.058,6264.487,1275.429,14.711,1260.718,3735.513,0,0.000,1,118,48,0
26,19212948394.349,19212949450.732,19212957584.240,4871.696,9189.891,4318.195,1056.383,3261.812,810.109,0,0.000,1,118,48,0
27,19212953968.383,19212957589.116,19212962405.865,4816.484,8437.482,3620.998,3620.733,0.265,1562.518,0,0.000,0,118,48,0
28,19212969030.104,19212969053.136,19212974106.015,5052.642,5075.911,23.269,23.032,0.237,4924.089,0,0.000,0,118,48,0
29,19212977010.381,19212977032.853,19212981861.424,4828.152,4851.043,22.891,22.472,0.419,5148.957,0,0.000,0,118,48,0
30,19212983292.392,19212983307.854,19212989220.820,4887.160,5928.428,1041.268,15.462,1025.806,4071.572,0,0.000,1,118,48,0
31,19212992307.668,19212992325.839,19212997274.122,4947.928,4966.454,18.526,18.171,0.355,5033.546,0,0.000,0,118,48,0
32,19213005267.831,19213005291.181,19213010166.803,4875.297,4898.972,23.675,23.350,0.325,5101.028,0,0.000,0,118,48,0
33,19213015398.223,19213015413.763,19213020292.857,4878.669,4894.634,15.965,15.540,0.425,5105.366,0,0.000,0,118,48,0
