# probe kind=primes activation=event M=48 K=7 period_us=10000 priority=90 target_cpu=1 generator_cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,8239770955.204,8239770980.374,8239773682.949,2701.084,2727.745,26.661,25.170,1.491,7272.255,0,0.000,0,7,48,0
1,8239777831.832,8239777847.699,8239780630.968,2782.731,2799.136,16.405,15.867,0.538,7200.864,0,0.000,0,7,48,0
2,8239792660.969,8239792682.045,8239795448.079,2765.614,2787.110,21.496,21.076,0.420,7212.890,0,0.000,0,7,48,0
3,8239801200.778,8239801215.097,8239803778.180,2562.624,2577.402,14.778,14.319,0.459,7422.598,0,0.000,0,7,48,0
4,8239811164.466,8239811178.193,8239813769.252,2590.609,2604.786,14.177,13.727,0.450,7395.214,0,0.000,0,7,48,0
5,8239818516.338,8239818529.860,8239821304.334,2774.039,2787.996,13.957,13.522,0.435,7212.004,0,0.000,0,7,48,0
6,8239826583.144,8239826597.167,8239829249.732,2652.109,2666.588,14.479,14.023,0.456,7333.412,0,0.000,0,7,48,0
7,8239833581.696,8239833595.662,8239836262.032,2665.946,2680.336,14.390,13.966,0.424,7319.664,0,0.000,0,7,48,0
8,8239838617.341,8239838632.918,8239844986.034,2766.931,6368.693,3601.762,15.577,3586.185,3631.307,0,0.000,1,7,48,0
9,8239848477.904,8239848500.462,8239851251.688,2750.679,2773.784,23.105,22.558,0.547,7226.216,0,0.000,0,7,48,0
10,8239862567.468,8239862587.675,8239865134.269,2546.160,2566.801,20.641,20.207,0.434,7433.199,0,0.000,0,7,48,0
11,8239872264.522,8239872281.987,8239874979.934,2697.392,2715.412,18.020,17.465,0.555,7284.588,0,0.000,0,7,48,0
12,8239880255.511,8239880278.803,8239883007.780,2728.389,2752.269,23.880,23.292,0.588,7247.731,0,0.000,0,7,48,0
13,8239891514.494,8239891536.729,8239894239.490,2702.348,2724.996,22.648,22.235,0.413,7275.004,0,0.000,0,7,48,0
14,8239906035.292,8239906055.124,8239908813.333,2757.652,2778.041,20.389,19.832,0.557,7221.959,0,0.000,0,7,48,0
15,8239917328.990,8239917348.370,8239919943.811,2595.036,2614.821,19.785,19.380,0.405,7385.179,0,0.000,0,7,48,0
16,8239931017.358,8239931036.223,8239933768.006,2731.358,2750.648,19.290,18.865,0.425,7249.352,0,0.000,0,7,48,0
17,8239941845.756,8239941865.959,8239944537.095,2670.497,2691.339,20.842,20.203,0.639,7308.661,0,0.000,0,7,48,0
18,8239949043.582,8239949065.250,8239951890.468,2824.704,2846.886,22.182,21.668,0.514,7153.114,0,0.000,0,7,48,0
19,8239962631.261,8239962653.204,8239965482.104,2828.430,2850.843,22.413,21.943,0.470,7149.157,0,0.000,0,7,48,0
20,8239971666.445,8239971681.112,8239974379.415,2697.830,2712.970,15.140,14.667,0.473,7287.030,0,0.000,0,7,48,0
21,8239978255.263,8239978274.568,8239982614.891,2671.459,4359.628,1688.169,19.305,1668.864,5640.372,0,0.000,1,7,48,0
22,8239989673.458,8239989693.329,8239992350.709,2656.943,2677.251,20.308,19.871,0.437,7322.749,0,0.000,0,7,48,0
23,8240003477.799,8240003497.181,8240006165.536,2667.938,2687.737,19.799,19.382,0.417,7312.263,0,0.000,0,7,48,0
24,8240015642.200,8240015661.764,8240018325.734,2663.474,2683.534,20.060,19.564,0.496,7316.466,0,0.000,0,7,48,0
25,8240021569.652,8240021585.090,8240027006.937,2768.156,5437.285,2669.129,15.438,2653.691,4562.715,0,0.000,1,7,48,0
26,8240026783.581,8240027012.874,8240035670.702,2678.420,8887.121,6208.701,229.293,5979.408,1112.879,0,0.000,1,7,48,0
27,8240032355.364,8240035675.367,8240038368.773,2692.972,6013.409,3320.437,3320.003,0.434,3986.591,0,0.000,0,7,48,0
28,8240047406.959,8240047426.513,8240050099.489,2672.566,2692.530,19.964,19.554,0.410,7307.470,0,0.000,0,7,48,0
29,8240055398.681,8240055416.500,8240058185.426,2768.474,2786.745,18.271,17.819,0.452,7213.255,0,0.000,0,7,48,0
30,8240061680.889,8240061696.777,8240066702.922,2603.932,5022.033,2418.101,15.888,2402.213,4977.967,0,0.000,1,7,48,0
31,8240070693.468,8240070707.433,8240073435.445,2727.516,2741.977,14.461,13.965,0.496,7258.023,0,0.000,0,7,48,0
32,8240083634.930,8240083654.386,8240086361.154,2706.326,2726.224,19.898,19.456,0.442,7273.776,0,0.000,0,7,48,0
33,8240093783.137,8240093803.325,8240096518.042,2714.293,2734.905,20.612,20.188,0.424,7265.095,0,0.000,0,7,48,0
34,8240107320.331,8240107342.342,8240110140.730,2797.941,2820.399,22.458,22.011,0.447,7179.601,0,0.000,0,7,48,0
