# probe kind=primes activation=event M=48 K=54 period_us=100000 priority=90 target_cpu=1 generator_cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,7975703397.892,7975703434.694,7975722600.975,19164.495,19203.083,38.588,36.802,1.786,80796.917,0,0.000,0,54,48,0
1,7975772169.930,7975772204.912,7975790647.485,18441.193,18477.555,36.362,34.982,1.380,81522.445,0,0.000,0,54,48,0
2,7975919231.078,7975919270.340,7975939093.073,19821.144,19861.995,40.851,39.262,1.589,80138.005,0,0.000,0,54,48,0
3,7976005829.736,7976005866.155,7976024537.811,18670.153,18708.075,37.922,36.419,1.503,81291.925,0,0.000,0,54,48,0
4,7976105512.708,7976105546.293,7976124860.077,19311.816,19347.369,35.553,33.585,1.968,80652.631,0,0.000,0,54,48,0
5,7976179029.310,7976179066.484,7976197457.259,18389.499,18427.949,38.450,37.174,1.276,81572.051,0,0.000,0,54,48,0
6,7976259688.637,7976259722.399,7976277774.567,18050.544,18085.930,35.386,33.762,1.624,81914.070,0,0.000,0,54,48,0
7,7976329702.956,7976329736.349,7976347910.864,18173.044,18207.908,34.864,33.393,1.471,81792.092,0,0.000,0,54,48,0
8,7976380041.637,7976380081.384,7976436194.017,18389.654,56152.380,37762.726,39.747,37722.979,43847.620,0,0.000,1,54,48,0
9,7976478645.049,7976478667.406,7976496806.722,18138.418,18161.673,23.255,22.357,0.898,81838.327,0,0.000,0,54,48,0
10,7976618308.528,7976618353.478,7976637992.135,19637.206,19683.607,46.401,44.950,1.451,80316.393,0,0.000,0,54,48,0
11,7976716526.104,7976716565.545,7976736055.897,19488.997,19529.793,40.796,39.441,1.355,80470.207,0,0.000,0,54,48,0
12,7976796422.564,7976796462.725,7976814597.565,18132.399,18175.001,42.602,40.161,2.441,81824.999,0,0.000,0,54,48,0
13,7976907609.977,7976907651.784,7976927011.813,19358.543,19401.836,43.293,41.807,1.486,80598.164,0,0.000,0,54,48,0
14,7977052983.688,7977053031.084,7977072427.824,19395.373,19444.136,48.763,47.396,1.367,80555.864,0,0.000,0,54,48,0
15,7977166107.445,7977166147.642,7977185737.362,19588.364,19629.917,41.553,40.197,1.356,80370.083,0,0.000,0,54,48,0
16,7977302667.581,7977302709.820,7977322130.086,19418.553,19462.505,43.952,42.239,1.713,80537.495,0,0.000,0,54,48,0
17,7977412318.647,7977412359.211,7977432090.527,19729.792,19771.880,42.088,40.564,1.524,80228.120,0,0.000,0,54,48,0
18,7977484392.447,7977484433.116,7977502448.212,18013.741,18055.765,42.024,40.669,1.355,81944.235,0,0.000,0,54,48,0
