# probe kind=matmul M=48 K=351 buf_kb=0 period_us=100000 priority=90 threads=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,14740514330.408,14740514485.838,14740622373.262,28349.357,108042.854,79693.497,155.430,79538.067,-8042.854,1,8042.854,2,351,48,1
1,14740714330.408,14740714377.439,14740822569.770,28792.664,108239.362,79446.698,47.031,79399.667,-8239.362,1,8239.362,2,351,48,1
2,14740914330.408,14740914497.307,14741022478.403,28436.366,108147.995,79711.629,166.899,79544.730,-8147.995,1,8147.995,2,351,48,1
3,14741114330.408,14741114385.432,14741222180.143,28282.267,107849.735,79567.468,55.024,79512.444,-7849.735,1,7849.735,2,351,48,1
4,14741314330.408,14741314378.223,14741422736.110,28848.513,108405.702,79557.189,47.815,79509.374,-8405.702,1,8405.702,2,351,48,1
5,14741514330.408,14741514388.736,14741622403.963,28456.665,108073.555,79616.890,58.328,79558.562,-8073.555,1,8073.555,2,351,48,1
6,14741714330.408,14741714384.781,14741823367.037,29594.979,109036.629,79441.650,54.373,79387.277,-9036.629,1,9036.629,2,351,48,1
7,14741914330.408,14741914382.250,14742025204.323,31422.498,110873.915,79451.417,51.842,79399.575,-10873.915,1,10873.915,2,351,48,1
8,14742114330.408,14742114382.332,14742222029.954,27939.166,107699.546,79760.380,51.924,79708.456,-7699.546,1,7699.546,2,351,48,1
9,14742314330.408,14742314513.857,14742422175.067,28076.340,107844.659,79768.319,183.449,79584.870,-7844.659,1,7844.659,2,351,48,1
10,14742514330.408,14742514589.530,14742622783.320,28563.527,108452.912,79889.385,259.122,79630.263,-8452.912,1,8452.912,2,351,48,1
11,14742714330.408,14742714387.764,14742822459.062,28686.014,108128.654,79442.640,57.356,79385.284,-8128.654,1,8128.654,2,351,48,1
12,14742914330.408,14742914448.116,14743022744.622,28900.673,108414.214,79513.541,117.708,79395.833,-8414.214,1,8414.214,2,351,48,1
13,14743114330.408,14743114382.256,14743222522.365,28503.509,108191.957,79688.448,51.848,79636.600,-8191.957,1,8191.957,2,351,48,1
14,14743314330.408,14743314490.267,14743422623.620,28592.842,108293.212,79700.370,159.859,79540.511,-8293.212,1,8293.212,2,351,48,1
15,14743514330.408,14743514452.836,14743624861.650,31004.813,110531.242,79526.429,122.428,79404.001,-10531.242,1,10531.242,2,351,48,1
16,14743714330.408,14743714379.486,14743822310.319,28217.464,107979.911,79762.447,49.078,79713.369,-7979.911,1,7979.911,2,351,48,1
17,14743914330.408,14743914562.727,14744023268.919,29093.897,108938.511,79844.614,232.319,79612.295,-8938.511,1,8938.511,2,351,48,1
18,14744114330.408,14744114390.449,14744222429.805,28649.663,108099.397,79449.734,60.041,79389.693,-8099.397,1,8099.397,2,351,48,1
19,14744314330.408,14744314386.821,14744422085.169,28147.653,107754.761,79607.108,56.413,79550.695,-7754.761,1,7754.761,2,351,48,1
20,14744514330.408,14744514488.147,14744622857.343,28790.823,108526.935,79736.112,157.739,79578.373,-8526.935,1,8526.935,2,351,48,1
21,14744714330.408,14744714377.132,14744822578.309,28806.056,108247.901,79441.845,46.724,79395.121,-8247.901,1,8247.901,2,351,48,1
22,14744914330.408,14744914381.603,14745022265.705,28397.731,107935.297,79537.566,51.195,79486.371,-7935.297,1,7935.297,2,351,48,1
23,14745114330.408,14745114381.130,14745222388.240,28494.007,108057.832,79563.825,50.722,79513.103,-8057.832,1,8057.832,2,351,48,1
24,14745314330.408,14745314380.434,14745422406.372,28622.677,108075.964,79453.287,50.026,79403.261,-8075.964,1,8075.964,2,351,48,1
25,14745514330.408,14745514392.974,14745622384.439,28598.540,108054.031,79455.491,62.566,79392.925,-8054.031,1,8054.031,2,351,48,1
26,14745714330.408,14745714461.158,14745823073.292,28934.441,108742.884,79808.443,130.750,79677.693,-8742.884,1,8742.884,2,351,48,1
27,14745914330.408,14745914539.471,14746022585.144,28466.872,108254.736,79787.864,209.063,79578.801,-8254.736,1,8254.736,2,351,48,1
28,14746114330.408,14746114383.799,14746222045.482,28275.774,107715.074,79439.300,53.391,79385.909,-7715.074,1,7715.074,2,351,48,1
29,14746314330.408,14746314372.324,14746422181.410,28303.781,107851.002,79547.221,41.916,79505.305,-7851.002,1,7851.002,2,351,48,1
30,14746514330.408,14746514390.170,14746622135.344,28320.301,107804.936,79484.635,59.762,79424.873,-7804.936,1,7804.936,2,351,48,1
31,14746714330.408,14746714376.884,14746822368.262,28590.004,108037.854,79447.850,46.476,79401.374,-8037.854,1,8037.854,2,351,48,1
32,14746914330.408,14746914382.095,14747022598.003,28780.372,108267.595,79487.223,51.687,79435.536,-8267.595,1,8267.595,2,351,48,1
33,14747114330.408,14747114387.871,14747222069.834,28275.577,107739.426,79463.849,57.463,79406.386,-7739.426,1,7739.426,2,351,48,1
34,14747314330.408,14747314438.891,14747422944.616,29055.166,108614.208,79559.042,108.483,79450.559,-8614.208,1,8614.208,2,351,48,1
35,14747514330.408,14747514384.033,14747622490.726,28678.136,108160.318,79482.182,53.625,79428.557,-8160.318,1,8160.318,2,351,48,1
36,14747714330.408,14747714381.324,14747822051.289,28134.573,107720.881,79586.308,50.916,79535.392,-7720.881,1,7720.881,2,351,48,1
