# probe kind=matmul M=48 K=123 buf_kb=0 period_us=10000 priority=90 threads=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,13121838518.038,13121838554.803,13121850271.386,9175.340,11753.348,2578.008,36.765,2541.243,-1753.348,1,1753.348,2,123,48,1
1,13121858518.038,13121858544.759,13121870422.076,9337.694,11904.038,2566.344,26.721,2539.623,-1904.038,1,1904.038,2,123,48,1
2,13121878518.038,13121878545.355,13121890306.342,9213.705,11788.304,2574.599,27.317,2547.282,-1788.304,1,1788.304,2,123,48,1
3,13121898518.038,13121898545.588,13121910282.309,9179.794,11764.271,2584.477,27.550,2556.927,-1764.271,1,1764.271,2,123,48,1
4,13121918518.038,13121918555.889,13121930924.849,9782.380,12406.811,2624.431,37.851,2586.580,-2406.811,1,2406.811,2,123,48,1
5,13121938518.038,13121938544.682,13121951056.924,9939.925,12538.886,2598.961,26.644,2572.317,-2538.886,1,2538.886,2,123,48,1
6,13121958518.038,13121958543.422,13121971297.712,10163.235,12779.674,2616.439,25.384,2591.055,-2779.674,1,2779.674,2,123,48,1
7,13121978518.038,13121978546.303,13121992593.776,11483.205,14075.738,2592.533,28.265,2564.268,-4075.738,1,4075.738,2,123,48,1
8,13121998518.038,13121998540.706,13122013894.890,12778.672,15376.852,2598.180,22.668,2575.512,-5376.852,1,5376.852,2,123,48,1
9,13122018518.038,13122018538.348,13122038575.630,14226.618,20057.592,5830.974,20.310,5810.664,-10057.592,1,10057.592,3,123,48,2
10,13122048518.038,13122048552.701,13122060729.217,9601.106,12211.179,2610.073,34.663,2575.410,-2211.179,1,2211.179,2,123,48,1
11,13122068518.038,13122068541.020,13122080884.424,9769.282,12366.386,2597.104,22.982,2574.122,-2366.386,1,2366.386,2,123,48,1
12,13122088518.038,13122088538.411,13122100881.559,9758.217,12363.521,2605.304,20.373,2584.931,-2363.521,1,2363.521,2,123,48,1
13,13122108518.038,13122108717.816,13122121793.789,10327.642,13275.751,2948.109,199.778,2748.331,-3275.751,1,3275.751,2,123,48,1
14,13122128518.038,13122128542.219,13122141190.756,10060.061,12672.718,2612.657,24.181,2588.476,-2672.718,1,2672.718,2,123,48,1
15,13122148518.038,13122148554.579,13122161333.368,10044.147,12815.330,2771.183,36.541,2734.642,-2815.330,1,2815.330,2,123,48,1
16,13122168518.038,13122168562.750,13122180574.448,9245.480,12056.410,2810.930,44.712,2766.218,-2056.410,1,2056.410,2,123,48,1
17,13122188518.038,13122188539.845,13122200360.693,9170.802,11842.655,2671.853,21.807,2650.046,-1842.655,1,1842.655,2,123,48,1
18,13122208518.038,13122208540.316,13122220938.858,9806.362,12420.820,2614.458,22.278,2592.180,-2420.820,1,2420.820,2,123,48,1
19,13122228518.038,13122228537.880,13122240324.962,9196.068,11806.924,2610.856,19.842,2591.014,-1806.924,1,1806.924,2,123,48,1
20,13122248518.038,13122248549.496,13122261815.934,10693.696,13297.896,2604.200,31.458,2572.742,-3297.896,1,3297.896,2,123,48,1
21,13122268518.038,13122268547.041,13122280269.444,9179.550,11751.406,2571.856,29.003,2542.853,-1751.406,1,1751.406,2,123,48,1
22,13122288518.038,13122288544.627,13122300960.001,9828.145,12441.963,2613.818,26.589,2587.229,-2441.963,1,2441.963,2,123,48,1
23,13122308518.038,13122308602.412,13122320703.004,9538.974,12184.966,2645.992,84.374,2561.618,-2184.966,1,2184.966,2,123,48,1
24,13122328518.038,13122328598.734,13122341272.412,10072.283,12754.374,2682.091,80.696,2601.395,-2754.374,1,2754.374,2,123,48,1
25,13122348518.038,13122348543.759,13122360258.851,9172.282,11740.813,2568.531,25.721,2542.810,-1740.813,1,1740.813,2,123,48,1
26,13122368518.038,13122368540.909,13122380313.409,9169.346,11795.371,2626.025,22.871,2603.154,-1795.371,1,1795.371,2,123,48,1
27,13122388518.038,13122388544.426,13122400357.487,9188.473,11839.449,2650.976,26.388,2624.588,-1839.449,1,1839.449,2,123,48,1
28,13122408518.038,13122408540.415,13122420273.614,9168.175,11755.576,2587.401,22.377,2565.024,-1755.576,1,1755.576,2,123,48,1
29,13122428518.038,13122428540.729,13122440364.084,9280.249,11846.046,2565.797,22.691,2543.106,-1846.046,1,1846.046,2,123,48,1
30,13122448518.038,13122448549.951,13122460281.037,9189.034,11762.999,2573.965,31.913,2542.052,-1762.999,1,1762.999,2,123,48,1
31,13122468518.038,13122468544.999,13122480392.827,9186.708,11874.789,2688.081,26.961,2661.120,-1874.789,1,1874.789,2,123,48,1
32,13122488518.038,13122488540.762,13122500343.075,9236.351,11825.037,2588.686,22.724,2565.962,-1825.037,1,1825.037,2,123,48,1
33,13122508518.038,13122508550.666,13122520366.764,9194.767,11848.726,2653.959,32.628,2621.331,-1848.726,1,1848.726,2,123,48,1
34,13122528518.038,13122528544.703,13122540344.457,9257.470,11826.419,2568.949,26.665,2542.284,-1826.419,1,1826.419,2,123,48,1
35,13122548518.038,13122548541.138,13122560567.204,9484.747,12049.166,2564.419,23.100,2541.319,-2049.166,1,2049.166,2,123,48,1
36,13122568518.038,13122568544.362,13122580263.954,9178.368,11745.916,2567.548,26.324,2541.224,-1745.916,1,1745.916,2,123,48,1
37,13122588518.038,13122588550.413,13122600380.991,9285.536,11862.953,2577.417,32.375,2545.042,-1862.953,1,1862.953,2,123,48,1
38,13122608518.038,13122608552.540,13122620374.678,9283.424,11856.640,2573.216,34.502,2538.714,-1856.640,1,1856.640,2,123,48,1
39,13122628518.038,13122628544.120,13122640482.627,9394.249,11964.589,2570.340,26.082,2544.258,-1964.589,1,1964.589,2,123,48,1
40,13122648518.038,13122648541.130,13122660265.832,9183.563,11747.794,2564.231,23.092,2541.139,-1747.794,1,1747.794,2,123,48,1
41,13122668518.038,13122668539.617,13122680354.225,9167.631,11836.187,2668.556,21.579,2646.977,-1836.187,1,1836.187,2,123,48,1
42,13122688518.038,13122688591.998,13122700912.527,9671.115,12394.489,2723.374,73.960,2649.414,-2394.489,1,2394.489,2,123,48,1
43,13122708518.038,13122708595.723,13122721417.800,10140.795,12899.762,2758.967,77.685,2681.282,-2899.762,1,2899.762,2,123,48,1
44,13122728518.038,13122728591.258,13122741277.498,10078.318,12759.460,2681.142,73.220,2607.922,-2759.460,1,2759.460,2,123,48,1
45,13122748518.038,13122748547.392,13122760783.549,9659.213,12265.511,2606.298,29.354,2576.944,-2265.511,1,2265.511,2,123,48,1
46,13122768518.038,13122768594.920,13122780734.460,9503.911,12216.422,2712.511,76.882,2635.629,-2216.422,1,2216.422,2,123,48,1
47,13122788518.038,13122788540.303,13122800266.978,9162.851,11748.940,2586.089,22.265,2563.824,-1748.940,1,1748.940,2,123,48,1
48,13122808518.038,13122808602.710,13122821272.978,10104.419,12754.940,2650.521,84.672,2565.849,-2754.940,1,2754.940,2,123,48,1
49,13122828518.038,13122828553.961,13122840378.377,9243.311,11860.339,2617.028,35.923,2581.105,-1860.339,1,1860.339,2,123,48,1
50,13122848518.038,13122848540.812,13122860328.408,9186.846,11810.370,2623.524,22.774,2600.750,-1810.370,1,1810.370,2,123,48,1
51,13122868518.038,13122868551.092,13122880343.812,9187.825,11825.774,2637.949,33.054,2604.895,-1825.774,1,1825.774,2,123,48,1
52,13122888518.038,13122888591.139,13122900357.777,9168.824,11839.739,2670.915,73.101,2597.814,-1839.739,1,1839.739,2,123,48,1
53,13122908518.038,13122908539.837,13122920243.212,9159.972,11725.174,2565.202,21.799,2543.403,-1725.174,1,1725.174,2,123,48,1
54,13122928518.038,13122928542.076,13122940359.736,9272.828,11841.698,2568.870,24.038,2544.832,-1841.698,1,1841.698,2,123,48,1
55,13122948518.038,13122948546.297,13122960263.290,9174.762,11745.252,2570.490,28.259,2542.231,-1745.252,1,1745.252,2,123,48,1
56,13122968518.038,13122968562.904,13122980300.065,9191.362,11782.027,2590.665,44.866,2545.799,-1782.027,1,1782.027,2,123,48,1
57,13122988518.038,13122988550.511,13123000511.488,9381.830,11993.450,2611.620,32.473,2579.147,-1993.450,1,1993.450,2,123,48,1
58,13123008518.038,13123008547.449,13123020905.366,9771.657,12387.328,2615.671,29.411,2586.260,-2387.328,1,2387.328,2,123,48,1
