# probe kind=ptrchase M=48 K=239 buf_kb=131072 period_us=100000 priority=90 threads=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,45960140741.830,45960140782.036,45960156754.976,15753.140,16013.146,260.006,40.206,219.800,83986.854,0,0.000,0,239,48,0
1,45960240741.830,45960240901.511,45960256691.820,15760.803,15949.990,189.187,159.681,29.506,84050.010,0,0.000,0,239,48,0
2,45960340741.830,45960340779.512,45960356590.192,15786.572,15848.362,61.790,37.682,24.108,84151.638,0,0.000,0,239,48,0
3,45960440741.830,45960440791.056,45960456562.929,15750.523,15821.099,70.576,49.226,21.350,84178.901,0,0.000,0,239,48,0
4,45960540741.830,45960540777.158,45960556467.994,15668.562,15726.164,57.602,35.328,22.274,84273.836,0,0.000,0,239,48,0
5,45960640741.830,45960640784.442,45960656419.124,15612.274,15677.294,65.020,42.612,22.408,84322.706,0,0.000,0,239,48,0
6,45960740741.830,45960740791.472,45960756453.687,15641.466,15711.857,70.391,49.642,20.749,84288.143,0,0.000,0,239,48,0
7,45960840741.830,45960840779.609,45960856490.488,15690.229,15748.658,58.429,37.779,20.650,84251.342,0,0.000,0,239,48,0
8,45960940741.830,45960940778.998,45960956647.322,15847.214,15905.492,58.278,37.168,21.110,84094.508,0,0.000,0,239,48,0
9,45961040741.830,45961040792.640,45961056544.994,15689.332,15803.164,113.832,50.810,63.022,84196.836,0,0.000,0,239,48,0
10,45961140741.830,45961140904.568,45961156759.328,15815.239,16017.498,202.259,162.738,39.521,83982.502,0,0.000,0,239,48,0
11,45961240741.830,45961240784.228,45961256653.083,15847.423,15911.253,63.830,42.398,21.432,84088.747,0,0.000,0,239,48,0
12,45961340741.830,45961340777.630,45961356573.408,15774.640,15831.578,56.938,35.800,21.138,84168.422,0,0.000,0,239,48,0
13,45961440741.830,45961440784.397,45961456516.850,15710.790,15775.020,64.230,42.567,21.663,84224.980,0,0.000,0,239,48,0
14,45961540741.830,45961540779.938,45961556505.631,15703.361,15763.801,60.440,38.108,22.332,84236.199,0,0.000,0,239,48,0
15,45961640741.830,45961640794.070,45961656617.861,15803.021,15876.031,73.010,52.240,20.770,84123.969,0,0.000,0,239,48,0
16,45961740741.830,45961740788.670,45961756600.775,15779.058,15858.945,79.887,46.840,33.047,84141.055,0,0.000,0,239,48,0
17,45961840741.830,45961840899.269,45961856659.398,15720.815,15917.568,196.753,157.439,39.314,84082.432,0,0.000,0,239,48,0
18,45961940741.830,45961940790.383,45961956427.450,15610.275,15685.620,75.345,48.553,26.792,84314.380,0,0.000,0,239,48,0
19,45962040741.830,45962040777.726,45962056356.624,15558.070,15614.794,56.724,35.896,20.828,84385.206,0,0.000,0,239,48,0
20,45962140741.830,45962140791.800,45962156657.987,15841.748,15916.157,74.409,49.970,24.439,84083.843,0,0.000,0,239,48,0
21,45962240741.830,45962240791.971,45962256531.850,15717.110,15790.020,72.910,50.141,22.769,84209.980,0,0.000,0,239,48,0
22,45962340741.830,45962340792.306,45962356729.390,15915.091,15987.560,72.469,50.476,21.993,84012.440,0,0.000,0,239,48,0
23,45962440741.830,45962440795.136,45962456640.879,15804.304,15899.049,94.745,53.306,41.439,84100.951,0,0.000,0,239,48,0
24,45962540741.830,45962540915.850,45962556720.059,15771.519,15978.229,206.710,174.020,32.690,84021.771,0,0.000,0,239,48,0
25,45962640741.830,45962640776.981,45962656444.450,15645.734,15702.620,56.886,35.151,21.735,84297.380,0,0.000,0,239,48,0
26,45962740741.830,45962740779.365,45962756587.361,15786.759,15845.531,58.772,37.535,21.237,84154.469,0,0.000,0,239,48,0
27,45962840741.830,45962840781.766,45962856898.550,16091.529,16156.720,65.191,39.936,25.255,83843.280,0,0.000,0,239,48,0
28,45962940741.830,45962940788.877,45962956569.561,15759.188,15827.731,68.543,47.047,21.496,84172.269,0,0.000,0,239,48,0
29,45963040741.830,45963040788.444,45963056433.481,15623.265,15691.651,68.386,46.614,21.772,84308.349,0,0.000,0,239,48,0
30,45963140741.830,45963140790.342,45963156328.437,15515.717,15586.607,70.890,48.512,22.378,84413.393,0,0.000,0,239,48,0
