# probe kind=ptrchase M=48 K=71 buf_kb=131072 period_us=10000 priority=90 threads=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,6724911000.036,6724911028.355,6724915861.983,4813.325,4861.947,48.622,28.319,20.303,5138.053,0,0.000,0,71,48,0
1,6724921000.036,6724921025.764,6724925860.839,4818.467,4860.803,42.336,25.728,16.608,5139.197,0,0.000,0,71,48,0
2,6724931000.036,6724931036.499,6724935836.175,4782.606,4836.139,53.533,36.463,17.070,5163.861,0,0.000,0,71,48,0
3,6724941000.036,6724941034.514,6724945860.512,4809.569,4860.476,50.907,34.478,16.429,5139.524,0,0.000,0,71,48,0
4,6724951000.036,6724951036.348,6724955879.720,4824.617,4879.684,55.067,36.312,18.755,5120.316,0,0.000,0,71,48,0
5,6724961000.036,6724961031.404,6724965841.774,4793.703,4841.738,48.035,31.368,16.667,5158.262,0,0.000,0,71,48,0
6,6724971000.036,6724971033.146,6724975829.233,4777.876,4829.197,51.321,33.110,18.211,5170.803,0,0.000,0,71,48,0
7,6724981000.036,6724981036.823,6724985856.294,4802.194,4856.258,54.064,36.787,17.277,5143.742,0,0.000,0,71,48,0
8,6724991000.036,6724991023.587,6724995855.142,4814.333,4855.106,40.773,23.551,17.222,5144.894,0,0.000,0,71,48,0
9,6725001000.036,6725001022.323,6725005923.740,4882.919,4923.704,40.785,22.287,18.498,5076.296,0,0.000,0,71,48,0
10,6725011000.036,6725011026.806,6725015827.107,4782.609,4827.071,44.462,26.770,17.692,5172.929,0,0.000,0,71,48,0
11,6725021000.036,6725021038.360,6725025835.308,4780.354,4835.272,54.918,38.324,16.594,5164.728,0,0.000,0,71,48,0
12,6725031000.036,6725031037.066,6725035880.251,4826.202,4880.215,54.013,37.030,16.983,5119.785,0,0.000,0,71,48,0
13,6725041000.036,6725041034.485,6725045835.975,4784.626,4835.939,51.313,34.449,16.864,5164.061,0,0.000,0,71,48,0
14,6725051000.036,6725051033.272,6725055833.128,4783.556,4833.092,49.536,33.236,16.300,5166.908,0,0.000,0,71,48,0
15,6725061000.036,6725061030.947,6725065864.032,4817.075,4863.996,46.921,30.911,16.010,5136.004,0,0.000,0,71,48,0
16,6725071000.036,6725071037.664,6725075852.104,4797.986,4852.068,54.082,37.628,16.454,5147.932,0,0.000,0,71,48,0
17,6725081000.036,6725081029.062,6725085835.563,4788.328,4835.527,47.199,29.026,18.173,5164.473,0,0.000,0,71,48,0
18,6725091000.036,6725091030.441,6725095843.171,4789.554,4843.135,53.581,30.405,23.176,5156.865,0,0.000,0,71,48,0
19,6725101000.036,6725101024.040,6725105876.298,4835.965,4876.262,40.297,24.004,16.293,5123.738,0,0.000,0,71,48,0
20,6725111000.036,6725111036.551,6725115858.577,4805.467,4858.541,53.074,36.515,16.559,5141.459,0,0.000,0,71,48,0
21,6725121000.036,6725121025.816,6725125862.650,4820.314,4862.614,42.300,25.780,16.520,5137.386,0,0.000,0,71,48,0
22,6725131000.036,6725131028.089,6725135852.891,4808.461,4852.855,44.394,28.053,16.341,5147.145,0,0.000,0,71,48,0
23,6725141000.036,6725141035.846,6725145858.226,4806.167,4858.190,52.023,35.810,16.213,5141.810,0,0.000,0,71,48,0
24,6725151000.036,6725151037.726,6725155860.680,4806.502,4860.644,54.142,37.690,16.452,5139.356,0,0.000,0,71,48,0
25,6725161000.036,6725161033.847,6725165824.635,4774.924,4824.599,49.675,33.811,15.864,5175.401,0,0.000,0,71,48,0
26,6725171000.036,6725171034.086,6725175856.699,4806.790,4856.663,49.873,34.050,15.823,5143.337,0,0.000,0,71,48,0
27,6725181000.036,6725181024.392,6725185835.725,4795.405,4835.689,40.284,24.356,15.928,5164.311,0,0.000,0,71,48,0
28,6725191000.036,6725191024.437,6725195840.413,4799.773,4840.377,40.604,24.401,16.203,5159.623,0,0.000,0,71,48,0
29,6725201000.036,6725201036.745,6725205840.066,4787.856,4840.030,52.174,36.709,15.465,5159.970,0,0.000,0,71,48,0
30,6725211000.036,6725211034.808,6725215853.757,4803.220,4853.721,50.501,34.772,15.729,5146.279,0,0.000,0,71,48,0
