# probe kind=matmul M=48 K=150 period_us=10000 priority=90 cpu=0 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,7956171047.227,7956171068.414,7956177319.758,6249.605,6272.531,22.926,21.187,1.739,3727.469,0,0.000,0,150,48,0
1,7956181047.227,7956181058.486,7956187244.405,6185.015,6197.178,12.163,11.259,0.904,3802.822,0,0.000,0,150,48,0
2,7956191047.227,7956191058.103,7956197105.136,6045.944,6057.909,11.965,10.876,1.089,3942.091,0,0.000,0,150,48,0
3,7956201047.227,7956201057.998,7956207144.598,6085.825,6097.371,11.546,10.771,0.775,3902.629,0,0.000,0,150,48,0
4,7956211047.227,7956211059.341,7956217384.577,6324.195,6337.350,13.155,12.114,1.041,3662.650,0,0.000,0,150,48,0
5,7956221047.227,7956221058.427,7956227335.782,6276.357,6288.555,12.198,11.200,0.998,3711.445,0,0.000,0,150,48,0
6,7956231047.227,7956231058.461,7956237276.090,6216.940,6228.863,11.923,11.234,0.689,3771.137,0,0.000,0,150,48,0
7,7956241047.227,7956241058.788,7956247306.903,6247.213,6259.676,12.463,11.561,0.902,3740.324,0,0.000,0,150,48,0
8,7956251047.227,7956251057.753,7956257165.477,6107.073,6118.250,11.177,10.526,0.651,3881.750,0,0.000,0,150,48,0
9,7956261047.227,7956261057.454,7956267226.409,6168.280,6179.182,10.902,10.227,0.675,3820.818,0,0.000,0,150,48,0
10,7956271047.227,7956271058.011,7956277279.570,6220.858,6232.343,11.485,10.784,0.701,3767.657,0,0.000,0,150,48,0
11,7956281047.227,7956281057.935,7956287061.563,6002.917,6014.336,11.419,10.708,0.711,3985.664,0,0.000,0,150,48,0
12,7956291047.227,7956291057.808,7956297107.650,6049.107,6060.423,11.316,10.581,0.735,3939.577,0,0.000,0,150,48,0
13,7956301047.227,7956301056.296,7956307107.844,6051.052,6060.617,9.565,9.069,0.496,3939.383,0,0.000,0,150,48,0
14,7956311047.227,7956311054.059,7956317026.992,5972.606,5979.765,7.159,6.832,0.327,4020.235,0,0.000,0,150,48,0
15,7956321047.227,7956321054.815,7956327363.898,6308.744,6316.671,7.927,7.588,0.339,3683.329,0,0.000,0,150,48,0
16,7956331047.227,7956331056.144,7956337110.982,6054.378,6063.755,9.377,8.917,0.460,3936.245,0,0.000,0,150,48,0
17,7956341047.227,7956341054.791,7956347257.715,6202.603,6210.488,7.885,7.564,0.321,3789.512,0,0.000,0,150,48,0
18,7956351047.227,7956351054.546,7956357123.982,6069.118,6076.755,7.637,7.319,0.318,3923.245,0,0.000,0,150,48,0
19,7956361047.227,7956361053.888,7956367145.473,6091.270,6098.246,6.976,6.661,0.315,3901.754,0,0.000,0,150,48,0
20,7956371047.227,7956371053.922,7956377186.429,6132.181,6139.202,7.021,6.695,0.326,3860.798,0,0.000,0,150,48,0
21,7956381047.227,7956381053.731,7956387147.147,6093.073,6099.920,6.847,6.504,0.343,3900.080,0,0.000,0,150,48,0
22,7956391047.227,7956391054.210,7956397221.640,6167.100,6174.413,7.313,6.983,0.330,3825.587,0,0.000,0,150,48,0
23,7956401047.227,7956401054.095,7956407232.569,6178.140,6185.342,7.202,6.868,0.334,3814.658,0,0.000,0,150,48,0
24,7956411047.227,7956411055.153,7956417156.307,6100.812,6109.080,8.268,7.926,0.342,3890.920,0,0.000,0,150,48,0
25,7956421047.227,7956421053.552,7956427193.046,6139.166,6145.819,6.653,6.325,0.328,3854.181,0,0.000,0,150,48,0
26,7956431047.227,7956431054.399,7956437089.686,6034.975,6042.459,7.484,7.172,0.312,3957.541,0,0.000,0,150,48,0
27,7956441047.227,7956441054.345,7956447141.141,6086.386,6093.914,7.528,7.118,0.410,3906.086,0,0.000,0,150,48,0
28,7956451047.227,7956451053.694,7956457241.376,6187.319,6194.149,6.830,6.467,0.363,3805.851,0,0.000,0,150,48,0
29,7956461047.227,7956461055.659,7956467166.834,6110.723,6119.607,8.884,8.432,0.452,3880.393,0,0.000,0,150,48,0
30,7956471047.227,7956471058.753,7956477190.310,6130.832,6143.083,12.251,11.526,0.725,3856.917,0,0.000,0,150,48,0
31,7956481047.227,7956481055.330,7956487297.384,6241.666,6250.157,8.491,8.103,0.388,3749.843,0,0.000,0,150,48,0
32,7956491047.227,7956491053.944,7956497267.522,6213.226,6220.295,7.069,6.717,0.352,3779.705,0,0.000,0,150,48,0
33,7956501047.227,7956501053.844,7956507123.475,6069.282,6076.248,6.966,6.617,0.349,3923.752,0,0.000,0,150,48,0
34,7956511047.227,7956511059.606,7956517083.738,6023.290,6036.511,13.221,12.379,0.842,3963.489,0,0.000,0,150,48,0
