# probe kind=matmul M=48 K=1002 period_us=100000 priority=90 cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,11141424487.518,11141424514.486,11141465455.888,40939.576,40968.370,28.794,26.968,1.826,59031.630,0,0.000,0,1002,48,0
1,11141524487.518,11141524677.868,11141565539.161,40858.879,41051.643,192.764,190.350,2.414,58948.357,0,0.000,0,1002,48,0
2,11141624487.518,11141624656.670,11141665798.724,41139.488,41311.206,171.718,169.152,2.566,58688.794,0,0.000,0,1002,48,0
3,11141724487.518,11141724664.978,11141765784.765,41117.467,41297.247,179.780,177.460,2.320,58702.753,0,0.000,0,1002,48,0
4,11141824487.518,11141824665.726,11141865903.424,41235.413,41415.906,180.493,178.208,2.285,58584.094,0,0.000,0,1002,48,0
5,11141924487.518,11141924656.523,11141965682.551,41023.602,41195.033,171.431,169.005,2.426,58804.967,0,0.000,0,1002,48,0
6,11142024487.518,11142024731.094,11142065423.994,40690.636,40936.476,245.840,243.576,2.264,59063.524,0,0.000,0,1002,48,0
7,11142124487.518,11142124653.201,11142165681.224,41025.694,41193.706,168.012,165.683,2.329,58806.294,0,0.000,0,1002,48,0
8,11142224487.518,11142224729.187,11142265771.497,41039.964,41283.979,244.015,241.669,2.346,58716.021,0,0.000,0,1002,48,0
9,11142324487.518,11142324646.436,11142365873.598,41224.979,41386.080,161.101,158.918,2.183,58613.920,0,0.000,0,1002,48,0
10,11142424487.518,11142424671.971,11142465623.661,40949.558,41136.143,186.585,184.453,2.132,58863.857,0,0.000,0,1002,48,0
11,11142524487.518,11142524656.571,11142566466.967,41807.707,41979.449,171.742,169.053,2.689,58020.551,0,0.000,0,1002,48,0
12,11142624487.518,11142624679.473,11142666015.038,41333.432,41527.520,194.088,191.955,2.133,58472.480,0,0.000,0,1002,48,0
13,11142724487.518,11142724712.303,11142765866.275,41151.490,41378.757,227.267,224.785,2.482,58621.243,0,0.000,0,1002,48,0
14,11142824487.518,11142824675.459,11142866217.116,41539.319,41729.598,190.279,187.941,2.338,58270.402,0,0.000,0,1002,48,0
15,11142924487.518,11142924675.268,11142965511.831,40834.257,41024.313,190.056,187.750,2.306,58975.687,0,0.000,0,1002,48,0
16,11143024487.518,11143024672.004,11143065423.847,40749.515,40936.329,186.814,184.486,2.328,59063.671,0,0.000,0,1002,48,0
17,11143124487.518,11143124662.784,11143165977.536,41312.320,41490.018,177.698,175.266,2.432,58509.982,0,0.000,0,1002,48,0
18,11143224487.518,11143224667.716,11143265884.415,41214.518,41396.897,182.379,180.198,2.181,58603.103,0,0.000,0,1002,48,0
19,11143324487.518,11143324731.819,11143366071.974,41337.955,41584.456,246.501,244.301,2.200,58415.544,0,0.000,0,1002,48,0
20,11143424487.518,11143424652.608,11143465656.354,41001.576,41168.836,167.260,165.090,2.170,58831.164,0,0.000,0,1002,48,0
21,11143524487.518,11143524669.548,11143565815.441,41143.530,41327.923,184.393,182.030,2.363,58672.077,0,0.000,0,1002,48,0
22,11143624487.518,11143624702.389,11143665875.009,41170.175,41387.491,217.316,214.871,2.445,58612.509,0,0.000,0,1002,48,0
23,11143724487.518,11143724685.162,11143765935.843,41248.318,41448.325,200.007,197.644,2.363,58551.675,0,0.000,0,1002,48,0
24,11143824487.518,11143824678.084,11143866451.746,41771.280,41964.228,192.948,190.566,2.382,58035.772,0,0.000,0,1002,48,0
25,11143924487.518,11143924668.668,11143966209.485,41538.150,41721.967,183.817,181.150,2.667,58278.033,0,0.000,0,1002,48,0
26,11144024487.518,11144024660.972,11144066300.659,41637.558,41813.141,175.583,173.454,2.129,58186.859,0,0.000,0,1002,48,0
27,11144124487.518,11144124656.264,11144165795.439,41136.638,41307.921,171.283,168.746,2.537,58692.079,0,0.000,0,1002,48,0
28,11144224487.518,11144224669.977,11144266277.659,41605.294,41790.141,184.847,182.459,2.388,58209.859,0,0.000,0,1002,48,0
29,11144324487.518,11144324666.000,11144366030.222,41362.245,41542.704,180.459,178.482,1.977,58457.296,0,0.000,0,1002,48,0
30,11144424487.518,11144424724.816,11144466147.961,41420.325,41660.443,240.118,237.298,2.820,58339.557,0,0.000,0,1002,48,0
