# probe kind=primes M=48 K=17 period_us=10000 priority=90 cpu=1 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,6884848114.483,6884848146.914,6884854504.539,6356.088,6390.056,33.968,32.431,1.537,3609.944,0,0.000,0,17,48,0
1,6884858114.483,6884858142.946,6884864886.768,6743.331,6772.285,28.954,28.463,0.491,3227.715,0,0.000,0,17,48,0
2,6884868114.483,6884868143.299,6884874574.124,6430.322,6459.641,29.319,28.816,0.503,3540.359,0,0.000,0,17,48,0
3,6884878114.483,6884878139.450,6884884646.849,6506.951,6532.366,25.415,24.967,0.448,3467.634,0,0.000,0,17,48,0
4,6884888114.483,6884888137.392,6884894629.255,6491.387,6514.772,23.385,22.909,0.476,3485.228,0,0.000,0,17,48,0
5,6884898114.483,6884898129.051,6884904693.883,6564.417,6579.400,14.983,14.568,0.415,3420.600,0,0.000,0,17,48,0
6,6884908114.483,6884908129.702,6884914651.977,6521.786,6537.494,15.708,15.219,0.489,3462.506,0,0.000,0,17,48,0
7,6884918114.483,6884918130.304,6884924572.960,6442.227,6458.477,16.250,15.821,0.429,3541.523,0,0.000,0,17,48,0
8,6884928114.483,6884928129.453,6884934572.012,6442.148,6457.529,15.381,14.970,0.411,3542.471,0,0.000,0,17,48,0
9,6884938114.483,6884938142.156,6884944560.198,6417.648,6445.715,28.067,27.673,0.394,3554.285,0,0.000,0,17,48,0
10,6884948114.483,6884948129.857,6884954618.296,6487.966,6503.813,15.847,15.374,0.473,3496.187,0,0.000,0,17,48,0
11,6884958114.483,6884958142.620,6884964543.729,6400.674,6429.246,28.572,28.137,0.435,3570.754,0,0.000,0,17,48,0
12,6884968114.483,6884968139.394,6884974584.474,6444.650,6469.991,25.341,24.911,0.430,3530.009,0,0.000,0,17,48,0
13,6884978114.483,6884978129.194,6884984564.128,6434.463,6449.645,15.182,14.711,0.471,3550.355,0,0.000,0,17,48,0
14,6884988114.483,6884988131.125,6884994797.405,6665.838,6682.922,17.084,16.642,0.442,3317.078,0,0.000,0,17,48,0
15,6884998114.483,6884998129.120,6885004509.517,6379.990,6395.034,15.044,14.637,0.407,3604.966,0,0.000,0,17,48,0
16,6885008114.483,6885008142.669,6885014630.238,6487.175,6515.755,28.580,28.186,0.394,3484.245,0,0.000,0,17,48,0
17,6885018114.483,6885018128.328,6885024547.565,6418.849,6433.082,14.233,13.845,0.388,3566.918,0,0.000,0,17,48,0
18,6885028114.483,6885028129.441,6885034667.500,6525.012,6553.017,28.005,14.958,13.047,3446.983,0,0.000,0,17,48,0
19,6885038114.483,6885038129.263,6885044663.719,6534.064,6549.236,15.172,14.780,0.392,3450.764,0,0.000,0,17,48,0
20,6885048114.483,6885048128.817,6885054473.948,6343.685,6359.465,15.780,14.334,1.446,3640.535,0,0.000,0,17,48,0
21,6885058114.483,6885058155.245,6885064669.704,6513.872,6555.221,41.349,40.762,0.587,3444.779,0,0.000,0,17,48,0
22,6885068114.483,6885068146.617,6885074702.818,6555.686,6588.335,32.649,32.134,0.515,3411.665,0,0.000,0,17,48,0
23,6885078114.483,6885078129.810,6885084449.584,6319.323,6335.101,15.778,15.327,0.451,3664.899,0,0.000,0,17,48,0
24,6885088114.483,6885088129.249,6885094445.539,6315.902,6331.056,15.154,14.766,0.388,3668.944,0,0.000,0,17,48,0
25,6885098114.483,6885098142.628,6885104691.084,6548.062,6576.601,28.539,28.145,0.394,3423.399,0,0.000,0,17,48,0
26,6885108114.483,6885108128.674,6885114469.674,6340.568,6355.191,14.623,14.191,0.432,3644.809,0,0.000,0,17,48,0
27,6885118114.483,6885118130.725,6885124656.261,6525.126,6541.778,16.652,16.242,0.410,3458.222,0,0.000,0,17,48,0
28,6885128114.483,6885128129.292,6885134538.917,6409.174,6424.434,15.260,14.809,0.451,3575.566,0,0.000,0,17,48,0
29,6885138114.483,6885138132.799,6885144501.074,6367.866,6386.591,18.725,18.316,0.409,3613.409,0,0.000,0,17,48,0
30,6885148114.483,6885148143.567,6885154478.435,6334.443,6363.952,29.509,29.084,0.425,3636.048,0,0.000,0,17,48,0
31,6885158114.483,6885158130.073,6885164486.174,6355.586,6371.691,16.105,15.590,0.515,3628.309,0,0.000,0,17,48,0
32,6885168114.483,6885168130.013,6885174575.089,6444.486,6460.606,16.120,15.530,0.590,3539.394,0,0.000,0,17,48,0
33,6885178114.483,6885178130.317,6885184692.229,6561.426,6577.746,16.320,15.834,0.486,3422.254,0,0.000,0,17,48,0
