# probe kind=primes M=48 K=111 period_us=100000 priority=90 cpu=0 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,9565641800.962,9565641817.019,9565685282.796,43464.338,43481.834,17.496,16.057,1.439,56518.166,0,0.000,0,111,48,0
1,9565741800.962,9565741816.661,9565783928.187,42110.523,42127.225,16.702,15.699,1.003,57872.775,0,0.000,0,111,48,0
2,9565841800.962,9565841819.237,9565883681.619,41861.401,41880.657,19.256,18.275,0.981,58119.343,0,0.000,0,111,48,0
3,9565941800.962,9565941815.079,9565984126.133,42310.216,42325.171,14.955,14.117,0.838,57674.829,0,0.000,0,111,48,0
4,9566041800.962,9566041814.491,9566083643.536,41828.385,41842.574,14.189,13.529,0.660,58157.426,0,0.000,0,111,48,0
5,9566141800.962,9566141815.471,9566184197.416,42381.190,42396.454,15.264,14.509,0.755,57603.546,0,0.000,0,111,48,0
6,9566241800.962,9566241817.097,9566284124.356,42306.450,42323.394,16.944,16.135,0.809,57676.606,0,0.000,0,111,48,0
7,9566341800.962,9566341818.879,9566385279.898,43460.161,43478.936,18.775,17.917,0.858,56521.064,0,0.000,0,111,48,0
8,9566441800.962,9566441816.212,9566484187.703,42370.768,42386.741,15.973,15.250,0.723,57613.259,0,0.000,0,111,48,0
9,9566541800.962,9566541817.295,9566584327.446,42509.454,42526.484,17.030,16.333,0.697,57473.516,0,0.000,0,111,48,0
10,9566641800.962,9566641843.642,9566684315.232,42470.175,42514.270,44.095,42.680,1.415,57485.730,0,0.000,0,111,48,0
11,9566741800.962,9566741817.055,9566784935.816,43118.072,43134.854,16.782,16.093,0.689,56865.146,0,0.000,0,111,48,0
12,9566841800.962,9566841816.928,9566884518.458,42700.624,42717.496,16.872,15.966,0.906,57282.504,0,0.000,0,111,48,0
13,9566941800.962,9566941812.108,9566983860.887,42048.421,42059.925,11.504,11.146,0.358,57940.075,0,0.000,0,111,48,0
14,9567041800.962,9567041815.138,9567084146.659,42330.868,42345.697,14.829,14.176,0.653,57654.303,0,0.000,0,111,48,0
15,9567141800.962,9567141814.332,9567183907.401,42092.365,42106.439,14.074,13.370,0.704,57893.561,0,0.000,0,111,48,0
16,9567241800.962,9567241814.989,9567284357.503,42541.806,42556.541,14.735,14.027,0.708,57443.459,0,0.000,0,111,48,0
17,9567341800.962,9567341815.460,9567384262.223,42445.760,42461.261,15.501,14.498,1.003,57538.739,0,0.000,0,111,48,0
18,9567441800.962,9567441814.784,9567484027.759,42212.274,42226.797,14.523,13.822,0.701,57773.203,0,0.000,0,111,48,0
19,9567541800.962,9567541817.328,9567584574.330,42755.841,42773.368,17.527,16.366,1.161,57226.632,0,0.000,0,111,48,0
20,9567641800.962,9567641817.697,9567683583.274,41764.585,41782.312,17.727,16.735,0.992,58217.688,0,0.000,0,111,48,0
21,9567741800.962,9567741815.788,9567784037.523,42220.851,42236.561,15.710,14.826,0.884,57763.439,0,0.000,0,111,48,0
22,9567841800.962,9567841819.652,9567883800.635,41979.950,41999.673,19.723,18.690,1.033,58000.327,0,0.000,0,111,48,0
23,9567941800.962,9567941813.644,9567983528.024,41713.808,41727.062,13.254,12.682,0.572,58272.938,0,0.000,0,111,48,0
24,9568041800.962,9568041815.986,9568084473.619,42656.999,42672.657,15.658,15.024,0.634,57327.343,0,0.000,0,111,48,0
25,9568141800.962,9568141818.795,9568184392.320,42572.422,42591.358,18.936,17.833,1.103,57408.642,0,0.000,0,111,48,0
26,9568241800.962,9568241816.786,9568284352.750,42534.883,42551.788,16.905,15.824,1.081,57448.212,0,0.000,0,111,48,0
27,9568341800.962,9568341816.983,9568384348.961,42530.918,42547.999,17.081,16.021,1.060,57452.001,0,0.000,0,111,48,0
28,9568441800.962,9568441814.351,9568483941.029,42126.094,42140.067,13.973,13.389,0.584,57859.933,0,0.000,0,111,48,0
29,9568541800.962,9568541814.094,9568584386.207,42571.775,42585.245,13.470,13.132,0.338,57414.755,0,0.000,0,111,48,0
30,9568641800.962,9568641813.621,9568684342.826,42521.561,42541.864,20.303,12.659,7.644,57458.136,0,0.000,1,111,48,0
31,9568741800.962,9568741816.023,9568783813.660,41996.911,42012.698,15.787,15.061,0.726,57987.302,0,0.000,0,111,48,0
32,9568841800.962,9568841814.645,9568883893.753,42078.570,42092.791,14.221,13.683,0.538,57907.209,0,0.000,0,111,48,0
33,9568941800.962,9568941816.418,9568983813.569,41996.223,42012.607,16.384,15.456,0.928,57987.393,0,0.000,0,111,48,0
34,9569041800.962,9569041815.408,9569083788.932,41972.978,41987.970,14.992,14.446,0.546,58012.030,0,0.000,0,111,48,0
35,9569141800.962,9569141816.855,9569183882.393,42064.913,42081.431,16.518,15.893,0.625,57918.569,0,0.000,0,111,48,0
36,9569241800.962,9569241815.877,9569284094.482,42277.665,42293.520,15.855,14.915,0.940,57706.480,0,0.000,0,111,48,0
37,9569341800.962,9569341814.286,9569384330.113,42515.214,42529.151,13.937,13.324,0.613,57470.849,0,0.000,0,111,48,0
38,9569441800.962,9569441815.495,9569484529.240,42713.101,42728.278,15.177,14.533,0.644,57271.722,0,0.000,0,111,48,0
39,9569541800.962,9569541816.344,9569583964.544,42147.211,42163.582,16.371,15.382,0.989,57836.418,0,0.000,0,111,48,0
40,9569641800.962,9569641818.313,9569684156.726,42337.177,42355.764,18.587,17.351,1.236,57644.236,0,0.000,0,111,48,0
41,9569741800.962,9569741818.783,9569784141.946,42322.060,42340.984,18.924,17.821,1.103,57659.016,0,0.000,0,111,48,0
42,9569841800.962,9569841816.737,9569883800.074,41982.424,41999.112,16.688,15.775,0.913,58000.888,0,0.000,0,111,48,0
43,9569941800.962,9569941816.811,9569984241.543,42424.006,42440.581,16.575,15.849,0.726,57559.419,0,0.000,0,111,48,0
44,9570041800.962,9570041812.967,9570083751.800,41938.507,41950.838,12.331,12.005,0.326,58049.162,0,0.000,0,111,48,0
45,9570141800.962,9570141815.496,9570183979.002,42162.558,42178.040,15.482,14.534,0.948,57821.960,0,0.000,0,111,48,0
46,9570241800.962,9570241813.119,9570284285.321,42471.749,42484.359,12.610,12.157,0.453,57515.641,0,0.000,0,111,48,0
47,9570341800.962,9570341818.205,9570384255.662,42436.305,42454.700,18.395,17.243,1.152,57545.300,0,0.000,0,111,48,0
