# probe kind=sieve activation=periodic clock=monotonic sieve_n=8192 K=526 period_us=10000 priority=90 cpu=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before,steal_us
0,10662552143.711,10662552229.383,10662557763.348,5531.588,5619.637,88.049,85.672,2.377,4380.363,0,0.000,0,526,8192,0,0.000
1,10662562143.711,10662562177.947,10662567653.151,5474.062,5509.440,35.378,34.236,1.142,4490.560,0,0.000,0,526,8192,0,0.000
2,10662572143.711,10662572174.598,10662577707.832,5531.987,5564.121,32.134,30.887,1.247,4435.879,0,0.000,0,526,8192,0,0.000
3,10662582143.711,10662582177.032,10662587718.725,5540.704,5575.014,34.310,33.321,0.989,4424.986,0,0.000,0,526,8192,0,0.000
4,10662592143.711,10662592181.156,10662597684.669,5502.591,5540.958,38.367,37.445,0.922,4459.042,0,0.000,0,526,8192,0,0.000
5,10662602143.711,10662602180.253,10662607611.282,5430.344,5467.571,37.227,36.542,0.685,4532.429,0,0.000,0,526,8192,0,0.000
6,10662612143.711,10662612176.188,10662617720.450,5543.404,5576.739,33.335,32.477,0.858,4423.261,0,0.000,0,526,8192,0,0.000
7,10662622143.711,10662622174.836,10662627783.516,5607.794,5639.805,32.011,31.125,0.886,4360.195,0,0.000,0,526,8192,0,0.000
8,10662632143.711,10662632172.618,10662637717.968,5544.331,5574.257,29.926,28.907,1.019,4425.743,0,0.000,0,526,8192,0,0.000
9,10662642143.711,10662642173.430,10662647666.907,5492.779,5523.196,30.417,29.719,0.698,4476.804,0,0.000,0,526,8192,0,0.000
10,10662652143.711,10662652174.738,10662657703.023,5527.486,5559.312,31.826,31.027,0.799,4440.688,0,0.000,0,526,8192,0,0.000
11,10662662143.711,10662662173.098,10662667711.368,5537.178,5567.657,30.479,29.387,1.092,4432.343,0,0.000,0,526,8192,0,0.000
12,10662672143.711,10662672172.716,10662677655.391,5481.829,5511.680,29.851,29.005,0.846,4488.320,0,0.000,0,526,8192,0,0.000
13,10662682143.711,10662682174.251,10662687621.317,5445.567,5477.606,32.039,30.540,1.499,4522.394,0,0.000,0,526,8192,0,0.000
14,10662692143.711,10662692174.406,10662697712.447,5536.637,5568.736,32.099,30.695,1.404,4431.264,0,0.000,0,526,8192,0,0.000
15,10662702143.711,10662702172.513,10662707728.858,5555.551,5585.147,29.596,28.802,0.794,4414.853,0,0.000,0,526,8192,0,0.000
16,10662712143.711,10662712172.825,10662717721.792,5547.779,5578.081,30.302,29.114,1.188,4421.919,0,0.000,0,526,8192,0,0.000
17,10662722143.711,10662722174.577,10662727675.298,5499.741,5531.587,31.846,30.866,0.980,4468.413,0,0.000,0,526,8192,0,0.000
18,10662732143.711,10662732176.775,10662737604.756,5427.353,5461.045,33.692,33.064,0.628,4538.955,0,0.000,0,526,8192,0,0.000
19,10662742143.711,10662742177.733,10662747730.367,5551.583,5586.656,35.073,34.022,1.051,4413.344,0,0.000,0,526,8192,0,0.000
20,10662752143.711,10662752181.018,10662757584.831,5402.919,5441.120,38.201,37.307,0.894,4558.880,0,0.000,0,526,8192,0,0.000
21,10662762143.711,10662762175.740,10662767710.596,5533.946,5566.885,32.939,32.029,0.910,4433.115,0,0.000,0,526,8192,0,0.000
22,10662772143.711,10662772174.104,10662777721.206,5545.927,5577.495,31.568,30.393,1.175,4422.505,0,0.000,0,526,8192,0,0.000
23,10662782143.711,10662782174.776,10662787673.784,5498.068,5530.073,32.005,31.065,0.940,4469.927,0,0.000,0,526,8192,0,0.000
24,10662792143.711,10662792174.426,10662797726.040,5550.843,5582.329,31.486,30.715,0.771,4417.671,0,0.000,0,526,8192,0,0.000
25,10662802143.711,10662802173.677,10662807721.600,5546.892,5577.889,30.997,29.966,1.031,4422.111,0,0.000,0,526,8192,0,0.000
26,10662812143.711,10662812172.998,10662817699.933,5525.944,5556.222,30.278,29.287,0.991,4443.778,0,0.000,0,526,8192,0,0.000
27,10662822143.711,10662822173.079,10662827726.601,5552.741,5582.890,30.149,29.368,0.781,4417.110,0,0.000,0,526,8192,0,0.000
28,10662832143.711,10662832173.363,10662837824.770,5650.617,5681.059,30.442,29.652,0.790,4318.941,0,0.000,0,526,8192,0,0.000
29,10662842143.711,10662842173.300,10662847686.132,5511.968,5542.421,30.453,29.589,0.864,4457.579,0,0.000,0,526,8192,0,0.000
30,10662852143.711,10662852170.580,10662857701.172,5529.788,5557.461,27.673,26.869,0.804,4442.539,0,0.000,0,526,8192,0,0.000
31,10662862143.711,10662862181.562,10662867665.672,5483.144,5521.961,38.817,37.851,0.966,4478.039,0,0.000,0,526,8192,0,0.000
32,10662872143.711,10662872175.181,10662877673.830,5497.948,5530.119,32.171,31.470,0.701,4469.881,0,0.000,0,526,8192,0,0.000
33,10662882143.711,10662882172.908,10662887652.727,5478.891,5509.016,30.125,29.197,0.928,4490.984,0,0.000,0,526,8192,0,0.000
34,10662892143.711,10662892175.780,10662897775.973,5598.935,5632.262,33.327,32.069,1.258,4367.738,0,0.000,0,526,8192,0,0.000
35,10662902143.711,10662902173.402,10662907720.479,5545.806,5576.768,30.962,29.691,1.271,4423.232,0,0.000,0,526,8192,0,0.000
36,10662912143.711,10662912177.213,10662917579.366,5401.116,5435.655,34.539,33.502,1.037,4564.345,0,0.000,0,526,8192,0,0.000
37,10662922143.711,10662922173.784,10662927729.523,5554.713,5585.812,31.099,30.073,1.026,4414.188,0,0.000,0,526,8192,0,0.000
38,10662932143.711,10662932172.119,10662937682.972,5510.032,5539.261,29.229,28.408,0.821,4460.739,0,0.000,0,526,8192,0,0.000
39,10662942143.711,10662942174.104,10662947584.957,5410.008,5441.246,31.238,30.393,0.845,4558.754,0,0.000,0,526,8192,0,0.000
40,10662952143.711,10662952172.431,10662957712.648,5538.968,5568.937,29.969,28.720,1.249,4431.063,0,0.000,0,526,8192,0,0.000
41,10662962143.711,10662962173.091,10662967702.013,5527.993,5558.302,30.309,29.380,0.929,4441.698,0,0.000,0,526,8192,0,0.000
42,10662972143.711,10662972172.306,10662977714.489,5541.364,5570.778,29.414,28.595,0.819,4429.222,0,0.000,0,526,8192,0,0.000
43,10662982143.711,10662982180.612,10662987733.894,5552.167,5590.183,38.016,36.901,1.115,4409.817,0,0.000,0,526,8192,0,0.000
44,10662992143.711,10662992175.551,10662997681.651,5504.913,5537.940,33.027,31.840,1.187,4462.060,0,0.000,0,526,8192,0,0.000
45,10663002143.711,10663002183.063,10663007802.454,5618.123,5658.743,40.620,39.352,1.268,4341.257,0,0.000,0,526,8192,0,0.000
46,10663012143.711,10663012176.545,10663017718.324,5540.894,5574.613,33.719,32.834,0.885,4425.387,0,0.000,0,526,8192,0,0.000
47,10663022143.711,10663022176.434,10663027717.135,5539.814,5573.424,33.610,32.723,0.887,4426.576,0,0.000,0,526,8192,0,0.000
48,10663032143.711,10663032172.646,10663037714.924,5540.997,5571.213,30.216,28.935,1.281,4428.787,0,0.000,0,526,8192,0,0.000
49,10663042143.711,10663042173.174,10663047656.096,5482.113,5512.385,30.272,29.463,0.809,4487.615,0,0.000,0,526,8192,0,0.000
50,10663052143.711,10663052173.729,10663057693.489,5518.814,5549.778,30.964,30.018,0.946,4450.222,0,0.000,0,526,8192,0,0.000
51,10663062143.711,10663062175.141,10663067710.897,5534.674,5567.186,32.512,31.430,1.082,4432.814,0,0.000,0,526,8192,0,0.000
52,10663072143.711,10663072177.407,10663077709.706,5531.261,5565.995,34.734,33.696,1.038,4434.005,0,0.000,0,526,8192,0,0.000
53,10663082143.711,10663082179.498,10663087707.210,5526.773,5563.499,36.726,35.787,0.939,4436.501,0,0.000,0,526,8192,0,0.000
54,10663092143.711,10663092174.554,10663097711.708,5536.087,5567.997,31.910,30.843,1.067,4432.003,0,0.000,0,526,8192,0,0.000
55,10663102143.711,10663102172.570,10663107571.792,5398.414,5428.081,29.667,28.859,0.808,4571.919,0,0.000,0,526,8192,0,0.000
56,10663112143.711,10663112174.215,10663117714.739,5539.723,5571.028,31.305,30.504,0.801,4428.972,0,0.000,0,526,8192,0,0.000
57,10663122143.711,10663122172.326,10663127779.994,5606.534,5636.283,29.749,28.615,1.134,4363.717,0,0.000,0,526,8192,0,0.000
58,10663132143.711,10663132173.596,10663137717.532,5543.126,5573.821,30.695,29.885,0.810,4426.179,0,0.000,0,526,8192,0,0.000
59,10663142143.711,10663142179.898,10663147722.447,5541.565,5578.736,37.171,36.187,0.984,4421.264,0,0.000,0,526,8192,0,0.000
60,10663152143.711,10663152177.637,10663157694.583,5515.803,5550.872,35.069,33.926,1.143,4449.128,0,0.000,0,526,8192,0,0.000
61,10663162143.711,10663162178.425,10663167727.517,5547.879,5583.806,35.927,34.714,1.213,4416.194,0,0.000,0,526,8192,0,0.000
62,10663172143.711,10663172178.426,10663177636.948,5457.609,5493.237,35.628,34.715,0.913,4506.763,0,0.000,0,526,8192,0,0.000
63,10663182143.711,10663182174.366,10663187552.795,5377.494,5409.084,31.590,30.655,0.935,4590.916,0,0.000,0,526,8192,0,0.000
64,10663192143.711,10663192173.591,10663197716.705,5541.557,5572.994,31.437,29.880,1.557,4427.006,0,0.000,0,526,8192,0,0.000
65,10663202143.711,10663202176.380,10663207669.898,5492.623,5526.187,33.564,32.669,0.895,4473.813,0,0.000,0,526,8192,0,0.000
66,10663212143.711,10663212172.860,10663217647.290,5473.363,5503.579,30.216,29.149,1.067,4496.421,0,0.000,0,526,8192,0,0.000
67,10663222143.711,10663222173.285,10663227725.241,5550.548,5581.530,30.982,29.574,1.408,4418.470,0,0.000,0,526,8192,0,0.000
68,10663232143.711,10663232172.946,10663237689.737,5515.600,5546.026,30.426,29.235,1.191,4453.974,0,0.000,0,526,8192,0,0.000
69,10663242143.711,10663242174.285,10663247714.865,5539.728,5571.154,31.426,30.574,0.852,4428.846,0,0.000,0,526,8192,0,0.000
70,10663252143.711,10663252172.691,10663257717.052,5543.330,5573.341,30.011,28.980,1.031,4426.659,0,0.000,0,526,8192,0,0.000
71,10663262143.711,10663262174.869,10663267666.024,5490.274,5522.313,32.039,31.158,0.881,4477.687,0,0.000,0,526,8192,0,0.000
72,10663272143.711,10663272171.952,10663277711.482,5538.641,5567.771,29.130,28.241,0.889,4432.229,0,0.000,0,526,8192,0,0.000
73,10663282143.711,10663282173.195,10663287819.427,5645.321,5675.716,30.395,29.484,0.911,4324.284,0,0.000,0,526,8192,0,0.000
74,10663292143.711,10663292173.065,10663297643.866,5469.820,5500.155,30.335,29.354,0.981,4499.845,0,0.000,0,526,8192,0,0.000
75,10663302143.711,10663302173.008,10663307626.654,5452.752,5482.943,30.191,29.297,0.894,4517.057,0,0.000,0,526,8192,0,0.000
76,10663312143.711,10663312173.825,10663317643.425,5468.747,5499.714,30.967,30.114,0.853,4500.286,0,0.000,0,526,8192,0,0.000
77,10663322143.711,10663322174.780,10663327720.153,5544.532,5576.442,31.910,31.069,0.841,4423.558,0,0.000,0,526,8192,0,0.000
78,10663332143.711,10663332171.770,10663337722.125,5549.486,5578.414,28.928,28.059,0.869,4421.586,0,0.000,0,526,8192,0,0.000
79,10663342143.711,10663342171.214,10663347664.394,5492.483,5520.683,28.200,27.503,0.697,4479.317,0,0.000,0,526,8192,0,0.000
80,10663352143.711,10663352171.658,10663357697.027,5524.297,5553.316,29.019,27.947,1.072,4446.684,0,0.000,0,526,8192,0,0.000
81,10663362143.711,10663362172.396,10663367683.754,5510.201,5540.043,29.842,28.685,1.157,4459.957,0,0.000,0,526,8192,0,0.000
82,10663372143.711,10663372182.797,10663377599.691,5415.806,5455.980,40.174,39.086,1.088,4544.020,0,0.000,0,526,8192,0,0.000
83,10663382143.711,10663382181.621,10663387687.872,5505.277,5544.161,38.884,37.910,0.974,4455.839,0,0.000,0,526,8192,0,0.000
84,10663392143.711,10663392177.255,10663397726.872,5548.466,5583.161,34.695,33.544,1.151,4416.839,0,0.000,0,526,8192,0,0.000
85,10663402143.711,10663402173.827,10663407700.208,5525.480,5556.497,31.017,30.116,0.901,4443.503,0,0.000,0,526,8192,0,0.000
86,10663412143.711,10663412172.479,10663417724.121,5550.576,5580.410,29.834,28.768,1.066,4419.590,0,0.000,0,526,8192,0,0.000
87,10663422143.711,10663422172.038,10663427567.429,5394.407,5423.718,29.311,28.327,0.984,4576.282,0,0.000,0,526,8192,0,0.000
88,10663432143.711,10663432173.643,10663437704.492,5529.874,5560.781,30.907,29.932,0.975,4439.219,0,0.000,0,526,8192,0,0.000
89,10663442143.711,10663442174.427,10663447680.248,5504.863,5536.537,31.674,30.716,0.958,4463.463,0,0.000,0,526,8192,0,0.000
90,10663452143.711,10663452173.226,10663457686.512,5512.445,5542.801,30.356,29.515,0.841,4457.199,0,0.000,0,526,8192,0,0.000
91,10663462143.711,10663462172.621,10663467724.636,5550.913,5580.925,30.012,28.910,1.102,4419.075,0,0.000,0,526,8192,0,0.000
92,10663472143.711,10663472172.254,10663477635.782,5462.553,5492.071,29.518,28.543,0.975,4507.929,0,0.000,0,526,8192,0,0.000
93,10663482143.711,10663482174.930,10663487634.694,5458.831,5490.983,32.152,31.219,0.933,4509.017,0,0.000,0,526,8192,0,0.000
94,10663492143.711,10663492173.416,10663497739.663,5565.282,5595.952,30.670,29.705,0.965,4404.048,0,0.000,0,526,8192,0,0.000
95,10663502143.711,10663502174.443,10663507662.883,5487.381,5519.172,31.791,30.732,1.059,4480.828,0,0.000,0,526,8192,0,0.000
96,10663512143.711,10663512172.455,10663517724.373,5550.901,5580.662,29.761,28.744,1.017,4419.338,0,0.000,0,526,8192,0,0.000
97,10663522143.711,10663522172.900,10663527704.528,5530.583,5560.817,30.234,29.189,1.045,4439.183,0,0.000,0,526,8192,0,0.000
98,10663532143.711,10663532171.641,10663537728.997,5555.944,5585.286,29.342,27.930,1.412,4414.714,0,0.000,0,526,8192,0,0.000
99,10663542143.711,10663542172.755,10663547713.523,5539.547,5569.812,30.265,29.044,1.221,4430.188,0,0.000,0,526,8192,0,0.000
100,10663552143.711,10663552175.219,10663557752.021,5575.651,5608.310,32.659,31.508,1.151,4391.690,0,0.000,0,526,8192,0,0.000
101,10663562143.711,10663562173.135,10663567698.210,5524.254,5554.499,30.245,29.424,0.821,4445.501,0,0.000,0,526,8192,0,0.000
102,10663572143.711,10663572173.143,10663577542.426,5368.023,5398.715,30.692,29.432,1.260,4601.285,0,0.000,0,526,8192,0,0.000
103,10663582143.711,10663584563.682,10663590092.466,5527.851,7948.755,2420.904,2419.971,0.933,2051.245,0,0.000,0,526,8192,0,0.000
104,10663592143.711,10663592173.917,10663598224.896,5540.572,6081.185,540.613,30.206,510.407,3918.815,0,0.000,1,526,8192,0,0.000
105,10663602143.711,10663602173.830,10663607808.523,5633.706,5664.812,31.106,30.119,0.987,4335.188,0,0.000,0,526,8192,0,0.000
106,10663612143.711,10663612172.959,10663617696.936,5523.001,5553.225,30.224,29.248,0.976,4446.775,0,0.000,0,526,8192,0,0.000
107,10663622143.711,10663622175.070,10663627714.253,5538.259,5570.542,32.283,31.359,0.924,4429.458,0,0.000,0,526,8192,0,0.000
108,10663632143.711,10663632175.373,10663637670.005,5493.748,5526.294,32.546,31.662,0.884,4473.706,0,0.000,0,526,8192,0,0.000
109,10663642143.711,10663642173.381,10663647717.626,5543.340,5573.915,30.575,29.670,0.905,4426.085,0,0.000,0,526,8192,0,0.000
110,10663652143.711,10663652172.567,10663657713.962,5540.243,5570.251,30.008,28.856,1.152,4429.749,0,0.000,0,526,8192,0,0.000
111,10663662143.711,10663662174.533,10663667663.758,5488.342,5520.047,31.705,30.822,0.883,4479.953,0,0.000,0,526,8192,0,0.000
112,10663672143.711,10663672174.497,10663677720.152,5544.825,5576.441,31.616,30.786,0.830,4423.559,0,0.000,0,526,8192,0,0.000
113,10663682143.711,10663682173.003,10663687716.990,5542.934,5573.279,30.345,29.292,1.053,4426.721,0,0.000,0,526,8192,0,0.000
114,10663692143.711,10663692173.628,10663697698.025,5523.327,5554.314,30.987,29.917,1.070,4445.686,0,0.000,0,526,8192,0,0.000
115,10663702143.711,10663702174.625,10663707715.659,5539.784,5571.948,32.164,30.914,1.250,4428.052,0,0.000,0,526,8192,0,0.000
116,10663712143.711,10663712174.655,10663717640.082,5464.319,5496.371,32.052,30.944,1.108,4503.629,0,0.000,0,526,8192,0,0.000
117,10663722143.711,10663722174.089,10663727685.920,5510.884,5542.209,31.325,30.378,0.947,4457.791,0,0.000,0,526,8192,0,0.000
118,10663732143.711,10663732173.587,10663737733.350,5558.780,5589.639,30.859,29.876,0.983,4410.361,0,0.000,0,526,8192,0,0.000
119,10663742143.711,10663742173.597,10663747682.800,5508.324,5539.089,30.765,29.886,0.879,4460.911,0,0.000,0,526,8192,0,0.000
120,10663752143.711,10663752174.354,10663757725.115,5549.859,5581.404,31.545,30.643,0.902,4418.596,0,0.000,0,526,8192,0,0.000
121,10663762143.711,10663762173.681,10663767720.268,5545.643,5576.557,30.914,29.970,0.944,4423.443,0,0.000,0,526,8192,0,0.000
122,10663772143.711,10663772174.231,10663777563.114,5388.062,5419.403,31.341,30.520,0.821,4580.597,0,0.000,0,526,8192,0,0.000
123,10663782143.711,10663782174.601,10663787715.274,5539.785,5571.563,31.778,30.890,0.888,4428.437,0,0.000,0,526,8192,0,0.000
124,10663792143.711,10663792175.792,10663797662.323,5485.811,5518.612,32.801,32.081,0.720,4481.388,0,0.000,0,526,8192,0,0.000
125,10663802143.711,10663802173.315,10663807711.935,5537.448,5568.224,30.776,29.604,1.172,4431.776,0,0.000,0,526,8192,0,0.000
126,10663812143.711,10663812174.115,10663817715.405,5540.414,5571.694,31.280,30.404,0.876,4428.306,0,0.000,0,526,8192,0,0.000
127,10663822143.711,10663822172.618,10663827713.346,5539.639,5569.635,29.996,28.907,1.089,4430.365,0,0.000,0,526,8192,0,0.000
128,10663832143.711,10663832174.334,10663837697.491,5522.153,5553.780,31.627,30.623,1.004,4446.220,0,0.000,0,526,8192,0,0.000
129,10663842143.711,10663842176.124,10663847619.974,5442.887,5476.263,33.376,32.413,0.963,4523.737,0,0.000,0,526,8192,0,0.000
130,10663852143.711,10663852173.218,10663857602.294,5427.884,5458.583,30.699,29.507,1.192,4541.417,0,0.000,0,526,8192,0,0.000
131,10663862143.711,10663862178.025,10663867721.742,5542.949,5578.031,35.082,34.314,0.768,4421.969,0,0.000,0,526,8192,0,0.000
132,10663872143.711,10663872174.506,10663877761.665,5585.984,5617.954,31.970,30.795,1.175,4382.046,0,0.000,0,526,8192,0,0.000
133,10663882143.711,10663882172.970,10663887717.596,5543.819,5573.885,30.066,29.259,0.807,4426.115,0,0.000,0,526,8192,0,0.000
134,10663892143.711,10663892178.130,10663897724.347,5545.002,5580.636,35.634,34.419,1.215,4419.364,0,0.000,0,526,8192,0,0.000
135,10663902143.711,10663902174.149,10663907665.107,5489.814,5521.396,31.582,30.438,1.144,4478.604,0,0.000,0,526,8192,0,0.000
136,10663912143.711,10663912172.992,10663917671.016,5497.124,5527.305,30.181,29.281,0.900,4472.695,0,0.000,0,526,8192,0,0.000
137,10663922143.711,10663922175.353,10663927715.474,5539.320,5571.763,32.443,31.642,0.801,4428.237,0,0.000,0,526,8192,0,0.000
138,10663932143.711,10663932178.296,10663937604.711,5425.336,5461.000,35.664,34.585,1.079,4539.000,0,0.000,0,526,8192,0,0.000
139,10663942143.711,10663942178.692,10663947692.549,5512.960,5548.838,35.878,34.981,0.897,4451.162,0,0.000,0,526,8192,0,0.000
140,10663952143.711,10663952176.482,10663957694.512,5517.013,5550.801,33.788,32.771,1.017,4449.199,0,0.000,0,526,8192,0,0.000
141,10663962143.711,10663962174.628,10663967589.280,5413.693,5445.569,31.876,30.917,0.959,4554.431,0,0.000,0,526,8192,0,0.000
142,10663972143.711,10663972174.862,10663977746.860,5570.829,5603.149,32.320,31.151,1.169,4396.851,0,0.000,0,526,8192,0,0.000
143,10663982143.711,10663982172.118,10663987719.536,5546.632,5575.825,29.193,28.407,0.786,4424.175,0,0.000,0,526,8192,0,0.000
144,10663992143.711,10663992171.697,10663997684.938,5512.288,5541.227,28.939,27.986,0.953,4458.773,0,0.000,0,526,8192,0,0.000
145,10664002143.711,10664002173.450,10664007728.725,5554.348,5585.014,30.666,29.739,0.927,4414.986,0,0.000,0,526,8192,0,0.000
146,10664012143.711,10664012174.329,10664017695.599,5520.447,5551.888,31.441,30.618,0.823,4448.112,0,0.000,0,526,8192,0,0.000
147,10664022143.711,10664022173.565,10664027653.575,5478.937,5509.864,30.927,29.854,1.073,4490.136,0,0.000,0,526,8192,0,0.000
148,10664032143.711,10664032173.047,10664037721.531,5547.317,5577.820,30.503,29.336,1.167,4422.180,0,0.000,0,526,8192,0,0.000
149,10664042143.711,10664042173.463,10664047688.977,5514.685,5545.266,30.581,29.752,0.829,4454.734,0,0.000,0,526,8192,0,0.000
150,10664052143.711,10664052178.963,10664057724.660,5544.734,5580.949,36.215,35.252,0.963,4419.051,0,0.000,0,526,8192,0,0.000
151,10664062143.711,10664062174.160,10664067791.031,5615.963,5647.320,31.357,30.449,0.908,4352.680,0,0.000,0,526,8192,0,0.000
152,10664072143.711,10664072172.606,10664077718.884,5545.284,5575.173,29.889,28.895,0.994,4424.827,0,0.000,0,526,8192,0,0.000
153,10664082143.711,10664082173.425,10664087721.697,5547.383,5577.986,30.603,29.714,0.889,4422.014,0,0.000,0,526,8192,0,0.000
154,10664092143.711,10664092173.409,10664097716.590,5542.191,5572.879,30.688,29.698,0.990,4427.121,0,0.000,0,526,8192,0,0.000
155,10664102143.711,10664102173.030,10664107717.564,5543.737,5573.853,30.116,29.319,0.797,4426.147,0,0.000,0,526,8192,0,0.000
