# probe kind=sieve activation=periodic clock=monotonic sieve_n=1048576 K=20 period_us=100000 priority=90 cpu=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before,steal_us
0,41960762041.820,41960762302.217,41960802996.798,40693.046,40954.978,261.932,260.397,1.535,59045.022,0,0.000,0,20,1048576,0,0.000
1,41960862041.820,41960862271.172,41960902156.229,39883.216,40114.409,231.193,229.352,1.841,59885.591,0,0.000,0,20,1048576,0,0.000
2,41960962041.820,41960962289.488,41961002582.232,40290.777,40540.412,249.635,247.668,1.967,59459.588,0,0.000,0,20,1048576,0,0.000
3,41961062041.820,41961062279.604,41961102589.540,40308.235,40547.720,239.485,237.784,1.701,59452.280,0,0.000,0,20,1048576,0,0.000
4,41961162041.820,41961162288.932,41961202983.678,40692.922,40941.858,248.936,247.112,1.824,59058.142,0,0.000,0,20,1048576,0,0.000
5,41961262041.820,41961262280.627,41961302322.129,40039.760,40280.309,240.549,238.807,1.742,59719.691,0,0.000,0,20,1048576,0,0.000
6,41961362041.820,41961362354.778,41961403073.885,40717.303,41032.065,314.762,312.958,1.804,58967.935,0,0.000,0,20,1048576,0,0.000
7,41961462041.820,41961462275.872,41961502402.217,40124.482,40360.397,235.915,234.052,1.863,59639.603,0,0.000,0,20,1048576,0,0.000
8,41961562041.820,41961562285.546,41961602956.338,40669.300,40914.518,245.218,243.726,1.492,59085.482,0,0.000,0,20,1048576,0,0.000
9,41961662041.820,41961662278.182,41961703166.298,40886.310,41124.478,238.168,236.362,1.806,58875.522,0,0.000,0,20,1048576,0,0.000
10,41961762041.820,41961762263.455,41961802756.054,40490.732,40714.234,223.502,221.635,1.867,59285.766,0,0.000,0,20,1048576,0,0.000
11,41961862041.820,41961862283.554,41961902991.794,40706.719,40949.974,243.255,241.734,1.521,59050.026,0,0.000,0,20,1048576,0,0.000
12,41961962041.820,41961962302.046,41962003021.529,40717.227,40979.709,262.482,260.226,2.256,59020.291,0,0.000,0,20,1048576,0,0.000
13,41962062041.820,41962062276.329,41962102575.267,40297.201,40533.447,236.246,234.509,1.737,59466.553,0,0.000,0,20,1048576,0,0.000
14,41962162041.820,41962162328.083,41962202445.233,40115.488,40403.413,287.925,286.263,1.662,59596.587,0,0.000,0,20,1048576,0,0.000
15,41962262041.820,41962262282.332,41962302310.327,40026.292,40268.507,242.215,240.512,1.703,59731.493,0,0.000,0,20,1048576,0,0.000
16,41962362041.820,41962362269.912,41962402423.413,40151.904,40381.593,229.689,228.092,1.597,59618.407,0,0.000,0,20,1048576,0,0.000
17,41962462041.820,41962462275.747,41962502343.992,40066.810,40302.172,235.362,233.927,1.435,59697.828,0,0.000,0,20,1048576,0,0.000
18,41962562041.820,41962562272.593,41962603010.853,40736.705,40969.033,232.328,230.773,1.555,59030.967,0,0.000,0,20,1048576,0,0.000
19,41962662041.820,41962662295.463,41962702572.359,40275.309,40530.539,255.230,253.643,1.587,59469.461,0,0.000,0,20,1048576,0,0.000
20,41962762041.820,41962762283.288,41962802652.019,40366.945,40610.199,243.254,241.468,1.786,59389.801,0,0.000,0,20,1048576,0,0.000
21,41962862041.820,41962862278.078,41962902567.639,40287.650,40525.819,238.169,236.258,1.911,59474.181,0,0.000,0,20,1048576,0,0.000
