# probe kind=sieve activation=periodic clock=monotonic sieve_n=1048576 K=29 period_us=100000 priority=90 cpu=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before,steal_us
0,20252629496.378,20252629591.177,20252680806.408,51213.256,51310.030,96.774,94.799,1.975,48689.970,0,0.000,0,29,1048576,0,0.000
1,20252729496.378,20252729731.454,20252779844.474,50111.188,50348.096,236.908,235.076,1.832,49651.904,0,0.000,0,29,1048576,0,0.000
2,20252829496.378,20252829726.349,20252879819.717,50091.491,50323.339,231.848,229.971,1.877,49676.661,0,0.000,0,29,1048576,0,0.000
3,20252929496.378,20252929700.281,20252979802.105,50100.249,50305.727,205.478,203.903,1.575,49694.273,0,0.000,0,29,1048576,0,0.000
4,20253029496.378,20253029694.829,20253079787.506,50091.110,50291.128,200.018,198.451,1.567,49708.872,0,0.000,0,29,1048576,0,0.000
5,20253129496.378,20253129725.030,20253179815.015,50088.609,50318.637,230.028,228.652,1.376,49681.363,0,0.000,0,29,1048576,0,0.000
6,20253229496.378,20253229694.648,20253279794.894,50098.396,50298.516,200.120,198.270,1.850,49701.484,0,0.000,0,29,1048576,0,0.000
7,20253329496.378,20253329694.810,20253379816.969,50120.227,50320.591,200.364,198.432,1.932,49679.409,0,0.000,0,29,1048576,0,0.000
8,20253429496.378,20253429600.486,20253479706.906,50104.662,50210.528,105.866,104.108,1.758,49789.472,0,0.000,0,29,1048576,0,0.000
9,20253529496.378,20253529733.844,20253579828.589,50092.940,50332.211,239.271,237.466,1.805,49667.789,0,0.000,0,29,1048576,0,0.000
10,20253629496.378,20253629737.094,20253679875.377,50136.382,50378.999,242.617,240.716,1.901,49621.001,0,0.000,0,29,1048576,0,0.000
11,20253729496.378,20253729687.807,20253779774.655,50085.238,50278.277,193.039,191.429,1.610,49721.723,0,0.000,0,29,1048576,0,0.000
12,20253829496.378,20253829728.957,20253879838.905,50108.181,50342.527,234.346,232.579,1.767,49657.473,0,0.000,0,29,1048576,0,0.000
13,20253929496.378,20253929695.286,20253979798.830,50101.893,50302.452,200.559,198.908,1.651,49697.548,0,0.000,0,29,1048576,0,0.000
14,20254029496.378,20254029715.970,20254079804.575,50086.936,50308.197,221.261,219.592,1.669,49691.803,0,0.000,0,29,1048576,0,0.000
15,20254129496.378,20254129722.489,20254179813.093,50088.669,50316.715,228.046,226.111,1.935,49683.285,0,0.000,0,29,1048576,0,0.000
16,20254229496.378,20254229703.014,20254279807.918,50103.065,50311.540,208.475,206.636,1.839,49688.460,0,0.000,0,29,1048576,0,0.000
17,20254329496.378,20254329740.509,20254379848.244,50106.180,50351.866,245.686,244.131,1.555,49648.134,0,0.000,0,29,1048576,0,0.000
18,20254429496.378,20254429705.685,20254479820.505,50113.078,50324.127,211.049,209.307,1.742,49675.873,0,0.000,0,29,1048576,0,0.000
19,20254529496.378,20254529741.001,20254579843.128,50099.995,50346.750,246.755,244.623,2.132,49653.250,0,0.000,0,29,1048576,0,0.000
20,20254629496.378,20254629744.692,20254679854.806,50108.370,50358.428,250.058,248.314,1.744,49641.572,0,0.000,0,29,1048576,0,0.000
21,20254729496.378,20254729768.355,20254779866.404,50096.416,50370.026,273.610,271.977,1.633,49629.974,0,0.000,0,29,1048576,0,0.000
22,20254829496.378,20254829695.418,20254879775.055,50078.125,50278.677,200.552,199.040,1.512,49721.323,0,0.000,0,29,1048576,0,0.000
23,20254929496.378,20254929676.357,20254979772.286,50094.367,50275.908,181.541,179.979,1.562,49724.092,0,0.000,0,29,1048576,0,0.000
24,20255029496.378,20255029690.548,20255079772.035,50079.806,50275.657,195.851,194.170,1.681,49724.343,0,0.000,0,29,1048576,0,0.000
25,20255129496.378,20255129733.806,20255179819.089,50083.364,50322.711,239.347,237.428,1.919,49677.289,0,0.000,0,29,1048576,0,0.000
26,20255229496.378,20255229716.451,20255279804.683,50086.679,50308.305,221.626,220.073,1.553,49691.695,0,0.000,0,29,1048576,0,0.000
27,20255329496.378,20255329737.424,20255379822.666,50083.682,50326.288,242.606,241.046,1.560,49673.712,0,0.000,0,29,1048576,0,0.000
28,20255429496.378,20255429729.056,20255479819.717,50088.975,50323.339,234.364,232.678,1.686,49676.661,0,0.000,0,29,1048576,0,0.000
29,20255529496.378,20255529704.277,20255579799.202,50093.141,50302.824,209.683,207.899,1.784,49697.176,0,0.000,0,29,1048576,0,0.000
30,20255629496.378,20255629790.950,20255679901.124,50108.030,50404.746,296.716,294.572,2.144,49595.254,0,0.000,0,29,1048576,0,0.000
31,20255729496.378,20255729712.590,20255779815.181,50100.479,50318.803,218.324,216.212,2.112,49681.197,0,0.000,0,29,1048576,0,0.000
32,20255829496.378,20255829725.229,20255879804.943,50078.260,50308.565,230.305,228.851,1.454,49691.435,0,0.000,0,29,1048576,0,0.000
33,20255929496.378,20255929730.934,20255979820.856,50088.132,50324.478,236.346,234.556,1.790,49675.522,0,0.000,0,29,1048576,0,0.000
34,20256029496.378,20256029782.568,20256079906.755,50122.173,50410.377,288.204,286.190,2.014,49589.623,0,0.000,0,29,1048576,0,0.000
35,20256129496.378,20256129691.809,20256179789.125,50094.909,50292.747,197.838,195.431,2.407,49707.253,0,0.000,0,29,1048576,0,0.000
36,20256229496.378,20256229707.550,20256279809.422,50099.945,50313.044,213.099,211.172,1.927,49686.956,0,0.000,0,29,1048576,0,0.000
37,20256329496.378,20256329695.371,20256379795.299,50097.920,50298.921,201.001,198.993,2.008,49701.079,0,0.000,0,29,1048576,0,0.000
38,20256429496.378,20256429697.188,20256479782.594,50083.532,50286.216,202.684,200.810,1.874,49713.784,0,0.000,0,29,1048576,0,0.000
39,20256529496.378,20256529718.355,20256579805.303,50085.273,50308.925,223.652,221.977,1.675,49691.075,0,0.000,0,29,1048576,0,0.000
40,20256629496.378,20256629800.541,20256679944.752,50142.144,50448.374,306.230,304.163,2.067,49551.626,0,0.000,0,29,1048576,0,0.000
41,20256729496.378,20256729700.721,20256779808.670,50105.963,50312.292,206.329,204.343,1.986,49687.708,0,0.000,0,29,1048576,0,0.000
42,20256829496.378,20256829901.065,20256880006.045,50103.096,50509.667,406.571,404.687,1.884,49490.333,0,0.000,0,29,1048576,0,0.000
43,20256929496.378,20256929772.467,20256979873.754,50099.413,50377.376,277.963,276.089,1.874,49622.624,0,0.000,0,29,1048576,0,0.000
44,20257029496.378,20257029736.776,20257079835.737,50096.647,50339.359,242.712,240.398,2.314,49660.641,0,0.000,0,29,1048576,0,0.000
45,20257129496.378,20257129751.892,20257179841.721,50087.889,50345.343,257.454,255.514,1.940,49654.657,0,0.000,0,29,1048576,0,0.000
46,20257229496.378,20257229794.307,20257279885.580,50089.510,50389.202,299.692,297.929,1.763,49610.798,0,0.000,0,29,1048576,0,0.000
47,20257329496.378,20257329712.842,20257379791.035,50076.397,50294.657,218.260,216.464,1.796,49705.343,0,0.000,0,29,1048576,0,0.000
48,20257429496.378,20257429710.500,20257479813.396,50100.808,50317.018,216.210,214.122,2.088,49682.982,0,0.000,0,29,1048576,0,0.000
49,20257529496.378,20257529702.907,20257579789.998,50085.121,50293.620,208.499,206.529,1.970,49706.380,0,0.000,0,29,1048576,0,0.000
50,20257629496.378,20257629804.171,20257679909.207,50103.272,50412.829,309.557,307.793,1.764,49587.171,0,0.000,0,29,1048576,0,0.000
51,20257729496.378,20257729818.724,20257779904.500,50083.996,50408.122,324.126,322.346,1.780,49591.878,0,0.000,0,29,1048576,0,0.000
52,20257829496.378,20257829748.456,20257879837.704,50087.567,50341.326,253.759,252.078,1.681,49658.674,0,0.000,0,29,1048576,0,0.000
53,20257929496.378,20257929686.842,20257979828.761,50140.045,50332.383,192.338,190.464,1.874,49667.617,0,0.000,0,29,1048576,0,0.000
54,20258029496.378,20258029803.053,20258079895.330,50090.529,50398.952,308.423,306.675,1.748,49601.048,0,0.000,0,29,1048576,0,0.000
55,20258129496.378,20258129691.193,20258179773.423,50080.377,50277.045,196.668,194.815,1.853,49722.955,0,0.000,0,29,1048576,0,0.000
56,20258229496.378,20258229733.047,20258279834.498,50099.735,50338.120,238.385,236.669,1.716,49661.880,0,0.000,0,29,1048576,0,0.000
57,20258329496.378,20258329887.410,20258379996.663,50107.131,50500.285,393.154,391.032,2.122,49499.715,0,0.000,0,29,1048576,0,0.000
58,20258429496.378,20258429700.970,20258479785.049,50082.082,50288.671,206.589,204.592,1.997,49711.329,0,0.000,0,29,1048576,0,0.000
59,20258529496.378,20258529770.719,20258579853.205,50080.707,50356.827,276.120,274.341,1.779,49643.173,0,0.000,0,29,1048576,0,0.000
60,20258629496.378,20258629740.241,20258679831.563,50089.791,50335.185,245.394,243.863,1.531,49664.815,0,0.000,0,29,1048576,0,0.000
61,20258729496.378,20258729712.958,20258779795.574,50080.846,50299.196,218.350,216.580,1.770,49700.804,0,0.000,0,29,1048576,0,0.000
62,20258829496.378,20258829703.670,20258879807.118,50101.422,50310.740,209.318,207.292,2.026,49689.260,0,0.000,0,29,1048576,0,0.000
63,20258929496.378,20258929774.209,20258979868.639,50092.585,50372.261,279.676,277.831,1.845,49627.739,0,0.000,0,29,1048576,0,0.000
