# probe kind=sieve activation=periodic clock=monotonic sieve_n=8192 K=376 period_us=10000 priority=90 cpu=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before,steal_us
0,22705297188.879,22705297278.513,22705300775.049,3495.120,3586.170,91.050,89.634,1.416,6413.830,0,0.000,0,376,8192,0,0.000
1,22705307188.879,22705307243.145,22705310733.536,3489.312,3544.657,55.345,54.266,1.079,6455.343,0,0.000,0,376,8192,0,0.000
2,22705317188.879,22705317234.107,22705320724.955,3490.017,3536.076,46.059,45.228,0.831,6463.924,0,0.000,0,376,8192,0,0.000
3,22705327188.879,22705327229.560,22705330725.717,3495.434,3536.838,41.404,40.681,0.723,6463.162,0,0.000,0,376,8192,0,0.000
4,22705337188.879,22705337231.236,22705340719.881,3487.960,3531.002,43.042,42.357,0.685,6468.998,0,0.000,0,376,8192,0,0.000
5,22705347188.879,22705347228.727,22705350720.321,3490.866,3531.442,40.576,39.848,0.728,6468.558,0,0.000,0,376,8192,0,0.000
6,22705357188.879,22705357225.744,22705360717.914,3491.382,3529.035,37.653,36.865,0.788,6470.965,0,0.000,0,376,8192,0,0.000
7,22705367188.879,22705367236.071,22705370729.327,3492.420,3540.448,48.028,47.192,0.836,6459.552,0,0.000,0,376,8192,0,0.000
8,22705377188.879,22705377227.331,22705380719.334,3491.216,3530.455,39.239,38.452,0.787,6469.545,0,0.000,0,376,8192,0,0.000
9,22705387188.879,22705387242.144,22705390909.955,3666.901,3721.076,54.175,53.265,0.910,6278.924,0,0.000,0,376,8192,0,0.000
10,22705397188.879,22705397235.837,22705400832.675,3596.011,3643.796,47.785,46.958,0.827,6356.204,0,0.000,0,376,8192,0,0.000
11,22705407188.879,22705407223.258,22705410711.548,3487.769,3522.669,34.900,34.379,0.521,6477.331,0,0.000,0,376,8192,0,0.000
12,22705417188.879,22705417226.813,22705420713.972,3486.313,3525.093,38.780,37.934,0.846,6474.907,0,0.000,0,376,8192,0,0.000
13,22705427188.879,22705427234.588,22705430725.761,3490.252,3536.882,46.630,45.709,0.921,6463.118,0,0.000,0,376,8192,0,0.000
14,22705437188.879,22705437240.657,22705440728.151,3486.172,3539.272,53.100,51.778,1.322,6460.728,0,0.000,0,376,8192,0,0.000
15,22705447188.879,22705447263.940,22705450853.886,3588.731,3665.007,76.276,75.061,1.215,6334.993,0,0.000,0,376,8192,0,0.000
16,22705457188.879,22705457238.083,22705460796.247,3557.409,3607.368,49.959,49.204,0.755,6392.632,0,0.000,0,376,8192,0,0.000
17,22705467188.879,22705467231.406,22705470727.292,3495.032,3538.413,43.381,42.527,0.854,6461.587,0,0.000,0,376,8192,0,0.000
18,22705477188.879,22705477228.668,22705480724.282,3494.329,3535.403,41.074,39.789,1.285,6464.597,0,0.000,0,376,8192,0,0.000
19,22705487188.879,22705487255.047,22705490796.625,3540.330,3607.746,67.416,66.168,1.248,6392.254,0,0.000,0,376,8192,0,0.000
20,22705497188.879,22705497241.800,22705500829.197,3586.541,3640.318,53.777,52.921,0.856,6359.682,0,0.000,0,376,8192,0,0.000
21,22705507188.879,22705507283.946,22705517210.698,4939.885,10021.819,5081.934,95.067,4986.867,-21.819,1,21.819,1,376,8192,1,0.000
22,22705527188.879,22705527228.472,22705530716.274,3487.092,3527.395,40.303,39.593,0.710,6472.605,0,0.000,0,376,8192,0,0.000
23,22705537188.879,22705537229.109,22705540827.746,3597.413,3638.867,41.454,40.230,1.224,6361.133,0,0.000,0,376,8192,0,0.000
24,22705547188.879,22705547244.483,22705550732.482,3486.886,3543.603,56.717,55.604,1.113,6456.397,0,0.000,0,376,8192,0,0.000
25,22705557188.879,22705557234.368,22705561143.112,3907.741,3954.233,46.492,45.489,1.003,6045.767,0,0.000,0,376,8192,0,0.000
26,22705567188.879,22705567275.356,22705570816.989,3540.197,3628.110,87.913,86.477,1.436,6371.890,0,0.000,0,376,8192,0,0.000
27,22705577188.879,22705577239.047,22705580742.559,3502.469,3553.680,51.211,50.168,1.043,6446.320,0,0.000,0,376,8192,0,0.000
28,22705587188.879,22705587236.632,22705590737.664,3499.139,3548.785,49.646,47.753,1.893,6451.215,0,0.000,0,376,8192,0,0.000
29,22705597188.879,22705597236.188,22705600735.562,3498.424,3546.683,48.259,47.309,0.950,6453.317,0,0.000,0,376,8192,0,0.000
30,22705607188.879,22705607247.385,22705610827.898,3579.550,3639.019,59.469,58.506,0.963,6360.981,0,0.000,0,376,8192,0,0.000
31,22705617188.879,22705617256.190,22705620743.912,3486.577,3555.033,68.456,67.311,1.145,6444.967,0,0.000,0,376,8192,0,0.000
32,22705627188.879,22705627252.696,22705630775.597,3521.913,3586.718,64.805,63.817,0.988,6413.282,0,0.000,0,376,8192,0,0.000
33,22705637188.879,22705637253.381,22705640744.182,3488.914,3555.303,66.389,64.502,1.887,6444.697,0,0.000,0,376,8192,0,0.000
34,22705647188.879,22705647244.893,22705650732.854,3486.785,3543.975,57.190,56.014,1.176,6456.025,0,0.000,0,376,8192,0,0.000
35,22705657188.879,22705657239.671,22705660728.471,3487.481,3539.592,52.111,50.792,1.319,6460.408,0,0.000,0,376,8192,0,0.000
36,22705667188.879,22705667240.001,22705670726.917,3485.838,3538.038,52.200,51.122,1.078,6461.962,0,0.000,0,376,8192,0,0.000
37,22705677188.879,22705677240.210,22705680727.599,3486.392,3538.720,52.328,51.331,0.997,6461.280,0,0.000,0,376,8192,0,0.000
38,22705687188.879,22705687238.659,22705690728.461,3488.511,3539.582,51.071,49.780,1.291,6460.418,0,0.000,0,376,8192,0,0.000
39,22705697188.879,22705697240.806,22705700728.417,3486.503,3539.538,53.035,51.927,1.108,6460.462,0,0.000,0,376,8192,0,0.000
40,22705707188.879,22705707237.830,22705710727.518,3488.593,3538.639,50.046,48.951,1.095,6461.361,0,0.000,0,376,8192,0,0.000
41,22705717188.879,22705717242.266,22705720729.290,3486.069,3540.411,54.342,53.387,0.955,6459.589,0,0.000,0,376,8192,0,0.000
42,22705727188.879,22705727236.802,22705730725.234,3487.391,3536.355,48.964,47.923,1.041,6463.645,0,0.000,0,376,8192,0,0.000
