# probe kind=sieve activation=periodic clock=monotonic sieve_n=1048576 K=7 period_us=100000 priority=90 cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before,steal_us
0,4907470640.017,4907470757.175,4907485791.322,15032.721,15151.305,118.584,117.158,1.426,84848.695,0,0.000,0,7,1048576,0,0.000
1,4907570640.017,4907570756.866,4907585798.395,15039.888,15158.378,118.490,116.849,1.641,84841.622,0,0.000,0,7,1048576,0,0.000
2,4907670640.017,4907670865.231,4907685827.086,14960.143,15187.069,226.926,225.214,1.712,84812.931,0,0.000,0,7,1048576,0,0.000
3,4907770640.017,4907770878.276,4907786075.407,15195.223,15435.390,240.167,238.259,1.908,84564.610,0,0.000,0,7,1048576,0,0.000
4,4907870640.017,4907870744.392,4907885720.996,14974.684,15080.979,106.295,104.375,1.920,84919.021,0,0.000,0,7,1048576,0,0.000
5,4907970640.017,4907970744.304,4907985679.243,14933.538,15039.226,105.688,104.287,1.401,84960.774,0,0.000,0,7,1048576,0,0.000
6,4908070640.017,4908070750.463,4908085697.244,14945.341,15057.227,111.886,110.446,1.440,84942.773,0,0.000,0,7,1048576,0,0.000
7,4908170640.017,4908170747.559,4908185765.639,15016.518,15125.622,109.104,107.542,1.562,84874.378,0,0.000,0,7,1048576,0,0.000
8,4908270640.017,4908270752.202,4908285776.340,15022.576,15136.323,113.747,112.185,1.562,84863.677,0,0.000,0,7,1048576,0,0.000
9,4908370640.017,4908370756.182,4908385332.190,14574.187,14692.173,117.986,116.165,1.821,85307.827,0,0.000,0,7,1048576,0,0.000
10,4908470640.017,4908470757.805,4908485634.770,14875.325,14994.753,119.428,117.788,1.640,85005.247,0,0.000,0,7,1048576,0,0.000
11,4908570640.017,4908570755.954,4908585758.307,15000.991,15118.290,117.299,115.937,1.362,84881.710,0,0.000,0,7,1048576,0,0.000
12,4908670640.017,4908670741.479,4908685751.815,15008.489,15111.798,103.309,101.462,1.847,84888.202,0,0.000,0,7,1048576,0,0.000
13,4908770640.017,4908770747.547,4908785805.452,15055.878,15165.435,109.557,107.530,2.027,84834.565,0,0.000,0,7,1048576,0,0.000
14,4908870640.017,4908870762.796,4908885617.452,14852.647,14977.435,124.788,122.779,2.009,85022.565,0,0.000,0,7,1048576,0,0.000
15,4908970640.017,4908970863.854,4908985569.908,14704.162,14929.891,225.729,223.837,1.892,85070.109,0,0.000,0,7,1048576,0,0.000
16,4909070640.017,4909070737.384,4909085590.194,14851.732,14950.177,98.445,97.367,1.078,85049.823,0,0.000,0,7,1048576,0,0.000
17,4909170640.017,4909170760.992,4909185758.293,14995.586,15118.276,122.690,120.975,1.715,84881.724,0,0.000,0,7,1048576,0,0.000
18,4909270640.017,4909270873.332,4909285834.358,14959.026,15194.341,235.315,233.315,2.000,84805.659,0,0.000,0,7,1048576,0,0.000
19,4909370640.017,4909370758.046,4909385553.472,14793.663,14913.455,119.792,118.029,1.763,85086.545,0,0.000,0,7,1048576,0,0.000
20,4909470640.017,4909470757.025,4909485760.611,15002.246,15120.594,118.348,117.008,1.340,84879.406,0,0.000,0,7,1048576,0,0.000
21,4909570640.017,4909570864.288,4909585806.804,14940.955,15166.787,225.832,224.271,1.561,84833.213,0,0.000,0,7,1048576,0,0.000
22,4909670640.017,4909670753.444,4909685745.448,14990.646,15105.431,114.785,113.427,1.358,84894.569,0,0.000,0,7,1048576,0,0.000
23,4909770640.017,4909770778.757,4909785779.003,14998.473,15138.986,140.513,138.740,1.773,84861.014,0,0.000,0,7,1048576,0,0.000
24,4909870640.017,4909870766.967,4909885723.473,14954.622,15083.456,128.834,126.950,1.884,84916.544,0,0.000,0,7,1048576,0,0.000
25,4909970640.017,4909970871.879,4909985571.879,14698.196,14931.862,233.666,231.862,1.804,85068.138,0,0.000,0,7,1048576,0,0.000
26,4910070640.017,4910070743.820,4910085591.435,14846.201,14951.418,105.217,103.803,1.414,85048.582,0,0.000,0,7,1048576,0,0.000
27,4910170640.017,4910170742.441,4910185636.839,14892.698,14996.822,104.124,102.424,1.700,85003.178,0,0.000,0,7,1048576,0,0.000
28,4910270640.017,4910270749.674,4910285721.084,14969.734,15081.067,111.333,109.657,1.676,84918.933,0,0.000,0,7,1048576,0,0.000
29,4910370640.017,4910370760.368,4910385710.345,14947.953,15070.328,122.375,120.351,2.024,84929.672,0,0.000,0,7,1048576,0,0.000
30,4910470640.017,4910470765.436,4910485682.863,14915.585,15042.846,127.261,125.419,1.842,84957.154,0,0.000,0,7,1048576,0,0.000
31,4910570640.017,4910570750.681,4910585796.207,15044.182,15156.190,112.008,110.664,1.344,84843.810,0,0.000,0,7,1048576,0,0.000
32,4910670640.017,4910670752.480,4910686484.567,15730.079,15844.550,114.471,112.463,2.008,84155.450,0,0.000,0,7,1048576,0,0.000
33,4910770640.017,4910770754.120,4910785584.423,14828.593,14944.406,115.813,114.103,1.710,85055.594,0,0.000,0,7,1048576,0,0.000
34,4910870640.017,4910870877.791,4910885947.525,15067.848,15307.508,239.660,237.774,1.886,84692.492,0,0.000,0,7,1048576,0,0.000
35,4910970640.017,4910970762.299,4910985619.211,14854.774,14979.194,124.420,122.282,2.138,85020.806,0,0.000,0,7,1048576,0,0.000
36,4911070640.017,4911070745.126,4911085777.841,15031.251,15137.824,106.573,105.109,1.464,84862.176,0,0.000,0,7,1048576,0,0.000
37,4911170640.017,4911170751.206,4911185762.050,15009.411,15122.033,112.622,111.189,1.433,84877.967,0,0.000,0,7,1048576,0,0.000
38,4911270640.017,4911270858.431,4911285832.124,14972.384,15192.107,219.723,218.414,1.309,84807.893,0,0.000,0,7,1048576,0,0.000
39,4911370640.017,4911370752.475,4911385717.169,14963.058,15077.152,114.094,112.458,1.636,84922.848,0,0.000,0,7,1048576,0,0.000
40,4911470640.017,4911470748.904,4911485574.178,14823.875,14934.161,110.286,108.887,1.399,85065.839,0,0.000,0,7,1048576,0,0.000
41,4911570640.017,4911570743.004,4911585743.242,14998.893,15103.225,104.332,102.987,1.345,84896.775,0,0.000,0,7,1048576,0,0.000
42,4911670640.017,4911670876.698,4911685751.464,14873.076,15111.447,238.371,236.681,1.690,84888.553,0,0.000,0,7,1048576,0,0.000
43,4911770640.017,4911770751.401,4911785799.129,15046.069,15159.112,113.043,111.384,1.659,84840.888,0,0.000,0,7,1048576,0,0.000
44,4911870640.017,4911870768.039,4911885866.918,15097.175,15226.901,129.726,128.022,1.704,84773.099,0,0.000,0,7,1048576,0,0.000
45,4911970640.017,4911970880.317,4911985785.957,14903.857,15145.940,242.083,240.300,1.783,84854.060,0,0.000,0,7,1048576,0,0.000
46,4912070640.017,4912070744.053,4912085703.520,14958.382,15063.503,105.121,104.036,1.085,84936.497,0,0.000,0,7,1048576,0,0.000
47,4912170640.017,4912170747.070,4912185508.947,14760.579,14868.930,108.351,107.053,1.298,85131.070,0,0.000,0,7,1048576,0,0.000
48,4912270640.017,4912270742.043,4912285755.515,15012.222,15115.498,103.276,102.026,1.250,84884.502,0,0.000,0,7,1048576,0,0.000
49,4912370640.017,4912370904.427,4912385696.853,14791.160,15056.836,265.676,264.410,1.266,84943.164,0,0.000,0,7,1048576,0,0.000
50,4912470640.017,4912470844.565,4912485615.359,14769.776,14975.342,205.566,204.548,1.018,85024.658,0,0.000,0,7,1048576,0,0.000
51,4912570640.017,4912570862.368,4912585826.717,14963.086,15186.700,223.614,222.351,1.263,84813.300,0,0.000,0,7,1048576,0,0.000
52,4912670640.017,4912670863.545,4912685836.901,14972.132,15196.884,224.752,223.528,1.224,84803.116,0,0.000,0,7,1048576,0,0.000
53,4912770640.017,4912770886.843,4912785965.794,15077.444,15325.777,248.333,246.826,1.507,84674.223,0,0.000,0,7,1048576,0,0.000
