# probe kind=sieve activation=periodic clock=monotonic sieve_n=1048576 K=27 period_us=100000 priority=90 cpu=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before,steal_us
0,30309284571.733,30309284697.405,30309339232.621,54534.088,54660.888,126.800,125.672,1.128,45339.112,0,0.000,0,27,1048576,0,0.000
1,30309384571.733,30309384663.988,30309439505.713,54840.857,54933.980,93.123,92.255,0.868,45066.020,0,0.000,0,27,1048576,0,0.000
2,30309484571.733,30309484616.035,30309538968.016,54351.777,54396.283,44.506,44.302,0.204,45603.717,0,0.000,0,27,1048576,0,0.000
3,30309584571.733,30309584637.171,30309639059.470,54421.583,54487.737,66.154,65.438,0.716,45512.263,0,0.000,0,27,1048576,0,0.000
4,30309684571.733,30309684668.132,30309739155.281,54486.109,54583.548,97.439,96.399,1.040,45416.452,0,0.000,0,27,1048576,0,0.000
5,30309784571.733,30309784645.322,30309839259.088,54612.846,54687.355,74.509,73.589,0.920,45312.645,0,0.000,0,27,1048576,0,0.000
6,30309884571.733,30309884640.535,30309939348.539,54707.874,54776.806,68.932,68.802,0.130,45223.194,0,0.000,0,27,1048576,0,0.000
7,30309984571.733,30309984652.509,30310039560.512,54907.518,54988.779,81.261,80.776,0.485,45011.221,0,0.000,0,27,1048576,0,0.000
8,30310084571.733,30310084662.765,30310141317.121,56653.490,56745.388,91.898,91.032,0.866,43254.612,0,0.000,0,27,1048576,0,0.000
9,30310184571.733,30310184653.088,30310239281.198,54627.490,54709.465,81.975,81.355,0.620,45290.535,0,0.000,0,27,1048576,0,0.000
10,30310284571.733,30310284645.178,30310339168.238,54522.212,54596.505,74.293,73.445,0.848,45403.495,0,0.000,0,27,1048576,0,0.000
11,30310384571.733,30310384662.219,30310440135.347,55472.226,55563.614,91.388,90.486,0.902,44436.386,0,0.000,0,27,1048576,0,0.000
12,30310484571.733,30310484646.916,30310539222.403,54575.217,54650.670,75.453,75.183,0.270,45349.330,0,0.000,0,27,1048576,0,0.000
13,30310584571.733,30310584612.584,30310639079.569,54466.918,54507.836,40.918,40.851,0.067,45492.164,0,0.000,0,27,1048576,0,0.000
14,30310684571.733,30310684648.239,30310739442.580,54793.654,54870.847,77.193,76.506,0.687,45129.153,0,0.000,0,27,1048576,0,0.000
15,30310784571.733,30310784618.170,30310839349.159,54730.734,54777.426,46.692,46.437,0.255,45222.574,0,0.000,0,27,1048576,0,0.000
16,30310884571.733,30310884615.746,30310939389.142,54773.135,54817.409,44.274,44.013,0.261,45182.591,0,0.000,0,27,1048576,0,0.000
17,30310984571.733,30310984659.251,30311038840.784,54180.609,54269.051,88.442,87.518,0.924,45730.949,0,0.000,0,27,1048576,0,0.000
18,30311084571.733,30311084666.732,30311140084.871,55417.121,55513.138,96.017,94.999,1.018,44486.862,0,0.000,0,27,1048576,0,0.000
19,30311184571.733,30311187618.559,30311243258.473,55638.725,58686.740,3048.015,3046.826,1.189,41313.260,0,0.000,0,27,1048576,0,0.000
20,30311284571.733,30311284653.044,30311338951.175,54297.387,54379.442,82.055,81.311,0.744,45620.558,0,0.000,0,27,1048576,0,0.000
21,30311384571.733,30311384673.111,30311439375.438,54701.481,54803.705,102.224,101.378,0.846,45196.295,0,0.000,0,27,1048576,0,0.000
22,30311484571.733,30311484625.698,30311538694.910,54069.181,54123.177,53.996,53.965,0.031,45876.823,0,0.000,0,27,1048576,0,0.000
23,30311584571.733,30311584644.915,30311638619.735,53974.217,54048.002,73.785,73.182,0.603,45951.998,0,0.000,0,27,1048576,0,0.000
24,30311684571.733,30311684642.579,30311738888.529,54245.089,54316.796,71.707,70.846,0.861,45683.204,0,0.000,0,27,1048576,0,0.000
25,30311784571.733,30311784626.625,30311839107.851,54480.823,54536.118,55.295,54.892,0.403,45463.882,0,0.000,0,27,1048576,0,0.000
26,30311884571.733,30311884661.514,30311939466.760,54804.624,54895.027,90.403,89.781,0.622,45104.973,0,0.000,0,27,1048576,0,0.000
27,30311984571.733,30311984617.344,30312039301.148,54683.481,54729.415,45.934,45.611,0.323,45270.585,0,0.000,0,27,1048576,0,0.000
28,30312084571.733,30312084639.989,30312139044.033,54403.761,54472.300,68.539,68.256,0.283,45527.700,0,0.000,0,27,1048576,0,0.000
29,30312184571.733,30312184631.148,30312239417.435,54785.974,54845.702,59.728,59.415,0.313,45154.298,0,0.000,0,27,1048576,0,0.000
30,30312284571.733,30312284636.264,30312339057.312,54420.642,54485.579,64.937,64.531,0.406,45514.421,0,0.000,0,27,1048576,0,0.000
31,30312384571.733,30312384619.481,30312439371.153,54751.375,54799.420,48.045,47.748,0.297,45200.580,0,0.000,0,27,1048576,0,0.000
32,30312484571.733,30312484651.693,30312539222.338,54570.127,54650.605,80.478,79.960,0.518,45349.395,0,0.000,0,27,1048576,0,0.000
33,30312584571.733,30312584610.432,30312638864.044,54253.555,54292.311,38.756,38.699,0.057,45707.689,0,0.000,0,27,1048576,0,0.000
34,30312684571.733,30312684628.305,30312739337.216,54708.680,54765.483,56.803,56.572,0.231,45234.517,0,0.000,0,27,1048576,0,0.000
