# probe kind=sieve activation=periodic clock=monotonic sieve_n=8192 K=397 period_us=10000 priority=90 cpu=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before,steal_us
0,44331069579.851,44331069656.862,44331073851.079,4192.490,4271.228,78.738,77.011,1.727,5728.772,0,0.000,0,397,8192,0,0.000
1,44331079579.851,44331079612.884,44331083873.513,4259.858,4293.662,33.804,33.033,0.771,5706.338,0,0.000,0,397,8192,0,0.000
2,44331089579.851,44331089610.240,44331093689.421,4078.521,4109.570,31.049,30.389,0.660,5890.430,0,0.000,0,397,8192,0,0.000
3,44331099579.851,44331099609.230,44331103656.036,4046.136,4076.185,30.049,29.379,0.670,5923.815,0,0.000,0,397,8192,0,0.000
4,44331109579.851,44331109609.973,44331113826.739,4215.878,4246.888,31.010,30.122,0.888,5753.112,0,0.000,0,397,8192,0,0.000
5,44331119579.851,44331119609.850,44331123776.387,4165.665,4196.536,30.871,29.999,0.872,5803.464,0,0.000,0,397,8192,0,0.000
6,44331129579.851,44331129610.442,44331133747.948,4136.835,4168.097,31.262,30.591,0.671,5831.903,0,0.000,0,397,8192,0,0.000
7,44331139579.851,44331139613.912,44331143698.833,4083.918,4118.982,35.064,34.061,1.003,5881.018,0,0.000,0,397,8192,0,0.000
8,44331149579.851,44331149611.494,44331153769.602,4157.259,4189.751,32.492,31.643,0.849,5810.249,0,0.000,0,397,8192,0,0.000
9,44331159579.851,44331159614.367,44331163703.157,4087.779,4123.306,35.527,34.516,1.011,5876.694,0,0.000,0,397,8192,0,0.000
10,44331169579.851,44331169615.940,44331173804.780,4187.910,4224.929,37.019,36.089,0.930,5775.071,0,0.000,0,397,8192,0,0.000
11,44331179579.851,44331179610.900,44331183795.473,4183.838,4215.622,31.784,31.049,0.735,5784.378,0,0.000,0,397,8192,0,0.000
12,44331189579.851,44331189615.567,44331193796.870,4180.614,4217.019,36.405,35.716,0.689,5782.981,0,0.000,0,397,8192,0,0.000
13,44331199579.851,44331199611.913,44331203801.448,4188.855,4221.597,32.742,32.062,0.680,5778.403,0,0.000,0,397,8192,0,0.000
14,44331209579.851,44331209612.531,44331213798.085,4184.567,4218.234,33.667,32.680,0.987,5781.766,0,0.000,0,397,8192,0,0.000
15,44331219579.851,44331219613.114,44331223799.834,4185.872,4219.983,34.111,33.263,0.848,5780.017,0,0.000,0,397,8192,0,0.000
16,44331229579.851,44331229613.241,44331233796.788,4182.812,4216.937,34.125,33.390,0.735,5783.063,0,0.000,0,397,8192,0,0.000
17,44331239579.851,44331239617.030,44331243706.498,4088.569,4126.647,38.078,37.179,0.899,5873.353,0,0.000,0,397,8192,0,0.000
18,44331249579.851,44331249610.530,44331253662.657,4051.465,4082.806,31.341,30.679,0.662,5917.194,0,0.000,0,397,8192,0,0.000
19,44331259579.851,44331259608.589,44331263665.105,4055.736,4085.254,29.518,28.738,0.780,5914.746,0,0.000,0,397,8192,0,0.000
20,44331269579.851,44331269611.104,44331273865.880,4253.841,4286.029,32.188,31.253,0.935,5713.971,0,0.000,0,397,8192,0,0.000
21,44331279579.851,44331279609.655,44331283795.729,4185.332,4215.878,30.546,29.804,0.742,5784.122,0,0.000,0,397,8192,0,0.000
22,44331289579.851,44331289612.720,44331293748.862,4135.553,4169.011,33.458,32.869,0.589,5830.989,0,0.000,0,397,8192,0,0.000
23,44331299579.851,44331299613.310,44331303803.014,4188.869,4223.163,34.294,33.459,0.835,5776.837,0,0.000,0,397,8192,0,0.000
24,44331309579.851,44331309610.042,44331313785.139,4174.290,4205.288,30.998,30.191,0.807,5794.712,0,0.000,0,397,8192,0,0.000
25,44331319579.851,44331319611.132,44331323853.002,4241.174,4273.151,31.977,31.281,0.696,5726.849,0,0.000,0,397,8192,0,0.000
26,44331329579.851,44331329609.386,44331333749.438,4139.206,4169.587,30.381,29.535,0.846,5830.413,0,0.000,0,397,8192,0,0.000
27,44331339579.851,44331339612.813,44331343777.493,4163.752,4197.642,33.890,32.962,0.928,5802.358,0,0.000,0,397,8192,0,0.000
28,44331349579.851,44331349610.219,44331353704.852,4093.787,4125.001,31.214,30.368,0.846,5874.999,0,0.000,0,397,8192,0,0.000
29,44331359579.851,44331359616.220,44331363753.052,4135.876,4173.201,37.325,36.369,0.956,5826.799,0,0.000,0,397,8192,0,0.000
30,44331369579.851,44331369613.589,44331373693.754,4079.312,4113.903,34.591,33.738,0.853,5886.097,0,0.000,0,397,8192,0,0.000
31,44331379579.851,44331379610.170,44331383705.711,4094.688,4125.860,31.172,30.319,0.853,5874.140,0,0.000,0,397,8192,0,0.000
32,44331389579.851,44331389607.573,44331393653.791,4045.558,4073.940,28.382,27.722,0.660,5926.060,0,0.000,0,397,8192,0,0.000
33,44331399579.851,44331399610.926,44331403795.127,4183.563,4215.276,31.713,31.075,0.638,5784.724,0,0.000,0,397,8192,0,0.000
34,44331409579.851,44331409611.848,44331413756.883,4144.262,4177.032,32.770,31.997,0.773,5822.968,0,0.000,0,397,8192,0,0.000
35,44331419579.851,44331419611.493,44331423649.451,4037.079,4069.600,32.521,31.642,0.879,5930.400,0,0.000,0,397,8192,0,0.000
36,44331429579.851,44331429609.105,44331433694.238,4084.569,4114.387,29.818,29.254,0.564,5885.613,0,0.000,0,397,8192,0,0.000
37,44331439579.851,44331439614.110,44331443812.066,4197.033,4232.215,35.182,34.259,0.923,5767.785,0,0.000,0,397,8192,0,0.000
38,44331449579.851,44331449612.729,44331453718.123,4104.592,4138.272,33.680,32.878,0.802,5861.728,0,0.000,0,397,8192,0,0.000
39,44331459579.851,44331459608.725,44331463651.592,4042.309,4071.741,29.432,28.874,0.558,5928.259,0,0.000,0,397,8192,0,0.000
