# probe kind=sieve activation=periodic clock=monotonic sieve_n=1048576 K=10 period_us=100000 priority=90 cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before,steal_us
0,5261004235.369,5261004473.009,5261025144.174,20669.974,20908.805,238.831,237.640,1.191,79091.195,0,0.000,0,10,1048576,0,0.000
1,5261104235.369,5261104486.913,5261124931.513,20443.337,20696.144,252.807,251.544,1.263,79303.856,0,0.000,0,10,1048576,0,0.000
2,5261204235.369,5261204487.301,5261224895.889,20407.334,20660.520,253.186,251.932,1.254,79339.480,0,0.000,0,10,1048576,0,0.000
3,5261304235.369,5261304475.016,5261325143.087,20666.534,20907.718,241.184,239.647,1.537,79092.282,0,0.000,0,10,1048576,0,0.000
4,5261404235.369,5261404502.396,5261425058.612,20554.796,20823.243,268.447,267.027,1.420,79176.757,0,0.000,0,10,1048576,0,0.000
5,5261504235.369,5261504471.068,5261525271.125,20798.541,21035.756,237.215,235.699,1.516,78964.244,0,0.000,0,10,1048576,0,0.000
6,5261604235.369,5261604466.729,5261625239.868,20771.701,21004.499,232.798,231.360,1.438,78995.501,0,0.000,0,10,1048576,0,0.000
7,5261704235.369,5261704450.231,5261725063.801,20612.218,20828.432,216.214,214.862,1.352,79171.568,0,0.000,0,10,1048576,0,0.000
8,5261804235.369,5261804454.559,5261825181.075,20725.357,20945.706,220.349,219.190,1.159,79054.294,0,0.000,0,10,1048576,0,0.000
9,5261904235.369,5261904472.302,5261925125.664,20652.021,20890.295,238.274,236.933,1.341,79109.705,0,0.000,0,10,1048576,0,0.000
10,5262004235.369,5262004453.859,5262025056.234,20601.123,20820.865,219.742,218.490,1.252,79179.135,0,0.000,0,10,1048576,0,0.000
11,5262104235.369,5262104454.489,5262124831.237,20375.396,20595.868,220.472,219.120,1.352,79404.132,0,0.000,0,10,1048576,0,0.000
12,5262204235.369,5262204535.600,5262225127.744,20590.607,20892.375,301.768,300.231,1.537,79107.625,0,0.000,0,10,1048576,0,0.000
13,5262304235.369,5262304465.458,5262325213.494,20746.454,20978.125,231.671,230.089,1.582,79021.875,0,0.000,0,10,1048576,0,0.000
14,5262404235.369,5262404451.054,5262425220.193,20767.826,20984.824,216.998,215.685,1.313,79015.176,0,0.000,0,10,1048576,0,0.000
15,5262504235.369,5262504468.454,5262525158.583,20688.944,20923.214,234.270,233.085,1.185,79076.786,0,0.000,0,10,1048576,0,0.000
16,5262604235.369,5262604462.415,5262625154.200,20690.545,20918.831,228.286,227.046,1.240,79081.169,0,0.000,0,10,1048576,0,0.000
17,5262704235.369,5262704469.728,5262725119.123,20648.167,20883.754,235.587,234.359,1.228,79116.246,0,0.000,0,10,1048576,0,0.000
18,5262804235.369,5262804446.076,5262824950.556,20503.360,20715.187,211.827,210.707,1.120,79284.813,0,0.000,0,10,1048576,0,0.000
19,5262904235.369,5262904519.917,5262925100.210,20579.070,20864.841,285.771,284.548,1.223,79135.159,0,0.000,0,10,1048576,0,0.000
20,5263004235.369,5263004452.642,5263024748.325,20294.403,20512.956,218.553,217.273,1.280,79487.044,0,0.000,0,10,1048576,0,0.000
21,5263104235.369,5263104451.751,5263125229.262,20776.004,20993.893,217.889,216.382,1.507,79006.107,0,0.000,0,10,1048576,0,0.000
22,5263204235.369,5263204506.935,5263225161.591,20653.534,20926.222,272.688,271.566,1.122,79073.778,0,0.000,0,10,1048576,0,0.000
23,5263304235.369,5263304456.289,5263325181.105,20723.677,20945.736,222.059,220.920,1.139,79054.264,0,0.000,0,10,1048576,0,0.000
24,5263404235.369,5263404450.086,5263425086.601,20635.491,20851.232,215.741,214.717,1.024,79148.768,0,0.000,0,10,1048576,0,0.000
25,5263504235.369,5263504454.845,5263524877.495,20421.543,20642.126,220.583,219.476,1.107,79357.874,0,0.000,0,10,1048576,0,0.000
26,5263604235.369,5263604467.891,5263625141.310,20672.375,20905.941,233.566,232.522,1.044,79094.059,0,0.000,0,10,1048576,0,0.000
27,5263704235.369,5263704452.436,5263724656.003,20202.351,20420.634,218.283,217.067,1.216,79579.366,0,0.000,0,10,1048576,0,0.000
28,5263804235.369,5263804444.280,5263825104.136,20658.544,20868.767,210.223,208.911,1.312,79131.233,0,0.000,0,10,1048576,0,0.000
29,5263904235.369,5263904652.579,5263925065.796,20411.998,20830.427,418.429,417.210,1.219,79169.573,0,0.000,0,10,1048576,0,0.000
30,5264004235.369,5264004332.938,5264025058.440,20723.856,20823.071,99.215,97.569,1.646,79176.929,0,0.000,0,10,1048576,0,0.000
31,5264104235.369,5264104530.497,5264125024.022,20491.972,20788.653,296.681,295.128,1.553,79211.347,0,0.000,0,10,1048576,0,0.000
32,5264204235.369,5264204452.864,5264225180.567,20726.235,20945.198,218.963,217.495,1.468,79054.802,0,0.000,0,10,1048576,0,0.000
33,5264304235.369,5264304459.267,5264325060.142,20599.651,20824.773,225.122,223.898,1.224,79175.227,0,0.000,0,10,1048576,0,0.000
34,5264404235.369,5264404480.822,5264425289.632,20807.413,21054.263,246.850,245.453,1.397,78945.737,0,0.000,0,10,1048576,0,0.000
35,5264504235.369,5264504448.140,5264524588.590,20138.958,20353.221,214.263,212.771,1.492,79646.779,0,0.000,0,10,1048576,0,0.000
36,5264604235.369,5264604449.157,5264624601.983,20151.798,20366.614,214.816,213.788,1.028,79633.386,0,0.000,0,10,1048576,0,0.000
37,5264704235.369,5264704532.447,5264725286.891,20753.374,21051.522,298.148,297.078,1.070,78948.478,0,0.000,0,10,1048576,0,0.000
38,5264804235.369,5264804438.300,5264824800.906,20361.377,20565.537,204.160,202.931,1.229,79434.463,0,0.000,0,10,1048576,0,0.000
39,5264904235.369,5264904549.362,5264925142.086,20591.622,20906.717,315.095,313.993,1.102,79093.283,0,0.000,0,10,1048576,0,0.000
40,5265004235.369,5265004442.307,5265024784.857,20341.264,20549.488,208.224,206.938,1.286,79450.512,0,0.000,0,10,1048576,0,0.000
41,5265104235.369,5265104478.775,5265125332.352,20852.155,21096.983,244.828,243.406,1.422,78903.017,0,0.000,0,10,1048576,0,0.000
42,5265204235.369,5265204480.577,5265225097.468,20615.803,20862.099,246.296,245.208,1.088,79137.901,0,0.000,0,10,1048576,0,0.000
43,5265304235.369,5265304437.839,5265324987.392,20548.530,20752.023,203.493,202.470,1.023,79247.977,0,0.000,0,10,1048576,0,0.000
44,5265404235.369,5265404501.052,5265425257.622,20755.050,21022.253,267.203,265.683,1.520,78977.747,0,0.000,0,10,1048576,0,0.000
45,5265504235.369,5265504489.669,5265525094.186,20602.840,20858.817,255.977,254.300,1.677,79141.183,0,0.000,0,10,1048576,0,0.000
46,5265604235.369,5265606455.149,5265626878.981,20422.485,22643.612,2221.127,2219.780,1.347,77356.388,0,0.000,0,10,1048576,0,0.000
47,5265704235.369,5265704507.632,5265724956.492,20447.258,20721.123,273.865,272.263,1.602,79278.877,0,0.000,0,10,1048576,0,0.000
48,5265804235.369,5265804454.199,5265824809.011,20353.130,20573.642,220.512,218.830,1.682,79426.358,0,0.000,0,10,1048576,0,0.000
49,5265904235.369,5265904451.750,5265925105.335,20652.214,20869.966,217.752,216.381,1.371,79130.034,0,0.000,0,10,1048576,0,0.000
50,5266004235.369,5266004479.613,5266024963.343,20482.598,20727.974,245.376,244.244,1.132,79272.026,0,0.000,0,10,1048576,0,0.000
51,5266104235.369,5266104492.642,5266124751.736,20258.200,20516.367,258.167,257.273,0.894,79483.633,0,0.000,0,10,1048576,0,0.000
52,5266204235.369,5266204496.548,5266224740.543,20243.020,20505.174,262.154,261.179,0.975,79494.826,0,0.000,0,10,1048576,0,0.000
53,5266304235.369,5266304439.563,5266325095.581,20654.840,20860.212,205.372,204.194,1.178,79139.788,0,0.000,0,10,1048576,0,0.000
54,5266404235.369,5266404438.745,5266425019.905,20580.145,20784.536,204.391,203.376,1.015,79215.464,0,0.000,0,10,1048576,0,0.000
55,5266504235.369,5266504488.822,5266524872.999,20382.900,20637.630,254.730,253.453,1.277,79362.370,0,0.000,0,10,1048576,0,0.000
56,5266604235.369,5266604474.858,5266624866.913,20391.009,20631.544,240.535,239.489,1.046,79368.456,0,0.000,0,10,1048576,0,0.000
57,5266704235.369,5266704436.945,5266724708.106,20270.105,20472.737,202.632,201.576,1.056,79527.263,0,0.000,0,10,1048576,0,0.000
58,5266804235.369,5266804443.911,5266824921.881,20476.737,20686.512,209.775,208.542,1.233,79313.488,0,0.000,0,10,1048576,0,0.000
59,5266904235.369,5266904436.063,5266924946.975,20509.528,20711.606,202.078,200.694,1.384,79288.394,0,0.000,0,10,1048576,0,0.000
60,5267004235.369,5267004525.890,5267025078.883,20551.957,20843.514,291.557,290.521,1.036,79156.486,0,0.000,0,10,1048576,0,0.000
61,5267104235.369,5267104436.521,5267125079.653,20642.090,20844.284,202.194,201.152,1.042,79155.716,0,0.000,0,10,1048576,0,0.000
62,5267204235.369,5267204464.506,5267225129.684,20664.075,20894.315,230.240,229.137,1.103,79105.685,0,0.000,0,10,1048576,0,0.000
63,5267304235.369,5267304492.045,5267325280.055,20786.925,21044.686,257.761,256.676,1.085,78955.314,0,0.000,0,10,1048576,0,0.000
64,5267404235.369,5267404446.157,5267425114.308,20667.092,20878.939,211.847,210.788,1.059,79121.061,0,0.000,0,10,1048576,0,0.000
65,5267504235.369,5267504440.952,5267525021.500,20579.174,20786.131,206.957,205.583,1.374,79213.869,0,0.000,0,10,1048576,0,0.000
66,5267604235.369,5267604529.391,5267624951.582,20420.995,20716.213,295.218,294.022,1.196,79283.787,0,0.000,0,10,1048576,0,0.000
67,5267704235.369,5267704449.270,5267725284.110,20833.886,21048.741,214.855,213.901,0.954,78951.259,0,0.000,0,10,1048576,0,0.000
68,5267804235.369,5267804455.517,5267825111.262,20654.687,20875.893,221.206,220.148,1.058,79124.107,0,0.000,0,10,1048576,0,0.000
69,5267904235.369,5267904468.770,5267924912.306,20442.430,20676.937,234.507,233.401,1.106,79323.063,0,0.000,0,10,1048576,0,0.000
70,5268004235.369,5268004449.633,5268025313.020,20862.080,21077.651,215.571,214.264,1.307,78922.349,0,0.000,0,10,1048576,0,0.000
71,5268104235.369,5268104435.064,5268124995.058,20557.780,20759.689,201.909,199.695,2.214,79240.311,0,0.000,0,10,1048576,0,0.000
72,5268204235.369,5268204454.798,5268225133.429,20677.559,20898.060,220.501,219.429,1.072,79101.940,0,0.000,0,10,1048576,0,0.000
73,5268304235.369,5268304489.408,5268325316.214,20825.335,21080.845,255.510,254.039,1.471,78919.155,0,0.000,0,10,1048576,0,0.000
74,5268404235.369,5268404449.823,5268425179.218,20728.267,20943.849,215.582,214.454,1.128,79056.151,0,0.000,0,10,1048576,0,0.000
75,5268504235.369,5268505136.848,5268525499.913,20361.634,21264.544,902.910,901.479,1.431,78735.456,0,0.000,0,10,1048576,0,0.000
76,5268604235.369,5268604440.533,5268624986.598,20544.932,20751.229,206.297,205.164,1.133,79248.771,0,0.000,0,10,1048576,0,0.000
77,5268704235.369,5268704476.802,5268725035.068,20557.093,20799.699,242.606,241.433,1.173,79200.301,0,0.000,0,10,1048576,0,0.000
78,5268804235.369,5268804457.812,5268825239.850,20781.109,21004.481,223.372,222.443,0.929,78995.519,0,0.000,0,10,1048576,0,0.000
79,5268904235.369,5268904471.410,5268924947.092,20474.687,20711.723,237.036,236.041,0.995,79288.277,0,0.000,0,10,1048576,0,0.000
80,5269004235.369,5269004502.781,5269025230.624,20726.708,20995.255,268.547,267.412,1.135,79004.745,0,0.000,0,10,1048576,0,0.000
81,5269104235.369,5269104469.848,5269125019.236,20548.345,20783.867,235.522,234.479,1.043,79216.133,0,0.000,0,10,1048576,0,0.000
82,5269204235.369,5269204453.141,5269225118.256,20663.517,20882.887,219.370,217.772,1.598,79117.113,0,0.000,0,10,1048576,0,0.000
83,5269304235.369,5269304454.623,5269325166.534,20710.342,20931.165,220.823,219.254,1.569,79068.835,0,0.000,0,10,1048576,0,0.000
84,5269404235.369,5269404510.452,5269424819.549,20308.013,20584.180,276.167,275.083,1.084,79415.820,0,0.000,0,10,1048576,0,0.000
85,5269504235.369,5269504495.123,5269525065.354,20569.043,20829.985,260.942,259.754,1.188,79170.015,0,0.000,0,10,1048576,0,0.000
86,5269604235.369,5269604468.794,5269624981.200,20511.246,20745.831,234.585,233.425,1.160,79254.169,0,0.000,0,10,1048576,0,0.000
87,5269704235.369,5269704438.145,5269724886.610,20447.315,20651.241,203.926,202.776,1.150,79348.759,0,0.000,0,10,1048576,0,0.000
88,5269804235.369,5269804512.714,5269825178.872,20664.760,20943.503,278.743,277.345,1.398,79056.497,0,0.000,0,10,1048576,0,0.000
89,5269904235.369,5269904449.427,5269924987.763,20537.180,20752.394,215.214,214.058,1.156,79247.606,0,0.000,0,10,1048576,0,0.000
90,5270004235.369,5270004464.309,5270024810.664,20345.343,20575.295,229.952,228.940,1.012,79424.705,0,0.000,0,10,1048576,0,0.000
91,5270104235.369,5270104450.608,5270124969.056,20517.474,20733.687,216.213,215.239,0.974,79266.313,0,0.000,0,10,1048576,0,0.000
92,5270204235.369,5270204329.921,5270224399.900,20069.116,20164.531,95.415,94.552,0.863,79835.469,0,0.000,0,10,1048576,0,0.000
93,5270304235.369,5270304461.294,5270325120.124,20657.663,20884.755,227.092,225.925,1.167,79115.245,0,0.000,0,10,1048576,0,0.000
94,5270404235.369,5270404491.647,5270425219.457,20726.712,20984.088,257.376,256.278,1.098,79015.912,0,0.000,0,10,1048576,0,0.000
95,5270504235.369,5270504441.194,5270524768.460,20326.234,20533.091,206.857,205.825,1.032,79466.909,0,0.000,0,10,1048576,0,0.000
96,5270604235.369,5270604499.980,5270625097.702,20596.464,20862.333,265.869,264.611,1.258,79137.667,0,0.000,0,10,1048576,0,0.000
97,5270704235.369,5270704443.467,5270724970.722,20526.210,20735.353,209.143,208.098,1.045,79264.647,0,0.000,0,10,1048576,0,0.000
98,5270804235.369,5270804445.205,5270824852.779,20406.349,20617.410,211.061,209.836,1.225,79382.590,0,0.000,0,10,1048576,0,0.000
99,5270904235.369,5270904468.924,5270925142.525,20672.627,20907.156,234.529,233.555,0.974,79092.844,0,0.000,0,10,1048576,0,0.000
100,5271004235.369,5271004496.843,5271024927.086,20429.348,20691.717,262.369,261.474,0.895,79308.283,0,0.000,0,10,1048576,0,0.000
101,5271104235.369,5271104439.602,5271124830.742,20390.258,20595.373,205.115,204.233,0.882,79404.627,0,0.000,0,10,1048576,0,0.000
102,5271204235.369,5271204436.488,5271225165.805,20728.255,20930.436,202.181,201.119,1.062,79069.564,0,0.000,0,10,1048576,0,0.000
103,5271304235.369,5271304436.472,5271325150.676,20712.930,20915.307,202.377,201.103,1.274,79084.693,0,0.000,0,10,1048576,0,0.000
104,5271404235.369,5271404444.414,5271425171.860,20726.285,20936.491,210.206,209.045,1.161,79063.509,0,0.000,0,10,1048576,0,0.000
105,5271504235.369,5271504441.685,5271525159.483,20716.749,20924.114,207.365,206.316,1.049,79075.886,0,0.000,0,10,1048576,0,0.000
106,5271604235.369,5271604442.095,5271625170.215,20726.858,20934.846,207.988,206.726,1.262,79065.154,0,0.000,0,10,1048576,0,0.000
107,5271704235.369,5271704437.750,5271725158.297,20719.650,20922.928,203.278,202.381,0.897,79077.072,0,0.000,0,10,1048576,0,0.000
108,5271804235.369,5271804443.890,5271825162.534,20717.605,20927.165,209.560,208.521,1.039,79072.835,0,0.000,0,10,1048576,0,0.000
109,5271904235.369,5271904440.492,5271925157.435,20715.998,20922.066,206.068,205.123,0.945,79077.934,0,0.000,0,10,1048576,0,0.000
110,5272004235.369,5272004438.525,5272025158.990,20719.579,20923.621,204.042,203.156,0.886,79076.379,0,0.000,0,10,1048576,0,0.000
111,5272104235.369,5272104445.448,5272124960.509,20513.948,20725.140,211.192,210.079,1.113,79274.860,0,0.000,0,10,1048576,0,0.000
112,5272204235.369,5272204443.479,5272224812.644,20368.198,20577.275,209.077,208.110,0.967,79422.725,0,0.000,0,10,1048576,0,0.000
113,5272304235.369,5272304457.455,5272325006.603,20548.049,20771.234,223.185,222.086,1.099,79228.766,0,0.000,0,10,1048576,0,0.000
114,5272404235.369,5272404449.215,5272425232.074,20781.905,20996.705,214.800,213.846,0.954,79003.295,0,0.000,0,10,1048576,0,0.000
