# probe kind=sieve activation=periodic clock=monotonic sieve_n=8192 K=601 period_us=10000 priority=90 cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before,steal_us
0,13862436480.968,13862436537.621,13862443431.217,6892.881,6950.249,57.368,56.653,0.715,3049.751,0,0.000,0,601,8192,0,0.000
1,13862446480.968,13862446515.076,13862453916.879,7401.230,7435.911,34.681,34.108,0.573,2564.089,0,0.000,0,601,8192,0,0.000
2,13862456480.968,13862456512.364,13862463799.668,7286.607,7318.700,32.093,31.396,0.697,2681.300,0,0.000,0,601,8192,0,0.000
3,13862466480.968,13862466510.321,13862473940.853,7429.910,7459.885,29.975,29.353,0.622,2540.115,0,0.000,0,601,8192,0,0.000
4,13862476480.968,13862476509.837,13862483928.255,7417.853,7447.287,29.434,28.869,0.565,2552.713,0,0.000,0,601,8192,0,0.000
5,13862486480.968,13862486507.942,13862493507.953,6999.400,7026.985,27.585,26.974,0.611,2973.015,0,0.000,0,601,8192,0,0.000
6,13862496480.968,13862496508.858,13862503487.934,6978.425,7006.966,28.541,27.890,0.651,2993.034,0,0.000,0,601,8192,0,0.000
7,13862506480.968,13862506506.753,13862513634.061,7126.681,7153.093,26.412,25.785,0.627,2846.907,0,0.000,0,601,8192,0,0.000
8,13862516480.968,13862516510.935,13862523692.794,7181.239,7211.826,30.587,29.967,0.620,2788.174,0,0.000,0,601,8192,0,0.000
9,13862526480.968,13862526508.483,13862533863.508,7354.419,7382.540,28.121,27.515,0.606,2617.460,0,0.000,0,601,8192,0,0.000
10,13862536480.968,13862536507.257,13862544086.113,7578.115,7605.145,27.030,26.289,0.741,2394.855,0,0.000,0,601,8192,0,0.000
11,13862546480.968,13862546507.353,13862553767.973,7259.873,7287.005,27.132,26.385,0.747,2712.995,0,0.000,0,601,8192,0,0.000
12,13862556480.968,13862556506.888,13862563466.618,6959.218,6985.650,26.432,25.920,0.512,3014.350,0,0.000,0,601,8192,0,0.000
13,13862566480.968,13862566507.124,13862573488.198,6980.546,7007.230,26.684,26.156,0.528,2992.770,0,0.000,0,601,8192,0,0.000
14,13862576480.968,13862576509.144,13862583988.513,7478.817,7507.545,28.728,28.176,0.552,2492.455,0,0.000,0,601,8192,0,0.000
15,13862586480.968,13862586507.345,13862593891.721,7383.841,7410.753,26.912,26.377,0.535,2589.247,0,0.000,0,601,8192,0,0.000
16,13862596480.968,13862596508.344,13862603581.174,7072.124,7100.206,28.082,27.376,0.706,2899.794,0,0.000,0,601,8192,0,0.000
17,13862606480.968,13862606507.754,13862613864.077,7355.620,7383.109,27.489,26.786,0.703,2616.891,0,0.000,0,601,8192,0,0.000
18,13862616480.968,13862616507.563,13862623680.320,7171.928,7199.352,27.424,26.595,0.829,2800.648,0,0.000,0,601,8192,0,0.000
19,13862626480.968,13862626506.829,13862633523.347,7015.977,7042.379,26.402,25.861,0.541,2957.621,0,0.000,0,601,8192,0,0.000
